time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.36340, -41.07040,  -1.78463, 116.92300,  85.43040,-116.61200,   0.37389,   4.11691,   0.60816,  -5.86111,  11.48970,   0.26959,   5.33920,  15.06100,  -2.44353, -89.70760,  -2.85011, -99.14040, -64.84780, -29.40860, -34.64910,  10.08550,  -8.63711,-130.18200,   7.66594,   5.31894,  -0.46530,  90.23140,  -7.06612,-103.12000, -66.27060,  25.56040, -48.08240,  15.82980, -12.96050,-128.34400,  19.98160,   5.00888,   7.13005,-170.13100, -13.34420, -23.90140,   0.18843,  -0.33773,  30.57490,  -9.52073,   8.00101, -44.32890,   1.29497,   0.46909, -28.36420, 177.02300,   3.24618, 172.91900,   0.06916,  -0.09363,  31.12170,  -5.31993,  -7.66983, -68.32630,  -0.40438,  -1.19457, -21.83430
   0.03333,   0.00000,   0.00000,  -0.00000,  88.85560, -41.47100,  -1.27983, 114.99100,  85.19330,-114.64900,   0.93850,   4.03965,   0.65156,  -5.23315,  11.60420,   0.17664,   5.73876,  15.41400,  -2.63257, -89.77750,  -2.29805, -99.46970, -63.39850, -30.75470, -34.02720,  10.15760,  -8.38639,-129.14500,   7.98445,   5.31983,  -0.49079,  90.24490,  -6.64094,-102.88300, -66.28360,  25.73280, -48.59460,  15.16100, -11.95620,-127.39800,  20.08780,   5.00180,   7.28091,-169.12000, -13.33600, -24.48530,   0.25127,  -0.38192,  34.33160,  -7.90960,   8.11073, -50.69100,   0.09017,  -0.37163, -24.79320, 177.78300,   5.55696, 172.54000,   0.08397,  -0.10260,  34.16620,  -4.42857,  -7.35126, -73.52550,  -0.82322,  -1.30059, -19.57790
   0.06667,   0.00000,   0.00000,  -0.00000,  88.52400, -43.12040,  -0.57523, 115.06200,  84.88410,-114.81400,   1.49783,   4.31829,   0.43937,  -4.61366,  12.21840,   0.34988,   6.20709,  16.12000,  -2.69031, -89.86770,  -1.34123, -99.36010, -61.41950, -32.16110, -32.97660,   9.48902,  -7.65709,-128.55600,   7.88339,   5.32779,  -0.72149,  90.21950,  -5.52848,-102.72200, -65.62080,  26.43540, -49.26310,  15.15990, -11.38370,-126.07300,  19.98950,   4.99375,   7.45240,-167.68100, -13.39260, -24.53890,   0.34203,  -0.44803,  37.97230,  -8.84171,   7.43364, -56.85430,  -0.03145,  -0.10952, -20.50960, 178.62200,   4.33990, 171.72000,   0.10501,  -0.11651,  38.00300,  -3.69637,  -8.04330, -79.29710,  -0.26201,  -0.22306, -16.47280
   0.10000,   0.00000,   0.00000,  -0.00000,  88.33790, -44.95120,   0.11148, 113.75100,  84.54680,-113.71500,   2.22141,   4.38771,  -0.01269,  -4.16657,  13.17300,   0.51781,   6.13822,  16.98910,  -2.64305, -89.93110,  -0.64182, -98.86790, -59.80360, -33.67140, -31.76380,   8.16635,  -6.54001,-128.44300,   7.43608,   5.32774,  -0.72007,  90.18200,  -4.77107,-102.81400, -65.06180,  27.68440, -50.21330,  15.43080, -11.13480,-124.97800,  19.50650,   4.97677,   7.80936,-166.35700, -13.86310, -25.61210,   0.44028,  -0.49854,  41.97760,  -9.78233,   6.98484, -58.22640,  -0.02325,  -0.13210, -20.73630, 179.30200,   0.77298, 169.80300,  -0.20791,   0.24300,  42.80110,  -6.38125,  -8.77563, -81.95630,  -0.11125,   0.08303, -16.57200
   0.13333,   0.00000,   0.00000,  -0.00000,  88.76350, -45.34010,   1.20240, 109.70600,  84.29550,-109.96500,   2.98965,   3.85392,  -0.61906,  -3.90999,  13.58390,   0.32153,   6.30905,  17.61350,  -2.38187, -89.96550,  -0.30915, -98.62430, -59.67570, -34.49830, -30.85500,   8.18810,  -6.56285,-128.46400,   6.95276,   5.33313,  -0.87683,  90.15930,  -4.59729,-103.01300, -64.71700,  28.84250, -50.44210,  15.05460, -10.76610,-124.77900,  19.41500,   4.98456,   7.64589,-165.74100, -14.05090, -27.64110,   0.47548,  -0.48350,  45.30780, -10.29700,   7.38372, -53.22710,   0.13661,  -0.51792, -26.49220, 179.89800,  -0.78055, 168.84600,  -0.24443,   0.25612,  45.68540,  -6.45993, -10.08770, -83.26950,  -0.13634,   0.10228, -16.57150
   0.16667,   0.00000,   0.00000,  -0.00000,  89.15750, -44.65450,   2.07353, 106.55100,  84.20800,-106.96700,   3.35508,   3.31217,  -0.92853,  -3.51029,  13.11290,  -0.23353,   6.89729,  17.62520,  -1.87480, -89.99600,  -0.03932, -99.07030, -60.42990, -34.09650, -30.31950,   8.25193,  -6.64020,-128.56900,   7.26926,   5.33563,  -0.94998,  90.18390,  -4.87003,-102.83400, -64.65980,  29.48730, -49.91950,  14.62840, -10.63140,-125.25300,  19.23440,   4.99823,   7.35670,-164.84000, -13.44950, -29.77630,   0.43557,  -0.41808,  47.43660, -13.56680,   8.58238, -45.97850,   1.54314,   0.48636, -28.40970, 179.92900,   0.69545, 168.75300,  -0.22192,   0.22850,  46.63520,  -5.78027,  -9.57951, -83.47880,  -0.13260,   0.09873, -16.57170
   0.20000,   0.00000,   0.00000,  -0.00000,  89.45080, -44.68420,   2.45108, 107.15900,  84.29390,-107.67200,   3.15828,   3.38389,  -1.11816,  -3.05036,  12.55450,  -0.60811,   7.59757,  17.31570,  -1.47949, -90.03500,   0.35833, -99.41940, -61.01310, -33.13030, -30.13380,   8.45361,  -6.87166,-128.84000,   7.11657,   5.34010,  -1.08239,  90.21790,  -4.92307,-102.46200, -64.37610,  29.90370, -49.66790,  14.22300, -10.50140,-125.71800,  18.96060,   5.00114,   7.29516,-164.28100, -13.47280, -30.14080,   0.43654,  -0.42710,  46.95190, -13.00520,  10.73970, -43.10890,   0.97389,   0.22641, -24.15290, 179.65400,   2.25282, 169.17300,  -0.17708,   0.19189,  45.86860,  -4.83337,  -8.26774, -82.82220,  -0.10712,   0.07970, -16.57200
   0.23333,   0.00000,   0.00000,  -0.00000,  89.72510, -45.95770,   2.61253, 109.88100,  84.45920,-110.48100,   2.68054,   3.79180,  -1.28693,  -2.77232,  12.62190,  -0.62340,   8.22387,  17.03580,  -1.31096, -90.05400,   0.52975, -99.18170, -61.00680, -32.48580, -29.71160,   8.70127,  -7.26086,-129.55500,   6.58537,   5.34259,  -1.15646,  90.19510,  -4.86917,-102.70200, -63.92890,  30.44160, -49.92700,  14.24450, -10.58440,-125.88700,  18.91110,   5.00256,   7.26468,-163.75000, -14.41240, -27.91910,   0.37761,  -0.43755,  42.01210, -11.58560,   7.87485, -43.55460,  -0.17491,  -0.71825, -19.83380, 179.41500,   1.90132, 169.93700,  -0.11822,   0.14145,  44.05700,  -4.25630,  -7.46290, -81.73670,  -0.08994,   0.06774, -16.57220
   0.26667,   0.00000,   0.00000,  -0.00000,  90.06120, -47.36880,   2.54709, 112.51300,  84.66940,-113.16400,   2.11161,   4.11159,  -1.37761,  -3.00479,  12.88470,  -0.51141,   8.73933,  16.84010,  -1.32666, -90.03260,   0.29755, -98.74910, -60.79220, -32.17690, -29.43940,   9.39751,  -8.08309,-130.35300,   6.81301,   5.34164,  -1.12795,  90.15600,  -5.05483,-103.23000, -63.57070,  30.97990, -50.50650,  14.51840, -10.85990,-126.03800,  18.78630,   5.00050,   7.30881,-163.25400, -14.83150, -24.84220,   0.27594,  -0.41198,  34.86810,  -9.43380,   4.07965, -44.73860,   0.22681,  -0.26292, -19.10780, 179.10700,   0.86535, 170.50700,  -0.06814,   0.09424,  42.19240,  -4.03832,  -7.05411, -80.72640,  -0.07108,   0.05426, -16.57250
   0.30000,   0.00000,   0.00000,  -0.00000,  90.47540, -48.13790,   2.54036, 113.80500,  84.88090,-114.42700,   1.62861,   4.16315,  -1.30198,  -3.30568,  13.02940,  -0.55997,   8.87574,  16.66170,  -1.52884, -89.98120,  -0.16894, -98.63220, -60.87360, -32.13280, -29.57050,   9.37534,  -8.27645,-131.08600,   7.39833,   5.33977,  -1.07226,  90.13740,  -5.46258,-103.55600, -63.40740,  31.17080, -50.97810,  14.96530, -11.29940,-126.24100,  18.39280,   4.99392,   7.44946,-162.73000, -13.09050, -22.16280,   0.21106,  -0.40915,  28.23330,  -8.79363,   1.47742, -42.26150,   0.01804,  -0.46318, -19.21650, 178.47800,   0.52994, 170.81600,  -0.03757,   0.06202,  41.08930,  -4.08807,  -6.49362, -80.21300,  -0.04046,   0.03109, -16.57300
