time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.47000,  -3.98195,  -0.72316, -88.83380,  82.76510,  85.66400,   3.98684,  -0.59360,   6.54640,   3.73675,   1.52769,   1.94508,  -0.94416,   3.15877,   0.39333, -87.72000,  -0.20169, -90.26120, -83.08600, -17.01250,   3.23290,   0.00005,  -0.00000, -23.63310,  -1.11098,  33.72020,  -4.33322,  92.43700,  -0.12446, -90.32820, -78.19330, -19.81210,   3.38053,  -0.00101,   0.00011, -23.63490,  -6.66935,  33.99480,  -1.42341,-176.47000,   7.61812,   0.89963,  -0.00000,   0.00000,  13.15790,  -1.33125,  -0.12992, -64.44060,  -0.00000,   0.00000, -16.58240,-174.16900,  -9.98072, 179.56300,   0.00002,  -0.00012,   9.31670,   3.17053,  -1.42406, -59.22840,  -0.00000,  -0.00000, -16.57870
   0.03333,   0.00000,   0.00000,  -0.00000,  87.37940,  -4.02791,  -0.58019, -88.98380,  82.86290,  86.17290,   3.93081,  -0.52733,   6.52991,   3.76742,   1.49474,   1.98332,  -1.15637,   3.20135,   0.29169, -87.75550,   0.08123, -90.13910, -82.98460, -18.05060,   3.56504,   0.00005,  -0.00000, -24.47820,   1.13186,  33.72360,  -5.74949,  92.39350,  -0.11354, -90.27560, -77.87600, -20.11950,   3.83347,  -0.00101,   0.00011, -24.18560,  -6.26584,  33.75840,  -1.45387,-176.45800,   7.65103,   1.05313,  -0.00000,   0.00000,  13.38810,  -1.30429,  -0.19419, -64.67210,   0.00000,  -0.00000, -16.58240,-174.08100,  -9.86163, 179.74000,   0.00002,  -0.00012,   9.48833,   3.16065,  -1.28600, -59.43480,   0.00000,   0.00000, -16.57870
   0.06667,   0.00000,   0.00000,  -0.00000,  87.18930,  -4.07776,  -0.35668, -89.26330,  83.01480,  87.14670,   3.82448,  -0.40515,   6.33285,   3.81338,   1.42349,   1.92868,  -1.47539,   3.17216,   0.10858, -87.81250,   0.79854, -89.89110, -82.34730, -19.63710,   4.41587,   0.00005,  -0.00000, -26.94170,   6.55893,  33.71860,  -9.22799,  92.31740,  -0.05358, -90.23720, -77.28160, -20.73690,   4.47496,  -0.00101,   0.00012, -24.72200,  -4.86915,  33.00580,  -2.11449,-176.31300,   7.72274,   1.14499,  -0.00000,   0.00000,  13.96050,  -1.34754,  -0.28088, -65.09880,  -0.00000,   0.00000, -16.58240,-173.82400,  -9.76679, 179.93800,   0.00002,  -0.00012,   9.83105,   3.19997,  -1.18640, -59.73260,   0.00000,   0.00000, -16.57870
   0.10000,   0.00000,   0.00000,  -0.00000,  86.89700,  -4.11461,  -0.08939, -89.66970,  83.16710,  88.64990,   3.69325,  -0.22805,   5.93460,   3.87916,   1.31876,   1.73480,  -1.93322,   3.06333,  -0.19987, -87.87470,   2.02062, -89.49060, -81.01390, -21.65490,   5.88928,   0.00005,  -0.00000, -32.03890,  15.31420,  33.25600, -15.15710,  92.23150,  -0.01530, -90.24130, -76.43650, -21.57130,   5.22879,  -0.00101,   0.00012, -25.07390,  -2.65115,  31.77490,  -3.24398,-176.04700,   7.81080,   1.10779,  -0.00000,   0.00000,  14.92760,  -1.43932,  -0.35609, -65.73380,  -0.00000,  -0.00000, -16.58240,-173.40700,  -9.89715,-179.92700,   0.00002,  -0.00012,  10.44150,   3.24381,  -1.33588, -60.16160,  -0.00000,   0.00000, -16.57870
   0.13333,   0.00000,   0.00000,  -0.00000,  86.56970,  -4.08127,   0.25872, -89.96070,  83.37080,  90.30800,   3.55845,  -0.04111,   5.37534,   3.96665,   1.19889,   1.38161,  -2.54863,   2.90969,  -0.62582, -87.94670,   3.62204, -88.97990, -78.90150, -23.89010,   7.83238,   0.00005,  -0.00000, -40.34850,  24.13020,  31.32690, -20.49220,  92.14640,  -0.04703, -90.34730, -75.42320, -22.56110,   6.02632,  -0.00101,   0.00012, -25.15750,   0.10350,  30.08410,  -4.54772,-175.74900,   7.94511,   1.07033,  -0.00000,   0.00000,  16.07470,  -1.55299,  -0.39567, -66.44920,  -0.00000,  -0.00000, -16.58240,-172.90600, -10.17210,-179.74900,   0.00002,  -0.00012,  11.17590,   3.27352,  -1.70964, -60.66320,   0.00000,  -0.00000, -16.57870
   0.16667,   0.00000,   0.00000,  -0.00000,  86.32570,  -3.91847,   0.73791, -89.82480,  83.75080,  91.49600,   3.41742,   0.08373,   4.74211,   4.04494,   1.09073,   0.87657,  -3.32100,   2.76754,  -1.10704, -88.06180,   5.28779, -88.40050, -76.09100, -26.27230,   9.90199,   0.00005,  -0.00000, -51.85890,  31.78950,  28.99690, -24.73430,  92.04940,  -0.16370, -90.63040, -74.37760, -23.70260,   6.80764,  -0.00101,   0.00012, -24.94390,   3.10839,  27.99030,  -5.76990,-175.54000,   8.14680,   1.24766,  -0.00000,   0.00000,  17.02220,  -1.66992,  -0.36183, -67.03500,   0.00000,   0.00000, -16.58240,-172.44800, -10.39020,-179.38300,   0.00002,  -0.00012,  11.82220,   3.29640,  -2.16812, -61.14600,   0.00000,  -0.00000, -16.57870
   0.20000,   0.00000,   0.00000,  -0.00000,  86.26400,  -3.61436,   1.29327, -89.04650,  84.34310,  91.69990,   3.25269,   0.09666,   4.11542,   4.03265,   1.01855,   0.24695,  -4.21128,   2.68518,  -1.58698, -88.26390,   6.53465, -87.70630, -72.73900, -28.87030,  11.45780,   0.00005,  -0.00000, -66.01510,  37.12860,  27.18890, -27.77460,  91.91950,  -0.35585, -91.08300, -73.41780, -24.97060,   7.50733,  -0.00101,   0.00011, -24.39950,   6.17962,  25.60380,  -6.80462,-175.49400,   8.34522,   1.69309,  -0.00000,   0.00000,  17.49890,  -1.78621,  -0.17880, -67.33170,   0.00000,   0.00000, -16.58240,-172.15200, -10.48850,-178.82600,   0.00002,  -0.00012,  12.21700,   3.32193,  -2.64419, -61.52020,   0.00000,   0.00000, -16.57870
   0.23333,   0.00000,   0.00000,  -0.00000,  86.42470,  -3.20117,   1.78926, -87.49270,  85.04610,  90.63320,   3.06078,  -0.00044,   3.53339,   3.82389,   0.99686,  -0.46034,  -5.13302,   2.68013,  -2.03396, -88.56420,   6.81377, -86.83390, -69.04690, -31.72180,  11.37190,   0.00004,  -0.00000, -80.62020,  40.32840,  25.16540, -28.83180,  91.75150,  -0.59126, -91.54940, -72.59670, -26.27540,   8.04370,  -0.00101,   0.00011, -23.45960,   9.24224,  23.04010,  -7.67556,-175.60800,   8.42108,   2.29556,  -0.00000,   0.00000,  17.44260,  -1.91385,   0.22681, -67.29660,   0.00000,  -0.00000, -16.58240,-172.08900, -10.48390,-178.20700,   0.00002,  -0.00012,  12.32230,   3.35899,  -3.09134, -61.75370,   0.00000,   0.00000, -16.57870
   0.26667,   0.00000,   0.00000,  -0.00000,  86.78880,  -2.72623,   2.10226, -85.16740,  85.71050,  88.30130,   2.86246,  -0.16516,   2.99014,   3.33634,   1.02506,  -1.17265,  -6.00486,   2.72857,  -2.40512, -88.90900,   5.81769, -85.83650, -65.15010, -35.21490,   8.72625,   0.00005,  -0.00000, -93.46770,  42.84380,  22.39950, -28.51210,  91.56260,  -0.83468, -91.83820, -71.90860, -27.55810,   8.36172,  -0.00102,   0.00010, -22.07380,  12.27560,  20.34930,  -8.44418,-175.83700,   8.30384,   2.73818,  -0.00000,   0.00000,  17.29510,  -2.07394,   0.88023, -67.17410,   0.00000,   0.00000, -16.58240,-172.24200, -10.54460,-177.97300,   0.00002,  -0.00012,  12.79400,   3.38579,  -3.62900, -62.15770,   0.00000,   0.00000, -16.57870
   0.30000,   0.00000,   0.00000,  -0.00000,  87.28230,  -2.26912,   2.09715, -82.52990,  86.17610,  85.30660,   2.69029,  -0.33838,   2.47232,   2.53890,   1.08650,  -1.79022,  -6.80536,   2.79264,  -2.63948, -89.20510,   3.72851, -84.90090, -61.31590, -40.06840,   3.10610,   0.00005,   0.00000,-102.70600,  45.27030,  19.34260, -27.27380,  91.38570,  -1.06334, -91.91680, -71.31320, -28.90620,   8.49029,  -0.00102,   0.00010, -20.33690,  15.24600,  17.60710,  -9.08273,-176.09900,   7.93790,   2.97514,  -0.00000,   0.00000,  16.90320,  -2.25312,   1.75829, -66.89390,   0.00000,   0.00000, -16.58240,-172.62400, -10.41120,-177.99800,   0.00002,  -0.00012,  13.16510,   3.43679,  -3.89635, -62.54320,  -0.00000,   0.00000, -16.57870
