time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  82.74100,   7.87052,  -6.97433, 109.40900,  81.18280,-107.31100,   8.79609,   5.84903,   3.74415, -16.00410,  -5.82799,  -0.37014,  -5.62921, -12.14540,   5.24720, -90.53300,   4.62581, -98.42400, -73.10640,  -3.70678,  14.99000,  31.40100,  23.04600, -57.31320,  12.70480,   5.07256,   5.74152,  89.35050,   9.55926,-101.09600, -65.37070,   3.12486,  18.14370,  -3.25686,  -3.30399, -44.60910,  44.68460,   5.67755, -18.76910,-172.42500,   7.96281, -35.54290,  -0.71773,   0.00258,  88.26660,   5.49580,  -4.21388, -37.24720,   0.48427,  -0.59253, -22.15460,-164.81700,   8.11367, 162.26500,   0.17402,  -0.16068,  39.64530,   4.61465,  -6.58844, -81.02010,   0.20354,  -0.21675, -18.22920
   0.03333,   0.00000,   0.00000,  -0.00000,  86.52740,   3.93283,  -9.26136, 120.39500,  82.47540,-120.14900,   5.23492,   7.59244,   0.14413, -11.24450,  -5.14858,   1.12073,  -2.57824, -12.80520,   3.46343, -90.31360,   1.65126, -94.09360, -68.90100,   2.05998,  32.12280,  11.74090,   7.93089, -56.40850,  13.43020,   5.09342,   5.26363,  89.99230,   5.22648,-104.94800, -66.71810,   2.45299,   5.47106,   2.88328,   2.01313, -55.06420,  42.70740,   5.67223, -17.70550,-178.25400,   6.69160, -41.57540,  -0.61918,   0.07249,  81.78040,   7.66407,  -9.42543, -44.19290,   0.47331,  -0.57773, -22.02050,-170.33500,   4.60242, 170.39000,   0.10577,  -0.12298,  31.34050,   3.22207,  -5.25061, -75.93170,   0.84060,  -0.25433, -22.76240
   0.06667,   0.00000,   0.00000,  -0.00000,  90.11400,  -1.82835, -13.71570, 142.63900,  82.51050,-144.42500,   1.55093,  11.99680,  -3.74135,  -9.34644,  -3.74897,   1.15785,   0.93512, -15.65500,   4.26572, -88.72380,  -4.09424, -87.71590, -67.34440,  10.83470,  41.95090,  22.37170,   8.74406, -69.72800,  14.08100,   5.03373,   6.57844,  89.96700,  -0.62887,-107.88700, -68.42110,   0.14173,  -3.01210,   3.80408,   0.94780, -75.92350,  40.75000,   5.63637, -13.75680, 176.59900,   4.67399, -47.32040,  -0.41507,   0.15095,  68.03700,   9.15178, -16.75380, -47.74180,   0.42408,  -0.51215, -21.42330,-176.22300,  -1.00878, 174.48400,   0.02482,  -0.01531,  22.77620,   2.48104,  -5.40874, -64.61110,   1.38105,  -1.78414, -29.14160
   0.10000,   0.00000,   0.00000,  -0.00000,  91.77030,  -5.76462, -17.30640, 159.84800,  81.39690,-162.91100,  -1.40007,  16.39430,  -5.95567,  -8.48345,  -4.06634,   1.28610,   4.94997, -17.95040,   6.01194, -86.54330,  -9.66447, -85.21040, -65.17560,  14.13600,  50.67930,  18.15380,   3.19719, -80.37480,  15.03830,   4.94423,   8.49105,  89.54980,  -6.45447,-108.99700, -68.84920,  -2.67704,  -9.87437,   8.40266,  -1.18377, -97.89160,  37.64830,   5.50036,  -6.40047, 175.40300,   4.39974, -48.34000,  -0.18701,   0.14872,  48.07730,   8.24701, -19.23100, -51.36150,   0.42752,  -0.51669, -21.46480, 179.86500,  -0.29291, 176.90000,  -0.00279,   0.04596,  15.83580,   5.09325,  -2.25946, -48.00190,   2.38918,  -3.96556, -42.50160
   0.13333,   0.00000,   0.00000,  -0.00000,  91.38180,  -6.51499, -17.49180, 164.29000,  80.59720,-167.38400,  -2.20739,  18.36670,  -5.87105,  -8.29965,  -5.07363,   2.19909,   7.67178, -18.33010,   6.55949, -85.42710, -14.80940, -87.61980, -64.89710,  10.78010,  59.62160,  12.44170,   0.60911, -87.24610,  13.37570,   4.95054,   8.35603,  89.39080, -10.29780,-108.40700, -68.17590,  -4.50859, -17.75870,  10.28610,  -5.58639,-118.16100,  31.62000,   5.31212,  -0.19295, 178.06500,   5.60637, -42.11500,  -0.04995,   0.07879,  25.36250,   7.75441, -13.41240, -52.86470,   0.43857,  -0.53131, -21.59830, 179.47700,   0.87146,-179.52700,  -0.02220,   0.12136,  14.29340,   8.65908,   0.06392, -34.66820,   2.27484,  -3.63546, -40.56430
   0.16667,   0.00000,   0.00000,  -0.00000,  90.37550,  -5.11520, -15.63600, 160.26800,  80.70880,-162.52900,  -1.14152,  17.66350,  -4.36995,  -8.92413,  -5.58676,   3.06088,   6.49731, -17.41580,   5.32358, -85.78240, -16.31500, -90.29160, -65.82400,   7.55910,  63.42740,  14.81570,  -0.10858, -90.40940,  14.82980,   4.93819,   8.60881,  89.70970, -12.36860,-106.35600, -69.80220,  -2.37180, -26.09570,  12.61370, -12.76870,-134.60400,  25.82280,   5.30800,  -0.22285,-179.23100,   7.67108, -36.11640,  -0.00766,   0.01240,  12.88730,   7.61965, -10.36210, -55.91790,   0.42641,  -0.51523, -21.45130,-177.97900,  -4.14590,-177.99900,  -0.07280,   0.20817,  22.43310,   8.65513,  -5.73219, -28.10710,   0.83881,  -0.98470, -23.77420
   0.20000,   0.00000,   0.00000,  -0.00000,  90.36330,  -2.67029, -13.00740, 149.30200,  81.74480,-150.88500,   0.90242,  14.28670,  -3.29088, -10.62910,  -5.38255,   3.71844,   4.96447, -14.78610,   4.62740, -86.97370, -14.75440, -93.27620, -68.07090,   2.91969,  62.74170,  13.07460,  -0.18124, -90.77970,  16.47030,   5.01260,   7.05329,  89.83020, -10.25260,-105.95500, -71.83770,   7.67102, -25.03520,  12.21760, -17.30680,-143.94800,  31.54710,   5.67438, -13.87030, 179.40200,   6.23063, -32.98740,   0.00213,  -0.00622,  14.96420,   1.08671,  -7.87405, -59.03390,   0.42052,  -0.50748, -21.38050,-176.14100,  -5.15524,-179.99300,  -0.19707,   0.27793,  37.69490,   6.67599,  -9.62595, -25.37650,   0.60023,  -0.67831, -21.61530
   0.23333,   0.00000,   0.00000,  -0.00000,  93.42890,   0.16391, -11.54680, 129.55800,  83.08800,-131.62500,   3.08852,   8.87954,  -4.37660, -13.05380,  -4.91122,   3.59343,   2.96828, -11.75250,   5.27822, -88.28670, -10.74030, -95.89010, -70.20660,  -0.46106,  57.17050,  10.82930,  -0.02074, -90.10750,  16.96580,   5.11658,   4.73230,  89.92500,  -4.14386,-106.03200, -74.82840,  16.74220, -12.32220,  18.21290, -20.99870,-137.46300,  48.17180,   5.68122, -22.60840, 172.35600,   1.46243, -34.75260,   0.06899,  -0.10656,  28.79100,   4.87193,  -3.32333, -55.83840,   0.12442,  -0.14132, -17.94960,-179.28800,  -1.32757, 171.76500,  -0.32988,   0.20989,  58.44760,   5.61774, -10.83550, -27.32910,   0.58201,  -0.65588, -21.45470
   0.26667,   0.00000,   0.00000,  -0.00000,  96.53710,   1.24664,  -9.27877, 105.29600,  83.06840,-107.88700,   5.70432,   3.69484,  -5.36107, -13.50840,  -4.43349,   2.17823,  -1.08471,  -7.82317,   6.82158, -89.56800,  -4.04067, -98.92640, -70.28170,  -1.95921,  47.17540,   9.39392,   0.48159, -87.08490,  16.03290,   5.17196,   3.41272,  89.98720,   2.21534,-104.71800, -78.15020,  11.06240,   4.75236,  22.62450, -13.73910,-119.61800,  23.60890,   5.51835,  -4.21855, 167.95900,  -0.40026, -32.42450,   0.17793,  -0.17655,  41.20010,   6.04490,  -0.90900, -68.26890,  -0.01670,   0.01377, -16.57670, 176.75400,   0.25464, 162.32200,  -0.47104,   0.10747,  76.47740,   6.48014, -14.01260, -27.97020,   0.57909,  -0.65228, -21.42890
   0.30000,   0.00000,   0.00000,  -0.00000,  97.30400,   1.03138,  -7.78932,  87.96320,  82.62440, -90.48800,   6.96973,  -0.50507,  -5.01328, -14.11340,  -3.60449,   1.93556,  -1.81641,  -3.13592,   6.20150, -90.22640,   2.79791,-100.34300, -69.02990,   1.04343,  29.57190,  11.91090,   2.15231, -79.92910,  20.83700,   5.20115,   2.71226,  89.81500,   3.86267,-102.25400, -79.92580,   2.67213,  11.50400,   7.76887,   1.56686, -77.63730,  23.32680,   5.34673,  -0.45872, 166.99600,  -2.88518, -26.00130,   0.26683,  -0.23465,  44.31960,   6.65480,   0.27784, -76.55090,  -0.06133,   0.05050, -16.57450, 175.83700,  -0.87034, 152.71300,  -0.77378,   0.03738,  86.18160,  11.43840, -15.69230, -29.57730,   0.57418,  -0.64628, -21.38580
