time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  85.20650,  -4.50729,  -2.55009,  91.47810,  78.36550, -92.31200,  15.50050,   0.53578,  -1.74229,   2.38997,  -0.43561,  -1.02367, -17.41330,  -2.73779,   7.52979, -92.53450,   8.50665, -88.34060, -57.10170,  -9.50244,  -8.59999, -18.80660,  -7.53180, -68.94610,  27.82200,   5.68251, -21.03280,  88.12240,  15.51470, -98.01360, -59.59430,  -0.82087,  12.02580, -12.61590, -23.82310, -28.98950,  21.27570,   5.58043, -10.23350,-174.83900, -29.47840, -28.52330,   0.20186,  -0.06265,  65.93360,   0.23546,  -2.55538, -86.44830,   0.09013,  -0.14593, -19.15470, 171.78300,  30.20780, 124.18900,   1.81691,   0.83944, 115.37200,   0.20769, -10.85570, -30.32060,   0.33896,  -0.40348, -20.44930
   0.03333,   0.00000,   0.00000,  -0.00000,  84.81500,   0.12229,  -1.94087,  84.49120,  77.79070, -84.17330,  16.55550,  -2.28306,   0.96879,   2.37421,  -1.95595,  -0.63956, -16.61260,  -0.69261,   7.66719, -91.63100,   6.20693, -90.25220, -55.34420, -14.59330, -31.12590, -18.96460,  -5.43599, -74.59740,  27.52950,   5.68205, -21.60270,  86.71200,  14.87430, -92.38460, -60.42250,   4.00100,  25.82690, -11.42170, -19.46780, -31.22090,  21.09070,   5.60355, -11.63160,-170.75500, -25.74150, -20.71130,   0.15576,  -0.04200,  65.01170,  -1.51371,  -0.29731, -91.13870,   0.06307,  -0.22409, -19.71200, 179.28500,  32.89440, 111.65300,   1.26120,   0.56365, 115.03800,  -2.96686, -11.29990, -34.79170,   0.31153,  -0.36868, -20.12360
   0.06667,   0.00000,   0.00000,  -0.00000,  84.54310,   4.22181,  -2.73827,  72.56310,  77.64060, -71.34470,  15.98720,  -7.21201,   3.45604,   4.26378,  -1.99390,  -0.05317, -16.17640,   2.98091,   7.54223, -90.25230,   1.04222, -91.40660, -57.36410, -24.27140, -45.46430, -21.29970,  -2.46417, -83.69280,  27.02130,   5.68196, -20.92740,  85.61750,  13.50300, -86.82230, -61.42290,  12.20810,  37.02730, -14.48810, -18.55050, -39.08020,  15.85640,   5.63247, -13.58870,-167.31500, -21.96950, -12.43560,   0.10429,  -0.03042,  58.61590,  -3.81373,   2.28868, -90.84340,   0.16746,  -0.28417, -21.53480,-174.46100,  32.54840, 103.38100,   0.71561,   0.19410, 107.04400,  -6.76184,  -7.99484, -38.12280,   0.32848,  -0.39016, -20.32450
   0.10000,   0.00000,   0.00000,  -0.00000,  84.52100,   5.66535,  -4.69359,  62.23950,  77.64820, -60.02470,  14.52120, -11.23810,   5.87950,   6.33957,  -1.37776,  -0.78630, -15.81780,   6.84246,   6.87690, -89.33350,  -2.56590, -90.45610, -58.50690, -32.66360, -54.62770, -29.80100,   0.37626, -90.64050,  29.99020,   5.68193, -22.51040,  86.22090,   9.78818, -83.76030, -62.13430,  15.30740,  44.99670, -12.65980, -12.38090, -46.34780,  14.89800,   5.64820, -14.86180,-165.46100, -18.39590,  -4.87711,   0.08210,  -0.02955,  49.55560,  -7.25159,   2.74947, -82.44970,   0.36372,  -0.71545, -28.65750,-171.07100,  29.83980, 100.14600,   0.30684,  -0.00500,  93.58670, -10.00720,  -3.74165, -39.50660,   0.32639,  -0.38748, -20.29960
   0.13333,   0.00000,   0.00000,  -0.00000,  84.86820,   4.52416,  -6.62516,  56.38700,  78.14380, -53.52510,  12.54610, -12.88880,   7.16503,   9.31285,  -0.72394,  -1.80877, -16.17150,   9.02550,   6.24861, -88.03080,  -6.26163, -87.51300, -58.89610, -35.71870, -58.15390, -36.25510,   3.31509, -94.50790,  33.36280,   5.67071, -24.74360,  88.06360,   4.71742, -82.64740, -63.86680,  12.25390,  50.69640, -12.75910,  -9.57561, -53.69220,  14.36740,   5.65251, -15.25570,-164.46700, -17.67150,   0.06263,   0.16994,  -0.13020,  43.19020,  -8.69188,   1.68796, -63.32410,   0.60677,  -1.82776, -45.82490,-169.24800,  27.12450, 102.12200,   0.04950,  -0.03601,  75.76690, -12.43550,  -2.78179, -37.24470,   0.31254,  -0.36997, -20.13550
   0.16667,   0.00000,   0.00000,  -0.00000,  86.71520,   3.80207,  -6.38916,  52.73190,  78.21750, -49.79580,  11.61580, -14.05990,   7.33050,  12.58120,  -0.48950,  -2.71727, -16.95190,  10.16840,   5.36543, -87.27850,  -7.59337, -85.21470, -58.33950, -34.85850, -57.79880, -32.41680,   4.68252, -97.32830,  32.00290,   5.67964, -22.87760,  89.90520,   0.23145, -82.74710, -66.37140,   6.58868,  55.08320, -13.90110,  -7.81854, -61.20550,  15.68010,   5.65201, -15.20910,-163.79900, -16.92760,   4.20621,   0.39514,  -0.43510,  39.14370, -10.27410,   1.57887, -37.68320,   0.60808,  -2.30455, -52.99400,-168.72000,  28.37700, 108.93800,  -0.03977,   0.00097,  57.04920, -13.92780,  -3.01197, -34.72200,   0.33059,  -0.39280, -20.34950
   0.20000,   0.00000,   0.00000,  -0.00000,  90.09040,   4.46395,  -3.75969,  52.87680,  77.93390, -50.62770,  12.04180, -14.35860,   6.03767,  14.28990,  -1.13849,  -1.19086, -17.41120,   9.62139,   3.84515, -87.26760,  -7.59941, -85.15590, -56.64880, -28.79100, -52.89020, -28.62010,   5.21102, -99.43920,  30.16480,   5.68156, -21.96510,  90.51890,  -1.26687, -82.72300, -68.20880,   0.47720,  57.46300, -15.20310,  -6.77074, -66.54290,  16.99310,   5.64703, -14.75890,-165.66900, -10.91010,   6.80185,   0.59823,  -0.61667,  42.21950, -11.47230,  -0.93935, -24.63480,   0.20467,  -0.35589, -22.74880,-170.32500,  32.84480, 118.41800,  -0.05663,   0.04714,  42.34820, -13.49040,  -0.94857, -34.21520,   0.32812,  -0.38969, -20.32020
   0.23333,   0.00000,   0.00000,  -0.00000,  92.28270,   5.39512,  -2.31451,  55.66220,  78.18300, -53.75910,  12.20760, -13.14200,   5.22992,  12.77980,  -2.25203,   0.27722, -16.72340,   7.58721,   3.37935, -87.51300,  -7.30199, -86.13410, -57.40440, -18.76590, -43.53260, -27.47890,   4.94960, -99.41890,  28.82510,   5.68207, -20.73390,  89.83680,   0.40136, -82.84520, -69.49140,  -2.78242,  55.14120, -18.09650,  -6.90788, -69.79080,  19.75810,   5.63975, -14.12280,-165.71900,  -8.99065,   4.63875,   0.93195,  -0.67401,  52.94280,  -8.18184,  -0.10378, -22.05480,   0.15418,  -0.25945, -21.11310,-169.83800,  38.62090, 125.89700,  -0.03376,   0.03797,  33.00540, -15.18070,  -3.12929, -32.14670,   0.33706,  -0.40106, -20.42660
   0.26667,   0.00000,   0.00000,  -0.00000,  93.45440,   5.41075,  -2.34446,  59.54410,  79.05470, -57.72720,  11.43510, -10.95140,   4.74065,  11.27970,  -3.01106,   0.88950, -15.77720,   5.28161,   3.13048, -88.20970,  -5.80364, -87.82640, -59.96210,  -8.05509, -30.60810, -27.95470,   2.25090, -94.23230,  28.71240,   5.67814, -19.02280,  88.64920,   3.61410, -84.46690, -69.40270,  -3.03454,  48.59460, -17.24360,  -5.43007, -73.04680,  20.90640,   5.64683, -14.70600,-164.20600, -11.19150,  -2.33722,   1.38219,  -0.50931,  69.18450,  -3.32197,  -1.82591, -25.00950,   0.15177,  -0.25501, -21.03730,-167.71000,  43.30010, 128.82600,   0.00393,  -0.02434,  32.58000,  -7.23287,  -4.30791, -28.27920,   0.51030,  -0.63043, -22.53910
   0.30000,   0.00000,   0.00000,  -0.00000,  94.30030,   5.03771,  -1.82968,  65.19410,  79.73670, -63.52820,  11.08280,  -8.49975,   4.16118,   9.38904,  -3.37768,   0.57273, -14.00710,   2.75819,   2.96390, -89.16290,  -2.80538, -88.38440, -61.95650,   1.53348, -17.93280, -27.78990,  -4.37759, -81.75730,  28.22160,   5.66710, -16.89820,  87.55930,   7.70607, -87.34980, -66.07380,  -1.80000,  39.35990, -16.25820,  -3.38939, -78.54080,  22.65510,   5.65668, -15.63220,-162.66500, -14.10320, -12.01940,   1.85781,  -0.06028,  87.97570,   0.37666,  -3.96957, -25.50730,   0.14697,  -0.24621, -20.88700,-169.60400,  43.76220, 131.64900,   0.10016,  -0.09141,  45.60360,  11.07920,  -1.02950, -56.81610,   0.16659,  -0.19137, -18.43970
