time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  98.55740,   6.92302,  -4.44278, 110.87500,  85.38490,-114.03700,   0.96429,   3.47522,  -6.35060, -11.27480,  -4.30996,  -1.29605,  -4.97575,  -9.14575,  -0.83047, -91.47270,   7.12917, -93.30010, -63.02640,   2.61812,   6.66154,  16.06770,  -3.56750,-102.18900,  40.46120,   4.83266,  10.67420,  89.56880,   2.48599, -95.15090, -80.50280,  -5.98053,  32.95000,  10.31910,  10.26950, -45.61170,  40.52540,   5.58899, -10.70490, 165.38100,   8.90747, -17.02430,   0.18248,  -0.11058,  48.64660,  11.14740,   3.62501, -84.34600,  -0.02963,   0.03111, -16.57710, 174.79500,   6.42391, 148.93100,  -0.73511,   0.05285,  85.00700,  16.53120, -20.96270, -40.05940,   0.65894,  -0.75153, -22.13730
   0.03333,   0.00000,   0.00000,  -0.00000,  95.77800,   5.36390,  -5.12725,  93.93020,  86.03720, -96.08440,   0.15761,   0.68601,  -4.30666, -12.43760,  -3.25230,  -1.18121,  -7.38478,  -6.03016,  -1.25639, -90.85510,   4.97162, -95.23700, -67.44900,   1.15508,   0.73312,  19.77200,  -5.51671,-104.96500,  35.63090,   4.94484,   8.43747,  89.84120,   0.83060, -94.16150, -80.01680,  -7.13248,  35.79420,  11.15820,   9.37955, -50.43360,  40.17750,   5.58374, -10.41850, 169.13200,   5.82026, -10.11040,   0.04347,  -0.00710,  40.21490,  11.19810,   5.29001, -84.63770,  -0.00938,   0.00961, -16.57730, 177.72800,   0.91161, 143.86200,  -0.70343,   0.09920,  81.08270,  15.46340, -23.96490, -47.07920,   0.59653,  -0.67375, -21.58270
   0.06667,   0.00000,   0.00000,  -0.00000,  91.65250,   4.65248,  -6.83219,  62.72390,  86.33080, -63.05690,  -1.25342,  -3.33614,  -0.70224, -14.19000,  -1.70059,  -1.33803,  -8.75139,  -1.71748,  -1.62374, -90.37520,   2.75275, -97.24210, -72.61380,  -2.16852,  -1.51502,  23.95050,  -8.44416,-108.29000,  31.54350,   5.08312,   5.48366,  90.26780,  -1.26240, -93.04060, -78.52390,  -8.42500,  37.74180,  11.66610,   7.79952, -56.69560,  40.73960,   5.56683,  -9.52496, 174.04700,   5.43302,  -3.37999,   0.06182,  -0.07967,  28.70770,  10.19480,   5.56174, -75.76360,   0.39411,  -0.53659, -23.30880,-178.35200,  -4.11725, 141.84900,  -0.50047,   0.17770,  69.52040,  14.39780, -25.35130, -51.32820,   0.57888,  -0.65201, -21.42700
   0.10000,   0.00000,   0.00000,  -0.00000,  87.90200,   4.99462,  -9.65317,  29.06020,  85.41880, -27.38240,  -3.20866,  -8.16578,   3.13152, -15.29050,  -0.00339,  -1.62136, -10.04540,   3.09424,  -1.88331, -90.13050,   1.29132, -99.24500, -76.17200,  -4.44181,  -0.62430,  24.63390, -10.30790,-111.31700,  32.23430,   5.18104,   3.19995,  90.72200,  -3.00509, -91.48820, -76.17610,  -9.46913,  38.84170,   9.04202,   4.64470, -63.05490,  39.73880,   5.56017,  -9.19912, 178.72600,   4.13155,  -0.05609,   0.00349,   0.01293,  19.22110,  10.16910,   6.28478, -58.85050,   0.62136,  -2.06288, -34.50530,-175.48200,  -7.45966, 142.28600,  -0.25721,   0.19936,  51.41080,  12.03840, -27.38730, -54.03220,   0.54620,  -0.61213, -21.14030
   0.13333,   0.00000,   0.00000,  -0.00000,  86.74120,   5.47438, -12.00850,  11.74850,  83.84010,  -9.07915,  -5.02524, -12.34630,   4.81556, -15.63810,   1.02746,  -1.55372, -11.11280,   7.35361,  -2.17176, -89.97600,  -0.35480,-101.08800, -78.76690,  -5.44132,   2.09167,  23.22180, -10.14180,-112.31400,  33.42300,   5.26518,   1.03030,  90.90620,  -3.18204, -89.09370, -73.29280,  -9.37481,  39.91550,   5.92774,   2.22689, -69.51380,  40.33850,   5.58577, -10.48550,-179.07000,  -1.46025,   2.36663,  -0.02654,   0.14152,  11.96410,  10.93580,  11.38100, -42.24230,   1.69991,  -3.02748, -42.05350,-175.18300,  -8.05064, 146.24200,  -0.08572,   0.14648,  29.59540,   9.11349, -26.42590, -56.94670,   0.53588,  -0.59962, -21.05010
   0.16667,   0.00000,   0.00000,  -0.00000,  88.13430,   5.38014, -13.13080,   3.22472,  82.45690,  -0.64171,  -6.69986, -15.35860,   4.29352, -15.20900,   1.72821,  -1.65240, -11.28730,  10.53340,  -2.24993, -89.92980,  -1.65720,-102.56800, -80.79270,  -5.45568,   6.30580,  23.39860,  -9.36179,-110.60200,  32.75770,   5.29114,   0.31184,  90.78200,  -2.40180, -86.95210, -70.37780,  -8.09419,  41.21680,   4.03404,   1.02673, -75.76470,  44.06040,   5.61960, -12.52090,-179.57900,  -6.78298,   3.53519,  -0.02140,   0.12317,  11.27820,   7.50534,  13.74450, -31.85950,   1.35894,  -2.10003, -34.86270,-176.89400,  -6.47069, 152.30600,  -0.01581,   0.08391,   9.57653,   4.41680, -21.23930, -58.55840,   0.51666,  -0.57641, -20.88250
   0.20000,   0.00000,   0.00000,  -0.00000,  89.12210,   3.80798, -13.28840,  -0.15158,  82.04000,   2.46095,  -7.65208, -16.18960,   3.56165, -14.80850,   2.08828,  -1.75820, -10.98390,  12.34130,  -2.32906, -89.93970,  -1.65510,-102.91200, -81.52060,  -4.50317,  10.76850,  24.03000,  -7.76631,-106.86100,  29.54370,   5.29746,   0.13938,  90.26010,  -0.72862, -85.33830, -67.55530,  -7.02119,  41.80380,   2.54466,   0.43339, -80.36960,  50.43860,   5.65275, -15.05820, 179.65800,  -9.36203,   3.40397,  -0.00276,   0.01626,  16.46440,   4.25513,   9.78203, -27.73810,   0.53929,  -0.66787, -22.83390,-177.87200,  -5.51839, 153.30300,   0.00359,  -0.01325,   5.13309,  -1.55854, -16.27310, -61.22450,   0.50448,  -0.56176, -20.77660
   0.23333,   0.00000,   0.00000,  -0.00000,  89.04680,   0.40988, -12.36850,   0.23316,  82.69000,   1.89230,  -7.57280, -14.86770,   3.28804, -14.29840,   2.75400,  -2.01753, -10.59580,  12.65140,  -2.28910, -89.94610,  -1.18253,-102.39000, -82.47200,  -3.83987,  15.31330,  25.20980,  -5.41122,-101.32900,  26.83250,   5.29165,   0.30850,  89.75610,   0.67621, -85.15910, -65.85920,  -7.28949,  41.44300,   0.75284,   0.09401, -82.94360,  57.69290,   5.66683, -16.82440, 178.93300,  -9.90813,   3.33857,   0.01642,  -0.01122,  23.80200,   2.48195,   3.51839, -25.22960,   0.46553,  -0.56727, -21.92550,-177.03500,  -5.17341, 154.71400,   0.00324,  -0.01016,   6.45270,  -3.15922, -12.10410, -60.49020,   0.51936,  -0.57967, -20.90600
   0.26667,   0.00000,   0.00000,  -0.00000,  86.83050,  -4.10287, -10.92840,   6.62778,  83.94250,  -4.01223,  -6.15895, -12.33190,   4.58761, -14.15800,   3.84285,  -1.93863, -10.41500,  12.49550,  -2.59407, -89.95820,  -0.54279,-100.57000, -83.47900,  -3.72794,  19.39130,  25.26980,  -2.20389, -94.65590,  23.40840,   5.23243,   1.93350,  89.37570,   1.86116, -86.44860, -64.80180,  -8.14056,  39.33580,  -1.04016,  -0.11321, -83.76510,  63.39070,   5.66713, -16.97730,-179.46900, -11.83940,   3.13963,   0.01925,  -0.00535,  32.78050,   1.18458,   2.70426, -25.57360,   0.48081,  -0.58784, -22.11210,-172.88600,  -5.27946, 152.39900,   0.01293,  -0.01542,  19.27250,   2.83566,  -8.18810, -56.38800,   0.50743,  -0.56531, -20.80230
   0.30000,   0.00000,   0.00000,  -0.00000,  83.07220,  -7.76117,  -8.97825,  22.92230,  85.17180, -19.27200,  -3.72256,  -9.25393,   7.01447, -13.68480,   4.86337,  -1.88251, -11.18060,  11.63650,  -3.39268, -90.08630,   0.71302, -98.12810, -83.37780,  -4.43671,  22.49500,  24.98530,   1.56357, -86.64950,  17.72930,   5.16498,   3.57996,  88.94430,   3.48688, -88.13520, -63.29250,  -8.83097,  36.21870,  -3.06981,  -0.34490, -83.59030,  67.22190,   5.66260, -16.41630,-174.77600, -13.82840,   1.83229,   0.06552,  -0.04982,  44.69220,  -2.39599,   1.85637, -26.26870,   0.48687,  -0.59602, -22.18640,-166.96500,  -3.26181, 151.70400,   0.06924,  -0.07216,  34.60640,   6.47266,  -4.17561, -64.28200,   0.17565,  -0.18633, -17.99940
