time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  95.61530,  -2.58027,  -2.50890, 128.97200,  88.67910,-130.40300,  -5.68927,   1.82722,  -2.77470, -13.65340,   1.50493,  -2.85453,  -2.88250,  -1.34830, -10.36370, -90.75830,   5.58030, -97.24980, -60.86800,  29.24320,   9.88148,  24.19240,   4.39423, -80.32180,  16.31430,   5.50103,  -6.56011,  89.51880,   3.46587, -97.08890, -71.12510,  17.69210,  25.76390,  10.01970,   6.12232, -58.88250,  44.19350,   5.65823, -26.36870, 167.64500,  -3.90140, -17.32070,   0.31970,  -0.26450,  46.50150,  10.06590,   2.61039, -82.71210,   0.04917,  -0.05504, -17.11540, 173.34900,  -3.29108, 151.71600,  -0.51433,   0.09291,  78.76880,  10.02180, -17.10330, -44.91860,   0.60756,  -0.68739, -21.68030
   0.03333,   0.00000,   0.00000,  -0.00000,  94.00290,  -1.07994,  -3.31856,  73.03870,  89.49250, -73.85130,  -6.79598,  -0.19240,  -1.63917, -13.54840,   1.77916,  -2.94457,  -0.94851,   0.58144, -10.27180, -90.43700,   4.80557, -99.80160, -59.00180,  29.02930,   0.03042,  20.39700,   2.46386, -83.41240,  16.71790,   5.46611,  -5.24141,  89.61660,   2.32584, -95.62730, -72.29120,  20.63720,  34.11330,  11.21440,   7.10767, -58.03540,  43.46520,   5.65348, -26.88270, 171.14500,  -7.81621,  -9.66772,   0.18285,  -0.20267,  37.91750,  11.34370,   8.52268, -83.15560,   0.16898,  -0.19362, -18.45020, 176.02100,  -4.35101, 148.64400,  -0.44149,   0.13301,  72.38380,   9.62223, -19.84820, -50.60580,   0.55357,  -0.62109, -21.20480
   0.06667,   0.00000,   0.00000,  -0.00000,  91.79640,   1.64386,  -5.27789, -14.41420,  88.08870,  14.58000,  -8.72308,  -3.71405,   0.04904, -13.74940,   2.55519,  -3.20731,   0.69677,   3.07804, -10.26660, -90.21010,   3.39167,-101.45800, -56.85690,  27.84620,  -8.06471,  17.88660,   0.70168, -87.83050,  18.11990,   5.38918,  -2.60012,  89.90180,   0.51562, -94.19420, -73.58090,  25.92370,  41.14350,  13.91450,   8.51859, -59.03130,  42.77880,   5.65569, -26.66240, 175.31100,  -9.16932,  -4.12900,   0.15997,  -0.26438,  28.91030,  11.42720,  13.61740, -75.53790,   0.53466,  -0.70198, -23.39980, 179.29000,  -4.29073, 147.41200,  -0.30823,   0.17431,  59.80540,   9.25326, -23.24300, -53.20670,   0.60740,  -0.68720, -21.67900
   0.10000,   0.00000,   0.00000,  -0.00000,  90.22810,   4.67780,  -7.23380, -21.45600,  85.94570,  22.28810, -10.73350,  -7.64257,   0.95318, -13.82830,   3.42289,  -3.34475,   2.11665,   5.51386,  -9.48339, -90.03490,   0.83919,-102.64400, -55.56030,  25.31780, -13.13050,  16.82960,  -0.79190, -92.61820,  18.50160,   5.33726,  -0.99732,  90.31940,  -1.67971, -94.22700, -76.01510,  29.53960,  46.68080,  13.79070,   8.59290, -58.67340,  41.38040,   5.66098, -26.07480, 178.71100,  -8.25650,  -1.23988,   0.01329,  -0.01200,  21.95930,   6.49086,  17.28670, -59.01580,   3.28132,  -0.23102, -38.30060,-178.54600,  -3.42067, 149.49700,  -0.14707,   0.15854,  42.03900,   6.90822, -24.79270, -55.08620,   0.52258,  -0.58353, -20.93400
   0.13333,   0.00000,   0.00000,  -0.00000,  90.71250,   6.72716,  -8.01227, -21.91560,  84.61680,  22.49440, -11.84450, -10.02540,   0.12238, -13.66590,   3.90932,  -3.60167,   2.21869,   6.94922,  -8.01786, -89.93760,  -3.00746,-103.80200, -57.05460,  21.74310, -15.10780,  16.32910,  -1.92131, -96.52930,  19.07920,   5.34444,  -1.20692,  90.69120,  -3.95404, -95.07180, -78.83310,  29.54100,  50.52330,  13.05010,   8.50764, -57.45400,  40.68180,   5.66231, -25.89730, 179.02800,  -6.66948,   1.31362,  -0.00126,   0.02072,  17.61940,   5.34791,  17.47830, -43.20920,   2.32582,  -3.09531, -45.36750,-178.89100,  -3.08031, 154.53000,  -0.04777,   0.10461,  23.77440,   5.81896, -20.38770, -54.88380,   0.49815,  -0.55419, -20.72170
   0.16667,   0.00000,   0.00000,  -0.00000,  92.17420,   7.23374,  -7.84594, -22.33070,  84.36310,  22.20440, -12.18370, -10.33840,  -1.36078, -13.32460,   4.15028,  -3.96494,   1.31175,   7.33820,  -7.04524, -89.96000,  -5.71982,-104.59800, -58.81980,  19.10880, -14.54180,  15.65230,  -2.81658, -99.94940,  22.44190,   5.35737,  -1.59597,  90.99300,  -5.95919, -95.52170, -81.31440,  28.24890,  53.02620,  11.42180,   7.52321, -57.05800,  39.96840,   5.66444, -25.64600, 177.96500,  -5.27385,   3.09944,  -0.01152,   0.05565,  17.56530,   4.85092,  16.25120, -31.75680,   1.86847,  -3.69982, -47.09670, 179.57200,  -4.02021, 159.30400,  -0.01062,   0.04850,  11.40640,   2.64573, -16.72220, -57.46110,   0.49587,  -0.55147, -20.70190
   0.20000,   0.00000,   0.00000,  -0.00000,  92.70750,   6.33886,  -7.16877, -22.68920,  84.90120,  22.13740, -11.83980,  -9.25655,  -2.07206, -13.61890,   4.24155,  -4.02362,   0.34927,   7.15503,  -7.08676, -89.91960,  -5.84195,-104.20900, -59.12230,  17.71270, -11.99010,  14.91980,  -3.52708,-103.00100,  24.72180,   5.37609,  -2.17295,  91.05050,  -6.15994, -95.30260, -82.03470,  27.34530,  54.44960,   9.73810,   6.19350, -57.85010,  40.07230,   5.66750, -25.22630, 177.70500,  -4.66712,   3.18796,  -0.02680,   0.08388,  22.50490,   3.54110,  13.35200, -25.78580,   1.65318,  -2.87625, -40.90240, 179.39700,  -5.85170, 161.12400,  -0.00030,   0.01984,   8.42860,   0.83289, -17.30280, -60.04350,   0.49191,  -0.54673, -20.66760
   0.23333,   0.00000,   0.00000,  -0.00000,  91.83490,   4.87435,  -5.92361, -19.20520,  85.85180,  18.82310, -10.57990,  -7.73567,  -1.48515, -14.65590,   4.50928,  -4.09721,  -0.63197,   6.69546,  -7.69545, -89.86290,  -4.21377,-103.12900, -59.88080,  16.24000,  -7.40302,  15.61000,  -4.30065,-105.02400,  23.99020,   5.37514,  -2.14039,  90.88160,  -5.24520, -95.44520, -81.58390,  26.49020,  53.88920,   7.59826,   4.78708, -57.97410,  42.64470,   5.66521, -25.56230, 179.08800,  -4.75727,   1.70905,  -0.04474,   0.08671,  30.94150,   0.40406,   9.51189, -20.83860,   1.27994,  -1.92644, -33.47570,-178.00100,  -6.33553, 159.88100,   0.03585,  -0.11964,  14.66440,   5.05592, -18.78990, -60.10460,   0.49556,  -0.55110, -20.69930
   0.26667,   0.00000,   0.00000,  -0.00000,  89.55530,   3.68191,  -4.46397,  -6.93726,  86.87260,   7.30523,  -8.53122,  -6.24201,   0.27227, -16.32270,   4.85383,  -4.13140,  -1.89799,   5.93966,  -8.43573, -89.87200,  -2.21743,-101.68800, -61.58500,  14.62340,  -2.10649,  16.12490,  -4.64385,-105.64400,  22.16400,   5.32338,  -0.58209,  90.66860,  -4.11549, -95.76620, -80.67340,  26.15290,  50.96910,   4.80910,   3.02939, -57.87660,  45.53710,   5.66067, -26.10790,-177.56600,  -5.26783,  -1.73100,  -0.02280,   0.03015,  42.56760,  -2.63331,   5.29917, -17.22100,   0.55056,  -0.68356, -22.97460,-174.18000,  -4.94898, 157.04800,   0.03629,  -0.04126,  27.09390,   3.96504, -18.15250, -58.69820,   0.30111,  -0.32526, -19.04120
   0.30000,   0.00000,   0.00000,  -0.00000,  87.39810,   3.35724,  -3.57740,  13.57060,  87.68340, -12.49080,  -6.64654,  -4.63120,   1.89474, -16.78380,   4.56539,  -4.15607,  -4.76156,   4.91389,  -8.92916, -89.98850,  -0.14848,-100.41800, -63.68660,  13.18960,   2.71697,  16.89230,  -4.34908,-104.02200,  21.06060,   5.26555,   1.02399,  90.36190,  -2.34611, -96.23200, -79.05770,  26.18120,  46.64480,   2.59647,   1.61099, -58.25380,  47.42870,   5.66163, -25.99000,-174.92000,  -3.91912,  -8.13005,  -0.01125,   0.00811,  58.09920,  -2.12904,  -2.63412, -23.56500,   0.53989,  -0.66870, -22.84140,-170.28800,  -2.34967, 154.90800,  -0.06232,   0.10326,  40.40340,   3.03119, -16.04070, -69.53600,   0.05779,  -0.06028, -17.03880
