time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.72950,   2.70735,  -5.50829,  89.00970,  76.42300, -84.44450,  19.40050,   0.00267,   9.15530,   4.61594,  -4.74540,   2.62438,   0.03654,  -4.05261,   6.92319, -89.44290,  -2.23930, -91.02480, -69.16650,  12.83310, -13.49820,  -6.17676,  -1.40985, -77.15820,  25.61200,   5.57020,  -9.70095,  88.79680,   5.09613, -91.69800, -55.26890,  11.03410,  -3.58107,  23.40760,   1.22987, -87.16290,  14.15610,   5.40359,  -3.05661,-170.76000,   3.39736, -17.27090,   0.15718,  -0.01744,  82.51350,  -6.10808,   7.23334, -53.57280,   0.17486,  -0.29814, -21.77230,-175.02700,  11.93240, 152.54800,   0.08226,  -0.02791,  63.96610,   1.62771,  -5.48773, -88.16660,  -0.94271,  -1.27018, -18.55240
   0.03333,   0.00000,   0.00000,  -0.00000,  88.25560,   1.99035,  -6.49053,  91.61920,  76.67120, -87.51990,  18.85550,   1.13361,   8.03076,   3.64615,  -4.98582,   3.16229,  -0.85598,  -4.68671,   7.22712, -89.66340,  -1.37445, -91.23790, -71.90530,  13.39610,  -6.67999,  -0.86806,  -0.31070, -70.11430,  24.10190,   5.56915,  -9.66358,  89.05460,   4.13577, -92.11190, -56.96620,   9.55566,  -8.34059,  17.38940,   0.42755, -88.64040,  16.68620,   5.38501,  -2.46137,-171.99500,   3.67832, -23.80900,   0.11896,  -0.01096,  84.63410,  -4.60657,   7.55835, -56.05600,   0.16444,  -0.27853, -21.43870,-176.21400,  12.06150, 156.01800,   0.06865,  -0.02771,  60.27270,   1.56140,  -4.24646, -86.69710,  -0.00709,  -0.50408, -19.31330
   0.06667,   0.00000,   0.00000,  -0.00000,  88.90060,   0.30763,  -7.74041,  94.29660,  76.70470, -91.03800,  18.70240,   2.26256,   6.16066,   2.29129,  -5.13319,   3.50987,  -2.25031,  -5.30774,   7.12464, -89.95620,  -0.17524, -90.94020, -72.33590,  14.24810,   1.28682,   2.23781,   0.87328, -68.69260,  20.99110,   5.58062, -10.24710,  89.37200,   2.88976, -92.73730, -59.57390,   8.74767, -13.12910,  11.64180,   0.00781, -89.96670,  17.83730,   5.37926,  -2.27574,-173.46500,   2.77683, -29.19190,   0.10564,  -0.01630,  82.34060,  -3.69429,   7.25542, -58.89850,   0.16272,  -0.27531, -21.38390,-177.75200,  11.00100, 160.14800,   0.05640,  -0.02742,  53.97120,   1.40684,  -3.06663, -82.49550,   0.44283,  -0.53899, -21.70410
   0.10000,   0.00000,   0.00000,  -0.00000,  89.34470,  -1.63574,  -9.61467,  97.09420,  76.87670, -94.76660,  18.23590,   3.39204,   4.12138,   1.30809,  -5.12807,   3.48840,  -4.01347,  -6.43131,   6.92820, -90.08630,   0.31862, -89.85770, -72.82610,  16.44150,   8.33022,   1.09412,   0.42037, -68.99190,  19.54330,   5.58569, -10.52160,  89.72640,   1.35199, -93.56720, -62.52770,   8.22833, -16.71930,  11.74810,  -0.33295, -91.59990,  17.63530,   5.37719,  -2.21034,-174.65200,   1.59629, -33.80700,   0.10190,  -0.02994,  76.12060,  -3.08975,   6.77758, -61.25170,   0.15602,  -0.26287, -21.17150,-179.16100,   9.73968, 164.10400,   0.04878,  -0.03109,  45.75230,   0.79488,  -1.72683, -75.51670,   0.71053,  -0.91941, -25.12250
   0.13333,   0.00000,   0.00000,  -0.00000,  89.80460,  -3.44648, -11.69740,  99.68010,  77.28970, -98.32520,  17.27680,   4.31354,   2.05961,   0.85004,  -4.97092,   3.09271,  -5.62375,  -7.56599,   6.26590, -89.96260,  -0.12726, -88.67230, -74.51350,  18.57680,  14.68130,  -0.62235,  -0.23043, -69.66640,  18.65970,   5.58691, -10.58760,  89.99910,   0.00426, -94.32770, -64.54300,   8.75157, -19.04240,  12.54130,  -0.67605, -93.03730,  17.70750,   5.37166,  -2.03888,-175.82500,   0.47599, -37.00080,   0.08790,  -0.04613,  66.52420,  -2.38441,   5.52741, -63.06450,   0.15879,  -0.26801, -21.25930, 179.26600,  10.45560, 167.69200,   0.05139,  -0.04999,  37.00950,   1.37321,   0.71247, -65.90940,   1.09502,  -1.56806, -30.66200
   0.16667,   0.00000,   0.00000,  -0.00000,  90.37090,  -5.18608, -14.04630, 102.10400,  77.88990,-101.77000,  15.94470,   5.02816,  -0.03413,   0.39932,  -4.76281,   2.62385,  -7.00213,  -8.32448,   4.87078, -89.63050,  -1.20561, -87.96210, -76.87350,  19.97680,  20.52260,  -2.13464,  -0.73423, -71.02300,  17.19980,   5.58202, -10.32100,  90.23870,  -1.32873, -94.81260, -65.48570,  10.20360, -21.04380,  11.56210,  -0.78578, -93.83670,  18.21090,   5.36892,  -1.95339,-177.12900,  -0.75096, -39.21820,   0.07033,  -0.06307,  54.36150,  -2.47146,   3.65208, -62.65280,   0.15684,  -0.26437, -21.19720, 177.54700,  12.55310, 170.50500,   0.05685,  -0.08431,  28.89310,   1.87675,   4.51551, -55.87040,   1.40530,  -2.22681, -36.00880
   0.20000,   0.00000,   0.00000,  -0.00000,  90.53310,  -6.56118, -16.16040, 103.87800,  78.46770,-104.42200,  14.69910,   5.42980,  -1.79005,  -0.23593,  -4.42673,   2.03792,  -8.20200,  -8.66575,   3.32579, -89.18440,  -2.61193, -87.65230, -79.45870,  20.67130,  25.86410,  -3.02731,  -0.93859, -72.78980,  16.23610,   5.57838, -10.12580,  90.49290,  -2.84532, -95.16540, -65.52220,  12.19370, -23.37750,   9.94965,  -0.67963, -93.86930,  18.37820,   5.37319,  -2.08539,-177.94300,  -1.97929, -40.47420,   0.05094,  -0.07444,  41.82720,  -2.40594,   2.46385, -60.74190,   0.15686,  -0.26444, -21.19830, 176.32100,  15.24220, 172.80700,   0.06208,  -0.12901,  22.71160,   1.78655,   8.27580, -47.47910,   1.54496,  -2.58813, -38.85210
   0.23333,   0.00000,   0.00000,  -0.00000,  90.11660,  -7.76260, -17.07670, 104.85200,  78.71580,-106.11700,  14.16250,   5.64665,  -3.23510,  -0.93604,  -4.05500,   1.30058,  -9.07338,  -8.61539,   2.22251, -88.64400,  -4.33925, -87.62710, -81.84620,  20.27980,  30.40780,  -3.50076,  -0.96369, -74.62980,  14.57950,   5.56914,  -9.64273,  90.71010,  -4.35180, -95.72150, -64.74740,  14.32880, -26.04480,   8.78475,  -0.51058, -93.30160,  18.56140,   5.37209,  -2.05163,-178.30400,  -3.72609, -40.94080,   0.03516,  -0.07494,  33.34350,  -2.77473,   2.98473, -61.52140,   0.15840,  -0.26727, -21.24690, 175.17100,  17.36030, 175.23200,   0.07680,  -0.18415,  20.17180,   0.73119,  11.06940, -42.23790,   1.58759,  -2.71033, -39.80190
   0.26667,   0.00000,   0.00000,  -0.00000,  89.24560,  -9.00299, -16.31890, 105.79500,  78.40590,-107.54600,  14.70470,   6.12709,  -4.29783,  -1.33012,  -3.67037,   0.30628, -10.07350,  -8.60793,   1.28866, -88.19980,  -6.04524, -88.38100, -83.73390,  19.00520,  33.77190,  -2.69737,  -0.68168, -75.83150,  12.74400,   5.56259,  -9.31366,  90.90470,  -5.88614, -96.24520, -63.38330,  16.12630, -28.57740,   8.40857,  -0.37596, -92.54350,  18.57460,   5.36710,  -1.89732,-178.84600,  -6.71750, -41.24980,   0.02936,  -0.06799,  31.66790,  -2.82184,   3.67169, -62.98090,   0.16285,  -0.27556, -21.38810, 173.54800,  17.54120, 178.65900,   0.09850,  -0.22844,  20.74690,  -0.52636,  12.49850, -39.92220,   1.62241,  -2.81524, -40.61310
   0.30000,   0.00000,   0.00000,  -0.00000,  88.50150, -10.17580, -14.88670, 106.06900,  78.06010,-108.12000,  15.36900,   6.38451,  -4.97130,  -1.15301,  -3.16897,  -0.78088, -10.96320,  -8.35094,  -0.12339, -88.11400,  -6.74245, -89.33320, -84.43140,  17.99920,  36.20940,  -0.99482,  -0.23814, -76.54340,  11.88100,   5.55582,  -8.98327,  91.01050,  -6.99445, -96.75760, -61.61260,  18.15440, -30.42090,   7.06367,  -0.19623, -91.58180,  19.06330,   5.35794,  -1.61681, 179.93900, -10.15310, -42.12150,   0.03287,  -0.06303,  35.56350,  -2.31542,   1.70072, -61.64670,   0.16683,  -0.28298, -21.51460, 171.31100,  16.07030,-177.71100,   0.12359,  -0.24338,  23.74800,  -2.35140,  12.59270, -40.24390,   1.63406,  -2.85149, -40.89270
