time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.48680,  22.58610,   2.58679, 109.90900,  80.63400,-108.76500,   9.82801,   6.36023,   1.74158,  -4.50572,  -6.92355,  -1.23628,  -2.57039, -17.18860,   4.26043, -90.06870,   0.34410, -93.71400, -70.26090,  -2.38596,  12.68360,   4.51206,  11.71060, -21.24590,   8.33077,   5.12455,   4.54498,  89.98410,   1.43400,-104.36300, -54.92780, -18.09190,  12.23780,   5.54874,  13.38880, -22.76370,  16.56500,   5.24211,   1.64046, 174.44900, -10.07480, -15.99480,   0.10121,  -0.16823,  25.82070,  10.92160,  23.00700, -59.99070,   0.11166,  -0.12650, -17.80720,-178.46000,  20.02720, 159.54500,   0.01827,  -0.00518,  53.65240,   1.47105, -16.54020, -60.83980,   0.23004,  -0.24592, -18.44850
   0.03333,   0.00000,   0.00000,  -0.00000,  89.93300,  21.40960,   1.82213, 112.32200,  80.91770,-111.62000,   9.04356,   6.87059,   0.86187,  -4.43486,  -6.41077,  -0.80951,  -1.74331, -16.79510,   4.65450, -90.01120,   0.04917, -92.04640, -68.50600,  -5.22858,  17.50130,   4.09258,  11.83100, -19.23850,   8.16847,   5.10444,   5.01193,  89.99790,   0.46552,-104.74400, -53.05810, -20.91940,  11.50150,   6.75992,  11.70610, -30.30800,  16.74850,   5.26969,   0.90997, 173.34300,  -9.79593, -17.49430,   0.07911,  -0.13093,  24.75810,  10.49040,  21.76750, -57.84870,   0.12667,  -0.14393, -17.97470,-177.87000,  19.61960, 162.14100,   0.01759,   0.00092,  55.80070,  -1.34060, -17.29580, -66.06910,   0.18277,  -0.19406, -18.05790
   0.06667,   0.00000,   0.00000,  -0.00000,  90.38620,  19.01610,   1.05115, 116.85000,  81.02530,-116.62000,   8.29375,   8.07122,  -0.12655,  -4.36903,  -5.89012,  -0.50790,  -1.06802, -16.72250,   5.01395, -89.98670,  -0.05132, -90.44760, -66.02030,  -9.15671,  21.56360,   3.74852,  12.18750, -17.24140,   8.07732,   5.10896,   4.90788,  90.00010,  -0.52917,-104.98000, -51.82820, -20.82570,  10.86440,   7.69759,   9.55479, -39.15870,  17.74660,   5.30307,  -0.00989, 172.34100,  -9.98823, -19.25660,   0.05994,  -0.09708,  23.70460,   9.91952,  19.91130, -55.52550,   0.12315,  -0.13985, -17.93550,-177.45200,  18.60910, 164.86000,  -0.00780,   0.02089,  56.08660,  -1.78469, -18.28440, -67.69480,   0.21906,  -0.23382, -18.35760
   0.10000,   0.00000,   0.00000,  -0.00000,  90.99670,  15.12500,   0.34263, 122.06100,  80.92310,-122.39200,   7.72875,   9.59812,  -1.31264,  -4.37666,  -5.10776,  -0.22223,  -0.66460, -16.37830,   5.17452, -90.03390,   0.11645, -88.81710, -63.23510, -13.19550,  25.44060,   3.28130,  11.86520, -15.57980,   8.71076,   5.12673,   4.49464,  89.99470,  -1.10491,-105.27600, -50.51510, -20.57950,   9.77972,  11.02860,   9.60879, -49.40330,  18.75960,   5.31565,  -0.37080, 171.24000, -10.88940, -21.39260,   0.04430,  -0.06743,  22.96100,   9.40225,  17.42490, -53.22650,   0.11644,  -0.13206, -17.86050,-177.84300,  16.92690, 167.79100,  -0.04088,   0.05044,  54.11300,   0.37849, -19.07200, -65.72730,   0.26669,  -0.28663, -18.75320
   0.13333,   0.00000,   0.00000,  -0.00000,  91.47640,   9.63462,  -0.30875, 126.55100,  80.73100,-127.42700,   7.31356,  11.00380,  -2.45925,  -4.43772,  -3.88253,  -0.02143,  -0.78556, -15.49740,   4.98955, -90.28460,   0.88684, -87.22230, -60.74520, -16.56300,  29.75530,   2.70888,  10.47970, -14.58000,   9.83557,   5.13127,   4.38948,  89.98960,  -1.20504,-105.49600, -49.69960, -20.28320,   6.92602,  15.41260,   9.05291, -60.27180,  19.52220,   5.27868,   0.65961, 170.25100, -12.92250, -24.07010,   0.03114,  -0.04226,  22.35630,   8.97447,  14.53890, -50.84780,   0.10765,  -0.12186, -17.76230,-178.97500,  13.95180, 171.02200,  -0.06131,   0.07460,  47.96550,   4.72099, -18.87780, -57.33550,   0.79466,  -0.92619, -23.36690
   0.16667,   0.00000,   0.00000,  -0.00000,  92.19660,   2.67684,  -1.62531, 130.14300,  80.86640,-131.71000,   6.46715,  11.76030,  -3.80741,  -4.50278,  -2.10360,   0.27651,  -1.21567, -13.42260,   4.01362, -90.56820,   1.65269, -86.02990, -59.92970, -19.31070,  34.64160,   2.31296,   9.47670, -13.78320,  11.61490,   5.15889,   3.73658,  89.99150,  -1.06240,-105.45800, -50.92080, -19.88090,   1.25064,  19.19260,   7.18238, -70.23670,  19.50730,   5.26497,   1.03319, 168.94400, -15.49330, -27.71960,   0.00909,  -0.00254,  21.18490,   8.45812,  11.05820, -47.87540,   0.08559,  -0.09648, -17.51730, 178.88900,   9.69074, 174.46800,   0.00427,   0.02395,  38.29490,  -0.06659, -13.50760, -65.46050,  -1.61836,  -4.29243, -34.03420
   0.20000,   0.00000,   0.00000,  -0.00000,  91.28580,  -4.80768,  -1.68235, 129.71400,  80.90180,-131.43400,   6.51211,  11.61140,  -4.10894,  -4.84979,   0.10485,   0.45615,  -2.07799,  -9.94857,   2.66993, -90.90900,   2.64850, -86.04810, -61.49070, -21.85110,  38.82090,   2.01950,   8.94994, -12.76930,  12.84830,   5.20669,   2.55189,  89.99960,  -0.07272,-105.32600, -54.46320, -18.76830,  -7.10998,  19.87240,   4.32856, -78.21340,  19.84960,   5.30569,  -0.07423, 170.20200, -18.75520, -30.24000,  -0.01135,   0.04190,  19.93440,   7.59860,   7.38987, -44.66690,   0.06383,  -0.07165, -17.27680, 179.41500,   3.32738, 177.23400,   0.06933,  -0.08335,  31.24660,  -1.69504,  -9.53999, -77.35450,  -0.17933,  -0.86781, -19.62800
   0.23333,   0.00000,   0.00000,  -0.00000,  88.62100, -12.63950,  -1.20298, 126.34000,  80.83890,-127.56700,   7.20851,  10.82540,  -3.14078,  -5.40774,   2.60197,   0.31867,  -2.91576,  -5.87042,   0.81072, -91.17050,   3.59826, -86.96530, -66.12930, -23.75600,  39.95080,   1.36164,   7.76143,  -9.97604,  12.87260,   5.28576,   0.46071,  90.01080,   1.26637,-105.48800, -58.40470, -13.75870, -15.21600,  16.63740,   1.96087, -83.47710,  24.56370,   5.40693,  -3.07739, 174.82900, -21.76570, -30.10230,  -0.02792,   0.08800,  16.63380,   6.10925,   2.95186, -40.27310,   0.05547,  -0.06215, -17.18450,-177.19300,  -5.03414, 174.83800,  -0.18563,   0.34768,  32.35100,  -2.78096, -10.54080, -78.68890,   0.01277,  -0.01324, -16.67630
   0.26667,   0.00000,   0.00000,  -0.00000,  85.53980, -20.72670,  -1.53764, 122.48300,  80.77530,-123.06400,   7.93594,   9.86621,  -1.84764,  -6.22981,   5.27747,   0.13533,  -3.34538,  -1.67027,  -1.94617, -91.36030,   4.39190, -87.77090, -72.49480, -24.10220,  36.72720,   0.68446,   6.77857,  -5.77701,  11.97590,   5.35236,  -1.45388,  90.03160,   2.41354,-105.74800, -60.26540,  -5.61000, -19.85050,  14.92620,   0.82555, -86.90690,  27.37490,   5.51024,  -6.96830,-179.36200, -24.38600, -26.88570,  -0.01642,   0.06573,   9.94191,   4.78293,  -2.20529, -36.65570,   0.17913,  -0.20568, -18.56510,-173.97400,  -9.99521, 172.03400,  -0.15140,   0.28303,  33.55970,  -0.89130,  -8.33953, -75.76430,   0.03366,  -0.03499, -16.84430
   0.30000,   0.00000,   0.00000,  -0.00000,  84.42760, -27.91560,  -2.58220, 119.22100,  81.32040,-119.73900,   7.48428,   8.44368,  -1.59054,  -6.09410,   7.73361,  -0.37831,  -2.96781,   2.16381,  -4.14738, -91.27970,   4.29301, -88.38580, -77.82420, -22.59690,  32.22450,   0.31879,   7.06391,  -2.58918,  11.28550,   5.36926,  -1.96429,  90.02730,   2.35358,-105.66100, -62.52380,   2.92586, -19.47570,  16.76680,   0.74133, -87.54320,  26.70730,   5.58010, -10.20780,-176.10000, -25.97450, -24.85540,   0.00406,  -0.05581,   6.69505,   3.23240,  -7.47294, -42.03020,   0.25382,  -0.29582, -19.41800,-173.77900,  -9.61434, 169.27600,  -0.07100,   0.15404,  33.17260,   1.73460,  -1.44036, -72.58200,   0.03340,  -0.03472, -16.84210
