time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.04070,  -4.89258,   4.00262,  89.70940,  78.52280, -90.13160,  15.18770,  -0.14216,  -0.82608,  11.92750,  -1.62606,   2.14536, -10.85880,   0.43773,   0.17316, -90.35660,   1.03374, -85.97080, -67.57380,   7.07744,  -2.14244,  28.11760,   1.16897, -87.81410,   5.12720,   5.07526,   5.68351,  88.37560,   7.31035, -92.43560, -60.25440,   9.75756,   0.10179,  26.39240,   0.14195, -89.71450,  12.03650,   5.35582,  -1.55211,-173.03900,  -5.20300, -23.00070,   0.24216,  -0.18611,  51.48820,  -9.39999,   6.75771, -61.74390,   0.10003,  -0.16289, -19.45000,-178.96600,  13.33910, 156.06800,   0.39874,  -0.55715,  33.98140,   2.91300,   2.74453, -60.26090,   0.15342,  -0.17579, -18.28960
   0.03333,   0.00000,   0.00000,  -0.00000,  89.24200,  -5.94977,   4.08346,  87.70980,  78.73380, -88.04340,  14.74700,  -0.90925,  -0.54984,  12.30660,  -0.79208,   1.91577, -10.59540,   2.14369,  -0.01921, -90.13000,   0.39030, -86.59690, -66.44890,   7.41809,  -4.31456,  26.00920,   0.63424, -88.70100,   7.11742,   5.12686,   4.49687,  88.39460,   7.19783, -92.39120, -60.36020,  11.11230,   1.86458,  26.96730,   0.08604, -89.83150,  11.10300,   5.34446,  -1.21087,-172.15100,  -5.60656, -19.71390,   0.27987,  -0.18947,  54.58020,  -9.56572,   8.86269, -62.81440,   0.10438,  -0.17041, -19.58040,-177.80200,  12.77380, 155.32000,   0.36341,  -0.52175,  33.07070,   3.10642,   2.71311, -60.23510,   0.17913,  -0.20631, -18.58310
   0.06667,   0.00000,   0.00000,  -0.00000,  88.45710,  -6.80456,   4.24761,  85.53570,  78.71540, -85.78710,  14.73570,  -1.74968,  -0.27681,  12.83910,  -0.09678,   1.85775, -11.41950,   3.73050,  -0.05772, -89.92660,  -0.22854, -87.18170, -65.05610,   7.29653,  -6.86488,  24.56840,   0.13060, -89.71460,   8.61989,   5.15991,   3.70731,  88.38440,   7.14609, -92.22550, -60.12160,  12.14090,   3.02858,  27.34480,   0.00673, -89.98750,  10.39150,   5.34247,  -1.15200,-171.40300,  -5.65612, -16.24910,   0.30296,  -0.18727,  56.54540,  -9.73161,  10.83770, -63.59210,   0.10094,  -0.16445, -19.47710,-176.75500,  11.76200, 154.06100,   0.32595,  -0.46511,  32.89470,   3.18452,   2.33064, -59.75950,   0.17413,  -0.20035, -18.52600
   0.10000,   0.00000,   0.00000,  -0.00000,  87.85540,  -7.43605,   4.64752,  83.54710,  78.47570, -83.77700,  15.14230,  -2.57054,  -0.11853,  13.27770,   0.39264,   1.90928, -12.46320,   5.08972,   0.02053, -89.70430,  -0.95617, -87.80740, -63.77530,   6.62061,  -9.58860,  24.28690,  -0.33353, -90.73910,   9.10809,   5.17551,   3.32583,  88.35160,   7.13570, -91.95660, -59.79610,  12.69510,   3.88608,  27.56450,  -0.11967, -90.22980,   9.99677,   5.34232,  -1.14759,-171.23900,  -5.50917, -12.69140,   0.29096,  -0.16935,  57.35660,  -8.64242,  10.92980, -64.10580,   0.22904,  -0.40500, -23.57240,-175.96100,  11.13980, 152.49000,   0.28979,  -0.40430,  33.36570,   3.28586,   2.00095, -59.24010,   0.18289,  -0.21080, -18.62630
   0.13333,   0.00000,   0.00000,  -0.00000,  87.42990,  -7.65915,   4.51690,  81.51270,  78.35030, -81.78950,  15.28930,  -3.41025,  -0.09631,  13.55930,   0.64603,   1.98825, -13.13090,   6.05122,   0.42981, -89.50610,  -1.65432, -88.37530, -62.42650,   5.76385, -12.30600,  24.63080,  -0.74795, -91.63080,   8.89295,   5.16360,   3.61658,  88.28910,   7.26928, -91.71760, -59.65010,  12.54310,   4.90067,  28.06030,  -0.34458, -90.64680,   9.75039,   5.34478,  -1.22098,-172.05200,  -5.52118, -10.09050,   0.19697,  -0.11148,  55.80170,  -2.10911,   8.13317, -67.86650,   0.44470,  -0.95004, -32.38620,-175.33400,  10.71950, 150.08700,   0.23546,  -0.32037,  33.61160,   3.30643,   1.80515, -58.15390,   0.19348,  -0.22347, -18.74760
   0.16667,   0.00000,   0.00000,  -0.00000,  87.55920,  -7.56250,   4.41932,  79.79200,  78.09240, -80.33740,  15.68230,  -4.19813,  -0.51391,  13.91740,   0.70471,   2.06789, -14.40000,   6.48541,   1.29671, -89.38590,  -2.09300, -88.64160, -60.76820,   4.92174, -15.47720,  25.33130,  -1.01820, -92.14970,   8.40709,   5.14310,   4.10940,  88.12010,   7.79780, -91.40160, -59.50350,  11.73560,   5.80025,  28.64880,  -0.60417, -91.10610,   9.91360,   5.35179,  -1.43114,-173.04800,  -5.88605,  -8.71157,   0.11645,  -0.06611,  51.81420,   0.05400,   6.08781, -77.87890,   0.22902,  -0.40494, -23.57140,-175.33700,  10.29500, 147.88500,   0.18266,  -0.25416,  32.98210,   3.15402,   1.47373, -57.32790,   0.21033,  -0.24377, -18.94170
   0.20000,   0.00000,   0.00000,  -0.00000,  87.97410,  -6.93398,   4.23171,  78.88270,  77.70930, -79.81330,  16.35540,  -4.73630,  -1.18323,  13.96830,   0.33751,   2.29175, -15.82310,   6.38916,   2.34771, -89.37490,  -2.18620, -89.03740, -58.82770,   4.00256, -18.85480,  26.46400,  -1.12776, -92.26430,   7.76404,   5.11867,   4.68281,  87.80840,   8.73681, -90.85910, -59.78630,  10.07250,   6.77599,  29.65770,  -0.86721, -91.52290,  10.11990,   5.36783,  -1.91904,-174.55400,  -5.28869, -11.04830,   0.08812,  -0.04684,  51.45000,   1.53743,   3.70885, -81.26140,  -0.53122,  -0.86634, -20.46860,-175.81000,   9.91650, 146.49900,   0.13961,  -0.19902,  30.89420,   2.64030,   0.57795, -57.95930,   0.23950,  -0.27926, -19.27940
   0.23333,   0.00000,   0.00000,  -0.00000,  88.19620,  -6.15316,   4.35071,  79.24150,  77.20570, -80.49020,  17.36420,  -4.79861,  -1.76953,  14.17670,  -0.07680,   2.22626, -17.31430,   5.79077,   3.75913, -89.39390,  -2.13311, -89.13290, -56.85820,   3.71497, -22.33110,  27.63520,  -0.78160, -91.49290,   7.56192,   5.10368,   5.02907,  87.61180,   9.27364, -90.48990, -61.42330,   7.76138,   8.05649,  30.72900,  -0.99654, -91.67630,  10.65180,   5.37944,  -2.28024,-175.41500,  -3.63229, -14.42180,   0.08898,  -0.04675,  52.81650,   1.68103,   2.68684, -81.18970,  -0.67838,  -0.94799, -19.15220,-176.28100,   9.73550, 146.90400,   0.06541,  -0.09753,  26.95610,   2.02443,  -1.02653, -59.48000,   0.24956,  -0.29157, -19.39620
   0.26667,   0.00000,   0.00000,  -0.00000,  88.76420,  -6.31788,   5.26188,  80.85510,  76.72290, -82.53450,  18.42500,  -4.29467,  -2.67061,  14.60330,  -0.36404,   1.76499, -17.75370,   4.88956,   4.92444, -89.42670,  -1.94752, -88.59290, -55.54450,   4.23285, -24.66650,  29.40970,  -0.33838, -90.60060,   6.70455,   5.06639,   5.88148,  87.71790,   8.97933, -90.67700, -64.04530,   5.71066,   9.62537,  31.09950,  -0.94882, -91.57290,  11.08750,   5.38059,  -2.31683,-176.20000,  -4.23790, -16.24770,   0.09839,  -0.05358,  53.39550,   2.10949,   2.89683, -79.78710,  -0.58675,  -0.80745, -18.52400,-176.97000,   9.97448, 149.12100,  -0.03897,   0.12839,  22.07150,   1.27992,  -2.57144, -61.32570,   0.25294,  -0.29573, -19.43570
   0.30000,   0.00000,   0.00000,  -0.00000,  89.21070,  -7.18448,   6.15878,  82.62450,  76.42110, -84.61850,  19.13260,  -3.61118,  -3.39050,  14.84460,  -0.30456,   1.50195, -17.19950,   4.38049,   4.77156, -89.49070,  -1.64813, -87.82440, -55.52210,   4.73233, -24.70230,  31.48310,  -0.45860, -90.74860,   4.87575,   5.00437,   7.22982,  87.91440,   8.50194, -91.16270, -65.91910,   5.24305,  10.54430,  31.31160,  -0.91970, -91.51190,  11.17710,   5.37726,  -2.21329,-176.71300,  -5.55839, -17.07780,   0.10668,  -0.06209,  52.70330,   2.37475,   3.34909, -78.04020,  -0.51647,  -0.68716, -17.91730,-178.02200,  11.05050, 151.39300,  -0.07694,   0.25991,  18.25220,  -6.32738,  -3.62020, -59.85380,   0.24587,  -0.28705, -19.35330
