time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  94.95300,  -3.28504,  -4.45877, 165.80900,  89.34780,-164.82000,  -7.45612,   1.13032,   2.05590,  -6.38347,   3.87917,  -6.22379,   3.10650,   0.07914,  -5.03313, -90.78520,   4.12307, -94.20920, -62.25530, -24.10740,  26.10690,   0.00750,   0.08901,  -4.79422,  12.54550,   5.28724,   0.42781,  89.34810,   5.03878, -97.61830, -57.66560, -16.40390,   4.18494,   1.46385,   6.09366, -13.54420,  15.11230,   5.40969,  -3.25428, 164.69400, -10.28130, -12.68920,   0.16176,  -0.31782,  23.72090,  11.07170,   1.88639, -67.87330,  -0.05369,   0.04118, -16.57560, 172.70100,   1.51778, 159.61100,  -0.34936,   0.22866,  56.96450,   7.79037, -23.23060, -59.09390,   0.29516,  -0.31854, -18.99130
   0.03333,   0.00000,   0.00000,  -0.00000,  96.25270,  -3.08689,  -4.84980,-175.57800,  88.92340, 175.99500,  -7.94265,   2.08386,   0.98165,  -6.77414,   4.28071,  -6.93080,   3.63596,  -0.66465,  -5.01049, -90.92700,   4.46145, -93.24930, -59.00980, -24.30360,  27.71640,   0.06346,   0.66352,  -5.43580,  12.32800,   5.27278,   0.82321,  89.41550,   4.89314, -98.17890, -58.69600, -16.60540,   3.38616,   1.51744,   6.14749, -13.90350,  15.51940,   5.41313,  -3.36989, 163.14000, -10.63540, -14.00910,   0.17850,  -0.35128,  23.97000,  11.42070,   2.83127, -67.37300,  -0.03946,   0.03042, -16.57600, 172.11100,   2.75802, 164.09400,  -0.23711,   0.16634,  55.86600,   3.89822, -17.42570, -62.53470,   0.30341,  -0.32786, -19.06050
   0.06667,   0.00000,   0.00000,  -0.00000,  97.41290,  -3.04091,  -5.05309,-172.02900,  88.35970, 171.86400,  -8.22413,   3.26256,  -0.09581,  -6.95820,   4.57575,  -7.35263,   3.99576,  -1.36478,  -5.21795, -91.02280,   4.58306, -92.40540, -55.95690, -24.78110,  28.67470,   0.24812,   2.05746,  -6.86824,  12.71340,   5.27059,   0.88198,  89.50160,   4.63086, -98.85050, -60.06290, -16.78660,   2.69014,   1.51266,   6.16019, -13.83400,  15.79700,   5.42131,  -3.64291, 161.80800, -10.40840, -15.18070,   0.19866,  -0.39171,  24.17880,  11.55580,   3.08626, -66.66940,  -0.01581,   0.01222, -16.57700, 171.65000,   3.73125, 169.09000,  -0.13039,   0.10883,  52.77670,   0.94168, -10.70620, -64.50890,   0.35493,  -0.38646, -19.49470
   0.10000,   0.00000,   0.00000,  -0.00000,  98.36020,  -2.75094,  -5.39925,-169.56600,  87.84900, 168.84900,  -8.53192,   4.31947,  -1.11581,  -7.01815,   4.82429,  -7.74055,   4.33915,  -2.03902,  -5.30935, -91.08010,   4.54435, -91.61550, -53.53170, -24.80230,  28.94330,   0.46848,   2.88137,  -9.22668,  13.28600,   5.26192,   1.11455,  89.58680,   4.24226, -99.43280, -61.71910, -16.06430,   1.87341,   1.48465,   6.28919, -13.31880,  15.96830,   5.42609,  -3.80400, 160.67800, -10.16910, -16.51970,   0.20750,  -0.41082,  24.22240,  11.65660,   3.33212, -65.72310,  -0.02006,   0.01555, -16.57670, 171.41000,   4.79060, 173.77500,  -0.05104,   0.06036,  48.00760,  -1.65433,  -6.30547, -64.48920,   0.34541,  -0.37555, -19.41410
   0.13333,   0.00000,   0.00000,  -0.00000,  99.14650,  -2.55402,  -5.71205,-168.82300,  87.36390, 167.62000,  -8.75296,   5.32840,  -2.00662,  -7.02599,   5.15919,  -8.19776,   4.79650,  -2.65954,  -5.37239, -91.24110,   4.84545, -90.61620, -50.73860, -25.38990,  29.02100,   1.06479,   4.66965, -12.84130,  13.44230,   5.25371,   1.33443,  89.65460,   3.91100, -99.94890, -63.27290, -13.95510,   0.82911,   1.14489,   5.28140, -12.26100,  16.14470,   5.42948,  -3.92122, 159.74500, -10.18520, -17.90370,   0.20851,  -0.41390,  24.20730,  11.79510,   4.01969, -64.68910,  -0.00386,   0.00302, -16.57730, 171.19300,   5.92679, 178.05800,  -0.01179,   0.03306,  41.97380,  -2.73349,  -4.02197, -62.18810,   0.39081,  -0.42779, -19.79920
   0.16667,   0.00000,   0.00000,  -0.00000,  99.81220,  -2.67164,  -5.93632,-169.05400,  86.83810, 167.38000,  -8.90327,   6.43079,  -2.86002,  -6.72979,   5.44552,  -8.39053,   5.17584,  -3.16147,  -5.48248, -91.43370,   5.18849, -89.53070, -48.10370, -26.39460,  28.76570,   1.88911,   6.09624, -17.24570,  14.25710,   5.26263,   1.09667,  89.72000,   3.63653,-100.59400, -64.79440, -12.66410,  -0.01758,   1.11435,   5.55423, -11.37470,  15.56150,   5.42581,  -3.79564, 158.97900,  -9.41881, -19.48330,   0.20962,  -0.41539,  24.25140,  11.70410,   3.62676, -63.29930,   0.00393,  -0.00435, -16.62010, 170.94800,   6.55332,-178.00700,   0.00633,   0.01873,  35.12370,  -3.14373,  -3.53440, -62.62080,   0.83271,  -0.97657, -23.71780
   0.20000,   0.00000,   0.00000,  -0.00000, 100.18000,  -2.98575,  -5.66628,-172.00900,  86.32040, 169.96400,  -8.69474,   7.55718,  -3.52955,  -6.27913,   5.68526,  -8.57029,   5.60864,  -3.67783,  -5.25582, -91.69700,   5.68382, -88.34750, -45.50210, -27.98240,  28.12470,   3.09261,   7.51602, -22.43440,  14.81190,   5.25577,   1.27750,  89.79100,   3.22604,-101.29200, -66.45620, -11.71440,  -0.64065,   1.04038,   5.49569, -10.74640,  15.08820,   5.43190,  -4.00538, 158.67400,  -8.15947, -20.77100,   0.19974,  -0.39352,  24.28240,  11.44990,   2.36757, -61.59500,   0.00074,  -0.00081, -16.58550, 171.28600,   5.35176,-174.35700,   0.00333,   0.02784,  27.66640,  -0.95034,  -4.55944, -64.19670,   1.13418,  -1.40009, -26.60630
   0.23333,   0.00000,   0.00000,  -0.00000, 100.23000,  -3.40387,  -5.07398,-176.27500,  85.83400, 173.93300,  -8.17995,   8.61576,  -4.08506,  -5.78691,   5.75792,  -8.61797,   6.06654,  -4.26070,  -4.68399, -92.09090,   6.56032, -87.27940, -42.90430, -29.69350,  27.11310,   4.89516,   9.15420, -28.28760,  15.65400,   5.24007,   1.69433,  89.84210,   2.95271,-101.93700, -68.02330, -11.06110,  -1.35447,   0.81647,   4.70299,  -9.87205,  14.81560,   5.44567,  -4.48554, 158.61900,  -8.34923, -21.81660,   0.18389,  -0.36315,  24.10270,  11.39590,   2.24568, -59.91270,  -0.00276,   0.00213, -16.57740, 171.99400,   3.80652,-171.56900,   0.00742,   0.01966,  21.61270,   1.64220,  -5.79044, -65.30060,   1.25841,  -1.58870, -27.86060
   0.26667,   0.00000,   0.00000,  -0.00000, 100.03900,  -3.55914,  -4.16338, 178.89600,  85.49270, 178.55400,  -7.43536,   9.32925,  -4.51050,  -5.11929,   5.67184,  -8.42108,   6.59343,  -4.80168,  -3.96897, -92.44660,   7.37283, -86.58480, -41.02350, -31.47140,  25.92410,   6.90303,  10.21680, -34.30770,  17.56750,   5.23963,   1.70269,  89.88680,   2.75225,-102.64400, -69.36080, -10.24620,  -1.81762,   0.71147,   4.31919,  -9.37719,  14.62280,   5.44501,  -4.46192, 159.02300,  -8.19895, -22.39320,   0.16697,  -0.33566,  23.58020,  11.20850,   1.97556, -57.89470,  -0.00625,   0.00480, -16.57740, 172.30500,   4.70836,-170.12700,   0.01269,   0.00233,  18.39330,   2.85974,  -5.57451, -66.52440,   0.17765,  -2.43213, -29.15370
   0.30000,   0.00000,   0.00000,  -0.00000,  99.44290,  -3.32552,  -3.58518, 176.54200,  85.31990,-179.15200,  -7.03199,   9.66009,  -4.64497,  -4.34327,   5.28013,  -8.04324,   7.47206,  -5.29886,  -3.14199, -92.69410,   7.98396, -86.28500, -39.82060, -33.31150,  25.00820,   9.20929,  10.81170, -40.83300,  18.72060,   5.21638,   2.30334,  89.91630,   2.49781,-103.08000, -70.49260,  -8.91566,  -2.07822,   0.73616,   4.66645,  -8.98843,  14.49530,   5.44079,  -4.31374, 159.90800,  -7.62071, -22.99390,   0.13521,  -0.28221,  22.47320,  10.95560,   1.76923, -55.42520,   0.00007,  -0.00006, -16.57810, 172.84100,   6.82020,-170.02600,   0.01442,  -0.00565,  16.97230,   3.04297,  -4.26926, -68.08980,  -0.40523,  -2.59477, -29.49430
