time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  95.29810,   2.26287,   2.43562, 138.42400,  83.20120,-140.01900,   1.42818,  10.25540,  -3.32110, -13.75470,  -1.21148,  -5.75067, -10.92500, -14.62080,  -7.87483, -85.13140, -14.07620, -85.69830, -51.59210,  -1.99607,  45.06740,  28.79770,   7.46022, -76.71110,  36.17930,   5.05199,   6.19293,  90.40740,  -9.66071,-102.57300, -71.22140,   3.17561, -32.11210,  17.59720, -16.95770,-132.60500,  33.56150,   5.57024,  -9.69336, 174.56600,  10.33040, -33.49220,  -0.35620,   0.08240,  75.61860,   1.18888,  -1.10916, -37.20210,   0.24644,  -0.28681, -19.33320, 178.45100,   9.73054, 169.71500,   0.01595,  -0.04559,  10.93150,   1.04788,   6.99768, -29.10500,   2.80729,   0.10435, -32.04710
   0.03333,   0.00000,   0.00000,  -0.00000,  92.79600,   3.01348,   3.47834, 137.10000,  83.87900,-137.66800,   0.62554,   9.00028,  -1.18739, -12.63090,  -1.43739,  -5.87497,  -8.84232, -13.78770,  -7.26915, -85.37210, -14.24940, -86.79570, -54.18880,   0.21607,  46.56440,  29.46840,   4.77661, -81.61540,  36.19980,   5.04599,   6.32485,  90.41010,  -7.56470,-101.88500, -71.44550,   5.36347, -22.26750,  17.46980, -15.26510,-129.91500,  33.82050,   5.56257,  -9.31849, 177.29700,   8.35741, -26.31850,  -0.22321,   0.05959,  73.20780,  -4.84384,   2.63687, -34.84190,   0.26247,  -0.30646, -19.51800,-178.91600,  10.33790, 168.86100,   0.01894,  -0.05381,  12.65000,   1.35487,   7.64199, -31.13390,   3.06187,   0.31923, -34.53650
   0.06667,   0.00000,   0.00000,  -0.00000,  89.80000,   3.50346,   3.95020, 135.22200,  84.81970,-134.62700,  -0.50364,   7.30979,   1.22335, -11.47570,  -1.39717,  -5.74498,  -6.64560, -12.23560,  -6.92594, -86.12330, -12.88660, -88.09970, -57.81580,   2.76739,  47.58690,  30.03500,   1.73696, -86.99940,  36.24370,   5.05569,   6.11114,  90.34980,  -4.38118,-100.42000, -71.70630,   8.33412, -11.32940,  17.18420, -11.72130,-123.29200,  32.84500,   5.55803,  -9.09211,-178.94100,   5.99913, -18.93390,  -0.04583,   0.01371,  68.00400, -11.69170,   8.43592, -33.12330,   0.23706,  -0.27536, -19.22520,-175.11200,  10.64460, 167.49100,  -0.04128,   0.19946,  14.35660,   6.13902,   8.56415, -36.59480,   0.75557,  -1.29664, -30.55200
   0.10000,   0.00000,   0.00000,  -0.00000,  87.27720,   3.30699,   3.61496, 131.27200,  85.92320,-129.69800,  -1.71001,   5.24706,   3.22546, -10.49370,  -0.76329,  -5.33555,  -4.54180, -10.09050,  -6.38532, -87.38880,  -9.25479, -89.16990, -61.65080,   4.99045,  47.17630,  28.73770,  -0.57299, -91.04680,  34.63690,   5.10138,   5.07745,  90.04970,  -0.44678, -98.56210, -71.75330,  11.19520,  -0.86770,  15.90030,  -6.40615,-111.36900,  33.31980,   5.61323, -12.12200,-176.02600,   2.75667, -12.26870,   0.04523,  -0.02856,  60.40090, -13.68240,  12.93100, -33.18680,   0.25647,  -0.29908, -19.44850,-172.42300,   9.81309, 165.11900,  -0.03227,   0.15572,  15.46760,   6.03273,   8.19911, -40.03810,   0.61156,  -0.88976, -25.57780
   0.13333,   0.00000,   0.00000,  -0.00000,  85.89140,   2.55825,   2.29033, 124.87900,  87.10810,-122.73000,  -3.07792,   3.10278,   4.38264,  -9.55793,  -0.15025,  -4.30469,  -2.59716,  -7.14233,  -6.18320, -89.05620,  -3.54326, -90.08230, -65.60130,   7.80310,  44.50860,  25.75300,  -1.02703, -92.14580,  34.21510,   5.16210,   3.65583,  89.58730,   2.92447, -96.97100, -72.35530,  12.08160,   8.07034,  18.96810,  -1.17059, -93.43550,  38.71170,   5.66950, -16.72950,-175.38900,  -0.03091,  -7.60748,   0.02818,  -0.02163,  50.87930,  -9.67268,  11.68830, -33.53470,   0.58508,  -0.73206, -23.40810,-170.97300,   7.32077, 162.02200,  -0.05078,   0.23721,  14.21630,   5.44198,   6.92671, -38.97680,   0.49338,  -0.65900, -23.13220
   0.16667,   0.00000,   0.00000,  -0.00000,  85.28660,   1.54814,  -0.76793, 119.14900,  88.34100,-116.84300,  -4.89214,   1.36007,   4.67377,  -9.36862,   0.05961,  -2.22063,  -0.59264,  -3.97932,  -5.81962, -90.48740,   2.08358, -91.80090, -69.61780,  12.47500,  37.95790,  21.36420,  -0.11742, -90.29700,  36.16800,   5.19412,   2.87272,  89.23530,   4.98632, -96.26930, -72.75790,   9.55830,  14.37040,  18.78140,   5.82675, -73.33980,  45.61050,   5.68259, -21.66270,-177.02500,  -0.68550,  -4.98815,  -0.12487,   0.14823,  41.64890,   4.40310,  12.12360, -45.31960,   1.97961,  -4.29943, -51.58270,-170.26700,   4.72144, 157.26800,  -0.09006,   0.51480,  10.30530,   4.61983,   6.36168, -32.23720,   0.42043,  -0.59612, -24.01100
   0.20000,   0.00000,   0.00000,  -0.00000,  85.82150,   0.26548,  -2.15298,  95.85000,  88.24180, -93.94290,  -4.26779,   0.15798,   3.82229, -11.44830,  -0.10971,   0.26169,   1.09881,  -1.12376,  -3.98014, -91.00710,   5.21678, -94.05250, -72.64990,  18.53210,  26.79640,  18.60350,  -0.10901, -90.32240,  37.77270,   5.27411,   0.78613,  89.19100,   5.33097, -96.35780, -72.61000,   5.49661,  19.11180,   9.76643,   6.28524, -57.53930,  49.21310,   5.67363, -24.41310,-179.68400,   2.28843,  -4.20939,  -0.11755,   0.16662,  37.72600,   9.46531,   4.92036, -62.77800,   1.46409,  -2.56523, -42.35460,-172.56500,   2.11007, 151.80700,  -0.03128,   0.17012,   9.83578,  -3.81520,   4.20421, -24.19920,   3.27058,   2.52364, -25.10830
   0.23333,   0.00000,   0.00000,  -0.00000,  87.98880,  -0.54142,  -1.69804,  79.01530,  86.95690, -78.08760,  -1.78078,  -1.23671,   1.83584, -13.84320,  -0.00375,   1.50465,  -0.31649,   0.87709,  -0.81374, -90.88030,   5.64434, -96.12240, -70.88420,  23.31450,  10.53900,  24.67430,  -2.13778, -94.63210,  33.16870,   5.40323,  -3.13373,  89.37430,   3.92847, -95.93660, -71.53240,   1.87618,  25.21380,  13.18540,   9.81675, -53.95960,  50.07870,   5.65991, -26.18920, 176.56900,   6.25345,  -4.83451,  -0.04774,   0.08287,  37.15130,   7.79224,  -0.17828, -75.77980,   0.65265,  -0.92005, -24.89240,-177.37500,  -0.52201, 148.27400,  -0.00884,   0.01491,  10.01210,  -9.68213,   5.32217, -18.88640,   1.15141,   0.57050, -20.66750
   0.26667,   0.00000,   0.00000,  -0.00000,  90.01900,   0.38057,  -1.49015,  72.45220,  85.60550, -72.38690,   0.61669,  -2.65310,   0.14476, -16.17030,  -0.81666,   1.71196,  -4.00076,   1.95223,   0.65759, -90.43880,   3.77595, -98.37860, -64.02200,  26.30670, -10.67920,  26.11510,  -4.75687, -99.60250,  32.09690,   5.37663,  -2.24272,  89.66790,   1.64108, -93.53570, -70.12340,   1.53314,  31.58600,  12.85880,   9.58106, -53.90650,  50.27850,   5.64329, -27.84520, 175.02200,   6.83119,  -7.78668,  -0.05789,   0.09261,  37.81100,   7.81595,   1.41106, -80.69610,   0.26277,  -0.30683, -19.52140, 178.29700,  -1.86921, 143.95300,   0.00659,  -0.06576,  15.11660, -11.38040,   4.12956, -21.27490,   0.33167,  -0.35988, -19.29820
   0.30000,   0.00000,   0.00000,  -0.00000,  90.97230,   1.58323,  -0.65224,  69.09070,  84.34140, -69.46110,   2.79931,  -4.01922,  -0.64204, -17.88970,  -2.16507,   1.57124,  -7.15399,   3.11891,   0.68879, -90.04730,   0.58120,-100.38800, -57.83870,  23.14830, -29.67890,  23.81440,  -6.43555,-104.24900,  32.75040,   5.32554,  -0.65052,  90.14570,  -0.57800, -90.90580, -68.75000,   4.17789,  37.94440,   9.37203,   6.75545, -54.52810,  51.46080,   5.64179, -27.94820, 175.06100,   3.52225, -10.24750,  -0.02304,   0.04735,  38.25800,   9.01890,   6.46819, -78.90570,   0.18604,  -0.21388, -18.64320, 177.22200,  -1.51573, 141.40100,   0.01415,  -0.06766,  23.50980,  -5.36421,  -3.89150, -29.19220,   0.34900,  -0.37966, -19.44450
