time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.18410,  -5.99556,   3.34321,  98.13750,  86.23450, -97.72150,  -0.31440,   1.03644,   0.83429,   0.39933,   1.06435,  -0.04750,   6.24947,   0.53175,  -2.66423, -92.32260,   9.55553, -91.27020, -63.03800,  16.97360,   2.27194,   0.18626,   0.54649, -18.91330,  14.60810,   5.55960,  -9.16229,  87.86930,  10.57250, -93.53760, -65.13220,  17.31630,   5.48952,   4.11052,   6.53671, -32.27330,  12.44280,   5.43625,  -4.15489,-171.34200,  -9.66363,  -8.84744,   0.10906,  -0.07841,  50.59820,  -1.59489,  -2.60826, -61.07650,   0.05891,  -0.09369, -18.24040,-174.41000,  23.81640, 173.12400,   0.08533,  -0.23892,  16.96130,  10.02270,  20.63900, -60.71200,  -0.16967,   0.18265, -14.74000
   0.03333,   0.00000,   0.00000,  -0.00000,  88.75770,  -4.28372,   3.26456,  90.38150,  86.49490, -89.66840,  -0.75555,  -0.00634,   1.42535,   0.52809,   0.75362,  -0.29882,   6.37124,   0.89289,  -2.74849, -92.30210,   9.71930, -91.60670, -60.61810,  16.49750,  -1.99187,  -0.19367,  -0.46294, -22.63860,  15.92380,   5.56721,  -9.54362,  87.64630,  10.55340, -92.35190, -65.99290,  16.18890,  10.68270,   4.11558,   7.56857, -28.65610,  11.38320,   5.43177,  -3.99866,-170.49700,  -9.22302,  -5.37611,   0.13391,  -0.09143,  51.82460,  -2.97554,  -0.31094, -60.21990,   0.06767,  -0.10816, -18.49450,-173.24400,  24.34700, 171.42700,   0.07580,  -0.20992,  16.91900,  10.00090,  19.57850, -59.03260,  -0.16679,   0.16761, -15.29660
   0.06667,   0.00000,   0.00000,  -0.00000,  88.26510,  -2.38372,   3.19769,  79.71430,  86.68530, -78.71450,  -1.23142,  -1.26195,   1.98528,   0.88789,   0.36892,  -0.53611,   6.65743,   1.11346,  -2.48749, -92.19310,   9.49598, -91.93190, -58.74190,  16.05550,  -6.10066,  -0.71669,  -1.44771, -26.32510,  17.07860,   5.57103,  -9.74007,  87.46390,  10.39220, -91.20420, -66.37540,  14.10250,  15.45500,   4.13491,   9.07640, -24.63120,  10.85410,   5.41747,  -3.51292,-169.42800,  -8.51681,  -2.19238,   0.16660,  -0.11483,  51.84510,  -5.46124,   3.05226, -57.70930,   0.07258,  -0.11635, -18.63810,-172.04500,  24.28340, 169.33800,   0.07003,  -0.18540,  17.27390,   9.89109,  17.89110, -57.31730,  -0.15320,   0.13808, -15.92480
   0.10000,   0.00000,   0.00000,  -0.00000,  87.84440,  -0.68220,   3.28247,  69.22820,  86.67190, -68.01050,  -1.51560,  -2.45865,   2.40247,   1.19606,  -0.02536,  -0.65808,   7.02771,   1.36140,  -2.28152, -92.06030,   9.20173, -92.32210, -56.89800,  15.54320,  -9.75963,  -1.27557,  -2.16221, -30.54200,  18.13410,   5.57365,  -9.87599,  87.29780,  10.09900, -89.93500, -65.96190,  10.97150,  19.35950,   4.15509,  11.16570, -20.57400,  10.80030,   5.38658,  -2.50591,-168.36900,  -7.82015,   0.86844,   0.19092,  -0.13790,  50.69670,  -7.97975,   7.87731, -55.41690,   0.08030,  -0.12928, -18.86430,-171.02000,  24.55800, 166.88900,   0.06661,  -0.16065,  18.26940,   9.93601,  16.73740, -56.19050,  -0.13075,   0.14195, -15.20530
   0.13333,   0.00000,   0.00000,  -0.00000,  87.45080,   0.99943,   3.47326,  59.79520,  86.40880, -58.39740,  -1.51266,  -3.72571,   2.74646,   1.21902,  -0.39968,  -0.61405,   7.28091,   1.88376,  -2.36515, -91.96570,   8.99162, -92.61430, -54.66180,  15.32690, -13.18560,  -1.80564,  -2.57504, -35.05310,  19.19740,   5.57736, -10.07120,  87.20870,   9.56517, -88.64700, -64.67540,   6.66304,  22.36400,   4.09615,  13.44170, -17.12960,  11.19850,   5.34304,  -1.17402,-167.27100,  -7.24466,   3.56385,   0.21452,  -0.17295,  48.09070, -11.56420,  12.70120, -51.50660,   0.08270,  -0.13331, -18.93470,-170.08700,  24.88000, 164.23100,   0.05441,  -0.11765,  19.40770,   9.97332,  15.72460, -55.18420,  -0.11306,   0.12302, -15.34480
   0.16667,   0.00000,   0.00000,  -0.00000,  87.07070,   2.44735,   3.69154,  53.88740,  86.02960, -52.36100,  -1.28602,  -4.79964,   2.99925,   1.31101,  -0.74562,  -0.60636,   7.11870,   2.26743,  -2.27476, -91.90390,   8.94274, -92.92920, -51.78600,  15.39580, -16.43420,  -2.15380,  -2.59561, -39.70630,  20.13810,   5.57919, -10.16850,  87.15360,   9.14512, -87.62840, -62.74970,   2.29918,  25.12280,   3.68406,  14.00640, -14.90140,  11.71180,   5.30191,   0.01485,-166.48200,  -6.65102,   5.62595,   0.22511,  -0.20972,  44.45230, -15.28900,  17.16740, -46.83760,   0.13253,  -0.22011, -20.43870,-169.23700,  24.32160, 161.57400,   0.02112,  -0.02400,  20.09440,   9.82383,  14.14120, -53.73420,  -0.09843,   0.10740, -15.50220
   0.20000,   0.00000,   0.00000,  -0.00000,  86.71560,   4.00221,   3.42952,  49.07880,  85.68000, -47.47490,  -1.15514,  -5.78309,   3.15028,   1.22150,  -1.17385,  -0.55130,   6.90715,   2.42281,  -2.08413, -91.81540,   8.86874, -93.38280, -48.65340,  15.46220, -19.55800,  -2.55099,  -2.62143, -44.23820,  20.92660,   5.57903, -10.16000,  87.10120,   8.80266, -86.69110, -61.19560,  -0.79544,  27.64010,   3.30348,  13.27530, -14.11390,  12.51480,   5.27710,   0.70495,-166.81700,  -5.67009,   6.23119,   0.15967,  -0.15644,  41.50010, -13.01720,  19.24220, -52.39080,   0.26219,  -0.47476, -24.73270,-168.15100,  24.22510, 158.30700,  -0.06694,   0.21231,  20.31390,   9.68674,  13.03800, -53.00420,  -0.06341,   0.06966, -15.88090
   0.23333,   0.00000,   0.00000,  -0.00000,  87.03760,   5.32032,   3.66276,  48.80720,  85.17640, -47.37570,  -0.42197,  -6.45447,   2.83991,   0.97376,  -1.70766,  -0.36177,   6.60067,   2.48067,  -1.94941, -91.70740,   8.74247, -93.90430, -45.63640,  15.33870, -22.63560,  -3.12708,  -2.80408, -48.16150,  21.08380,   5.58244, -10.34430,  87.08500,   8.51592, -86.02370, -60.40400,  -2.65752,  29.43890,   3.09505,  12.32320, -14.22090,  12.52110,   5.27814,   0.67633,-169.08500,  -4.67077,   5.59738,   0.08610,  -0.07778,  39.38430,  -2.45165,  18.74420, -57.71110,   0.50379,  -1.16277, -35.70310,-168.06300,  24.92020, 155.58700,  -0.22455,   0.61337,  20.51070,   9.13875,  12.87490, -53.63460,   0.09641,  -0.10924, -17.64530
   0.26667,   0.00000,   0.00000,  -0.00000,  87.49440,   6.39965,   3.44059,  48.91720,  84.79020, -47.72540,   0.16659,  -6.92448,   2.39427,   0.68973,  -2.14322,  -0.13115,   6.33437,   2.38164,  -1.61029, -91.56770,   8.27310, -94.23080, -43.35570,  14.83840, -25.62060,  -2.77874,  -2.24524, -51.09300,  20.60140,   5.58682, -10.58510,  87.16700,   8.15332, -85.76450, -60.75160,  -3.49220,  30.29830,   3.08466,  12.05760, -14.46980,  12.00020,   5.29474,   0.21885,-172.15300,  -2.49968,   3.89658,   0.04607,  -0.02916,  38.93200,   3.80555,  13.74740, -65.77770,   0.52236,  -1.24161, -36.91970,-168.52300,  25.34370, 152.25800,  -0.35339,   0.95332,  20.74140,   4.19755,  12.39330, -53.77860,   0.18850,  -0.21750, -18.69050
   0.30000,   0.00000,   0.00000,  -0.00000,  88.54330,   6.46970,   3.87904,  53.52790,  84.39030, -52.77900,   1.31062,  -6.70819,   1.57457,   0.24800,  -2.46804,   0.17993,   6.18447,   2.05082,  -1.41771, -91.48010,   8.00649, -94.49110, -41.38850,  14.45340, -28.11900,  -1.80818,  -1.35802, -53.10320,  20.76890,   5.59024, -10.77430,  87.12670,   8.36056, -85.95560, -61.28870,  -3.43196,  30.52230,   3.29234,  12.26090, -15.16090,  11.15450,   5.30117,   0.04008,-175.43300,  -1.15329,   2.41793,   0.02502,  -0.00288,  39.38340,   6.07097,   8.67131, -72.49250,   0.39180,  -0.79131, -29.87270,-169.93300,  24.80420, 151.24800,  -0.29841,   0.90439,  19.14670,   1.12587,  11.24510, -56.67420,   0.18289,  -0.21081, -18.62630
