time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.60620,   0.07906,  -1.44790,  88.61410,  85.35330, -88.00420,   1.97844,  -0.11240,   1.10074, -10.39070,  -0.73240,   2.82920, -13.34150,   0.12732,   0.50640, -89.86880,   8.95809, -87.30770, -85.64100,  -4.53245,  20.87910,   0.00000,  -0.00000,  -0.00041,  65.49930,  76.48640, -83.87080,  89.90590,  10.40910, -85.95620,-106.67700,  49.45960,  37.37350,   0.00091,  -0.00015, -13.69270,  26.67090,  43.05530, -50.81730, 178.83400,  -3.50819, -11.08050,   0.00000,  -0.00000,  14.17880,   2.27663,   9.64791, -54.10000,   0.18637,   0.08252, -15.14520,-179.87600,  -0.21389, 160.96900,   0.00000,   0.00000,  42.32860,   0.29748, -10.28030, -55.32220,  -0.45475,  -3.33328, -18.48770
   0.03333,   0.00000,   0.00000,  -0.00000,  86.88950,  -1.41602,  -1.02938,  91.50810,  85.79610, -91.16180,   1.99268,   0.11808,   0.86774,  -9.77128,  -0.38288,   2.67555, -13.06190,   0.43678,   0.69257, -89.90310,   9.01098, -87.09400, -85.65590,  -4.06271,  20.67050,  -0.00000,  -0.00000,  -0.01179,  68.16560,  76.69180, -86.24480,  89.90740,  10.51450, -85.96760,-106.86100,  49.83480,  37.38710,   0.00091,  -0.00015, -13.64860,  26.36010,  43.22690, -50.44950, 178.65400,  -3.37205, -13.39450,   0.00000,  -0.00000,  15.17280,   0.74514,   8.25002, -52.29270,   0.25322,   0.30776, -14.90910, 179.59500,   0.23464, 166.86900,   0.00000,   0.00000,  43.09720,  -1.99007,  -4.05540, -54.51040,  -0.32996,  -2.70318, -18.52370
   0.06667,   0.00000,   0.00000,  -0.00000,  87.12560,  -2.71138,  -0.80740,  95.39100,  86.31090, -95.37360,   2.00987,   0.36201,   0.64754,  -9.10428,  -0.10826,   2.58685, -12.72460,   0.70192,   0.80711, -89.93620,   8.86445, -86.89290, -85.72090,  -3.89474,  20.74590,  -0.00000,  -0.00000,  -0.00360,  69.48430,  76.84690, -87.28620,  89.90880,  10.60580, -85.97790,-107.23500,  50.08140,  37.72210,   0.00091,  -0.00015, -13.77400,  25.64440,  43.45350, -49.73190, 178.71000,  -3.09083, -16.00020,   0.00000,  -0.00000,  15.95120,  -0.90708,   6.82632, -50.23250,   0.27166,   0.37356, -14.84320, 179.43800,   0.58451, 172.72000,   0.00000,  -0.00000,  41.92800,  -5.24307,   4.07947, -51.98940,  -0.19845,  -2.01895, -18.50950
   0.10000,   0.00000,   0.00000,  -0.00000,  87.32670,  -3.74862,  -0.84730,  98.82570,  86.65830, -99.22300,   2.04828,   0.53668,   0.44118,  -8.58887,   0.14065,   2.53442, -12.40880,   0.94099,   0.96467, -89.96440,   8.73383, -86.71950, -85.79510,  -3.65450,  21.20350,  -0.00002,   0.00000,  -0.98867,  67.45800,  77.43260, -85.02040,  89.90190,  10.64400, -85.93950,-107.37900,  50.04060,  37.88670,   0.00091,  -0.00015, -13.89580,  25.26030,  43.76960, -49.46380, 178.99000,  -2.78479, -18.75090,   0.00000,  -0.00000,  15.87770,  -2.81055,   5.47749, -47.59050,   0.25747,   0.27583, -14.82590, 179.79900,   0.88325, 177.99900,  -0.00000,   0.00000,  38.69650,  -8.89568,  11.88380, -47.27020,  -0.07657,  -1.32541, -18.36910
   0.13333,   0.00000,   0.00000,  -0.00000,  87.50960,  -4.60817,  -1.13181, 100.58500,  86.61170,-101.30600,   2.17112,   0.65197,   0.20342,  -8.33168,   0.41165,   2.39600, -12.28290,   1.17432,   1.13393, -89.97530,   8.74490, -86.65110, -85.84550,  -3.24129,  20.42700,  -0.00000,  -0.00000,  -0.00175,  65.32100,  76.95940, -82.81930,  89.90320,  10.63060, -85.94710,-107.37300,  50.12090,  37.75570,   0.00091,  -0.00015, -13.95740,  25.32220,  43.65460, -49.51380, 179.43100,  -2.68036, -21.39920,   0.00000,  -0.00000,  14.31610,  -5.24370,   4.18278, -43.95310,   0.22128,   0.05141, -14.80550,-179.30600,   1.02953,-178.00600,  -0.00000,   0.00000,  33.93290,  -9.89168,  16.42560, -43.22720,   0.64359,   1.33329, -20.22820
   0.16667,   0.00000,   0.00000,  -0.00000,  87.65730,  -5.42910,  -1.68050, 100.90000,  86.12100,-101.65100,   2.46023,   0.76092,  -0.07447,  -8.33862,   0.73822,   2.07238, -12.55910,   1.45140,   1.16220, -89.95580,   8.88168, -86.77090, -85.88230,  -2.83894,  19.85730,   0.00000,  -0.00000,  -0.00019,  61.85250,  76.75360, -79.38390,  89.93400,  10.66370, -86.12240,-107.43600,  50.74710,  37.46450,   0.00091,  -0.00015, -13.98930,  25.45260,  42.72080, -49.29960,-179.97600,  -3.03368, -23.46330,   0.00000,  -0.00000,  10.13870,  -8.65531,   2.63678, -38.50740,   0.16803,  -0.11883, -15.00700,-178.11000,   1.39571,-176.38100,   0.00000,   0.00000,  29.59620,  -4.63312,  18.03650, -45.71830,   3.02700,   4.88712, -31.58190
   0.20000,   0.00000,   0.00000,  -0.00000,  87.72150,  -6.26662,  -2.37240, 100.00600,  85.13050,-100.51100,   2.87852,   0.86142,  -0.30602,  -8.53536,   1.12551,   1.58857, -13.30330,   1.82319,   0.94395, -89.91010,   9.10823, -87.04790, -85.85110,  -2.63465,  19.32650,  -0.00000,  -0.00000,  -0.00009,  58.30070,  76.16620, -75.92000,  89.98700,  10.88100, -86.42350,-107.20600,  51.58700,  37.01480,   0.00091,  -0.00015, -14.05480,  25.49010,  41.65090, -48.92610,-179.09000,  -3.91811, -25.96590,   0.00000,  -0.00000,   5.83151, -13.90830,   0.45853, -32.54430,   0.10735,  -0.29322, -15.24930,-176.80600,   1.57844,-178.26500,  -0.00000,   0.00000,  29.25960,   4.22637,  16.75370, -56.15580,   2.77978,   2.03693, -36.39880
   0.23333,   0.00000,   0.00000,  -0.00000,  87.65000,  -6.94882,  -2.89606,  97.47750,  83.71890, -97.68690,   3.27494,   0.81629,  -0.37196,  -8.76719,   1.55073,   1.10065, -14.39230,   2.30986,   0.54481, -89.85000,   9.46116, -87.40000, -85.70060,  -2.67274,  19.20120,  -0.00000,  -0.00000,  -0.00018,  53.65960,  75.03140, -71.38840,  90.03760,  11.32670, -86.70280,-106.12000,  51.97020,  36.28500,   0.00091,  -0.00015, -14.12220,  25.41020,  41.49480, -48.95470,-177.82100,  -5.33571, -29.23100,   0.00000,  -0.00000,   3.83507, -21.65340,  -1.13343, -28.28000,   0.02913,  -0.50045, -15.61490,-175.26800,   0.35448, 177.06100,   0.00000,   0.00000,  33.06550,   9.85635,  12.97790, -66.77440,   0.62855,  -2.51496, -30.23900
   0.26667,   0.00000,   0.00000,  -0.00000,  87.55180,  -7.13697,  -2.96894,  93.54800,  82.30140, -93.70640,   3.49665,   0.48035,  -0.19919,  -8.90260,   1.94050,   0.76817, -15.53390,   2.82707,   0.14526, -89.77870,   9.93888, -87.79680, -85.67300,  -2.57126,  19.19200,  -0.00000,  -0.00000,  -0.00018,  47.77300,  73.32110, -65.49730,  90.06530,  11.85370, -86.84630,-104.39000,  52.02500,  35.36370,   0.00091,  -0.00015, -14.08540,  25.06700,  42.03770, -49.41630,-176.63500,  -6.65850, -31.25590,   0.00000,  -0.00000,   3.14801, -27.06230,   0.41060, -26.08010,   0.00388,   0.27313, -16.93920,-174.00200,  -1.13028, 172.47700,  -0.00000,  -0.00000,  36.52430,  11.84580,  10.02870, -72.33790,  -0.36184,  -4.77244, -25.00990
   0.30000,   0.00000,   0.00000,  -0.00000,  87.68840,  -6.66705,  -2.69073,  89.20810,  81.30530, -89.78640,   3.69876,  -0.05919,   0.08373,  -8.90064,   2.17112,   0.61781, -16.38800,   3.15855,  -0.10426, -89.70470,  10.33420, -88.19700, -85.98460,  -1.85409,  18.90770,  -0.00000,  -0.00000,  -0.00009,  43.36150,  71.35010, -60.88210,  90.06750,  12.17280, -86.85340,-102.60500,  51.96080,  34.33400,   0.00091,  -0.00015, -14.19940,  24.88350,  42.54120, -50.15870,-175.76500,  -6.72353, -31.79060,   0.00000,  -0.00000,   5.06204, -25.41410,   3.42141, -29.68530,  -0.12194,   0.08478, -17.70410,-173.37000,  -1.81683, 169.83300,   0.00000,   0.00000,  36.19610,  12.18390,   8.59574, -72.62300,  -0.65612,  -5.29154, -22.04390
