time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.91550,  -0.56019,   3.04039,  88.96690,  76.16130, -89.63880,  19.90450,  -0.55875,  -1.24969,  -3.27221,  -1.42089,  -1.13037,   3.57679,  -4.26163,  -2.22648, -89.67950,  -3.17163, -99.22640, -69.56590, -25.22220,  12.50040,   3.32506,   8.45084, -21.57070,  40.09000,   5.49662,  -6.39838,  90.11340,  -1.40080,-100.37300, -67.31600, -23.43580,  21.89480,   2.61253,  12.73670, -11.69740,  36.50000,   5.39288,  -2.70762, 177.38500,   9.99838, -20.30830,   0.00438,   0.02485,  31.57820,   0.35072,  -4.47298, -58.54010,   0.00679,  -0.00754, -16.65130, 176.97100, -10.54980, 159.42300,   0.01539,  -0.00159,  51.04410,  -8.03624, -11.70160, -63.12840,   0.30245,  -0.32677, -19.05250
   0.03333,   0.00000,   0.00000,  -0.00000,  92.31380,  -0.51900,   2.58378,  88.89300,  76.31840, -89.79670,  19.58860,  -0.61004,  -1.70730,  -3.58023,  -1.35010,  -0.99146,   3.22903,  -4.06611,  -2.24997, -89.68670,  -3.08130, -99.19130, -69.12960, -25.53450,  12.94700,   3.24003,   8.02140, -22.08100,  40.93560,   5.49332,  -6.26760,  90.12000,  -1.46252,-100.31100, -66.47860, -24.29920,  23.08050,   2.64559,  12.34400, -12.20120,  37.26690,   5.39822,  -2.87854, 177.63600,  10.67990, -21.10020,   0.00269,   0.02824,  30.37790,  -0.18626,  -4.92937, -57.11110,   0.02047,  -0.02278, -16.80070, 176.86700, -10.02500, 160.89900,   0.05325,  -0.04805,  53.06390, -10.99830,  -6.51192, -62.40120,   0.30244,  -0.32676, -19.05240
   0.06667,   0.00000,   0.00000,  -0.00000,  92.71530,  -0.40126,   2.09433,  88.62380,  76.43180, -89.75030,  19.35720,  -0.75140,  -2.13096,  -3.94771,  -1.25730,  -0.81812,   2.81691,  -3.79196,  -2.43101, -89.70580,  -2.90484, -99.21390, -69.05780, -26.20390,  13.23260,   3.26523,   7.96985, -22.36530,  41.43310,   5.49132,  -6.18720,  90.12970,  -1.54605,-100.20500, -66.40890, -24.65750,  23.56290,   2.56961,  11.95860, -12.22560,  38.39080,   5.40885,  -3.22615, 178.03300,  11.28310, -22.14000,  -0.00385,   0.03970,  29.30710,  -0.80867,  -5.30872, -55.63090,   0.02084,  -0.02320, -16.80480, 177.14800,  -9.51129, 162.69500,   0.07972,  -0.05778,  53.45600, -11.37220,  -4.65214, -60.17330,   0.56543,  -0.63557, -21.30890
   0.10000,   0.00000,   0.00000,  -0.00000,  93.20890,  -0.22099,   1.62695,  88.12140,  76.50170, -89.47870,  19.20730,  -1.00155,  -2.55249,  -4.28564,  -1.12244,  -0.82993,   2.47926,  -3.49944,  -2.56893, -89.73210,  -2.68812, -99.30670, -69.51560, -26.38660,  13.31510,   3.03923,   7.40526, -22.38850,  41.55110,   5.49132,  -6.18829,  90.12590,  -1.49001,-100.17000, -66.67020, -25.10430,  23.62690,   2.48389,  11.77960, -12.00110,  38.62540,   5.40574,  -3.12497, 178.44600,  11.97530, -23.20540,  -0.01128,   0.05357,  28.03920,  -1.49527,  -5.79892, -53.93850,   0.02238,  -0.02492, -16.82150, 178.00600,  -9.15116, 165.68800,  -0.01053,   0.03825,  50.56460,  -3.63847,  -5.49523, -59.33650,   1.44908,  -1.89687, -29.87250
   0.13333,   0.00000,   0.00000,  -0.00000,  93.76200,   0.22005,   1.15865,  87.36010,  76.56640, -88.91120,  19.05940,  -1.36430,  -2.88114,  -4.54754,  -0.99663,  -1.08081,   2.34853,  -3.28641,  -2.61185, -89.76370,  -2.39684, -99.36760, -70.35030, -25.77820,  13.13770,   2.99976,   7.40218, -22.13430,  40.73500,   5.49586,  -6.37079,  90.09720,  -1.12765,-100.07100, -67.22050, -25.11200,  23.30300,   2.21739,  10.96050, -11.51570,  38.47590,   5.40968,  -3.25487, 178.87100,  12.64510, -24.28770,  -0.01791,   0.06666,  26.48720,  -2.16996,  -5.97111, -51.96120,   0.04009,  -0.04480, -17.01560, 178.29400,  -8.62850, 169.02600,  -0.07304,   0.08292,  44.10990,   0.34596,  -7.04182, -64.83840,   0.75802,  -2.52910, -31.97640
   0.16667,   0.00000,   0.00000,  -0.00000,  93.74530,   0.89651,   1.07157,  86.92190,  76.48570, -88.39040,  19.20960,  -1.56718,  -2.67968,  -4.79164,  -0.95669,  -1.43771,   2.39286,  -3.17169,  -2.85173, -89.82890,  -1.73792, -99.37490, -71.13250, -24.52010,  12.80280,   3.46675,   8.74248, -21.73150,  39.53840,   5.51306,  -7.07490,  90.04660,  -0.52879, -99.96380, -67.91100, -24.82380,  22.72870,   2.08550,  10.77480, -11.02770,  37.45730,   5.40432,  -3.07779, 179.80500,  13.02320, -24.94910,  -0.02360,   0.08055,  24.69460,  -2.83234,  -5.78290, -49.76990,   0.05308,  -0.05945, -17.15830, 178.84600,  -7.36993, 171.34000,  -0.02819,   0.04618,  39.39240,   0.03996,  -7.58224, -71.61700,   0.41619,  -1.12214, -25.04600
   0.20000,   0.00000,   0.00000,  -0.00000,  93.00100,   1.19427,   1.21880,  87.59760,  76.27000, -88.69750,  19.66190,  -1.23969,  -1.99129,  -5.09680,  -0.86537,  -1.88895,   2.34458,  -3.14846,  -3.22371, -89.89620,  -1.03911, -99.29160, -72.17670, -23.57530,  12.28250,   4.35379,  11.18270, -21.43390,  38.58470,   5.53083,  -7.83608,  90.00140,  -0.01535,-100.00700, -68.94530, -24.33680,  21.82810,   1.99027,  10.52770, -10.77420,  36.58310,   5.40660,  -3.15352,-178.47200,  13.15110, -25.06270,  -0.02534,   0.08698,  22.13630,  -3.57108,  -5.67248, -47.18030,   0.09839,  -0.11119, -17.65950,-179.77600,  -6.74025, 172.28100,  -0.01573,   0.03952,  36.32110,   1.06546,  -8.28189, -75.29750,   0.23241,  -0.29477, -18.66460
   0.23333,   0.00000,   0.00000,  -0.00000,  92.03630,   0.96429,   1.41198,  88.65910,  76.02110, -89.29690,  20.18140,  -0.70807,  -1.15371,  -5.18967,  -0.44181,  -2.26094,   2.03440,  -3.00727,  -3.88988, -89.92780,  -0.68914, -99.01710, -73.80720, -23.21600,  11.86090,   4.66563,  12.26690, -21.01210,  37.51150,   5.53702,  -8.10762,  89.99830,   0.02122,-100.38700, -70.50040, -23.51980,  20.44820,   1.99534,  10.69600, -10.63680,  36.40800,   5.40377,  -3.06030,-176.51600,  12.94050, -24.57830,  -0.01873,   0.07671,  18.65070,  -4.30185,  -5.68387, -44.22620,   0.16671,  -0.19093, -18.42460,-178.22200,  -7.71172, 171.46700,  -0.17100,   0.25871,  35.52820,   0.53237,  -9.54573, -75.60130,   0.06139,  -0.06405, -17.06780
   0.26667,   0.00000,   0.00000,  -0.00000,  91.38160,   0.69297,   1.67149,  89.43710,  75.81860, -89.74150,  20.59490,  -0.30595,  -0.55525,  -5.09954,   0.00941,  -2.46371,   2.09857,  -2.76418,  -4.45679, -89.92030,  -0.73234, -98.78440, -75.43340, -22.73360,  11.78440,   4.23288,  11.68890, -20.06730,  35.96040,   5.53257,  -7.90717,  89.99630,   0.04885,-100.68500, -72.09220, -22.18190,  19.01260,   2.04115,  10.74560, -10.82700,  36.57340,   5.40159,  -2.98996,-174.90200,  12.95570, -23.31690,  -0.00262,   0.04877,  14.11790,  -5.13151,  -4.97573, -40.96950,   0.23967,  -0.27853, -19.25520,-176.94900,  -9.00471, 169.72500,  -0.21433,   0.31680,  36.43890,   0.63964, -11.08760, -74.40950,  -0.04209,   0.03482, -16.57250
   0.30000,   0.00000,   0.00000,  -0.00000,  90.97520,   1.17704,   2.20365,  89.45430,  75.57330, -89.40910,  21.08660,  -0.26276,   0.13984,  -4.92685,   0.22860,  -2.75392,   2.34649,  -2.63963,  -4.67878, -89.93940,  -0.54244, -98.62320, -76.31510, -22.51920,  11.97500,   3.92595,  11.61310, -18.82530,  34.37870,   5.53372,  -7.95972,  89.96880,   0.41270,-100.67600, -72.92360, -21.17690,  17.88280,   2.18733,  10.96780, -11.35660,  36.56830,   5.40548,  -3.11626,-173.86200,  13.97750, -21.92290,   0.00150,   0.03273,  10.63410,  -6.19616,  -2.90564, -40.62920,   0.26282,  -0.30690, -19.52200,-176.34400,  -8.04487, 168.71500,  -0.19664,   0.29211,  36.76160,   1.19471, -10.66580, -73.18000,  -0.04618,   0.03805, -16.57250
