time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  96.37010,  -1.14165,   8.08479,  83.55670,  86.67890, -86.48520,  -1.17234,  -0.51697,  -5.86017,  -7.69568,  -3.40205,   0.96260,  -3.08114,  -6.04711,  12.63490, -90.27450,   1.02214, -89.97030, -64.00150,  13.57640,  -9.41486,  11.87190,  13.25040, -42.52590,   9.23398,   5.18587,   3.07148,  89.40710,   2.76437, -92.88980, -73.55440,  -8.46812,  31.77220,   3.77438,  12.97840, -16.37430,   9.14867,   5.39069,  -2.63702, 167.07900,   1.75304,  -3.79340,   0.30578,  -0.42553,  31.57000,   6.81554,  -1.15111, -69.95890,  -0.08514,   0.07369, -16.57370, 173.55000,  -0.07968, 162.15700,  -0.33125,   0.12913,  68.45250,   7.15828, -17.37600, -51.58840,   0.27776,  -0.29901, -18.84570
   0.03333,   0.00000,   0.00000,  -0.00000,  96.80800,  -0.71174,   7.61515,  83.75000,  86.89160, -86.82810,  -1.59026,  -0.42553,  -6.16048,  -7.77377,  -3.68422,   1.12674,  -2.97494,  -6.30660,  12.78820, -90.23800,   0.88857, -90.00820, -64.34230,  13.24020,  -9.58682,  11.77030,  13.20690, -42.36580,   9.41439,   5.18465,   3.10178,  89.41470,   2.71162, -92.81550, -73.44030,  -9.10493,  32.01030,   3.64266,  12.62230, -16.24670,   9.27765,   5.38665,  -2.50841, 166.62900,   2.56774,  -4.73954,   0.30546,  -0.43198,  31.26800,   6.67654,  -1.28936, -69.06300,  -0.08501,   0.07402, -16.57400, 172.42400,   2.18052, 166.34600,  -0.21916,   0.09078,  67.82830,   4.47501, -12.97020, -52.34000,   0.27861,  -0.29997, -18.85290
   0.06667,   0.00000,   0.00000,  -0.00000,  97.21540,  -0.45252,   6.96027,  85.37500,  87.10860, -88.61450,  -1.99916,  -0.19035,  -6.48140,  -8.04633,  -3.96916,   1.21949,  -2.92659,  -6.72908,  13.02130, -90.24070,   0.89404, -89.93560, -64.30590,  13.41040,  -9.82981,  11.53890,  13.30550, -41.57590,   9.70445,   5.18545,   3.08172,  89.39350,   2.81045, -92.81660, -73.77630,  -8.82914,  31.74670,   3.43192,  11.98680, -16.11080,   9.44577,   5.39133,  -2.65726, 166.40200,   2.76144,  -5.93891,   0.30095,  -0.43395,  30.86250,   6.62340,  -0.91280, -68.09230,  -0.08412,   0.07355, -16.57410, 171.23300,   4.64676, 170.96300,  -0.12114,   0.06341,  64.35400,   3.26530, -10.46230, -51.59910,   0.30573,  -0.33048, -19.08000
   0.10000,   0.00000,   0.00000,  -0.00000,  97.51560,  -0.70111,   6.28943,  90.36140,  87.32450, -93.77050,  -2.39602,   0.33578,  -6.81086,  -8.31832,  -4.21759,   1.31579,  -2.80298,  -7.21888,  13.35430, -90.28950,   1.06903, -89.84850, -63.94150,  13.72270,  -9.78673,  11.45360,  13.78660, -40.37120,   9.77723,   5.18364,   3.12620,  89.31620,   3.20331, -92.94400, -74.17160,  -8.16424,  31.29310,   3.49543,  11.99750, -16.38010,   9.51010,   5.39737,  -2.85107, 166.47000,   2.33995,  -7.21903,   0.28923,  -0.42683,  30.30850,   6.51211,  -0.33310, -67.04530,  -0.09085,   0.07930, -16.57370, 170.25500,   6.52512, 175.85600,  -0.04004,   0.03462,  58.07100,   2.45278, -10.29620, -48.50250,   0.51070,  -0.56923, -20.83050
   0.13333,   0.00000,   0.00000,  -0.00000,  98.12080,  -1.24049,   4.87848,  97.96090,  87.76520,-101.68800,  -3.29693,   0.97814,  -7.42715,  -8.57023,  -4.39587,   1.50800,  -2.54028,  -7.57404,  13.60030, -90.31070,   1.13484, -89.68880, -63.73290,  13.87070,  -9.47936,  11.06590,  14.30080, -38.37100,   9.85244,   5.19148,   2.93171,  89.25210,   3.58202, -93.19830, -74.71480,  -7.42868,  30.40240,   3.58468,  12.17200, -16.55220,   9.41636,   5.39596,  -2.80612, 166.21200,   2.90117,  -8.99663,   0.25736,  -0.40406,  28.79010,   6.06237,  -0.78742, -65.21240,  -0.08834,   0.07679, -16.57370, 169.29200,   7.68478,-179.16400,   0.03061,  -0.00896,  48.94660,  -0.71133,  -9.90292, -53.49260,   1.35625,  -1.74381, -28.87870
   0.16667,   0.00000,   0.00000,  -0.00000,  98.62510,  -2.00137,   3.00391, 111.32100,  88.27390,-115.37700,  -4.47832,   1.68708,  -8.05231,  -9.00376,  -4.54725,   1.58238,  -1.91628,  -7.90689,  13.93690, -90.38030,   1.37658, -89.55590, -63.34820,  14.02480,  -8.70017,  10.43670,  14.66880, -36.03120,  10.09230,   5.19865,   2.75305,  89.18030,   4.00910, -93.43510, -75.26250,  -6.64275,  29.20860,   3.65598,  12.16560, -16.87160,   9.39786,   5.39660,  -2.82694, 166.21800,   3.70104, -11.84980,   0.22334,  -0.36344,  27.70560,   5.46990,  -1.54385, -63.22370,  -0.07478,   0.06465, -16.57450, 169.15500,   8.55517,-175.53900,   0.02046,  -0.00027,  38.49810,   0.66700,  -8.64982, -57.44000,   2.02702,  -3.01932, -36.88090
   0.20000,   0.00000,   0.00000,  -0.00000,  98.57400,  -2.63482,   1.11916, 130.75400,  88.60900,-134.99100,  -5.56151,   2.30590,  -8.37125,  -9.66858,  -4.77848,   1.57275,  -1.09146,  -8.24016,  14.28920, -90.51310,   1.84131, -89.42830, -62.88680,  14.06750,  -7.63780,   9.73965,  15.05630, -33.45480,  10.23380,   5.20008,   2.71723,  89.08140,   4.55291, -93.57960, -75.68250,  -5.61712,  27.81330,   3.71503,  11.90270, -17.47930,   9.53558,   5.40260,  -3.02249, 166.99900,   5.33013, -14.92270,   0.18146,  -0.30074,  26.70410,   4.61766,  -3.00577, -61.02730,  -0.05185,   0.04466, -16.57520, 169.98100,   9.25322,-173.60500,   0.01920,   0.00050,  30.25130,   0.23331,  -8.49108, -61.88990,   1.49521,  -2.90727, -35.25760
   0.23333,   0.00000,   0.00000,  -0.00000,  97.89040,  -3.21861,  -0.27047, 149.58300,  88.63130,-153.75400,  -6.26607,   2.86688,  -8.19875, -10.39910,  -4.95724,   1.57982,  -0.24330,  -8.51302,  14.46670, -90.64360,   2.28897, -89.29100, -62.97160,  13.60930,  -6.24549,   9.02686,  15.58030, -30.60370,  10.30150,   5.19803,   2.76848,  88.97050,   5.17244, -93.72670, -75.83240,  -3.96577,  26.19570,   3.76170,  11.63440, -18.06220,   9.61342,   5.41113,  -3.30243, 168.74500,   7.59987, -17.37880,   0.13317,  -0.22383,  25.37100,   3.49676,  -5.25630, -58.61360,  -0.02694,   0.02312, -16.57650, 171.70100,   9.69667,-172.51900,   0.01570,   0.00287,  23.50340,  -0.26010,  -9.22664, -64.19210,  -1.12635,  -3.89663, -33.64540
   0.26667,   0.00000,   0.00000,  -0.00000,  96.88620,  -3.64612,  -1.29078, 161.06900,  88.50940,-164.99500,  -6.67927,   3.30884,  -7.67357, -11.22280,  -5.03629,   1.58065,   0.67197,  -8.69073,  14.27030, -90.72030,   2.54423, -89.18650, -63.86360,  12.44120,  -4.48317,   8.29881,  16.07890, -27.77370,  10.48560,   5.19139,   2.93395,  88.88930,   5.69347, -93.94190, -75.65050,  -1.74709,  24.28990,   3.88863,  11.71390, -18.51540,   9.48713,   5.41425,  -3.40627, 170.92000,   8.98928, -19.48200,   0.08902,  -0.14615,  23.97130,   2.57003,  -6.74002, -56.19270,   0.00652,  -0.00724, -16.64850, 172.86900,  13.16310,-172.03200,   0.04714,  -0.09540,  18.75790,  -0.14272,  -7.39261, -66.83780,  -0.64696,  -2.86122, -28.20530
   0.30000,   0.00000,   0.00000,  -0.00000,  95.89140,  -3.84800,  -2.48505, 169.39500,  88.40170,-173.01400,  -7.06119,   3.60290,  -7.02871, -12.02620,  -4.88882,   1.40920,   1.40790,  -8.91888,  14.18160, -90.73910,   2.60800, -89.17230, -65.33100,  10.49720,  -2.74760,   7.47988,  16.46290, -24.85790,  10.54400,   5.19394,   2.87095,  88.83950,   6.22258, -94.41350, -74.79540,   0.35171,  22.29440,   4.30670,  12.36060, -19.38600,   9.37801,   5.40430,  -3.07791, 173.02400,   9.21030, -21.76170,   0.05326,  -0.07969,  22.31960,   1.95888,  -7.00127, -53.54230,   0.04769,  -0.05336, -17.09910, 173.97900,  17.39930,-172.34600,   0.03980,  -0.10476,  15.05980,   0.03087,  -3.59520, -69.01790,   0.70802,  -1.03377, -23.56750
   0.33333,   0.00000,   0.00000,  -0.00000,  94.96750,  -3.81158,  -3.42841, 172.03300,  88.29760,-175.40200,  -7.18197,   3.80354,  -6.51324, -12.62840,  -4.80083,   1.42621,   1.87600,  -9.11256,  14.18360, -90.71300,   2.53709, -89.29710, -66.71410,   8.45645,  -0.87822,   6.57937,  16.21290, -22.44400,  10.47650,   5.19739,   2.78498,  88.79340,   6.81934, -94.94070, -73.54170,   2.53621,  19.89560,   4.61743,  12.90640, -19.88340,   9.61217,   5.39749,  -2.85645, 174.89600,   8.74277, -23.79420,   0.02457,  -0.01906,  20.58280,   1.47427,  -6.47492, -50.78370,   0.08314,  -0.09365, -17.49010, 175.80700,  19.72210,-173.32900,   0.01968,  -0.04414,  12.53030,   0.41676,  -1.58049, -70.98700,   0.56420,  -0.63406, -21.29810
   0.36667,   0.00000,   0.00000,  -0.00000,  93.98730,  -3.61542,  -3.87455, 169.96500,  88.18590,-173.08300,  -7.02738,   3.96732,  -6.00507, -12.82890,  -4.87111,   1.67887,   1.99860,  -9.24589,  14.02140, -90.66880,   2.39541, -89.39760, -67.94610,   6.52806,   1.18081,   5.88360,  15.93850, -20.56890,  10.29870,   5.20052,   2.70634,  88.74860,   7.28971, -95.23230, -72.01730,   4.45896,  16.94920,   4.87288,  13.83690, -19.62390,  10.44380,   5.39837,  -2.88476, 176.64400,   8.05472, -25.23590,   0.00299,   0.03338,  18.77080,   1.00620,  -5.72251, -48.00910,   0.11220,  -0.12712, -17.81310, 177.97800,  20.60190,-176.46200,  -0.00713,   0.07353,  14.56310,   0.96788,  -0.90408, -73.04140,   0.35581,  -0.38746, -19.50210
   0.40000,   0.00000,   0.00000,  -0.00000,  92.70160,  -3.18045,  -3.99801, 165.47000,  88.15130,-168.19400,  -6.74811,   3.91685,  -5.22751, -12.99450,  -4.83793,   1.61822,   2.24563,  -9.48405,  14.07080, -90.68140,   2.45035, -89.45600, -68.88800,   4.58370,   3.83812,   5.51274,  15.62670, -19.71210,  10.06720,   5.20502,   2.59307,  88.75620,   7.48906, -95.54270, -70.33010,   5.41215,  13.69300,   4.97253,  14.58020, -19.07040,  11.23300,   5.38970,  -2.60814, 178.47900,   7.09404, -26.04950,  -0.00787,   0.06392,  16.64530,   0.57939,  -4.63574, -45.17470,   0.17148,  -0.19658, -18.47850,-179.32400,  20.38970, 178.99500,  -0.07643,   0.06748,  19.61770,   2.07570,  -1.82115, -74.05280,   0.18665,  -0.19828, -18.08980
   0.43333,   0.00000,   0.00000,  -0.00000,  91.11840,  -2.50048,  -3.62874, 156.64400,  88.13270,-158.84600,  -6.21782,   3.69147,  -4.21036, -12.98140,  -4.93835,   1.54774,   2.21875,  -9.79356,  14.02580, -90.72190,   2.56266, -89.26250, -69.63240,   2.70102,   6.66086,   5.24837,  15.15820, -19.35580,   9.95406,   5.21516,   2.33612,  88.82260,   7.36081, -95.88650, -68.75060,   5.00582,  10.28130,   4.90337,  14.97040, -18.37500,  11.60810,   5.37326,  -2.08776,-179.74000,   5.69290, -25.92900,  -0.01040,   0.07325,  13.90290,   0.27618,  -3.21871, -42.11640,   0.21815,  -0.25244, -19.00890,-176.22300,  19.19070, 175.80100,   0.02186,   0.00694,  22.71500,   2.81477,  -4.09267, -73.96860,   0.10969,  -0.11525, -17.45960
   0.46667,   0.00000,   0.00000,  -0.00000,  89.36180,  -1.49872,  -2.82773, 146.53200,  88.01570,-148.11200,  -5.53292,   3.48963,  -2.99544, -12.72640,  -5.10106,   1.25961,   2.01021, -10.42290,  14.11700, -90.71920,   2.51248, -89.02140, -70.49530,   1.08223,   9.31806,   5.13301,  15.05900, -19.07220,   9.75790,   5.21992,   2.21504,  88.92880,   7.00554, -96.28420, -67.44390,   3.46516,   7.50243,   4.75217,  14.55720, -18.30510,  12.02620,   5.35696,  -1.58765,-178.26000,   3.82969, -26.10320,  -0.00868,   0.05753,  13.36590,   0.09747,  -1.32498, -42.34270,   0.24462,  -0.28458, -19.31210,-173.65700,  21.17930, 174.25200,   0.04891,  -0.04520,  24.24050,   3.95330,  -3.67642, -73.52160,   0.11636,  -0.12237, -17.51390
