time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.01110,  47.10480,   6.93267,  75.95560,  80.26410, -77.67110,  11.08200,  -4.73894,  -2.97072,  12.27620, -18.29420,   5.76663,  -8.23512, -28.36490,  13.02550, -91.03050,   2.59746, -83.35300, -61.67840,   9.29959,  -3.88364,   0.73433,   2.46884, -16.62460,  14.84040,   5.48394,  -5.88531,  87.37620,   8.79704, -88.31990, -64.54560,  16.96280,   7.51418,  24.73670,  13.12210, -63.77020,   5.85988,   5.33211,  -0.84619,-175.25600, -20.28510,  -7.94215,   0.06773,  -0.05602,  40.93570,  -0.35591,  -5.10534, -78.23980,   0.04098,  -0.06453, -17.72640, 171.04600,   8.34948, 156.87900,   0.25295,  -0.16080,  56.12630,  -8.20349,  -6.06073, -55.77800,   0.26136,  -0.30611, -19.53380
   0.03333,   0.00000,   0.00000,  -0.00000,  82.94400,  48.23430,   6.29872,  70.90070,  80.76260, -71.92790,   9.67763,  -6.02610,  -1.54372,  12.49200, -18.53700,   5.85555,  -9.50643, -27.72470,  11.87060, -90.75390,   1.94808, -83.84140, -60.64610,  10.46860,  -4.78605,  -0.50652,  -1.30434, -21.13630,  16.84930,   5.52301,  -7.48033,  87.16560,   8.70091, -86.87760, -65.96890,  17.43900,  11.70400,  23.94960,  13.94560, -61.51670,   4.84673,   5.32486,  -0.63635,-175.80500, -19.13660,  -5.54443,   0.04304,  -0.03301,  36.40840,   0.01539,  -4.79816, -76.43930,   0.08401,  -0.13554, -18.97420, 176.20900,  11.59980, 153.27600,   0.16208,  -0.12050,  51.66680,  -9.21302,  -5.80271, -57.20230,   0.24619,  -0.28746, -19.35720
   0.06667,   0.00000,   0.00000,  -0.00000,  82.30550,  49.74930,   5.44800,  66.40370,  81.06750, -66.79120,   8.63073,  -7.11924,  -0.23709,  12.38850, -19.14990,   6.08735, -10.69690, -27.82550,  11.01320, -90.42570,   1.13798, -84.49400, -59.57100,  11.12410,  -6.55428,  -1.95821,  -4.10414, -25.52050,  17.79000,   5.54410,  -8.42998,  86.97860,   8.52952, -85.41090, -66.97650,  17.36020,  15.45090,  21.28790,  13.67940, -58.74460,   4.30171,   5.33795,  -1.01980,-176.59700, -17.48940,  -3.90118,   0.03221,  -0.01969,  33.24910,  -0.04483,  -4.62749, -74.42490,   0.14017,  -0.23382, -20.67400,-178.65100,  14.44720, 150.32100,   0.08356,  -0.07681,  45.02220, -10.30080,  -5.52389, -57.29340,   0.25716,  -0.30095, -19.48510
   0.10000,   0.00000,   0.00000,  -0.00000,  82.28610,  51.82000,   4.62866,  62.69520,  81.12810, -62.56380,   8.07067,  -8.10404,   0.83546,  12.19670, -20.17760,   6.50215, -11.91170, -28.64740,  10.51140, -90.10900,   0.30470, -85.32390, -58.28140,  11.43230,  -9.07615,  -2.82877,  -5.01106, -29.49790,  17.90990,   5.55088,  -8.74612,  86.75480,   8.47831, -83.96430, -67.49490,  16.85500,  18.69740,  19.58950,  13.76200, -56.24050,   3.38252,   5.34666,  -1.27727,-177.63600, -15.43850,  -2.36044,   0.02858,  -0.01176,  31.35230,  -0.05169,  -4.45957, -72.73810,   0.20000,  -0.34667, -22.59300,-174.11500,  16.91900, 148.40800,   0.02850,  -0.03297,  36.95660, -11.55720,  -4.51269, -56.21140,   0.26352,  -0.30881, -19.55930
   0.13333,   0.00000,   0.00000,  -0.00000,  82.72920,  54.48710,   4.08821,  59.64690,  80.93390, -59.06260,   8.00395,  -9.12267,   1.80903,  11.68630, -21.36300,   6.83764, -12.87380, -29.82820,  10.31830, -89.85020,  -0.43584, -86.01610, -56.44170,  12.44570, -12.48790,  -2.35599,  -3.68964, -32.60610,  18.64910,   5.55848,  -9.11218,  86.58890,   8.32299, -82.61940, -67.79310,  16.25270,  21.06520,  19.60990,  15.07820, -53.86770,   2.40024,   5.35457,  -1.51456,-178.62500, -13.54150,  -0.34092,   0.02940,  -0.00620,  30.48330,   0.13825,  -3.76605, -71.81580,   0.26397,  -0.47859, -24.79640,-171.13500,  18.35450, 147.84000,   0.00121,   0.00524,  29.06050, -14.75670,  -1.66482, -54.97550,   0.24971,  -0.29176, -19.39810
   0.16667,   0.00000,   0.00000,  -0.00000,  83.50500,  57.69000,   4.03481,  57.34680,  80.45820, -56.34550,   8.49382, -10.24240,   2.76746,  11.39530, -22.35350,   7.11785, -14.07120, -31.32170,  10.54240, -89.60270,  -1.17764, -86.35420, -54.31720,  13.71430, -16.85700,  -1.61984,  -2.32224, -34.91190,  19.46370,   5.56266,  -9.31897,  86.51800,   8.10395, -81.65290, -67.95150,  15.43510,  22.47450,  19.45200,  16.55630, -51.10490,   1.23369,   5.35106,  -1.40771,-179.20500, -12.20280,   2.44382,   0.01658,  -0.00113,  30.77970,   0.47149,  -1.95924, -71.65080,   0.32860,  -0.62684, -27.22560,-170.16100,  19.42610, 148.15000,  -0.00734,   0.02564,  24.10400, -20.65330,   1.94554, -53.12420,   0.27928,  -0.32830, -19.74360
   0.20000,   0.00000,   0.00000,  -0.00000,  84.18830,  61.74880,   4.25709,  54.87880,  79.94840, -53.34270,   8.96863, -11.49090,   3.98172,  10.95290, -23.47800,   7.26242, -14.98680, -32.57680,  10.48890, -89.42230,  -1.73782, -86.60520, -52.69930,  14.51290, -21.38370,  -2.22301,  -2.97290, -36.80390,  19.64090,   5.55477,  -8.93223,  86.32950,   8.09419, -80.50600, -67.49800,  14.94330,  23.04720,  19.08580,  18.22380, -47.89450,  -0.16131,   5.34699,  -1.28747,-179.16400, -10.86900,   4.89216,   0.02981,   0.00441,  32.78740,   0.89266,   0.90171, -71.65770,   0.40459,  -0.82769, -30.45210,-170.29500,  20.53760, 147.58700,  -0.09533,   0.21330,  25.07320, -23.15790,   6.02959, -53.61000,   0.27418,  -0.32197, -19.68380
   0.23333,   0.00000,   0.00000,  -0.00000,  82.50070,  66.34600,   5.57351,  51.98460,  79.98720, -49.57400,   8.42050, -12.26440,   5.73739,  12.26040, -24.81050,   8.03621, -16.41180, -34.41320,  10.34320, -89.29380,  -2.19332, -87.14490, -52.84150,  14.19760, -25.18930,  -3.54433,  -4.42848, -38.72820,  19.22980,   5.54215,  -8.33688,  85.65820,   9.06105, -79.26220, -66.11070,  14.58050,  23.57840,  17.62990,  19.53160, -43.54950,  -0.74970,   5.35385,  -1.49314,-177.22600, -10.61210,   4.90480,   0.04222,  -0.00599,  37.24200,   1.48297,   5.56794, -70.18500,   0.51051,  -1.19044, -36.13090,-168.62100,  19.45070, 142.97500,  -0.12601,   0.21177,  34.20550,  -0.93553,   9.46578, -55.37430,   0.14659,  -0.16773, -18.21220
   0.26667,   0.00000,   0.00000,  -0.00000,  81.39160,  70.85000,   8.32566,  51.83660,  79.94250, -48.82450,   8.53279, -12.35270,   6.96210,  12.79090, -26.67700,   8.43557, -16.46500, -37.08210,   9.44587, -89.16890,  -2.62810, -87.44370, -55.00500,  13.66460, -28.16260,  -4.26009,  -4.81998, -41.55770,  18.92100,   5.52819,  -7.71626,  85.09170,   9.95218, -78.57750, -64.79860,  12.44170,  24.36240,  16.11150,  21.00740, -38.86150,  -0.72946,   5.35294,  -1.46640,-173.95500, -11.50330,   4.81830,   0.10787,  -0.06653,  44.74420,   1.17995,  12.66460, -63.86410,   0.60694,  -1.82982, -45.85520,-172.54800,  14.36250, 143.80300,   0.13227,  -0.12943,  42.63480,   5.05007,  -1.64604, -58.90810,  -0.07275,   0.07974, -15.77990
   0.30000,   0.00000,   0.00000,  -0.00000,  79.29790,  73.72790,  13.96770,  56.47340,  79.39280, -53.07010,  10.43190, -11.56230,   7.87990,  11.98130, -27.95060,   8.47184, -15.23170, -39.19240,   8.50688, -88.99780,  -3.18099, -87.50140, -59.20950,  12.26500, -29.32440,  -4.16696,  -3.99633, -46.27430,  19.95420,   5.53334,  -7.94036,  84.73010,  11.23180, -79.65860, -63.63330,   9.87458,  23.34690,  13.11300,  21.69480, -32.21670,   0.06240,   5.33750,  -1.00668,-170.13600, -10.53650,   3.82023,   0.27970,  -0.17145,  54.37080,  -6.03301,  18.53010, -50.53750,   0.60955,  -1.87460, -46.52960,-175.80000,  10.64960, 147.89900,   0.03428,  -0.01831,  49.49040,   1.12487,  -7.98181, -64.11070,  -0.19700,  -0.09740, -16.02930
   0.33333,   0.00000,   0.00000,  -0.00000,  74.69170,  77.43670,  20.40210,  58.45440,  79.10300, -54.87250,  11.33080, -11.20510,   8.29426,  12.70570, -28.91890,   8.76781, -12.74740, -40.73490,   9.00000, -88.87760,  -3.57356, -87.55010, -62.57800,  12.51460, -29.72940,  -4.94570,  -4.02480, -50.94070,  22.29180,   5.56663,  -9.47956,  84.26450,  13.10370, -81.10460, -62.78320,   9.03507,  20.61650,  10.19660,  22.80260, -24.90160,   0.00869,   5.29305,   0.26621,-168.40700,  -5.96462,  -2.36954,   0.54797,  -0.23467,  65.71460, -15.68270,  17.63150, -37.82800,   0.32252,  -0.61217, -26.98760,-177.12000,  13.44160, 152.00700,   0.07832,  -0.04340,  51.94870,  -0.35595,  -8.80990, -68.64120,  -0.48637,  -0.47506, -16.46210
