time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  82.01600,  49.26990,   4.86410,  68.64060,  82.13470, -68.26940,   6.92905,  -5.71291,   1.08814,   4.45383, -18.77660,   4.33101,  -1.32449, -23.75220,   7.83762, -90.38640,   1.25506, -87.88810, -49.34930,   8.75116, -10.37510,  -0.69315,  -0.86475, -38.69740,  18.25260,   5.59519, -11.05950,  86.73860,  10.85130, -88.15940, -60.62980,   4.97182,  20.18600,   5.38224,   7.41214, -36.14700,   5.85364,   5.55705,  -9.04341,-174.19500, -17.75960, -10.74090,   0.05610,  -0.04873,  39.21000,  -0.55831,  -7.68886, -76.45170,   0.03372,  -0.05289, -17.52000, 178.05400,  13.15870, 150.33100,   0.20735,  -0.16111,  51.30730,  -8.86272,  -8.52119, -55.77950,   0.17929,  -0.20650, -18.58510
   0.03333,   0.00000,   0.00000,  -0.00000,  82.14620,  50.24600,   4.10852,  65.69850,  82.09610, -65.10340,   6.70807,  -6.49037,   1.57068,   4.49982, -18.93810,   4.18219,  -1.68807, -23.73850,   7.72821, -90.25380,   0.82831, -87.96830, -47.94470,   8.20184, -12.20180,  -1.05710,  -1.19016, -41.61430,  19.35880,   5.59644, -11.13220,  86.71690,  10.44790, -87.44660, -60.53570,   4.38792,  21.89340,   5.44119,   7.50007, -36.12650,   5.64198,   5.55266,  -8.83356,-174.92200, -17.98520,  -8.66910,   0.03893,  -0.02943,  36.11900,   0.22325,  -6.92732, -75.85250,   0.04563,  -0.07205, -17.85910,-177.63200,  15.90420, 148.09600,   0.13304,  -0.12945,  45.14790, -10.65470,  -6.39835, -55.50920,   0.16483,  -0.18930, -18.41980
   0.06667,   0.00000,   0.00000,  -0.00000,  82.62030,  51.66600,   3.26620,  63.08150,  81.90010, -62.29530,   6.77160,  -7.31729,   2.00582,   4.41207, -19.22270,   3.98878,  -2.14082, -23.88920,   7.65313, -90.15720,   0.51877, -88.13750, -46.63330,   7.65876, -13.96750,  -1.58549,  -1.61203, -44.53290,  20.37110,   5.59827, -11.23970,  86.66240,  10.22840, -86.81850, -60.19210,   4.00777,  23.24810,   5.48696,   7.56038, -36.13920,   5.58875,   5.55410,  -8.90104,-175.74700, -18.02850,  -6.91546,   0.02960,  -0.01554,  34.13340,   0.97878,  -5.91888, -75.87890,   0.06008,  -0.09563, -18.27440,-173.87300,  18.56380, 146.52900,   0.07607,  -0.09721,  37.77650, -12.18500,  -3.09771, -54.23150,   0.18424,  -0.21240, -18.64140
   0.10000,   0.00000,   0.00000,  -0.00000,  83.39750,  53.36950,   2.40430,  61.24100,  81.53200, -60.27550,   7.20537,  -8.12416,   2.44397,   4.18748, -19.57550,   3.76513,  -2.85886, -24.16760,   7.74208, -90.07050,   0.23534, -88.33910, -45.80170,   6.82467, -15.68660,  -2.09496,  -1.92990, -47.37060,  20.93940,   5.60147, -11.43060,  86.59300,  10.13010, -86.30020, -59.73280,   3.82589,  24.06780,   5.39899,   7.42748, -36.17540,   5.53662,   5.55180,  -8.79104,-176.72600, -17.24880,  -5.48670,   0.02573,  -0.00608,  33.45530,   1.33200,  -5.37495, -76.57350,   0.07354,  -0.11796, -18.66680,-170.90400,  20.31780, 145.44300,   0.03657,  -0.06028,  30.12590, -12.87320,  -0.53395, -52.67290,   0.17745,  -0.20427, -18.56360
   0.13333,   0.00000,   0.00000,  -0.00000,  84.27430,  55.03250,   1.55415,  60.55260,  81.12260, -59.38410,   7.85327,  -8.69226,   2.93578,   3.96557, -19.98960,   3.59791,  -3.76145, -24.68070,   8.01188, -90.01690,   0.05667, -88.44100, -45.30140,   6.28590, -17.40750,  -2.50937,  -2.10792, -49.99680,  21.56130,   5.60261, -11.49840,  86.48870,  10.23600, -85.95010, -59.13720,   3.73985,  24.50670,   5.41468,   7.41701, -36.29410,   5.55377,   5.54971,  -8.69233,-177.70300, -16.19210,  -4.30908,   0.02506,  -0.00001,  33.84960,   1.64121,  -5.21842, -77.88170,   0.08944,  -0.14476, -19.13430,-169.18900,  20.27840, 144.56000,   0.01070,  -0.03521,  23.26620, -13.75260,  -1.06183, -50.61810,   0.18171,  -0.20938, -18.61260
   0.16667,   0.00000,   0.00000,  -0.00000,  85.27030,  56.50400,   0.73918,  60.65480,  80.73000, -59.29220,   8.58421,  -9.03341,   3.40643,   3.81387, -20.28050,   3.49312,  -4.57980, -25.34770,   8.44510, -89.98580,  -0.04807, -88.47920, -45.34820,   6.11470, -18.86080,  -2.90845,  -2.26484, -52.12340,  22.28010,   5.60606, -11.70980,  86.39580,  10.53590, -85.99250, -58.54170,   3.68487,  24.73080,   5.37276,   7.35850, -36.29610,   5.65456,   5.54848,  -8.63456,-178.51800, -15.43920,  -3.11602,   0.02721,   0.00273,  35.08000,   1.84146,  -4.95919, -79.51100,   0.11798,  -0.19422, -19.99250,-169.01500,  18.83970, 143.76200,   0.00619,  -0.01814,  18.63400, -15.16340,  -3.21312, -49.60790,   0.17017,  -0.19563, -18.48070
   0.20000,   0.00000,   0.00000,  -0.00000,  86.47030,  58.07040,  -0.14802,  61.18410,  80.35460, -59.59070,   9.35729,  -9.22501,   3.94622,   3.55981, -20.79760,   3.48433,  -5.30690, -26.11470,   8.72830, -90.03230,   0.11030, -88.69740, -45.80160,   6.48713, -19.95490,  -3.27604,  -2.41358, -53.65440,  22.89370,   5.60877, -11.88090,  86.30900,  10.83570, -86.06020, -58.04010,   3.75666,  24.41140,   5.30324,   7.35487, -35.95130,   5.79291,   5.54890,  -8.65452,-179.16400, -14.71710,  -1.85030,   0.02657,   0.00388,  36.96240,   1.72337,  -4.36603, -81.17240,   0.15579,  -0.26246, -21.16480,-169.99000,  17.30000, 142.65900,  -0.00599,   0.01426,  17.37780, -16.68800,  -3.68361, -50.47750,   0.18057,  -0.20803, -18.59960
   0.23333,   0.00000,   0.00000,  -0.00000,  87.58160,  59.72710,  -1.08175,  61.37900,  80.07840, -59.47760,   9.91153,  -9.41204,   4.62456,   3.36060, -21.23360,   3.60225,  -5.98602, -26.91910,   8.77885, -90.10490,   0.36462, -88.95370, -46.86360,   7.56668, -20.37650,  -3.36859,  -2.41437, -54.40730,  23.37640,   5.61271, -12.13400,  86.27780,  11.03520, -86.22810, -57.67640,   3.79464,  23.61170,   5.44610,   7.70647, -35.41650,   6.03830,   5.54882,  -8.65055,-179.36300, -14.46660,  -0.52961,   0.03278,   0.00374,  39.23470,   1.74384,  -3.20555, -82.57170,   0.21349,  -0.37347, -23.04440,-170.59000,  16.63320, 139.63900,  -0.10628,   0.27316,  22.07960, -15.22550,  -1.97860, -53.42830,   0.18138,  -0.20900, -18.60900
   0.26667,   0.00000,   0.00000,  -0.00000,  87.54810,  61.14510,  -2.40585,  61.04360,  80.32800, -58.54440,   9.46049,  -9.27639,   5.77245,   3.47267, -21.50840,   3.92230,  -7.10659, -27.54940,   8.54945, -90.24150,   0.84855, -89.11220, -48.28740,   9.58886, -20.23880,  -2.80156,  -2.02692, -54.14280,  23.52750,   5.61294, -12.14930,  86.25660,  11.30790, -86.54720, -57.07000,   3.73744,  22.66880,   5.74225,   8.14772, -35.36240,   6.40412,   5.54991,  -8.70169,-179.08100, -14.29510,  -0.82987,   0.03615,  -0.00014,  42.03750,   1.43748,  -1.91823, -83.24750,   0.29195,  -0.54070, -25.81950,-169.17800,  15.20820, 133.56300,  -0.15174,   0.25606,  31.53540,   0.93541,   0.66435, -53.04960,   0.13800,  -0.15762, -18.11440
   0.30000,   0.00000,   0.00000,  -0.00000,  86.86730,  62.29880,  -2.05838,  62.25320,  80.44130, -59.04710,   9.49241,  -8.80249,   7.14949,   3.25735, -21.81650,   4.13878,  -8.20027, -28.09710,   7.93893, -90.44890,   1.59507, -89.28030, -49.95860,  12.55460, -19.30860,  -1.19611,  -0.90054, -53.00230,  22.89100,   5.61380, -12.20640,  86.20570,  11.62470, -86.78180, -56.06860,   3.62766,  21.84660,   5.59903,   7.75617, -36.00200,   6.57044,   5.55276,  -8.83676,-178.11900, -13.59600,  -0.00689,   0.06016,  -0.01281,  45.42090,   0.40058,  -0.55900, -82.31820,   0.40797,  -0.83745, -30.60760,-171.22800,  12.52080, 130.55900,  -0.00343,   0.00584,  40.54980,   4.47208,  -2.49044, -52.45370,   0.02400,  -0.02683, -16.83880
