time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  70.23390,  70.57100,  17.48510,  56.47180,  84.40150, -53.35750,   1.75922,  -6.34392,   6.32556, -12.23450, -17.75790,  -2.93770,  -8.84487, -25.39540,   3.46877, -90.41000,   2.80335, -96.67170, -75.93230,  -5.52752,  14.60820,  23.53250,  14.65380, -59.84530,  25.67650,   5.15463,   3.84229,  88.19720,   6.36844, -89.16130, -66.53190,  -3.41278,  21.48460,  -0.87045,  -0.86978, -45.34390,  41.14280,   5.68164, -20.46270,-174.84200, -11.91030, -22.34770,  -0.27628,   0.04944,  77.86040,   3.93389,   1.01630, -27.45660,   0.59119,  -0.74075, -23.48520,-166.94600,   0.83592, 161.59700,  -0.15708,   0.21049,  43.79410,   1.68087, -13.22870, -77.46990,   0.03864,  -0.04019, -16.88430
   0.03333,   0.00000,   0.00000,  -0.00000,  76.80170,  69.12700,  10.86650,  64.35400,  85.21000, -62.09230,   0.96228,  -4.27895,   4.55737, -11.90910, -17.35740,  -2.27102,  -8.22961, -27.02070,   3.25060, -90.29970,   1.48767, -93.58370, -72.78470,  -9.65917,  24.33720,  22.97520,  16.33890, -56.43440,  24.64990,   5.20792,   2.51330,  88.74220,   5.37349, -91.80820, -66.44710,  -3.61040,  14.40250,   2.20722,   1.41891, -57.23770,  42.40200,   5.68038, -19.81650,-178.14700, -10.94480, -28.11020,  -0.45052,   0.05545,  81.54940,   9.64406,  -3.40597, -33.39490,   0.57088,  -0.71200, -23.22920,-169.86700,   0.40700, 165.98000,   0.12330,  -0.10542,  38.77760,   3.67136, -11.72270, -76.54920,   0.07871,  -0.08234, -17.20790
   0.06667,   0.00000,   0.00000,  -0.00000,  83.63080,  66.99590,   3.53715,  82.61990,  86.29490, -81.47880,  -0.40581,  -1.03296,   2.27741, -11.73000, -17.54180,  -1.98178,  -6.79064, -28.96960,   3.08067, -89.92400,  -0.30585, -91.13760, -66.92400, -13.92590,  32.76460,  22.04730,  16.48660, -54.97900,  23.81730,   5.18442,   3.10222,  89.13610,   4.15532, -93.24530, -65.62110,  -5.57787,   9.37419,   3.50965,   1.19859, -71.13420,  41.86060,   5.67313, -17.80690, 178.61700,  -9.50747, -31.89780,  -0.44739,   0.07011,  79.51500,  11.87700,  -7.74847, -35.58860,   0.51605,  -0.63580, -22.54520,-173.85600,  -2.78225, 169.90000,   0.08214,  -0.07933,  32.29850,   1.97038, -10.53680, -70.62060,  -0.53757,  -1.21616, -20.13740
   0.10000,   0.00000,   0.00000,  -0.00000,  89.09790,  65.21790,  -2.74114, 105.81900,  86.79360,-105.66100,  -1.59866,   1.73476,   0.34021, -11.51990, -17.57470,  -1.79153,  -6.40878, -30.48360,   2.81941, -89.50720,  -1.73900, -89.18320, -59.46200, -17.05010,  39.90870,  21.23110,  15.90630, -54.79890,  25.27400,   5.12228,   4.57946,  89.49590,   2.60859, -94.06180, -64.11980,  -8.44088,   4.79638,   4.31007,   0.43376, -84.28660,  39.56140,   5.64576, -14.51590, 176.24500,  -6.65603, -34.14200,  -0.33777,   0.08823,  73.69180,  11.39450, -11.33320, -37.70920,   0.50659,  -0.62291, -22.42920,-177.80100,  -4.10632, 172.82100,   0.03025,  -0.01557,  25.66240,   1.38449,  -9.53638, -61.25110,  -0.32920,  -1.88457, -24.92410
   0.13333,   0.00000,   0.00000,  -0.00000,  93.25290,  64.00650,  -8.15742, 123.37100,  87.00260,-123.89600,  -2.74605,   3.34459,  -0.97133, -11.62750, -17.29190,  -1.65004,  -6.27966, -31.09960,   2.40821, -88.94930,  -3.37337, -87.69300, -53.07160, -19.56720,  45.67990,  21.89170,  16.36360, -54.96460,  28.62290,   5.01188,   7.03733,  89.88950,   0.60431, -94.65280, -62.91620, -11.94530,  -0.14070,   4.25043,  -0.37890, -95.09440,  35.95540,   5.59438, -10.90830, 174.92500,  -3.11762, -35.20280,  -0.25964,   0.10723,  65.24970,  12.20860, -12.23450, -40.76900,   0.47399,  -0.57863, -22.02860, 178.55900,  -2.55307, 174.62400,   0.01496,  -0.00112,  19.53190,   2.64505,  -6.96637, -51.23780,   1.38040,  -1.78305, -29.13480
   0.16667,   0.00000,   0.00000,  -0.00000,  94.95290,  63.15720, -10.64690, 133.93600,  86.96270,-134.80400,  -3.36296,   4.29703,  -1.61086, -11.76910, -16.94190,  -1.38391,  -5.98180, -31.33130,   2.27023, -88.07340,  -5.75868, -86.47050, -49.40790, -20.77960,  49.22140,  19.01800,  14.61300, -53.79670,  33.01820,   4.84345,  10.45280,  90.25190,  -1.43961, -95.07160, -63.02770, -15.57590,  -4.56934,   2.89319,  -0.69156,-103.48800,  32.41360,   5.54103,  -8.27896, 175.58700,  -0.04956, -34.37260,  -0.14932,   0.09203,  55.19370,  11.54600, -12.35930, -44.51110,   0.49420,  -0.60596, -22.27610, 176.38100,  -1.03642, 176.73900,   0.00937,  -0.00187,  13.99670,   4.39294,  -4.48650, -41.15590,   1.95272,  -2.85435, -35.87740
   0.20000,   0.00000,   0.00000,  -0.00000,  94.67350,  62.58980, -10.68850, 138.47700,  86.79100,-139.36500,  -3.47894,   4.88979,  -1.62812, -11.77210, -16.57290,  -1.52036,  -5.50986, -31.53210,   3.00390, -87.16650,  -8.02557, -85.48110, -47.77970, -20.95620,  51.00070,  16.64060,  12.82890, -53.39150,  36.03130,   4.73732,  12.47780,  90.50070,  -2.83185, -94.96900, -63.96380, -18.06730,  -8.80065,   0.30457,  -0.10267,-108.78500,  31.66660,   5.54541,  -8.48636, 177.38000,   2.04957, -31.86500,  -0.08634,   0.07666,  44.35420,  12.53080, -11.36490, -47.28780,   0.48050,  -0.58741, -22.10820, 175.41100,  -0.78629, 179.07000,   0.00495,   0.00471,   9.87189,   5.95746,  -2.89083, -33.01110,   2.30435,  -3.71727, -41.04650
   0.23333,   0.00000,   0.00000,  -0.00000,  93.46490,  62.09670,  -9.54530, 140.58800,  86.64700,-141.30500,  -3.48213,   5.24878,  -1.27668, -11.58010, -16.44620,  -1.52512,  -4.99085, -31.33640,   3.45712, -86.48750,  -9.75974, -85.09470, -47.84160, -19.71800,  52.14090,  17.45880,  12.75190, -54.93780,  36.05700,   4.69064,  13.32580,  90.74050,  -4.18594, -94.95880, -66.64540, -19.61130, -11.32110,  -0.00411,   0.00117,-111.89400,  33.08540,   5.56784,  -9.57266, 179.47900,   3.21047, -28.09460,  -0.04945,   0.06286,  33.01500,  13.15030,  -9.90599, -48.83990,   0.48520,  -0.59378, -22.16590, 174.90300,  -1.02292,-178.62800,   0.00242,   0.01441,   7.38334,   6.90416,  -1.46191, -27.47380,   2.57184,  -4.58852, -46.10270
   0.26667,   0.00000,   0.00000,  -0.00000,  91.65910,  61.53300,  -7.55661, 141.57000,  86.46720,-142.00500,  -3.36059,   5.57436,  -0.70675, -11.39390, -16.36880,  -1.55380,  -4.36163, -31.11190,   3.62272, -86.17210, -10.74660, -85.26040, -49.33900, -17.23700,  52.67950,  17.06380,  11.35110, -57.33430,  36.04300,   4.70745,  13.02340,  90.83640,  -4.81565, -95.13490, -68.99060, -19.75900, -11.00580,   1.24500,  -0.55524,-114.01700,  35.36550,   5.55985,  -9.19141,-178.77000,   2.89999, -23.45750,  -0.03628,   0.07246,  22.27840,  13.25440,  -9.05751, -50.07870,   0.50024,  -0.61418, -22.35040, 174.54500,  -1.14266,-176.62800,   0.00360,   0.00297,   7.01170,   6.97514,  -0.32417, -24.76190,   2.76916,  -5.52651, -51.42360
   0.30000,   0.00000,   0.00000,  -0.00000,  90.38290,  60.99920,  -5.78843, 139.31400,  86.41180,-139.44700,  -3.08779,   5.45194,  -0.11734, -11.11410, -16.08510,  -1.75130,  -3.98699, -30.62770,   3.55369, -86.37580, -10.44870, -85.74810, -50.90780, -15.23090,  53.29450,  16.03610,   9.35269, -60.51720,  35.79970,   4.76655,  11.94220,  90.68260,  -3.97587, -95.25020, -70.25980, -18.21820,  -8.67590,   2.61807,  -1.19625,-114.54200,  37.00140,   5.56141,  -9.25094,-178.15000,   1.39780, -18.96260,  -0.02565,   0.08318,  14.31550,  13.25280,  -6.85376, -51.45830,   0.50671,  -0.62300, -22.43000, 173.73800,  -1.11339,-175.14200,   0.00927,  -0.02916,   9.00786,   6.91529,   0.31825, -24.60140,   2.87771,  -6.46772, -56.68950
