time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  85.19990,  63.98320,   9.88180,  79.12290,  83.93760, -76.27300,   4.20920,  -2.37266,   5.78128,   3.26267, -23.33880,   2.96127,   9.98898, -33.83180,   4.19786, -91.20950,   5.00091, -91.38500, -67.28670,  16.83280,  12.21900,   0.86938,   1.31535, -33.45200,  13.26060,   5.54995,  -8.70443,  86.51550,  10.44970, -86.44220, -64.07380,  10.03390,  12.73570,   3.24731,   4.32783, -36.94040,  13.08790,   5.37259,  -2.06699,-169.92900, -11.60320, -14.49410,   0.31797,  -0.16037,  62.88680,  -6.09293,   8.68408, -50.08070,   0.14630,  -0.24497, -20.86580,-176.75900,   3.20487, 175.11100,   0.04245,  -0.06667,  21.39790,   1.45460,  -4.23308, -61.38850,   0.12067,  -0.13736, -17.91850
   0.03333,   0.00000,   0.00000,  -0.00000,  87.19960,  61.53840,   8.14447,  86.56650,  84.05840, -84.19490,   4.11690,  -0.78610,   4.76623,   3.46477, -22.49020,   2.96157,   9.97853, -34.08010,   4.24915, -91.20230,   4.51665, -90.07620, -67.62370,  13.90670,  15.05760,  -0.18527,  -0.29550, -32.11410,  12.58110,   5.54773,  -8.59724,  86.73670,  10.43890, -87.53150, -63.36650,  12.46280,   9.49373,   4.12137,   4.91311, -40.08120,  13.40890,   5.37899,  -2.26696,-169.21900, -15.06190, -15.74870,   0.29099,  -0.18865,  56.76790,  -4.16214,   8.71248, -53.84140,   0.14609,  -0.24461, -20.85870,-178.70200,   3.39665, 178.56100,   0.02220,  -0.02575,  18.76300,   0.85525,  -1.34658, -62.04080,   0.11171,  -0.12693, -17.81740
   0.06667,   0.00000,   0.00000,  -0.00000,  87.94810,  59.16970,   7.11271,  91.34600,  84.12050, -89.29340,   3.98939,   0.20822,   4.09334,   3.54440, -21.56130,   2.88889,  10.04900, -33.91550,   4.52904, -91.25350,   4.29273, -88.70490, -67.45730,  10.39890,  17.90890,  -0.41652,  -0.68845, -31.17530,  12.38900,   5.54330,  -8.39416,  86.89480,  10.58960, -88.55350, -61.86330,  14.83170,   5.40357,   3.98050,   4.38582, -42.30950,  14.37820,   5.38714,  -2.52250,-167.96500, -18.04660, -16.28120,   0.24760,  -0.22503,  47.72600,  -4.77530,   8.64584, -54.75580,   0.14190,  -0.23697, -20.72840, 179.71600,   3.66882,-178.71800,  -0.00298,   0.01433,  16.46650,   0.16523,   1.47329, -62.75450,   0.11478,  -0.13051, -17.85200
   0.10000,   0.00000,   0.00000,  -0.00000,  88.03130,  56.85480,   6.44074,  93.86740,  84.17240, -92.03050,   3.85397,   0.72231,   3.64526,   3.61106, -20.68620,   2.85119,   9.89638, -33.49450,   4.53657, -91.28710,   4.07364, -87.44960, -67.36020,   7.18916,  20.58640,  -0.34145,  -0.59045, -30.04030,  12.66270,   5.54212,  -8.33916,  87.08090,  10.52270, -89.39980, -60.08620,  17.25770,   0.25279,   3.57667,   3.86537, -42.84560,  15.23540,   5.39275,  -2.70328,-166.61700, -20.19490, -16.05650,   0.17060,  -0.23219,  36.61760,  -4.83408,   7.12100, -54.29270,   0.14241,  -0.23792, -20.74460, 178.33200,   3.75632,-177.28600,  -0.00396,   0.05702,  15.61290,  -0.67883,   3.97771, -63.85110,   0.10996,  -0.12491, -17.79760
   0.13333,   0.00000,   0.00000,  -0.00000,  87.64520,  54.64720,   6.27135,  94.72110,  84.17160, -92.95380,   3.84013,   0.89758,   3.50061,   3.75328, -19.85680,   2.67835,   9.57176, -32.81050,   4.38891, -91.29580,   3.92617, -86.71840, -67.74070,   4.56900,  23.10190,  -0.43290,  -0.80003, -28.42390,  12.71530,   5.54141,  -8.30633,  87.34290,  10.12680, -90.21430, -58.29450,  18.99010,  -5.23324,   3.94787,   4.34848, -42.31700,  15.18220,   5.39299,  -2.71027,-165.12400, -20.56740, -14.79290,   0.07254,  -0.16063,  24.64550,  -2.22170,   4.56975, -55.62180,   0.14436,  -0.24144, -20.80510, 176.83300,   4.22691,-176.42100,  -0.02211,   0.12127,  16.27230,  -1.57875,   6.86721, -65.75850,   0.09605,  -0.10879, -17.64100
   0.16667,   0.00000,   0.00000,  -0.00000,  86.94800,  52.21700,   6.61990,  95.90060,  84.04190, -94.10210,   4.07206,   1.16530,   3.55157,   3.77201, -19.12190,   2.51903,   9.24613, -32.02320,   4.16068, -91.22070,   3.61646, -86.33380, -68.75950,   3.19300,  24.83960,  -0.07371,  -0.14769, -26.32620,  11.93860,   5.53374,  -7.96050,  87.60200,   9.68919, -91.02750, -56.51890,  20.06860, -10.24930,   4.75386,   5.36474, -41.66000,  14.86040,   5.38795,  -2.54995,-162.82300, -18.83490, -12.05470,   0.01329,  -0.06655,  12.15280,  -0.48956,   1.13974, -55.98570,   0.15200,  -0.25544, -21.04460, 175.32400,   3.92734,-175.39000,  -0.05385,   0.22256,  17.17370,  -2.67828,   9.35877, -67.82330,   0.07399,  -0.08344, -17.39410
   0.20000,   0.00000,   0.00000,  -0.00000,  86.38340,  49.83180,   6.88981,  97.16670,  83.92630, -95.30640,   4.26659,   1.45626,   3.66221,   3.85501, -18.48910,   2.45855,   8.71553, -31.32510,   3.62869, -91.16260,   3.41705, -86.19810, -70.16270,   3.29461,  26.00370,   0.97069,   2.14570, -24.36460,  10.75550,   5.53289,  -7.92443,  87.76070,   9.46387, -91.62290, -54.46180,  21.09110, -14.31540,   5.22082,   5.96513, -41.32960,  15.20260,   5.37928,  -2.27491,-160.40500, -16.86160, -10.07980,  -0.00156,   0.02156,   3.55978,  -0.32909,  -3.18776, -56.76400,   0.16012,  -0.27043, -21.30050, 173.45600,   3.27160,-173.93200,  -0.08791,   0.33152,  17.32660,  -4.11857,  11.62820, -69.54960,   0.06781,  -0.07639, -17.32510
   0.23333,   0.00000,   0.00000,  -0.00000,  86.32770,  48.03560,   6.42405,  97.63060,  83.97090, -95.77180,   4.16435,   1.54027,   3.65761,   3.85128, -17.92550,   2.36314,   8.28610, -30.56050,   3.04573, -91.19340,   3.55788, -86.44380, -71.45940,   4.17769,  26.75250,   2.00478,   4.72498, -23.02600,   9.38265,   5.53800,  -8.15296,  87.84580,   9.38238, -92.00720, -52.79000,  21.29170, -17.01000,   5.61023,   6.40100, -41.38910,  15.52780,   5.37776,  -2.22840,-159.83900, -18.47760, -10.64230,  -0.00123,   0.06947,   0.97922,  -1.35269,  -6.78678, -58.06630,   0.16659,  -0.28254, -21.50660, 170.86300,   3.03982,-171.97400,  -0.09644,   0.38667,  15.88250,  -6.07332,  13.82550, -70.43630,   0.09322,  -0.10555, -17.60960
   0.26667,   0.00000,   0.00000,  -0.00000,  86.80580,  46.80900,   5.48678,  97.89120,  84.08300, -96.16980,   3.93591,   1.56491,   3.38526,   3.75285, -17.62620,   2.38726,   8.13698, -29.96980,   2.69169, -91.28730,   3.89811, -86.70930, -72.28750,   5.62259,  26.54000,   2.55843,   6.37784, -21.91310,   7.96951,   5.54015,  -8.24712,  87.78540,   9.73022, -92.11210, -51.58790,  20.77090, -17.88970,   5.75618,   6.44281, -41.93910,  15.85220,   5.37674,  -2.19603,-161.35100, -21.81850, -12.91730,  -0.00249,   0.04073,   3.26971,  -0.61545,  -9.05256, -57.53610,   0.15831,  -0.26715, -21.24450, 168.16700,   2.27648,-170.39300,  -0.02730,   0.14811,  14.95000,  -6.24140,  14.26100, -70.87290,   0.17803,  -0.20499, -18.57050
   0.30000,   0.00000,   0.00000,  -0.00000,  88.16850,  46.50680,   3.42715,  96.51540,  84.36780, -95.16530,   3.41318,   1.22541,   2.66096,   3.95052, -17.60920,   2.86520,   7.77508, -29.68830,   2.57493, -91.51980,   4.74728, -87.22400, -72.05840,   6.15178,  25.58950,   2.70886,   6.96488, -21.31460,   7.28314,   5.52885,  -7.74438,  87.54910,  10.88620, -92.23010, -50.34700,  19.56660, -16.98210,   5.23283,   5.73548, -42.51080,  16.15750,   5.38185,  -2.35678,-164.68900, -24.69230, -18.14980,   0.01571,  -0.08164,  11.61990,  -0.84403,  -7.69852, -55.09960,   0.15533,  -0.26156, -21.14950, 164.56200,   1.99498,-170.94200,  -0.04253,   0.19194,  16.30760,  -8.00237,  14.66780, -67.20330,  -0.60210,  -1.56268, -22.85030
   0.33333,   0.00000,   0.00000,  -0.00000,  89.18470,  46.95760,   1.93282,  93.06000,  84.69610, -91.88670,   2.82258,   0.51510,   2.33150,   4.11539, -17.85490,   3.44559,   7.77158, -29.59880,   2.23545, -91.75700,   5.68743, -87.80120, -71.84340,   6.75638,  24.41130,   2.34364,   6.09923, -21.06570,   7.55439,   5.52500,  -7.57697,  87.33510,  11.62750, -91.99700, -49.66890,  18.53250, -14.81570,   4.76662,   5.22676, -42.47580,  16.45070,   5.39033,  -2.62482,-167.19200, -24.54200, -23.27150,   0.08250,  -0.20664,  21.94940,  -4.01951,  -2.38934, -52.28750,   0.16768,  -0.28456, -21.54120, 160.84600,   2.17668,-171.18600,  -0.04554,   0.18695,  18.08480,  -9.54039,  14.66330, -61.69570,   0.82729,  -1.10179, -26.71310
   0.36667,   0.00000,   0.00000,  -0.00000,  90.85610,  48.21160,   0.80853,  89.13150,  84.82950, -88.20640,   2.57614,  -0.19845,   1.85271,   4.27874, -18.65600,   3.69257,   8.28326, -29.85770,   2.41851, -91.85210,   6.24481, -88.44400, -71.92460,   8.79738,  22.06830,   1.76214,   4.73053, -20.45570,   8.19816,   5.52474,  -7.56508,  87.03840,  11.90070, -90.91630, -49.88890,  17.42460, -11.35220,   4.97698,   5.57332, -41.89040,  16.67090,   5.38893,  -2.58183,-170.15200, -22.20780, -26.03070,   0.16017,  -0.27356,  30.39570,  -4.51787,  -0.32105, -51.12190,   0.11047,  -0.18101, -19.76390, 156.51800,   3.64902,-171.26900,   0.01354,   0.01373,  21.47250,  -8.99150,  14.46120, -54.33440,   1.37213,  -2.14816, -35.38240
   0.40000,   0.00000,   0.00000,  -0.00000,  92.16440,  49.25050,   0.51827,  89.33620,  84.77830, -88.51190,   2.67823,  -0.15751,   1.65048,   4.45543, -19.58760,   3.78873,   8.47752, -30.61350,   2.29757, -91.77880,   6.37037, -89.36280, -71.93590,  11.61230,  18.44580,   1.80875,   4.96598, -20.04060,   8.76793,   5.51964,  -7.34806,  86.92630,  11.61510, -90.06580, -51.57580,  14.25030,  -6.15591,   5.67994,   6.54930, -41.09550,  16.25410,   5.39047,  -2.63191,-172.89900, -20.04620, -25.85540,   0.18780,  -0.24910,  36.72180,  -4.37765,  -0.96977, -55.82190,   0.01934,  -0.03011, -17.11530, 153.79800,   3.14046,-172.48000,   0.14494,  -0.24654,  26.72240,  -7.62372,   9.98909, -44.59600,   1.64217,  -2.87710, -41.08970
   0.43333,   0.00000,   0.00000,  -0.00000,  93.24230,  49.29040,   0.42573,  90.43930,  84.60990, -89.66380,   3.01396,   0.05045,   1.54802,   4.24235, -19.71380,   3.44339,   8.57996, -30.96160,   2.18192, -91.88770,   6.87596, -89.60780, -70.67700,  14.09100,  14.82270,   2.09581,   5.34098, -21.46440,   9.40241,   5.51295,  -7.06627,  86.84530,  11.84090, -89.96470, -52.58420,  10.93780,  -1.28215,   4.93609,   6.13266, -38.95370,  15.89960,   5.40344,  -3.05020,-175.67600, -19.50800, -23.10870,   0.17095,  -0.20755,  38.70280,  -2.82046,  -1.54545, -60.54790,  -0.00110,   0.00170, -16.54710, 154.15900,  -2.23302,-176.54900,   0.30436,  -0.42122,  34.50740,  -6.25035,  -3.47702, -34.75000,   1.26093,  -1.90036, -33.38880
   0.46667,   0.00000,   0.00000,  -0.00000,  94.39220,  49.38990,   0.03254,  88.47870,  84.36500, -87.93820,   3.50176,  -0.31900,   1.08944,   4.18589, -19.42910,   3.08414,   8.31861, -30.58570,   2.37552, -91.86710,   6.96996, -89.96380, -68.51640,  15.66320,  11.25560,   1.63790,   3.68570, -23.99420,  11.00880,   5.52677,  -7.64390,  86.78230,  12.09020, -89.97580, -53.98590,   8.12106,   1.72474,   4.09031,   5.95847, -34.57150,  15.44750,   5.40815,  -3.20380,-178.17700, -19.55070, -19.29150,   0.12956,  -0.15897,  37.45960,  -1.48755,  -1.81376, -63.28630,  -0.00479,   0.00737, -16.44550, 156.28400,  -6.37921, 177.84300,   0.34696,  -0.35531,  43.94750,   2.13501, -13.42300, -29.20910,   0.30332,  -0.35835, -20.02650
   0.50000,   0.00000,   0.00000,  -0.00000,  95.26090,  50.48160,  -0.30546,  83.46790,  84.20840, -83.10350,   3.74722,  -1.32877,   0.77153,   4.28730, -19.48630,   2.77841,   8.25492, -29.57560,   1.97708, -91.69870,   6.75422, -90.84770, -65.94920,  16.92050,   7.98470,   0.40147,   0.79778, -26.76770,  12.71880,   5.54245,  -8.35181,  86.74310,  11.64310, -89.25280, -56.02640,   6.17567,   3.63444,   4.29366,   7.73375, -29.17740,  14.79390,   5.38876,  -2.57163, 179.93600, -18.61370, -14.61510,   0.08386,  -0.10932,  33.99570,  -0.82447,  -2.01272, -64.66810,  -0.00787,   0.01211, -16.35990, 158.85100,  -8.62748, 173.54800,   0.30427,  -0.23075,  52.49780,   1.25280,  -9.81336, -36.27680,   0.38134,  -0.45803, -20.95700
