time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.37510,  68.23380,   5.64662,  23.65060,  84.77040, -23.05540,  -3.54409,  -9.63415,   0.89413, -10.99460, -17.66980,  -4.06444,  -1.18874, -22.75550,  -3.90153, -89.99000,  -0.30723,-103.12400, -31.86350,  -9.95109, -30.98630, -49.89290, -57.37210, -54.64940, -10.45810,   4.94351,   8.49766,  89.77730,   0.81784, -89.76900, -65.99710,  47.52790,  35.52110,  36.75420,  -7.19611, -99.52160,  31.93410,   5.54072, -33.96370,-176.46800, -11.36210, -20.11530,  -0.20967,   0.09959,  64.76670,   8.88204, -16.02750, -47.86400,   0.39911,  -0.47945, -21.12360,-171.83100,   3.91411, 172.82600,   0.11716,  -0.19730,  24.28350,   3.51083, -21.48020, -64.45320,   0.00943,  -0.00977, -16.64950
   0.03333,   0.00000,   0.00000,  -0.00000,  90.35600,  68.17030,   4.27671,  25.60190,  84.79080, -25.44630,  -3.27197,  -9.40605,   0.04251, -10.82300, -17.78570,  -3.94840,  -0.39503, -23.16160,  -3.56972, -89.99730,  -0.06829,-102.68800, -31.02200, -10.46920, -30.35590, -50.53750, -57.12080, -55.34130, -10.64930,   4.93991,   8.57232,  89.75920,   0.90180, -90.05030, -66.49480,  47.92060,  35.71070,  37.33410,  -7.23000, -99.36950,  32.27070,   5.55136, -33.47020,-176.73500, -11.45930, -22.32130,  -0.17952,   0.10774,  58.66040,   9.37758, -17.14040, -49.41300,   0.41017,  -0.49391, -21.25630,-173.36900,   4.20349, 175.75700,   0.07668,  -0.11421,  23.56870,   2.20109, -21.13830, -66.28190,  -0.04697,   0.03046, -16.57350
   0.06667,   0.00000,   0.00000,  -0.00000,  91.46870,  68.21470,   3.37535,  26.74820,  84.74910, -26.84640,  -3.06628,  -9.36467,  -0.44787, -10.87100, -17.87280,  -4.00100,   0.34755, -23.58270,  -3.19613, -90.00550,   0.11452,-102.25900, -30.47970, -11.27900, -29.88530, -51.10480, -57.06370, -55.89840, -10.64810,   4.93477,   8.67651,  89.71310,   1.09160, -90.27190, -66.80460,  48.03230,  36.01380,  37.52730,  -7.18435, -99.24800,  32.61790,   5.55643, -33.22710,-176.92500, -12.29290, -23.22320,  -0.10279,   0.08520,  49.06280,   8.11525, -14.24250, -50.57730,   0.38099,  -0.45593, -20.90750,-174.65900,   5.18369, 178.31400,   0.02660,  -0.00358,  22.70060,   1.10220, -20.25540, -67.91860,  -0.10100,   0.06552, -16.57310
   0.10000,   0.00000,   0.00000,  -0.00000,  91.67910,  68.34380,   3.12298,  27.50390,  84.73730, -27.69080,  -2.93795,  -9.31456,  -0.61390, -10.87620, -17.98860,  -4.06953,   1.03687, -24.02960,  -2.88678, -90.00840,   0.15708,-101.94800, -30.38610, -12.21810, -29.78510, -50.36030, -56.96780, -55.21870, -10.57450,   4.92683,   8.83861,  89.67810,   1.23137, -90.34730, -67.26950,  47.96320,  36.53940,  37.24250,  -6.96374, -99.06140,  33.10140,   5.55827, -33.13890,-177.18900, -14.46470, -22.42260,  -0.03816,   0.04434,  35.86900,   5.55037,  -9.83398, -50.86810,   0.34887,  -0.41470, -20.52660,-175.55400,   5.81200,-179.27900,  -0.01387,   0.09276,  21.78200,  -0.06418, -19.77360, -69.51690,  -0.14507,   0.09394, -16.57280
   0.13333,   0.00000,   0.00000,  -0.00000,  90.95720,  68.27770,   3.65625,  27.74110,  84.78400, -27.86050,  -2.93683,  -9.21815,  -0.47619, -10.52820, -18.12490,  -3.97701,   1.45314, -24.25750,  -2.73533, -90.00980,   0.17337,-101.78000, -30.33910, -13.15380, -29.51280, -49.87910, -57.08970, -54.72190, -10.78640,   4.91740,   9.02900,  89.66210,   1.28572, -90.27230, -67.43140,  47.93820,  36.78510,  37.00460,  -6.86040, -99.00600,  33.57360,   5.55844, -33.13060,-177.83900, -18.41150, -19.41330,  -0.00542,  -0.00598,  18.73950,   1.35876,  -7.87857, -50.37530,   0.34114,  -0.40484, -20.43540,-176.27800,   6.74833,-177.02300,  -0.05388,   0.19540,  21.27840,  -1.29649, -18.79850, -71.41370,  -0.16041,   0.10368, -16.57290
   0.16667,   0.00000,   0.00000,  -0.00000,  89.14740,  67.95830,   5.21187,  27.59920,  84.83300, -27.47680,  -2.98591,  -9.16572,   0.00593,  -9.98903, -18.15570,  -3.84484,   2.00007, -24.30130,  -2.55318, -90.00530,   0.09045,-101.67100, -30.06610, -13.79580, -28.87220, -50.03130, -57.32780, -54.79520, -10.85060,   4.91552,   9.06668,  89.67640,   1.23728, -90.34080, -67.62720,  48.11450,  36.91240,  36.95090,  -6.89217, -99.06430,  34.43300,   5.55669, -33.21330,-178.52900, -22.67900, -17.76930,   0.00334,  -0.04590,   6.07760,  -3.35301,  -5.91552, -52.18510,   0.33338,  -0.39498, -20.34390,-176.76600,   7.74867,-175.16200,  -0.09128,   0.28349,  22.04360,  -2.90065, -17.73050, -74.14550,  -0.15893,   0.10201, -16.57290
   0.20000,   0.00000,   0.00000,  -0.00000,  88.49370,  67.66990,   5.83178,  27.51680,  84.82690, -27.24650,  -2.98147,  -9.19743,   0.30185,  -9.60280, -18.16140,  -3.70908,   2.62164, -24.27120,  -2.38952, -90.01640,   0.26818,-101.51400, -29.47810, -14.34590, -28.19580, -50.19840, -57.32960, -54.95450, -10.90200,   4.90696,   9.23874,  89.66910,   1.27406, -90.43800, -67.59150,  48.30520,  36.89340,  36.74980,  -6.86423, -99.09340,  35.08330,   5.54987, -33.54250,-178.93100, -23.58970, -17.45220,  -0.00017,   0.02334,   0.07732,  -4.95567,  -3.11301, -56.35020,   0.33615,  -0.39849, -20.37680,-178.11700,   8.96695,-172.31500,  -0.12276,   0.36607,  21.67090,  -4.58730, -16.33040, -76.41280,  -0.10828,   0.06870, -16.57330
   0.23333,   0.00000,   0.00000,  -0.00000,  89.38470,  67.36790,   5.56156,  28.92910,  84.77080, -28.70670,  -2.70394,  -9.17053,   0.22861,  -9.46596, -18.16420,  -3.50520,   3.30196, -24.27020,  -2.34446, -90.04350,   0.64898,-101.16900, -28.69220, -14.59490, -27.90700, -49.64150, -57.24750, -54.44630, -10.97400,   4.90091,   9.35980,  89.60400,   1.51553, -90.35630, -67.35330,  48.36920,  36.94640,  36.75220,  -6.88952, -99.12540,  35.97050,   5.54632, -33.70880,-178.97500, -21.75270, -17.24340,  -0.00129,   0.04115,   0.17063,  -1.70383,  -0.93844, -58.58870,   0.31796,  -0.37554, -20.16360, 179.77400,  10.47940,-167.85100,   0.09634,  -0.21856,  19.53320,  -1.55216, -15.69400, -76.75210,   0.10528,  -0.11055, -17.42380
   0.26667,   0.00000,   0.00000,  -0.00000,  93.21670,  67.45150,   2.72752,  29.62160,  84.66420, -29.78980,  -2.51857,  -9.25874,  -0.54099,  -9.56858, -18.10280,  -3.64039,   4.14566, -24.23630,  -2.17058, -90.07870,   1.10461,-100.92400, -28.31940, -14.84990, -27.77860, -50.01370, -57.52590, -54.71870, -11.09120,   4.90198,   9.33890,  89.53420,   1.76709, -90.23180, -67.40030,  48.08230,  37.41400,  36.69020,  -6.96027, -99.23760,  36.79410,   5.54766, -33.64570, 179.08500, -20.07360, -17.95280,   0.00171,  -0.00590,   5.96876,   1.85441,   0.01574, -55.98820,   0.37411,  -0.44707, -20.82590, 175.05000,  11.73930,-165.50700,   0.11739,  -0.23569,  21.72300,  -2.95265, -13.20400, -74.27520,  -0.70395,  -1.68956, -21.38290
   0.30000,   0.00000,   0.00000,  -0.00000,  98.38180,  67.49560,  -1.64849,  28.38990,  84.73700, -29.07520,  -2.83197,  -9.19308,  -1.60059,  -9.12392, -18.13920,  -3.58920,   4.45470, -24.06700,  -2.28480, -90.10640,   1.50011,-100.94200, -28.30240, -14.77000, -27.75820, -49.97540, -57.84070, -54.58810, -10.90770,   4.90571,   9.26371,  89.50530,   1.83515, -89.91090, -67.70810,  47.89030,  37.95470,  35.88610,  -6.75934, -99.23990,  36.45380,   5.54853, -33.60340, 176.93900, -17.42490, -20.32180,   0.04808,  -0.16735,  13.91960,   2.43701,  -0.56564, -47.62940,   0.33782,  -0.40062, -20.39650, 170.38100,  11.26940,-164.71600,   0.03614,  -0.01605,  25.03930,  -3.11712, -13.01980, -68.12820,  -2.77642,  -4.62940, -30.10880
