time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  95.26810,  45.21880,  -4.84174,  81.76400,  74.15150, -77.02460,  23.82080,  -3.74034,  10.32440,  -4.34198, -10.38230,  -1.95839,   2.68965, -12.69640,   3.07801, -90.37240,  -6.07049,-108.51700, -84.89300, -17.82270,  15.20170,  18.89570,  -4.51966,-102.96500,  23.86570,   5.35069,  -1.39894,  89.86520,   1.54841,-100.02300, -70.85200, -15.77440,  -2.40447,   3.66373,  -1.51839,-112.48300,  41.41900,   5.61541, -12.30990, 167.67200, -17.07650, -18.55200,   0.11684,  -0.16387,  30.32720,   7.39381,  -5.85997, -65.65810,  -0.03685,   0.02271, -16.57690, 168.42200, -18.75890, 145.16500,  -0.23182,   0.11050,  64.29740,   2.75823, -16.86050, -44.93510,   0.37792,  -0.41289, -19.68960
   0.03333,   0.00000,   0.00000,  -0.00000,  94.57390,  44.87490,  -4.25680,  81.89100,  74.05020, -76.98970,  24.03390,  -3.66667,  10.64330,  -4.41542, -10.23300,  -2.01788,   2.94613, -12.47830,   2.73827, -90.36350,  -5.99530,-108.47600, -84.70350, -18.46390,  16.94630,  19.49490,  -4.61070,-102.79300,  24.30140,   5.36305,  -1.77134,  89.87680,   1.40456, -99.98510, -70.80760, -15.32730,  -4.23274,   3.21972,  -1.40369,-113.53200,  41.53120,   5.61326, -12.16880, 167.63400, -18.19420, -17.65960,   0.09064,  -0.12230,  30.33730,   7.88466,  -5.51135, -66.77570,  -0.08432,   0.05172, -16.57610, 169.94100, -18.91610, 143.72100,  -0.24763,   0.12137,  61.34390,  -0.06673, -18.97320, -49.28190,   0.38630,  -0.42255, -19.76070
   0.06667,   0.00000,   0.00000,  -0.00000,  93.85690,  44.15230,  -3.82691,  82.02540,  73.98630, -77.05070,  24.16960,  -3.59445,  10.78070,  -4.57033,  -9.98722,  -2.08180,   3.20363, -12.11410,   2.38502, -90.32600,  -5.61061,-108.33000, -84.25970, -18.85210,  18.97800,  17.44440,  -4.28886,-103.38900,  25.29620,   5.36690,  -1.89268,  89.89590,   1.19084,-100.00500, -71.05400, -15.04150,  -5.90686,   3.55070,  -1.64608,-114.83900,  41.18980,   5.60957, -11.93150, 167.55100, -19.18450, -16.94390,   0.06288,  -0.07962,  30.17060,   8.27195,  -5.56055, -67.73190,  -0.11777,   0.07153, -16.57570, 171.32200, -19.56950, 143.05000,  -0.24163,   0.15266,  55.66360,  -0.04123, -20.16810, -51.22220,   0.39230,  -0.42954, -19.81200
   0.10000,   0.00000,   0.00000,  -0.00000,  92.96540,  43.42190,  -3.41809,  82.14640,  73.90840, -77.06190,  24.33380,  -3.52558,  10.99350,  -4.72542,  -9.73277,  -2.05473,   3.02011, -11.71800,   1.93580, -90.28660,  -5.20027,-108.15900, -84.33280, -19.71700,  20.89860,  13.23710,  -3.60805,-104.97900,  25.31700,   5.35945,  -1.66242,  89.95060,   0.57177,-100.06700, -71.73040, -14.80940,  -7.09526,   4.03577,  -2.02298,-116.57800,  41.67380,   5.60417, -11.59940, 167.60900, -20.40440, -16.34510,   0.02200,  -0.01463,  29.94590,   8.65438,  -5.42178, -68.68040,  -0.14643,   0.08800, -16.57550, 172.67500, -20.17270, 143.43100,  -0.18465,   0.15959,  47.26760,  -1.43526, -20.22910, -51.75440,   0.39127,  -0.42833, -19.80300
   0.13333,   0.00000,   0.00000,  -0.00000,  92.03880,  42.82690,  -2.99454,  82.29960,  73.85850, -77.09770,  24.44300,  -3.43294,  11.21390,  -4.68336,  -9.63381,  -1.97769,   2.80142, -11.50060,   1.75000, -90.24890,  -4.82064,-107.95900, -85.08640, -20.40980,  22.04650,  14.32490,  -4.35825,-106.57100,  26.35930,   5.36498,  -1.82847,  89.98650,   0.15289, -99.96200, -72.20600, -14.61260,  -7.68282,   3.50671,  -1.90372,-118.46400,  42.40910,   5.59986, -11.33570, 167.79100, -21.66420, -15.66660,  -0.00471,   0.02651,  29.69210,   9.01559,  -5.06268, -69.66490,  -0.15531,   0.09217, -16.57550, 174.51600, -19.69620, 145.38500,  -0.11096,   0.14111,  36.55060,  -3.51375, -17.53200, -51.66190,   0.36609,  -0.39927, -19.58920
   0.16667,   0.00000,   0.00000,  -0.00000,  91.32500,  42.29690,  -2.80206,  82.51390,  73.95180, -77.28940,  24.26570,  -3.30001,  11.22370,  -4.49074,  -9.70987,  -1.75824,   3.12892, -11.47640,   1.74344, -90.21780,  -4.38588,-107.84500, -86.00110, -20.49210,  22.48160,  14.29620,  -4.94400,-108.68600,  26.29000,   5.39326,  -2.72440,  89.99510,   0.05277, -99.63830, -72.34250, -14.41190,  -7.48620,   3.06248,  -1.77091,-120.01000,  42.96220,   5.59636, -11.12640, 167.88100, -23.05750, -15.26120,  -0.02785,   0.06297,  29.92590,   9.36025,  -4.48968, -70.46570,  -0.13215,   0.05414, -17.05510, 177.08000, -17.67850, 148.42600,  -0.05894,   0.11899,  24.90230,  -5.36455, -11.77990, -50.04270,   0.35984,  -0.39208, -19.53620
   0.20000,   0.00000,   0.00000,  -0.00000,  90.62570,  41.72930,  -2.76710,  82.71260,  74.15810, -77.55090,  23.85960,  -3.17348,  11.05510,  -4.15926,  -9.85140,  -1.38228,   3.47127, -11.44820,   1.69356, -90.19650,  -4.18498,-107.69000, -86.72260, -19.52000,  22.32620,  13.70450,  -5.35402,-110.94000,  25.59510,   5.41236,  -3.34383,  90.01890,  -0.19171, -99.37240, -72.44580, -13.93940,  -6.36959,   3.12528,  -1.89565,-121.20800,  43.15520,   5.59685, -11.15530, 168.00800, -24.61590, -15.55490,  -0.02430,   0.05402,  31.25870,   9.66100,  -3.73558, -70.94870,  -0.10807,  -0.03331, -18.42980,-179.82000, -14.93890, 151.03600,  -0.03158,   0.11298,  15.25630,  -7.45859,  -6.16594, -46.78080,   0.33059,  -0.35867, -19.28930
   0.23333,   0.00000,   0.00000,  -0.00000,  90.22660,  41.38010,  -2.76673,  82.58440,  74.31960, -77.58380,  23.52780,  -3.24140,  10.73310,  -3.97659, -10.03750,  -1.24884,   3.60808, -11.38780,   1.91176, -90.19270,  -4.27776,-107.58200, -86.94170, -17.86260,  21.54940,  12.45390,  -5.37698,-112.99300,  24.61410,   5.42905,  -3.90732,  90.05430,  -0.52726, -99.11900, -72.42120, -13.02150,  -4.67359,   2.93717,  -1.86086,-122.32700,  43.34390,   5.59779, -11.21040, 168.13800, -26.27950, -15.70350,   0.02355,  -0.02083,  33.12490,  10.00040,  -2.60374, -71.34630,  -0.05272,  -0.18272, -20.40990,-176.57100, -12.00560, 152.61900,  -0.02808,   0.15647,  10.64620,  -6.62269,  -3.86891, -46.44900,   0.33209,  -0.36035, -19.30170
   0.26667,   0.00000,   0.00000,  -0.00000,  90.02040,  41.29080,  -2.82813,  82.09370,  74.43790, -77.28370,  23.26620,  -3.50776,  10.39550,  -4.04341, -10.13570,  -1.26929,   3.48320, -11.22730,   2.02731, -90.23380,  -4.57786,-107.92700, -86.71780, -17.26300,  20.66550,  11.89220,  -5.69813,-115.24300,  23.41500,   5.43358,  -4.05947,  90.10390,  -0.99250, -99.02650, -72.38050, -12.13790,  -2.61920,   3.17203,  -2.09898,-123.45700,  43.19690,   5.59892, -11.27830, 168.33200, -27.69470, -16.00960,   0.05104,  -0.05408,  35.72890,   9.84464,  -1.44608, -71.02050,   0.30511,  -0.13952, -23.47560,-173.16800,  -9.47319, 152.70500,  -0.04953,   0.25575,  11.57290,   1.82901,  -4.94361, -48.02310,   0.33230,  -0.36062, -19.30380
   0.30000,   0.00000,   0.00000,  -0.00000,  89.57890,  41.68580,  -2.96266,  81.38310,  74.58990, -76.55890,  22.93140,  -3.85005,  10.48100,  -4.39628, -10.31220,  -1.54816,   3.17379, -11.09080,   2.04908, -90.26680,  -4.63140,-108.30000, -86.27350, -17.09730,  19.39470,  10.58610,  -5.73345,-118.13000,  23.99970,   5.41532,  -3.44339,  90.15840,  -1.46930, -98.84510, -72.14920, -11.51990,  -0.50158,   3.64016,  -2.51619,-124.60600,  42.91500,   5.59870, -11.26800, 168.92500, -29.08030, -16.66200,  -0.03154,   0.05902,  38.91680,   8.09238,   0.50288, -70.33370,   1.45547,   0.61384, -26.07390,-172.40400, -10.21590, 152.02700,  -0.01827,   0.08746,  13.80390,   9.79962,  -5.79144, -45.56670,   0.39373,  -0.43117, -19.82390
