time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000, 117.85800,  75.49750, -19.79040,  59.23710,  86.73920, -59.17990,  -2.16169,  -3.33979,   0.05149,  -6.75314, -19.12380,  -3.10061,  -7.23830, -32.32460,   1.02847, -90.42960,   2.28005, -94.32730, -65.79340,   3.64541,  -3.63342,   4.42436,  11.95250, -20.48580,   7.88311,   5.08630,   5.42598,  88.98500,   4.77017, -92.97250, -64.51250,  -1.39889,  13.46450,   2.97379,  12.95950, -13.04650,  10.97920,   5.30937,  -0.19103, 167.27300, -11.86840,  -2.50849,   0.23983,  -0.39571,  27.60180,   6.48202,  -5.52708, -69.47850,  -0.03047,   0.02084, -16.57680, 168.96000,   2.68226, 160.59600,  -0.26616,   0.10925,  67.04900,   5.31865, -24.12960, -49.72510,   0.47627,  -0.52809, -20.53230
   0.03333,   0.00000,   0.00000,  -0.00000, 116.71300,  76.23400, -19.23300,  51.86360,  86.37450, -51.58510,  -2.05408,  -4.50033,   0.47632,  -7.25527, -19.28480,  -3.20589,  -7.07766, -31.64330,   1.34338, -90.29830,   1.72212, -95.17380, -65.60050,   4.54389,  -7.67957,   4.77222,  11.95390, -21.95210,   7.19478,   5.07539,   5.67209,  88.87760,   4.94900, -92.20530, -64.89300,  -1.71915,  16.49490,   2.91142,  12.66230, -13.06650,   9.97941,   5.30727,  -0.13212, 167.90000, -11.87750,  -1.73299,   0.20750,  -0.35173,  26.70980,   6.58736,  -4.84454, -69.81740,  -0.03692,   0.02554, -16.57650, 171.29500,   1.92514, 157.20700,  -0.28714,   0.14259,  62.89970,   4.45496, -24.44750, -54.02540,   0.48764,  -0.54162, -20.63070
   0.06667,   0.00000,   0.00000,  -0.00000, 115.62600,  77.22300, -18.68080,  46.59220,  86.01140, -46.12380,  -1.95102,  -5.52014,   0.84295,  -7.61191, -19.59860,  -3.30125,  -6.94149, -31.12670,   1.75265, -90.20110,   1.26611, -95.97520, -64.70120,   6.18037, -11.48380,   5.25286,  11.94520, -23.94980,   6.98804,   5.08178,   5.52812,  88.74090,   5.17850, -91.31440, -65.22710,  -2.28130,  19.67710,   2.81222,  12.22480, -13.06520,   9.65181,   5.31576,  -0.37494, 168.68000, -11.62020,  -0.79550,   0.17566,  -0.30714,  25.68570,   6.57771,  -4.24204, -70.07980,  -0.04306,   0.03017, -16.57620, 173.43800,   1.71309, 155.17100,  -0.25484,   0.16785,  55.77080,   3.43515, -25.20260, -55.81550,   0.47513,  -0.52676, -20.52250
   0.10000,   0.00000,   0.00000,  -0.00000, 115.17400,  78.24020, -18.84300,  41.92420,  85.67870, -41.31670,  -1.96101,  -6.48032,   1.10479,  -7.93818, -19.83200,  -3.31875,  -6.73307, -30.74090,   1.94135, -90.14920,   1.01049, -96.60320, -63.04340,   8.28408, -15.04580,   6.03905,  12.28350, -26.43890,   6.99549,   5.07962,   5.57665,  88.67450,   5.16403, -90.58310, -65.59750,  -3.15918,  22.61010,   2.65596,  11.74910, -12.83850,   9.04163,   5.31879,  -0.46082, 169.35500, -11.47600,   0.02170,   0.15487,  -0.28091,  24.70370,   6.63209,  -3.34393, -70.37480,  -0.06662,   0.04737, -16.57570, 175.32100,   2.23175, 154.51600,  -0.20014,   0.18821,  45.64650,   3.47523, -25.95020, -54.81700,   0.45955,  -0.50826, -20.38810
   0.13333,   0.00000,   0.00000,  -0.00000, 116.73100,  79.39640, -21.16410,  37.16950,  85.40830, -36.54280,  -2.18374,  -7.37008,   1.11387,  -8.30541, -20.09790,  -3.35948,  -6.32125, -30.49210,   2.18182, -90.09460,   0.67778, -97.05650, -61.04470,  10.43930, -18.49250,   7.01155,  12.63460, -29.34810,   6.74597,   5.07595,   5.65950,  88.63530,   5.06752, -89.90570, -66.12480,  -3.51214,  25.37440,   2.57412,  11.63290, -12.57390,   8.04104,   5.30803,  -0.15327, 169.68900, -11.06850,   0.61303,   0.12959,  -0.24052,  23.78050,   6.62221,  -2.65943, -70.65930,  -0.06659,   0.04807, -16.57540, 176.91600,   4.11294, 155.33100,  -0.12870,   0.18643,  32.96770,   4.09928, -24.63810, -52.13790,   0.45378,  -0.50144, -20.33830
   0.16667,   0.00000,   0.00000,  -0.00000, 119.96900,  80.67240, -24.99570,  33.74090,  85.18890, -33.14670,  -2.38879,  -8.05153,   1.02168,  -8.65061, -20.49390,  -3.55701,  -5.80870, -30.47900,   2.62980, -90.03030,   0.23080, -97.51720, -59.16620,  12.21500, -21.69490,   8.25569,  13.10990, -32.60640,   6.00158,   5.09798,   5.15961,  88.61830,   4.88320, -89.17980, -66.91410,  -3.21615,  27.82250,   2.59929,  12.22790, -12.10260,   6.86266,   5.30443,  -0.05253, 170.10400, -10.92110,   1.55475,   0.10092,  -0.18795,  22.86260,   6.63624,  -1.52712, -71.13780,  -0.07581,   0.05568, -16.57510, 178.64900,   7.43614, 157.98900,  -0.05839,   0.15397,  18.30760,   4.21000, -21.14470, -48.16910,   0.43740,  -0.48215, -20.19740
   0.20000,   0.00000,   0.00000,  -0.00000, 123.62400,  81.73870, -29.09310,  31.73980,  85.07480, -31.18670,  -2.55460,  -8.42417,   0.91961,  -8.74711, -20.86030,  -3.70915,  -5.58419, -30.62880,   3.03632, -89.98690,  -0.10447, -97.85900, -57.28800,  13.65800, -24.49300,   9.31333,  13.01030, -36.07140,   5.56455,   5.11945,   4.66412,  88.63350,   4.65753, -88.62800, -67.48700,  -3.45148,  29.72940,   2.46208,  12.73890, -11.03840,   5.80731,   5.30181,   0.02187, 170.59700, -10.97570,   2.87658,   0.07840,  -0.14622,  21.86750,   6.64355,  -0.29681, -71.79630,  -0.07526,   0.05615, -16.57500,-179.65400,  10.60090, 159.54300,  -0.01400,   0.10367,   7.48423,   4.34447, -18.74930, -43.71810,   0.43070,  -0.47429, -20.14010
   0.23333,   0.00000,   0.00000,  -0.00000, 129.55700,  82.49380, -35.56260,  29.07350,  85.08740, -28.69860,  -2.97851,  -8.61844,   0.52635,  -8.78324, -21.13390,  -3.75844,  -5.20935, -30.78940,   3.34515, -89.94590,  -0.43770, -97.94430, -55.12060,  15.42010, -26.91640,  10.31920,  12.69910, -39.63280,   5.23269,   5.12444,   4.54784,  88.63940,   4.49059, -88.12490, -67.91870,  -3.69999,  31.15160,   2.18356,  12.88100,  -9.71036,   5.00125,   5.28384,   0.52147, 170.97100, -11.40210,   4.57218,   0.05235,  -0.09517,  20.37220,   6.62876,   1.25075, -72.46470,  -0.03480,   0.02627, -16.57630,-178.62300,  13.26580, 158.91400,   0.00125,   0.03876,   3.09376,   1.36627, -19.00650, -44.21690,   0.41748,  -0.45880, -20.02670
   0.26667,   0.00000,   0.00000,  -0.00000, 136.54600,  82.81840, -43.21020,  25.71300,  85.17820, -25.59720,  -3.59340,  -8.69530,  -0.04132,  -8.81892, -21.32810,  -3.89665,  -4.73646, -30.96430,   3.84504, -89.92470,  -0.60791, -97.93100, -52.93620,  16.90650, -28.43510,  11.95540,  12.77400, -43.76110,   4.49898,   5.13883,   4.20880,  88.64690,   4.38681, -87.83920, -68.03160,  -4.00745,  32.14360,   2.12301,  13.91300,  -8.76869,   4.10867,   5.26050,   1.15393, 170.94500, -11.28060,   6.74816,   0.03108,  -0.05568,  17.94940,   6.43687,   2.06460, -72.79600,   0.03380,  -0.03770, -16.94630,-178.02000,  14.98030, 158.93600,   0.00447,   0.00113,   0.07743,  -0.18159, -19.49080, -48.60650,   0.42608,  -0.46888, -20.10040
   0.30000,   0.00000,   0.00000,  -0.00000, 138.28600,  83.14810, -45.71910,  23.29740,  85.32350, -23.21740,  -4.08431,  -8.59274,  -0.14667,  -9.18622, -21.38860,  -4.20151,  -4.39151, -31.12190,   4.49688, -89.95390,  -0.36472, -97.79890, -51.18790,  17.69680, -28.95420,  13.86710,  12.79970, -48.09380,   3.87406,   5.15729,   3.76810,  88.58880,   4.53339, -87.68940, -67.61880,  -4.18443,  32.38800,   2.03120,  14.50490,  -8.06350,   3.63991,   5.24482,   1.56883, 171.60600, -11.75510,   7.83312,   0.03911,  -0.08629,  17.34550,   6.28880,   3.14416, -72.18430,   0.12904,  -0.16330, -18.40560,-178.04900,  13.65890, 158.93300,   0.00355,   0.01014,   0.06455,   2.93214, -20.23160, -48.06110,   0.43664,  -0.48126, -20.19100
