time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000, 101.92600, -72.25020,  12.92820, 124.06400,  81.93680,-123.07700,   5.57010,   8.99224,   1.53720,   1.52217,  17.42620,  -0.97884,   3.46586,  21.84350,  -9.23342, -90.68320,   1.75543, -83.72860, -69.71560,  21.40560,  31.98020, -14.47450,  -4.14383, -74.35810,   9.27875,   5.66940, -17.27490,  89.28340,   3.26889, -92.63000, -53.69020,   7.72114,  -9.76784,   0.75806,  -0.10796, -98.12660,  15.06830,   5.66314, -16.42440,-178.26300,  -3.64401, -41.62530,   0.30584,   0.06790, 103.67400,  -7.39252,   4.17456, -56.75830,   0.11242,  -0.18444, -19.82360, 171.95800,  26.42630,-178.16700,   0.02121,   0.01126,  23.38510,  -1.52701,   2.79614, -72.29450,   0.07274,  -0.08202, -17.38010
   0.03333,   0.00000,   0.00000,  -0.00000, 105.15600, -73.69550,  15.29120, 128.23000,  81.66620,-127.94500,   5.36963,  10.28510,   0.08734,   0.82231,  18.11900,  -1.47059,   2.57250,  22.15750,  -9.22815, -90.30120,   0.75188, -83.16850, -69.71350,  19.95980,  36.40110, -16.15260,  -3.69168, -77.46530,   8.91150,   5.66552, -16.74260,  89.50450,   2.41270, -93.39260, -51.34220,   5.90463, -13.69710,   0.40117,  -0.09302,-103.08200,  15.01220,   5.65451, -15.46900, 178.92700,  -4.38490, -46.22740,   0.15984,   0.02310, 101.05000,  -7.76565,   4.40900, -58.59250,   0.10931,  -0.17899, -19.72910, 171.17400,  25.99200,-176.57300,  -0.03105,   0.13469,  22.11410,  -1.60779,   3.81433, -73.34700,   0.09435,  -0.10684, -17.62220
   0.06667,   0.00000,   0.00000,  -0.00000, 107.89200, -75.58850,  17.63040, 130.33800,  81.30120,-130.60900,   5.60660,  11.23980,  -1.09414,   0.36288,  19.13520,  -1.99979,   1.44311,  22.86430,  -9.53198, -90.12300,   0.29907, -82.64700, -69.44130,  17.36500,  39.31360, -15.77850,  -3.03646, -79.38330,   8.87039,   5.66259, -16.36330,  89.63130,   1.95694, -94.32860, -49.05830,   4.17891, -18.06800,   0.28212,  -0.08033,-105.89400,  15.45350,   5.64758, -14.79220, 176.91000,  -6.06342, -48.35280,   0.05048,  -0.00477,  93.77760,  -8.12232,   3.05160, -60.90790,   0.10973,  -0.17974, -19.74230, 170.73900,  24.76940,-174.39800,  -0.07183,   0.24889,  20.38590,  -1.73635,   4.47899, -74.20390,   0.11740,  -0.13355, -17.88140
   0.10000,   0.00000,   0.00000,  -0.00000, 110.19400, -77.30130,  19.64370, 130.62200,  81.05540,-131.34700,   5.98234,  11.62820,  -2.06078,   0.04344,  20.14390,  -2.38288,   0.41664,  23.80530,  -9.97268, -90.20260,   0.48849, -82.47800, -69.02980,  13.86790,  40.63230, -15.20150,  -2.58113, -80.58940,   9.39645,   5.66294, -16.40470,  89.67030,   1.92753, -95.29300, -47.09560,   2.71080, -22.37950,   0.28146,  -0.08442,-106.66900,  15.35520,   5.64283, -14.36490, 175.64900,  -7.49391, -48.35790,  -0.00993,  -0.00818,  82.25330,  -8.04011,   2.05597, -63.69170,   0.11038,  -0.18085, -19.76160, 170.80300,  22.90240,-172.05600,  -0.08561,   0.30997,  18.32120,  -1.96154,   4.24548, -74.95800,   0.12273,  -0.13977, -17.94180
   0.13333,   0.00000,   0.00000,  -0.00000, 110.95200, -78.35330,  19.72320, 130.17700,  81.18170,-131.24700,   5.90764,  11.36670,  -2.73165,  -0.09371,  20.84970,  -2.52276,  -0.12594,  24.76950, -10.29160, -90.52460,   1.27754, -82.67020, -68.55890,  10.47010,  40.27030, -15.48240,  -2.36260, -81.53450,  10.11800,   5.66267, -16.37880,  89.64490,   2.25810, -96.05950, -45.64280,   2.23369, -25.99350,   0.75133,  -0.20995,-105.65800,  15.08800,   5.64004, -14.12900, 175.31000,  -7.68688, -46.79770,  -0.03070,   0.00269,  66.90350,  -8.12380,   2.96162, -65.63320,   0.10870,  -0.17793, -19.71120, 171.18900,  21.81150,-169.92400,  -0.08310,   0.33474,  16.17970,  -2.11944,   4.11199, -75.77680,   0.15046,  -0.17229, -18.25610
   0.16667,   0.00000,   0.00000,  -0.00000, 109.80600, -79.02160,  17.46710, 130.52500,  81.63650,-131.83900,   5.14897,  10.87690,  -3.12072,   0.01815,  21.10350,  -2.32451,  -0.09305,  25.39300, -10.31440, -91.09220,   2.72115, -83.11980, -67.75330,   8.20915,  38.29920, -15.65950,  -2.11783, -82.48970,  10.56330,   5.66231, -16.33320,  89.56400,   2.99088, -96.69990, -44.92840,   3.00517, -27.85340,   1.69804,  -0.40883,-103.56700,  14.75550,   5.63942, -14.07910, 175.93600,  -6.88198, -43.74140,  -0.01881,   0.00533,  48.13750, -10.12160,   3.73717, -63.78920,   0.11016,  -0.18051, -19.75570, 171.58800,  21.91710,-167.75700,  -0.07186,   0.34072,  13.76740,  -2.18485,   4.93414, -76.62440,   0.22163,  -0.25747, -19.07210
   0.20000,   0.00000,   0.00000,  -0.00000, 106.97300, -80.30450,  14.01240, 132.29300,  81.95720,-133.68800,   4.33037,  10.84910,  -3.20502,   0.17190,  21.11930,  -2.08604,   0.25118,  25.52740,  -9.79533, -91.90430,   4.77374, -83.22400, -66.46720,   8.15225,  34.39840, -16.05580,  -1.96288, -83.21270,  11.09640,   5.66365, -16.49260,  89.47420,   3.96832, -97.44420, -45.10830,   4.99642, -27.34440,   2.73660,  -0.52903,-100.93600,  14.70820,   5.64092, -14.20160, 177.00600,  -6.66048, -40.20030,  -0.01168,   0.00354,  31.87050,  -9.86738,   1.47130, -61.19090,   0.10465,  -0.17091, -19.58900, 172.22600,  21.34790,-166.08600,  -0.02118,   0.12775,  13.91440,  -0.93252,   5.14684, -78.35650,   0.36305,  -0.43437, -20.73730
   0.23333,   0.00000,   0.00000,  -0.00000, 102.05600, -82.30230,   8.97306, 135.19900,  82.07570,-136.59800,   3.60064,  11.28280,  -3.15718,   0.28224,  21.11750,  -1.97816,   0.43020,  25.41970,  -8.61100, -92.94150,   7.02012, -82.19970, -64.56990,  10.62090,  27.85170, -15.88720,  -1.97133, -83.10810,  11.79020,   5.66359, -16.48780,  89.36780,   5.23652, -98.10580, -45.84190,   8.33303, -24.51340,   3.66259,  -0.48030, -97.46940,  15.62780,   5.64045, -14.16200, 177.86200,  -8.10790, -38.50770,  -0.00647,  -0.00055,  25.96640,  -9.42734,  -1.64497, -60.94510,   0.10311,  -0.16821, -19.54200, 172.34000,  19.97350,-166.14100,  -0.03456,   0.15542,  18.41430,  -0.96639,   6.36677, -77.37930,   0.63244,  -0.80339, -24.09510
   0.26667,   0.00000,   0.00000,  -0.00000,  98.86990, -83.29350,   4.31038, 140.19800,  82.63450,-142.01700,   1.88597,  11.40370,  -3.83316,   0.90740,  20.80860,  -2.13086,  -0.76921,  25.34980,  -6.14887, -93.88620,   8.93380, -81.37380, -61.80970,  14.01170,  19.79950, -13.54660,  -1.76542, -82.71380,  12.16410,   5.66198, -16.29040,  89.10500,   7.14528, -97.84320, -47.30690,  12.52530, -19.23670,   4.13266,  -0.14453, -92.01060,  15.45050,   5.64779, -14.81260, 176.19100, -10.10070, -42.76640,   0.02263,  -0.04656,  33.37150,   1.08256,  -1.47143, -56.81440,   0.10917,  -0.17877, -19.72520, 171.96800,  19.33610,-167.29300,  -0.04164,   0.15353,  22.80210,  -1.08899,   7.75126, -74.35830,   1.01633,  -1.42310, -29.45100
   0.30000,   0.00000,   0.00000,  -0.00000, 103.96400, -83.02130,   9.27008, 140.60700,  83.19440,-143.29000,   1.15284,  10.66950,  -5.48146,   1.03375,  20.58640,  -1.87910,  -1.56388,  26.32170,  -3.95030, -94.12950,   9.86977, -82.15890, -59.63300,  15.16260,  13.04390, -10.00350,  -1.02426, -84.21590,  12.19280,   5.66068, -16.13710,  88.71110,   9.00716, -96.82350, -50.45120,  17.37340, -12.42990,   3.42613,   0.42018, -82.98770,  16.56780,   5.66731, -16.86500, 177.11700,  -8.23057, -43.16650,  -0.02374,   0.01848,  39.49220,  -1.45507,  -1.81345, -54.08360,   0.03348,  -0.05253, -17.51350, 170.23800,  18.24150,-167.54500,   0.00646,   0.04400,  28.51820,  -1.45240,   7.92011, -68.71800,   1.56829,  -2.65424, -39.36680
   0.33333,   0.00000,   0.00000,  -0.00000, 108.11000, -82.12570,  14.95970, 134.84300,  83.38480,-138.11900,   1.92169,   9.49117,  -6.71683,   0.93246,  20.89090,  -2.18489,  -1.31671,  27.47360,  -3.70128, -93.73820,   9.63947, -83.68570, -59.12320,  15.59270,   6.31197, -10.51990,  -0.65899, -86.45500,  12.49560,   5.65714, -15.73930,  88.45170,  10.20380, -96.32500, -55.49430,  19.39800,  -3.45851,   2.27392,   0.64682, -74.16260,  16.87600,   5.68028, -19.88160, 177.36500,  -5.77505, -40.13660,  -0.01939,   0.01256,  44.61360,  -0.24448,  -3.20399, -58.70340,   0.02071,  -0.03226, -17.15320, 170.22400,  14.69180,-169.94500,   0.13459,  -0.12755,  37.57710,  -1.77182,   3.29664, -55.98360,   1.97208,  -4.53330, -53.51360
