time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  80.35710, -61.79070,  -9.60114,  97.36460,  82.49020,-100.10900,   7.18505,   1.93218,  -5.60489,   1.48329,  14.65930,   0.30933,  -3.60181,  23.99760,   1.61607, -91.12700,   3.23493, -85.78120, -56.96620,  13.38440,  -8.29634,   0.08828,   0.13064, -34.03880,  19.55060,   5.62029, -12.63980,  88.23580,  10.55540, -95.45570, -62.99850,   8.76927,  10.58800,   3.33627,   5.06491, -33.44470,   7.12720,   5.51621,  -7.19996,-172.38500, -15.20190, -27.98230,   0.04944,  -0.03585,  49.59370,  -2.45826,  -2.99043, -70.42890,  -0.00450,   0.00692, -16.45330, 174.76300,  27.91880, 167.35800,   0.87145,  -0.34330,  67.64070, -16.21960,   6.81466, -54.34210,   0.30935,  -0.36595, -20.09790
   0.03333,   0.00000,   0.00000,  -0.00000,  79.47200, -61.19060, -10.37200,  93.12730,  82.67660, -95.42620,   6.88000,   0.81361,  -4.64182,   1.65558,  14.77190,   0.37545,  -3.01875,  24.79740,   1.27910, -90.93890,   2.73972, -86.07640, -55.85740,  14.40060, -10.16140,   0.06583,   0.08614, -37.46340,  20.33910,   5.61952, -12.58950,  88.15660,  10.13560, -94.63520, -63.43310,   8.13208,  13.01790,   3.23490,   4.81839, -33.94450,   6.61061,   5.51327,  -7.07659,-170.91600, -15.16350, -24.46620,   0.06407,  -0.05430,  45.79050,  -3.23995,  -2.29771, -69.90110,  -0.00533,   0.00820, -16.43040, 174.70800,  29.74250, 165.29700,   0.83448,  -0.37411,  65.10300, -16.59260,   7.75987, -54.35450,   0.29273,  -0.34509, -19.90160
   0.06667,   0.00000,   0.00000,  -0.00000,  78.96020, -60.72580, -10.75950,  89.40200,  82.69950, -91.25670,   6.83457,  -0.13687,  -3.69721,   1.92083,  14.85920,   0.38193,  -2.56653,  25.48170,   0.78274, -90.73670,   2.16753, -86.22260, -54.48090,  15.54690, -12.32470,  -0.43870,  -0.50715, -40.80940,  21.20530,   5.61734, -12.43940,  88.09730,   9.61828, -93.75440, -63.45270,   7.73727,  15.10470,   3.39299,   4.88435, -34.85910,   6.39990,   5.51520,  -7.15771,-169.64200, -15.44950, -21.07250,   0.07598,  -0.07477,  42.04750,  -3.92178,  -1.35406, -69.17820,  -0.00016,   0.00028, -16.57240, 174.67000,  31.40090, 163.37900,   0.73718,  -0.39836,  60.91110, -16.62230,   8.62453, -55.02710,   0.27363,  -0.32129, -19.67750
   0.10000,   0.00000,   0.00000,  -0.00000,  78.94160, -60.16420, -10.83370,  86.03880,  82.63550, -87.48170,   6.91747,  -1.00342,  -2.82208,   2.25519,  14.90670,   0.37794,  -2.43379,  26.05990,   0.43496, -90.55550,   1.62988, -86.17490, -52.60860,  16.79340, -14.95730,  -1.31235,  -1.36638, -43.84330,  21.28470,   5.61767, -12.46050,  88.02910,   9.18790, -92.83710, -63.04850,   7.45592,  16.92900,   3.29879,   4.53828, -36.08200,   6.27897,   5.51833,  -7.29135,-168.65000, -15.93060, -18.39310,   0.08564,  -0.09438,  39.01890,  -4.15151,  -0.28373, -68.49320,   0.00993,  -0.01535, -16.85180, 174.66200,  33.13020, 161.49900,   0.60344,  -0.40658,  55.31350, -16.64450,   9.16723, -55.69990,   0.28380,  -0.33395, -19.79680
   0.13333,   0.00000,   0.00000,  -0.00000,  79.63290, -59.34830, -10.34260,  82.81760,  82.44010, -83.93180,   7.22081,  -1.87829,  -2.10765,   2.49589,  14.84830,   0.34658,  -2.62944,  26.55760,   0.25137, -90.34070,   0.98321, -85.88620, -50.37690,  17.92680, -18.26680,  -1.52006,  -1.45595, -46.24900,  21.52670,   5.61781, -12.47170,  87.92040,   8.83667, -91.70010, -62.38530,   7.33388,  18.27250,   3.20171,   4.18033, -37.51220,   6.17989,   5.52100,  -7.40453,-167.92600, -15.97200, -16.38740,   0.09236,  -0.10951,  36.86760,  -4.61082,   0.68747, -68.16710,   0.01598,  -0.02481, -17.02080, 174.65000,  34.53820, 159.68100,   0.44728,  -0.38147,  48.71640, -15.80720,   8.96283, -56.25380,   0.28297,  -0.33290, -19.78700
   0.16667,   0.00000,   0.00000,  -0.00000,  80.81780, -58.40270,  -9.47260,  80.53520,  82.17060, -81.37180,   7.66719,  -2.56390,  -1.49990,   2.77212,  14.67950,   0.32822,  -2.86450,  26.79700,  -0.05035, -90.11930,   0.34136, -85.74790, -48.04060,  18.64080, -21.49360,  -0.49941,  -0.43917, -48.71820,  21.78930,   5.61411, -12.22540,  87.80440,   8.56657, -90.56640, -61.60690,   6.68839,  19.44690,   3.24948,   4.00838, -39.09310,   6.27478,   5.52581,  -7.61197,-167.34300, -15.74430, -15.02770,   0.09910,  -0.12167,  35.65630,  -5.23008,   1.60181, -68.14810,   0.02096,  -0.03267, -17.16070, 174.60800,  35.09880, 158.11500,   0.28517,  -0.31266,  41.19660, -13.90300,   8.22631, -57.10820,   0.26933,  -0.31598, -19.62730
   0.20000,   0.00000,   0.00000,  -0.00000,  82.64520, -57.50590,  -8.14192,  78.87690,  81.90040, -79.55790,   8.11963,  -3.11345,  -1.13981,   3.00788,  14.41240,   0.19822,  -3.05124,  26.93760,  -0.27041, -89.95040,  -0.14227, -85.78080, -45.77080,  18.88110, -23.98810,   0.59794,   0.47605, -51.45040,  22.14360,   5.61193, -12.08300,  87.68990,   8.43712, -89.62650, -60.82070,   5.60299,  20.49830,   3.06270,   3.59582, -40.47870,   6.27158,   5.52664,  -7.64798,-167.01300, -15.50380, -14.14590,   0.10488,  -0.12881,  35.22920,  -6.02768,   2.60004, -68.51520,   0.02451,  -0.03824, -17.25980, 173.95500,  34.59990, 157.08800,   0.15911,  -0.23250,  32.71460, -12.99330,   6.92036, -56.51120,   0.28209,  -0.33181, -19.77680
   0.23333,   0.00000,   0.00000,  -0.00000,  84.76840, -56.57760,  -6.46915,  77.77090,  81.56430, -78.39170,   8.71591,  -3.56112,  -0.96932,   3.14234,  14.11340,   0.11616,  -3.24461,  26.87440,  -0.51288, -89.84100,  -0.45684, -85.81050, -43.60910,  18.80890, -25.91210,   0.58739,   0.42562, -54.07500,  22.29640,   5.60952, -11.92860,  87.60370,   8.30894, -88.84940, -60.38160,   4.34806,  21.19080,   2.84354,   3.23097, -41.40090,   6.42925,   5.53131,  -7.85357,-166.61800, -15.45690, -13.55280,   0.11139,  -0.13207,  35.62260,  -6.97921,   3.99219, -69.14830,   0.02854,  -0.04466, -17.37390, 172.74200,  33.34290, 156.44200,   0.08045,  -0.15966,  24.32560, -11.58800,   4.22406, -54.25960,   0.29054,  -0.34235, -19.87610
   0.26667,   0.00000,   0.00000,  -0.00000,  87.04150, -55.42620,  -4.73074,  76.67770,  81.22590, -77.28270,   9.30586,  -4.02922,  -0.88134,   3.15288,  13.78620,   0.04527,  -3.46627,  26.60800,  -0.64292, -89.76040,  -0.68994, -85.84790, -42.04290,  18.34740, -27.20570,   0.31321,   0.20828, -56.28270,  22.47450,   5.60668, -11.75080,  87.57480,   8.18253, -88.42790, -60.28760,   2.93108,  21.80900,   2.58779,   2.86734, -42.10940,   6.74654,   5.53527,  -8.02934,-166.12600, -15.03310, -13.41050,   0.11917,  -0.13295,  36.72230,  -8.02897,   5.32593, -70.01300,   0.03482,  -0.05468, -17.55190, 171.32900,  32.39030, 155.74400,   0.03499,  -0.09067,  17.28430,  -9.97205,   0.52210, -53.17370,   0.30354,  -0.35862, -20.02890
   0.30000,   0.00000,   0.00000,  -0.00000,  89.27840, -54.11560,  -3.17488,  76.11790,  80.91840, -76.69160,   9.86594,  -4.34147,  -0.77204,   3.12493,  13.36310,  -0.02608,  -3.86791,  26.14540,  -0.78602, -89.79210,  -0.60511, -86.03550, -40.90320,  17.63280, -27.96700,   0.39557,   0.24844, -57.93060,  22.46410,   5.60470, -11.62810,  87.52120,   8.24371, -88.20020, -60.27710,   1.59865,  22.34150,   2.11092,   2.28714, -42.74230,   7.11431,   5.53921,  -8.20561,-165.45700, -14.45710, -13.54460,   0.12615,  -0.13154,  38.07040,  -9.21541,   6.74215, -70.92410,   0.04330,  -0.06828, -17.79240, 170.76500,  33.84850, 154.26900,   0.01536,  -0.04422,  12.73500, -10.03380,  -2.59079, -53.14700,   0.31657,  -0.37505, -20.18310
   0.33333,   0.00000,   0.00000,  -0.00000,  91.01140, -53.06120,  -2.52611,  76.53640,  80.74390, -76.94590,  10.24320,  -4.29067,  -0.43394,   3.20617,  12.86860,  -0.25379,  -4.84269,  25.54270,  -0.94840, -89.96540,  -0.10236, -86.28780, -40.37150,  16.74100, -28.18470,   0.63173,   0.38001, -58.98130,  22.46260,   5.60268, -11.50310,  87.42830,   8.57176, -88.23020, -60.12490,   0.80789,  22.42930,   1.64464,   1.75442, -43.18200,   7.39188,   5.54081,  -8.27986,-164.49100, -13.89280, -13.98400,   0.13103,  -0.12969,  39.17290, -10.70390,   7.87176, -71.70660,   0.05042,  -0.07982, -17.99630, 171.05400,  34.90020, 150.51800,   0.02989,  -0.10484,  13.54350,  -8.29944,  -4.77115, -51.39900,   0.30313,  -0.35813, -20.02430
   0.36667,   0.00000,   0.00000,  -0.00000,  92.34540, -52.21850,  -2.92820,  77.08370,  80.82090, -77.16670,  10.14350,  -4.07877,   0.19631,   3.52298,  12.45130,  -0.62950,  -6.02950,  24.85050,  -1.46376, -90.21590,   0.64453, -86.48840, -40.80460,  15.81560, -27.50810,   1.31839,   0.78159, -59.35780,  22.71760,   5.60253, -11.49640,  87.36300,   8.93048, -88.47520, -59.91110,   0.94147,  21.84160,   1.48780,   1.57777, -43.34850,   7.55213,   5.54550,  -8.49532,-163.21800, -13.24790, -14.70070,   0.13268,  -0.12926,  39.63850, -12.63250,   8.53153, -72.17160,   0.06060,  -0.09650, -18.29000, 171.53100,  34.27680, 144.11300,   0.11801,  -0.28175,  22.21960,  -5.87897,  -7.40732, -49.05870,   0.37456,  -0.44924, -20.87540
   0.40000,   0.00000,   0.00000,  -0.00000,  94.20290, -50.93290,  -1.57010,  76.76400,  80.53790, -76.55170,  10.68550,  -4.29690,   0.82653,   3.26550,  12.22960,  -1.06008,  -6.38123,  24.27490,  -2.00002, -90.46010,   1.36104, -86.32270, -42.02430,  15.57990, -25.99440,   1.91030,   1.14840, -58.99400,  23.12600,   5.60035, -11.36310,  87.24090,   9.49134, -88.70840, -59.29010,   2.36664,  20.93800,   1.38188,   1.45224, -43.60910,   7.72744,   5.54711,  -8.57110,-161.67900, -10.94470, -13.39350,   0.10325,  -0.09380,  39.33610, -14.97240,   8.39895, -72.45610,   0.07592,  -0.12193, -18.73610, 170.29100,  34.08760, 139.10900,   0.29059,  -0.42015,  34.66610,  -6.62762,  -9.67190, -49.40920,   0.32292,  -0.38309, -20.25850
   0.43333,   0.00000,   0.00000,  -0.00000,  94.43260, -50.37030,  -0.48686,  77.32890,  80.07540, -76.37470,  11.66030,  -4.28577,   2.34620,   3.08392,  12.42320,  -1.62508,  -5.98270,  24.06640,  -3.31444, -90.80950,   2.33258, -85.85790, -44.17790,  15.96350, -22.98580,   3.18808,   2.00476, -57.87780,  22.89950,   5.60168, -11.44360,  87.29000,   9.69367, -89.29850, -58.17050,   4.51223,  19.24810,   1.52272,   1.58734, -43.83770,   7.75822,   5.54982,  -8.69752,-159.08500,  -8.06849, -10.63700,   0.06687,  -0.04863,  38.72960, -16.99400,   6.79606, -72.11970,   0.10182,  -0.16601, -19.50400, 170.76300,  33.98650, 135.98100,   0.46279,  -0.46054,  45.21620,  -4.39213,  -7.38159, -51.03750,   0.14345,  -0.16404, -18.17620
   0.46667,   0.00000,   0.00000,  -0.00000,  94.82190, -50.12740,   0.25514,  77.34320,  79.96490, -75.86520,  11.89870,  -4.30667,   3.40536,   3.19516,  12.76930,  -1.57205,  -5.63214,  23.88690,  -3.96140, -90.98470,   2.77548, -85.45800, -47.46420,  16.70250, -19.03030,   5.34769,   3.67179, -55.63080,  21.75780,   5.60618, -11.72640,  87.17360,  10.73550, -90.15490, -55.91910,   6.93681,  17.34740,   1.86045,   1.91980, -44.13510,   7.86452,   5.54818,  -8.61969,-157.00700,  -5.70825,  -9.16113,   0.08145,  -0.06330,  39.15110, -17.46720,   3.89799, -69.06040,   0.16875,  -0.28663, -21.57650, 171.21800,  33.67760, 135.03000,   0.54777,  -0.41422,  52.87920,  -5.48969,  -6.79926, -56.99300,  -0.04829,   0.05320, -16.04540
   0.50000,   0.00000,   0.00000,  -0.00000,  96.23860, -50.42080,   2.11548,  77.74220,  80.02620, -76.23470,  11.80610,  -4.14620,   3.44410,   3.01671,  12.87850,  -1.22965,  -4.35967,  23.53470,  -3.88448, -91.02330,   2.92372, -85.70060, -51.23240,  17.79770, -14.16290,   6.16469,   4.79735, -52.25130,  20.64540,   5.62000, -12.62730,  87.04820,  11.85790, -90.91280, -53.62040,   8.86105,  14.70540,   1.61504,   1.71870, -43.25070,   8.22857,   5.54537,  -8.48980,-156.58700,  -3.46076,  -9.09373,   0.17948,  -0.16629,  41.47100, -15.62550,  -1.99542, -62.36320,   0.26635,  -0.48377, -24.88150, 171.36800,  33.58680, 136.12300,   0.56467,  -0.36109,  57.23130,  -4.82463,  -6.14946, -62.38380,  -0.11218,   0.12209, -15.35410
