time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.06840, -61.27700,  -7.45453, 162.75600,  84.02890,-164.04100,  -4.13742,  11.53050,  -2.15995,  -9.54396,  13.87690,   1.05380,  -2.08708,  12.39920,   0.51089, -91.21050,   3.04278, -83.28710, -71.74410,   5.37601,  25.78070,  25.94890,  11.88390, -67.07010,  27.13710,   5.19268,   2.89857,  90.00040,  -0.06134,-104.30000, -68.53300,   3.07993,  -4.30710,  -0.27255,  -0.13393, -63.58640,  42.16820,   5.62297, -12.79770,-173.59100,  11.61400, -23.86930,  -0.35957,   0.09593,  73.37090,   8.28864,  -5.34349, -41.75650,   0.46715,  -0.56946, -21.94530,-171.54400,   5.44589, 170.70100,   0.08583,  -0.10876,  29.04920,   5.97958,  -5.89007, -66.30100,  -0.19908,  -1.07802, -22.07370
   0.03333,   0.00000,   0.00000,  -0.00000,  89.82480, -63.41130,  -5.94697, 168.58000,  82.83100,-170.49300,  -4.76287,  14.24960,  -3.24803,  -9.92842,  14.78740,   1.27817,  -2.52334,  11.98090,  -0.12838, -90.84740,   1.87142, -80.61950, -67.34110,   0.44747,  32.26670,  28.43440,  14.40720, -65.32110,  23.28150,   5.23101,   1.91693,  89.98210,  -2.53776,-105.39800, -66.87980,  -3.05509,  -8.90183,   0.64184,   0.15486, -76.17170,  40.72380,   5.59406, -10.99550,-177.57800,  12.33700, -29.06650,  -0.38471,   0.12069,  71.07070,   7.31371,  -7.78007, -43.22550,   0.43250,  -0.52326, -21.52470,-173.57600,   4.43580, 172.43100,   0.06687,  -0.10662,  23.72820,   7.08599,  -4.56832, -58.62540,   0.66236,  -1.18619, -24.20410
   0.06667,   0.00000,   0.00000,  -0.00000,  93.01400, -65.04140,  -4.63327, 171.76900,  81.87870,-174.12200,  -5.21274,  16.32270,  -3.98664, -10.32950,  15.73380,   1.48628,  -3.05918,  11.61050,  -0.76343, -90.11150,   0.22582, -78.63540, -61.96840,  -4.48122,  38.08300,  26.25700,  14.21680, -63.53220,  22.86970,   5.24124,   1.66287,  89.88680,  -4.80278,-106.34900, -64.92730,  -8.78488, -13.39810,   3.70852,   0.22516, -86.48020,  40.04010,   5.55546,  -8.95301, 179.60200,  12.76790, -32.72890,  -0.36800,   0.15553,  65.71760,   7.37516,  -9.47492, -45.19510,   0.41808,  -0.50430, -21.35100,-175.11100,   5.82415, 173.81600,   0.04585,  -0.09142,  18.91810,   8.91987,  -1.49998, -50.13770,   1.46907,  -1.93063, -30.09010
   0.10000,   0.00000,   0.00000,  -0.00000,  94.76790, -66.06230,  -3.99341, 172.77400,  81.25800,-175.25900,  -5.31255,  17.60720,  -4.18206, -10.80910,  16.59510,   1.47130,  -3.58120,  11.36320,  -1.21156, -89.03640,  -1.83708, -77.32380, -56.81090,  -9.04942,  42.87810,  24.31710,  13.90790, -61.99070,  25.63100,   5.18197,   3.13172,  89.72560,  -6.93217,-107.27100, -63.60090, -14.63370, -18.02890,   6.84700,  -0.52408, -94.34440,  38.15070,   5.51617,  -7.18480, 178.01200,  13.18940, -34.42270,  -0.29738,   0.17673,  58.05730,   7.09250,  -9.66562, -48.11600,   0.44810,  -0.54398, -21.71380,-175.71200,   7.67930, 175.73600,   0.02371,  -0.05370,  14.37750,  11.02290,   1.81205, -42.29560,   1.97106,  -2.89435, -36.12160
   0.13333,   0.00000,   0.00000,  -0.00000,  94.74610, -66.30510,  -4.37161, 172.51800,  80.90330,-174.83700,  -5.16106,  18.27880,  -3.84049, -11.11190,  16.94210,   1.15514,  -4.29563,  11.03160,  -1.52883, -87.73100,  -4.20161, -76.59710, -53.22580, -11.60160,  45.85010,  25.79630,  15.45430, -61.13230,  30.49700,   5.02608,   6.70438,  89.59550,  -8.71999,-107.66600, -63.47850, -20.05640, -22.74010,   7.58248,  -1.32794, -99.87610,  35.52450,   5.50591,  -6.77689, 177.46200,  13.52100, -34.30740,  -0.20639,   0.17261,  48.97920,   6.11951,  -7.72372, -50.44710,   0.43013,  -0.52014, -21.49640,-175.35900,   8.11010, 177.94600,   0.00487,   0.01391,  11.04840,  12.27490,   3.00059, -36.14810,   2.28904,  -3.67461, -40.79530
   0.16667,   0.00000,   0.00000,  -0.00000,  93.83940, -66.12030,  -5.47278, 172.99500,  80.66280,-175.07200,  -5.29599,  18.74920,  -3.31157, -10.86060,  16.62860,   0.70668,  -5.18827,  10.52010,  -1.41708, -86.54390,  -6.28783, -76.12710, -50.27250, -12.58440,  47.06890,  25.22790,  15.92500, -59.78540,  33.99290,   4.94740,   8.41620,  89.57130,  -9.86257,-107.50100, -65.12860, -24.37300, -26.85820,   7.14984,  -1.68969,-103.23100,  34.85020,   5.52732,  -7.66748, 177.24800,  13.26080, -33.02460,  -0.12365,   0.14737,  38.98430,   3.91655,  -4.04581, -52.37590,   0.42555,  -0.51410, -21.44120,-174.64600,   8.49687, 179.50000,  -0.00859,   0.08721,   9.92080,  12.77870,   3.48488, -32.51430,   2.54876,  -4.50123, -45.60180
   0.20000,   0.00000,   0.00000,  -0.00000,  92.01960, -66.12260,  -7.12968, 174.02100,  80.37300,-175.77600,  -5.63568,  19.32840,  -2.58006, -10.49100,  15.92750,   0.44659,  -5.44648,   9.72224,  -1.02824, -85.85510,  -7.51978, -76.02420, -47.21830, -13.31060,  47.48970,  25.58090,  16.15760, -59.83000,  35.37880,   4.92886,   8.79209,  89.55270, -10.72570,-107.40200, -68.28230, -26.75530, -28.55470,   5.70016,  -1.55859,-105.24900,  37.77250,   5.54468,  -8.45152, 177.10700,  11.78840, -30.59530,  -0.06722,   0.11627,  29.17290,   0.85342,  -1.00708, -54.61020,   0.44221,  -0.53614, -21.64250,-173.68300,   8.92258,-179.51000,  -0.01911,   0.13221,  11.32800,  12.90130,   4.15858, -31.33970,   2.75894,  -5.46464, -51.07560
   0.23333,   0.00000,   0.00000,  -0.00000,  89.74460, -66.03880,  -8.90508, 174.78600,  80.25380,-176.18000,  -5.94644,  19.54950,  -1.78593, -10.20030,  15.32450,   0.51428,  -5.30259,   8.77869,  -0.73035, -85.67900,  -8.00052, -76.50320, -45.31780, -14.25990,  47.65630,  26.54210,  15.92610, -61.21910,  38.22990,   4.87949,   9.77827,  89.50850, -10.58250,-107.67500, -71.42550, -27.46780, -27.27510,   3.63159,  -1.07821,-106.51800,  40.28780,   5.55015,  -8.71434, 176.49600,   8.49871, -27.66180,  -0.03896,   0.09671,  21.12680,  -1.39063,   1.12467, -55.18550,   0.42918,  -0.51891, -21.48510,-172.42300,   8.60478,-178.78300,  -0.02998,   0.15171,  14.58720,  13.02520,   3.86180, -31.45280,   2.87450,  -6.42242, -56.43700
   0.26667,   0.00000,   0.00000,  -0.00000,  88.06530, -65.83750, -10.05250, 175.57300,  80.42490,-176.70300,  -6.29532,  19.19980,  -1.21494, -10.08810,  14.81740,   0.82138,  -4.57899,   8.20271,  -0.37876, -86.00410,  -7.71224, -77.50230, -44.80030, -15.51030,  47.67880,  24.49070,  13.91660, -62.16850,  42.56400,   4.86405,  10.08470,  89.58060,  -8.96045,-107.69000, -74.00070, -25.91830, -23.81880,   3.96630,  -1.12902,-105.87200,  42.76480,   5.56925,  -9.63580, 175.55700,   4.28098, -25.33510,  -0.02875,   0.09237,  16.97900,  -3.62348,   2.68976, -55.18520,   0.43130,  -0.52168, -21.51020,-171.47300,   8.63051,-178.40200,  -0.04422,   0.16375,  19.23140,  12.83840,   3.80966, -32.03590,   2.89490,  -7.54613, -62.69610
   0.30000,   0.00000,   0.00000,  -0.00000,  91.06470, -64.79590,  -6.93017, 174.75900,  81.20790,-176.34100,  -6.07365,  17.67400,  -2.24097, -10.62980,  14.08410,   1.24549,  -3.58777,   8.10686,   0.31481, -87.06720,  -6.03958, -79.04190, -45.39800, -15.66220,  47.14170,  22.13090,  12.09060, -62.74980,  45.77440,   4.86707,  10.03110,  89.85110,  -5.70497,-106.48900, -75.79430, -21.87310, -18.97200,   6.56107,  -1.45876,-102.48800,  43.95810,   5.56802,  -9.58780, 172.48900,   1.79882, -25.54820,  -0.03816,   0.10596,  20.40130,   3.29658,   4.07896, -52.57410,   0.35135,  -0.41785, -20.55600,-173.20100,  11.67570,-178.86900,  -0.07541,   0.19013,  25.60850,  11.83240,   5.93047, -32.42830,   2.78782,  -8.68886, -69.10490
