time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.08790, -70.50080,   3.34644, 157.44800,  83.46140,-158.92400,  -2.61604,  12.20660,  -2.67957,  -8.90901,  12.35600,   5.72216,  -1.56531,  13.40940,   6.58622, -89.37330,  -2.02998, -87.83790, -66.80110,  53.44290,  34.87990,  35.21600, -11.57220,-105.86500,  20.46380,   5.67275, -17.83840,  90.17340,  -4.00994,-102.52200, -33.74920, -24.00220, -23.91680, -33.42130, -62.27900, -36.69710,  -2.00746,   5.24105,   1.66862, 172.85300,  -1.29468,  -9.01890,   0.18031,  -0.36848,  23.27190,   7.50140,  -2.87884, -61.46690,   0.13211,  -0.15026, -18.03530,-179.83200,  18.30870, 161.29700,  -0.18749,   0.09862,  63.22670,  12.92320, -19.81050, -39.99080,   0.60781,  -0.68771, -21.68260
   0.03333,   0.00000,   0.00000,  -0.00000,  88.03690, -70.46390,   2.23248, 155.41700,  83.46920,-156.52000,  -2.23379,  11.97050,  -1.97927,  -8.82361,  12.18360,   5.86599,  -1.08831,  13.39610,   6.50968, -89.38850,  -2.00802, -88.05790, -66.95560,  53.45540,  35.13910,  34.93520, -11.49530,-105.92400,  20.36280,   5.67272, -17.83010,  90.18260,  -3.88966,-102.30900, -33.38720, -24.20670, -23.70790, -33.10910, -62.12430, -36.41210,  -2.35212,   5.23975,   1.70149, 174.19100,  -1.01110,  -5.86864,   0.16817,  -0.35345,  22.59360,   6.69520,  -3.28288, -63.07080,   0.07974,  -0.08977, -17.45260,-178.93400,  17.45780, 158.97000,  -0.26271,   0.16080,  59.06690,  15.17410, -23.79810, -43.87190,   0.60436,  -0.68340, -21.65190
   0.06667,   0.00000,   0.00000,  -0.00000,  86.86050, -70.60860,   1.51142, 154.51200,  83.44590,-155.42800,  -2.04468,  11.90760,  -1.62302,  -8.84058,  11.99720,   5.95876,  -0.66298,  13.40090,   6.55750, -89.38010,  -2.06229, -88.26440, -67.06860,  53.55090,  35.33440,  34.66350, -11.42070,-105.97900,  20.51700,   5.67291, -17.86170,  90.19370,  -3.74610,-102.03900, -33.02830, -24.32770, -23.44290, -33.10050, -62.07540, -36.41780,  -2.43537,   5.23596,   1.80095, 175.37600,  -2.36911,  -3.14964,   0.14941,  -0.32591,  21.73660,   6.18670,  -2.29416, -64.67510,   0.02628,  -0.02929, -16.86450,-178.52500,  16.11950, 157.63200,  -0.21143,   0.16815,  51.84720,  13.45350, -22.60960, -47.76620,   0.59895,  -0.67674, -21.60400
   0.10000,   0.00000,   0.00000,  -0.00000,  86.96190, -70.82280,   1.73531, 153.85400,  83.42420,-154.79100,  -1.88581,  11.88170,  -1.68058,  -9.06778,  11.83970,   6.09131,  -0.23353,  13.44110,   6.56249, -89.40990,  -1.97132, -88.33000, -66.82130,  53.63300,  35.30420,  34.72450, -11.45770,-105.99300,  20.51340,   5.67283, -17.85240,  90.19860,  -3.58047,-101.82300, -32.94070, -24.89300, -23.25940, -33.40820, -62.26210, -36.69550,  -2.60748,   5.23597,   1.80104, 176.03200,  -3.04903,  -0.86239,   0.12866,  -0.28707,  21.06910,   5.59838,  -1.97553, -66.20370,  -0.02865,   0.02284, -16.57620,-178.66900,  14.95640, 157.57600,  -0.12401,   0.14004,  41.61080,  10.98590, -17.72880, -49.66450,   0.58673,  -0.66168, -21.49630
   0.13333,   0.00000,   0.00000,  -0.00000,  88.54120, -70.87310,   3.20808, 153.18300,  83.45980,-154.32400,  -1.75748,  11.76550,  -2.10550,  -9.12821,  11.78670,   6.15207,  -0.08910,  13.48950,   6.50604, -89.44960,  -1.83525, -88.30120, -66.57000,  53.62920,  35.15920,  34.91520, -11.42760,-105.84700,  20.93640,   5.67462, -18.18690,  90.19650,  -3.37047,-101.66100, -32.71970, -25.39800, -23.09560, -32.43490, -61.97690, -35.74650,  -2.24897,   5.24038,   1.68518, 176.00500,  -2.58722,   1.24339,   0.10411,  -0.23285,  20.52230,   4.89142,  -2.47650, -67.71920,  -0.03457,   0.02756, -16.57600,-179.52200,  13.83990, 159.17200,  -0.05282,   0.09344,  28.33970,   7.63708, -12.36250, -49.23100,   0.57293,  -0.64474, -21.37490
   0.16667,   0.00000,   0.00000,  -0.00000,  91.60010, -70.44370,   5.96952, 152.21500,  83.59740,-153.75600,  -1.64934,  11.45280,  -2.92379,  -8.99303,  11.67100,   6.20404,  -0.22958,  13.54940,   6.54057, -89.43790,  -1.89811, -88.49990, -67.01050,  53.47300,  35.36990,  35.42800, -11.47120,-105.61800,  21.52630,   5.67628, -18.53840,  90.21780,  -3.58400,-101.51900, -32.71530, -25.45070, -22.67960, -31.89750, -62.02610, -35.17130,  -1.84294,   5.24332,   1.60879, 175.56800,  -2.39980,   3.26397,   0.08459,  -0.18744,  20.08240,   4.25148,  -2.45895, -69.39370,  -0.07420,   0.05931, -16.57430, 178.71700,  12.57570, 162.67900,  -0.01208,   0.04111,  11.99480,   3.92113,  -8.43571, -44.50360,   0.56798,  -0.63869, -21.33140
   0.20000,   0.00000,   0.00000,  -0.00000,  94.47060, -69.72980,   8.58705, 150.90500,  83.77840,-152.90700,  -1.52562,  11.03290,  -3.86571,  -8.90512,  11.48200,   6.33286,  -0.55720,  13.56120,   6.73891, -89.39450,  -2.07050, -88.69400, -67.60970,  53.55300,  35.79700,  35.60050, -11.66230,-105.76700,  21.41670,   5.67692, -18.67590,  90.23950,  -3.68161,-101.27500, -33.05320, -25.98160, -22.33910, -31.61300, -61.92850, -34.89750,  -2.16859,   5.22785,   2.01183, 175.26500,  -2.10538,   5.12553,   0.06983,  -0.14211,  20.48110,   3.47951,  -2.35186, -71.68990,  -0.07989,   0.06405, -16.57390, 177.04600,  11.87730, 162.26000,   0.00297,  -0.00476,   4.88335,   1.51871,  -7.44489, -42.88530,   0.51385,  -0.57303, -20.85790
   0.23333,   0.00000,   0.00000,  -0.00000,  95.53660, -69.01510,   9.63721, 149.69000,  83.93650,-151.93500,  -1.43802,  10.64730,  -4.36457,  -8.81511,  11.35510,   6.41390,  -0.91872,  13.53690,   6.88094, -89.43090,  -1.95927, -88.79830, -67.85510,  53.80630,  36.19470,  35.65680, -11.68620,-105.76600,  21.79020,   5.67797, -18.94140,  90.22880,  -3.32629,-101.06200, -32.35090, -25.88430, -21.69300, -31.77840, -61.90230, -35.07690,  -2.38274,   5.21926,   2.23071, 175.93500,  -2.23161,   7.65286,   0.05217,  -0.09694,  20.25150,   2.53735,  -1.74336, -73.89930,  -0.03844,   0.03090, -16.57580, 176.97200,  12.72900, 162.40900,   0.00308,  -0.00291,   0.00726,   2.78376,  -7.35579, -47.04800,   0.54562,  -0.61142, -21.13530
   0.26667,   0.00000,   0.00000,  -0.00000,  95.56390, -68.48930,   9.94304, 148.08200,  83.95330,-150.41400,  -1.15678,  10.44400,  -4.56630,  -8.81743,  11.18450,   6.37424,  -1.31930,  13.54430,   7.05262, -89.44570,  -1.94205, -89.06500, -67.97100,  53.67330,  36.19160,  36.37290, -11.64540,-105.32600,  22.85750,   5.67956, -19.39910,  90.23710,  -3.30104,-100.89000, -31.88210, -25.75000, -21.10640, -32.30870, -62.46300, -35.49380,  -2.65990,   5.21334,   2.38303, 177.36800,  -2.58488,  12.11970,   0.03644,  -0.07997,  17.19730,   1.50045,  -0.53548, -74.98560,   0.05935,  -0.06657, -17.22730, 177.14200,  13.29010, 162.18100,   0.00331,  -0.00884,   0.07555,   2.33658,  -8.67172, -51.57580,   0.54707,  -0.61319, -21.14780
   0.30000,   0.00000,   0.00000,  -0.00000,  92.04270, -68.54500,   6.85790, 147.96400,  83.93970,-150.00400,  -1.14912,  10.43140,  -3.98196,  -9.07847,  11.04910,   6.62084,  -1.65495,  13.61490,   7.29986, -89.45250,  -1.92129, -89.08930, -67.69650,  53.54290,  35.98080,  36.53390, -11.60750,-105.19400,  23.40410,   5.68011, -19.63440,  90.21820,  -2.80918,-100.55500, -31.74230, -25.97670, -21.20280, -31.55930, -62.41000, -34.72370,  -2.66873,   5.20337,   2.63445,-179.46400,  -2.90597,  15.09210,   0.03024,  -0.11929,  16.76090,   0.11257,   0.62177, -73.85430,   0.21577,  -0.29409, -20.05650, 179.24400,  13.41320, 162.50900,   0.00322,  -0.00443,   1.36952,   5.30972, -10.43630, -46.81880,   0.55337,  -0.62084, -21.20310
   0.33333,   0.00000,   0.00000,  -0.00000,  87.32780, -68.23780,   1.90611, 151.59900,  84.22250,-153.20000,  -2.13635,  10.29960,  -3.01472,  -8.87177,  10.97930,   6.76951,  -1.64626,  13.60340,   7.46142, -89.47930,  -1.80631, -88.91440, -67.42850,  54.15250,  35.98490,  36.05970, -11.56170,-105.39000,  23.20270,   5.67929, -19.33990,  90.18200,  -2.27883,-100.43300, -31.51620, -25.87670, -20.69830, -31.05310, -62.22840, -34.23580,  -3.02092,   5.19707,   2.79276,-176.15900,  -1.73707,  14.39220,   0.03272,  -0.04450,  20.35220,  -1.67457,   0.53578, -69.93420,   0.40033,  -0.83121, -28.17660,-178.17200,  13.39370, 161.03400,   0.00969,  -0.06201,   6.11246,   7.27490, -12.06540, -40.43970,   0.57090,  -0.64223, -21.35670
   0.36667,   0.00000,   0.00000,  -0.00000,  82.09520, -67.76140,  -3.91563, 158.04900,  84.52120,-159.10100,  -3.60273,  10.26150,  -1.78482,  -8.88541,  10.84190,   6.73460,  -0.93685,  13.58850,   7.69450, -89.53190,  -1.63330, -89.00310, -67.22490,  53.87520,  35.69740,  36.11040, -11.35990,-105.11000,  22.96380,   5.67897, -19.24460,  90.13760,  -1.67838,-100.31300, -31.23290, -25.62870, -20.02850, -31.04880, -62.47730, -34.16900,  -2.81748,   5.20148,   2.68179,-172.84200,  -0.35379,  13.01120,   0.01407,   0.01245,  24.22630,  -1.41856,  -0.80689, -64.16210,  -0.41828,  -2.68988, -33.88610,-174.56300,  15.50060, 159.21900,   0.04711,  -0.12179,  11.50710,   6.34264, -10.17050, -39.59950,   0.45644,  -0.50459, -20.36120
   0.40000,   0.00000,   0.00000,  -0.00000,  78.38450, -67.52180,  -8.42957, 165.39800,  84.78650,-166.06300,  -5.12154,  10.15380,  -0.87760,  -8.65565,  10.89970,   6.70561,  -0.70660,  13.54490,   7.83608, -89.51580,  -1.68290, -88.94560, -67.82110,  52.93790,  35.61130,  36.95900, -11.34780,-104.65500,  22.81240,   5.67940, -19.38680,  90.15730,  -1.96938,-100.43200, -32.68110, -26.05030, -19.72470, -30.43840, -61.86530, -33.67560,  -2.21044,   5.21138,   2.43200,-170.34300,   0.53972,  10.45080,   0.03530,  -0.02462,  29.47620,  -0.34558,  -2.38983, -56.76930,   1.62162,  -2.77976, -40.16400,-171.73900,  16.07140, 158.04000,   0.02534,  -0.06790,  17.18180,   6.25213,  -9.98515, -44.50280,   0.21735,  -0.23192, -18.34320
   0.43333,   0.00000,   0.00000,  -0.00000,  75.53880, -67.53120, -11.57770, 170.71300,  84.93160,-171.11400,  -6.14784,  10.03700,  -0.26473,  -8.42511,  11.11800,   6.66410,  -0.91064,  13.41000,   8.00024, -89.46650,  -1.80624, -88.54280, -68.14220,  52.64470,  35.38400,  37.72700, -11.63050,-104.60600,  22.53830,   5.67923, -19.32200,  90.18400,  -2.64856,-101.02400, -34.46930, -26.35350, -19.16940, -30.15070, -61.42890, -33.48050,  -2.28375,   5.21380,   2.37031,-168.28100,   0.75292,   6.75956,   0.05453,  -0.05103,  36.11880,   0.68822,  -4.22801, -45.26980,   1.88243,  -3.76979, -47.61580,-169.74600,  15.74690, 159.44800,   0.02566,  -0.05252,  19.44400,   6.21768, -10.34980, -48.67210,   0.12408,  -0.13063, -17.57690
   0.46667,   0.00000,   0.00000,  -0.00000,  73.61480, -67.53000, -12.95750, 170.97900,  84.84140,-171.21800,  -6.18213,  10.20250,   0.07308,  -8.63345,  11.10550,   6.54616,  -1.16280,  13.09870,   7.95715, -89.42480,  -1.94299, -88.50520, -67.45820,  52.62820,  34.57280,  38.80590, -12.15200,-104.66900,  22.33790,   5.67859, -19.11660,  90.18390,  -3.08945,-101.59100, -35.08870, -26.50040, -18.38350, -29.93760, -61.42330, -33.25520,  -2.15267,   5.21622,   2.31029,-167.20500,   2.51470,   1.67880,   0.09499,  -0.08809,  45.04780,  -0.66790,  -7.94760, -32.45580,   1.67211,  -2.93617, -41.35940,-168.48500,  14.81160, 161.99800,   0.03109,  -0.04690,  20.98430,   6.11079, -11.52940, -52.45400,   0.02375,  -0.02465, -16.76450
   0.50000,   0.00000,   0.00000,  -0.00000,  73.08270, -67.67430, -12.84170, 168.94100,  84.59270,-169.17600,  -5.72441,  10.62700,   0.06160,  -8.95797,  10.97090,   6.34817,  -1.75323,  12.80330,   7.90933, -89.39560,  -2.06267, -88.66370, -66.55680,  53.03550,  33.72680,  39.31740, -12.37780,-104.66700,  22.11640,   5.67790, -18.95250,  90.18830,  -3.30463,-101.73600, -34.96400, -26.51140, -18.01920, -29.76130, -61.30410, -33.09690,  -1.27846,   5.23170,   1.91234,-167.54600,   5.16373,  -4.98371,   0.07576,  -0.05762,  55.29800,  -0.34411, -10.55850, -22.90490,   0.41440,  -0.49946, -21.30700,-167.76900,  13.81880, 163.51000,   0.05719,  -0.07789,  24.02180,   5.83835, -12.94670, -56.49740,  -0.04806,   0.02997, -16.57380
   0.53333,   0.00000,   0.00000,  -0.00000,  72.92180, -67.98990, -13.16940, 169.11200,  84.41320,-169.36600,  -5.68882,  10.98770,   0.03628,  -8.98490,  10.96830,   6.12894,  -2.56464,  12.61790,   7.90596, -89.36840,  -2.15077, -88.62870, -66.27120,  53.38900,  33.38690,  39.22040, -12.31130,-104.64100,  22.08440,   5.67850, -19.09960,  90.20790,  -3.68375,-101.76700, -35.49680, -27.43930, -18.53450, -29.35630, -61.09850, -32.72000,  -1.10325,   5.24311,   1.61501,-168.57200,   7.86036, -11.32280,  -0.10476,   0.04234,  63.19450,   0.28586,  -5.53757, -24.99930,   0.44001,  -0.53325, -21.61570,-167.02400,  13.71650, 164.77200,   0.08555,  -0.12005,  25.49040,   5.86279, -13.11420, -59.59480,  -0.09341,   0.05865, -16.57350
   0.56667,   0.00000,   0.00000,  -0.00000,  73.26210, -68.86050, -13.04470, 169.29500,  84.10310,-169.61600,  -5.60634,  11.61090,  -0.07281,  -8.99350,  11.09470,   6.12094,  -3.07153,  12.55240,   7.85319, -89.37120,  -2.10985, -88.39940, -66.06700,  53.07160,  33.13100,  39.66700, -12.41280,-104.53200,  22.11060,   5.67883, -19.19080,  90.21780,  -4.04941,-101.91800, -36.16090, -28.60450, -19.21530, -28.62900, -60.66660, -32.05160,  -0.56982,   5.25879,   1.20116,-170.00900,   9.86354, -17.34860,  -0.27553,   0.09507,  68.69300,   1.48560,  -3.20041, -31.13000,   0.41984,  -0.50655, -21.37220,-166.78600,  14.80680, 166.62700,   0.09900,  -0.14364,  25.65860,   6.22205, -11.67620, -61.99730,  -0.14055,   0.08954, -16.57320
