time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  85.01940, -74.00440,  -6.50946, 155.99100,  84.79370,-155.89100,  -3.56152,   9.49674,   0.49692,  -6.51662,  16.79640,   1.37075,   1.07420,  20.15480,   1.38544, -91.27820,   3.96222, -87.10520, -60.13570, -20.19690,  19.21890,   1.29169,   5.69945, -12.79040,  10.17220,   5.19864,   2.75324,  89.81270,   1.93417, -99.46810, -66.69970, -16.25430,   3.36306,   0.06017,   0.22474, -15.28600,  21.71820,   5.41304,  -3.36588,-177.65200,   8.48798, -29.48050,  -0.35130,   0.15558,  64.94840,   3.58863, -13.64010, -46.27110,   0.38297,  -0.45849, -20.93110,-171.40000,  11.42030, 169.56200,   0.05357,  -0.08799,  20.78710,   4.75394, -12.42750, -63.94720,   0.09833,  -0.10313, -17.36710
   0.03333,   0.00000,   0.00000,  -0.00000,  88.86080, -75.03040,  -3.56251, 157.81500,  84.51460,-158.06300,  -3.62941,  10.17760,  -0.17385,  -6.80590,  17.50340,   1.13497,   1.37243,  20.54300,   0.37717, -91.25890,   3.81042, -86.70240, -58.72270, -21.36310,  21.85080,   0.96569,   4.90509, -11.14920,  10.18840,   5.19862,   2.75309,  89.87390,   1.42812, -99.95360, -66.83260, -17.80710,   0.77413,  -0.18349,  -0.54982, -18.30280,  21.91030,   5.41750,  -3.51645,-179.06700,   8.68484, -31.75110,  -0.29075,   0.17558,  57.57990,   3.65569, -13.94460, -48.52150,   0.39498,  -0.47404, -21.07410,-172.47400,  11.89090, 171.50500,   0.03321,  -0.04871,  18.49180,   4.82872, -11.11590, -64.34030,   0.06299,  -0.06573, -17.08060
   0.06667,   0.00000,   0.00000,  -0.00000,  91.67670, -76.10960,  -1.54372, 158.99600,  84.21340,-159.49400,  -3.60184,  10.84730,  -0.65567,  -7.08939,  18.21480,   0.79896,   1.23360,  20.89030,  -0.56219, -91.21780,   3.62830, -86.43200, -57.40360, -22.73720,  24.13580,   0.72381,   4.24476,  -9.68435,  10.94290,   5.19147,   2.93227,  89.92140,   1.00378,-100.52300, -67.15590, -18.48450,  -1.67173,  -0.26889,  -0.68149, -21.46470,  22.24720,   5.42476,  -3.75986, 179.95300,   7.94094, -32.23900,  -0.19352,   0.17402,  46.36220,   3.21241, -13.19110, -48.79010,   0.39213,  -0.47036, -21.04040,-173.17100,  11.71370, 173.60600,   0.01609,  -0.00932,  15.91810,   4.87479, -10.30170, -64.51970,   0.04059,  -0.04224, -16.90000
   0.10000,   0.00000,   0.00000,  -0.00000,  92.39170, -77.18000,  -1.42037, 160.13700,  83.96330,-160.66800,  -3.64591,  11.40130,  -0.70098,  -7.16019,  18.94290,   0.35885,   0.97366,  21.19570,  -1.33434, -91.14050,   3.33835, -86.12620, -56.46840, -23.98980,  26.10820,   0.56502,   3.83556,  -8.38462,  12.02890,   5.18834,   3.00920,  89.96360,   0.55836,-101.27700, -67.37360, -18.38630,  -3.70091,  -0.13667,  -0.29879, -24.41000,  22.58070,   5.43331,  -4.05144, 179.28500,   6.35866, -30.45240,  -0.09749,   0.14517,  31.32570,   2.68513, -10.46050, -47.95700,   0.38123,  -0.45625, -20.91030,-173.36900,  12.04620, 175.85300,   0.00365,   0.02887,  13.52060,   4.93283,  -8.99506, -64.92980,   0.04322,  -0.04498, -16.92120
   0.13333,   0.00000,   0.00000,  -0.00000,  90.01030, -78.36540,  -4.09296, 161.95700,  83.70460,-162.26900,  -3.87598,  11.99580,  -0.21894,  -6.92377,  19.56400,   0.03778,   0.99266,  21.54730,  -2.11722, -90.96710,   2.79407, -85.89900, -56.03560, -25.09150,  27.97010,   0.47419,   3.57034,  -7.57009,  13.12280,   5.18327,   3.13544,  89.99590,   0.07729,-101.95900, -67.60220, -17.76280,  -5.36812,  -0.01671,  -0.03140, -26.70110,  23.46700,   5.43271,  -4.03177, 178.77300,   3.75819, -26.50080,  -0.02915,   0.09332,  13.69120,   1.87891,  -3.68335, -46.72290,   0.38244,  -0.45782, -20.92480,-172.99200,  12.18950, 178.44600,  -0.00021,   0.04320,  11.32280,   4.96828,  -7.63555, -65.62750,   0.05541,  -0.05779, -17.01950
   0.16667,   0.00000,   0.00000,  -0.00000,  84.95940, -79.59140,  -9.12808, 163.97900,  83.43070,-163.95400,  -4.19501,  12.61640,   0.51438,  -6.63635,  19.98140,  -0.03277,   1.29003,  21.92000,  -2.64410, -90.71090,   2.04562, -85.83240, -55.94230, -25.98600,  29.79590,   0.47301,   3.63696,  -7.41476,  13.64590,   5.19177,   2.92571,  90.02360,  -0.50962,-102.34900, -68.24200, -17.14400,  -7.06120,   0.25131,   0.48003, -27.73080,  23.68400,   5.43854,  -4.23528, 178.76200,   1.62670, -25.80670,  -0.00302,   0.03304,   4.69118,  -2.11865,   2.43867, -49.38230,   0.36675,  -0.43759, -20.73820,-172.38600,  11.90430, 179.94600,   0.00562,   0.01748,  12.50670,   4.71891,  -6.57976, -68.03390,   0.10893,  -0.11444, -17.45350
   0.20000,   0.00000,   0.00000,  -0.00000,  83.30740, -80.21740, -10.99260, 165.25300,  83.39200,-165.08600,  -4.47870,  12.75240,   0.83572,  -6.44549,  20.25880,  -0.16002,   1.54764,  22.25530,  -2.97355, -90.74110,   2.11985, -85.72530, -55.52260, -26.28250,  31.15140,   0.45162,   3.45566,  -7.44975,  13.98680,   5.21495,   2.34204,  90.02360,  -0.51786,-102.38900, -68.48560, -16.71270,  -8.77134,   0.81770,   1.55785, -27.73380,  23.14230,   5.44461,  -4.44798, 178.47900,   1.57408, -26.22400,  -0.00043,   0.05338,   0.09804,  -5.20978,   4.61505, -51.86370,   0.35620,  -0.42403, -20.61300,-172.70300,  12.56870,-179.68600,   0.02308,  -0.03710,  15.52700,   4.27038,  -5.20005, -70.09990,   0.15906,  -0.19255, -18.31700
   0.23333,   0.00000,   0.00000,  -0.00000,  82.69550, -80.58370, -11.64650, 166.23500,  83.40530,-165.98300,  -4.71841,  12.77160,   1.03498,  -6.23352,  20.43360,  -0.24171,   1.89255,  22.41380,  -3.14233, -90.90000,   2.56319, -85.64500, -55.20470, -26.05310,  31.67390,   0.46062,   3.56404,  -7.36792,  14.54640,   5.22721,   2.02754,  90.00310,  -0.06903,-102.43900, -68.49640, -16.55140,  -9.63319,   0.95555,   1.85892, -27.23730,  23.32350,   5.43990,  -4.28221, 176.99000,   0.14110, -26.68080,  -0.00011,   0.03448,   0.13044,  -4.20204,   5.26805, -55.11130,   0.35085,  -0.41721, -20.55010,-173.28300,  12.69140,-179.11300,   0.04779,  -0.09294,  18.61500,   3.79097,  -4.32706, -70.27750,   0.32622,  -0.50923, -21.88920
   0.26667,   0.00000,   0.00000,  -0.00000,  83.01250, -80.89300, -11.34730, 167.85900,  83.32080,-167.63400,  -5.05285,  13.02090,   1.02836,  -6.10553,  20.31320,  -0.15261,   2.34476,  22.31520,  -3.10510, -90.92830,   2.67308, -85.84220, -55.57270, -25.77690,  31.23050,   0.47748,   3.77847,  -7.20711,  15.37320,   5.23206,   1.90260,  89.98770,   0.28389,-102.52600, -68.72680, -16.56800,  -9.01733,   0.85732,   1.70428, -26.73850,  23.57190,   5.43905,  -4.25321, 176.07900,  -0.12339, -26.63630,  -0.00064,   0.01671,   2.18833,  -1.45913,   2.39424, -52.71260,   0.36142,  -0.43075, -20.67500,-173.92300,  11.66460,-178.48600,   0.03505,  -0.03633,  21.68440,   2.21584,  -4.47746, -68.35470,   1.04182,  -0.58189, -27.73640
   0.30000,   0.00000,   0.00000,  -0.00000,  88.95750, -80.97250,  -5.98319, 170.22700,  83.38130,-170.40200,  -5.57911,  13.04880,   0.28767,  -6.20773,  20.16400,   0.04881,   2.58735,  22.21290,  -2.87446, -91.00070,   2.90680, -85.99380, -55.98090, -25.56800,  30.10320,   0.42251,   3.38169,  -7.12587,  15.85560,   5.23904,   1.72046,  89.96350,   0.80715,-102.41500, -68.96560, -16.11180,  -7.63617,   0.82481,   1.71058, -25.77670,  23.15800,   5.44213,  -4.36319, 174.88400,   1.16966, -26.88410,  -0.00487,   0.03899,   5.39834,   4.02417,   0.83517, -48.39690,   0.40017,  -0.48083, -21.13640,-175.41000,  11.94000,-178.28700,   0.02622,  -0.00428,  24.70240,   1.96851,  -4.51227, -66.11500,   1.23761,  -1.65026, -28.43960
