time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  85.19420, -64.75040,  -9.60635,  95.22630,  81.21670, -97.86080,   9.77133,   1.54456,  -5.39736,  -1.94829,  13.25370,   1.00256, -14.17090,  23.06820,   0.63056, -91.02870,   3.29176, -87.63620, -64.76110,   5.97366,  -6.67410,  -0.44733,  -0.92105, -25.90950,  21.71880,   5.52635,  -7.63431,  88.44510,   9.99006, -96.10700, -61.13820,   8.87425,  -3.62634,   8.25173,   8.78659, -43.51690,  11.70550,   5.36330,  -1.78099,-173.79100,   1.00972, -31.14310,   0.03230,  -0.02572,  48.08680,  -2.19566,   2.05124, -70.91300,   0.00360,  -0.00554, -16.67670, 177.98900,  23.14800, 161.60500,   0.49945,  -0.25796,  61.24140,  -7.23985,   1.56758, -61.04020,   0.43909,  -0.53403, -21.65850
   0.03333,   0.00000,   0.00000,  -0.00000,  83.57680, -65.04080, -11.10470,  94.79570,  81.31680, -97.27640,   9.57718,   1.40414,  -5.07530,  -2.10568,  13.39300,   0.92275, -14.29720,  23.36860,   0.81432, -90.94090,   3.03500, -87.76690, -64.69780,   6.25235,  -8.99091,  -0.87270,  -1.52440, -29.77830,  22.24670,   5.53015,  -7.80036,  88.41980,  10.03980, -96.00790, -62.53600,   9.51559,  -1.49911,   8.55525,   9.65819, -41.88710,  11.11260,   5.36634,  -1.87360,-172.67400,   1.31841, -28.66910,   0.03713,  -0.03116,  46.35190,  -2.75626,   1.51389, -71.50870,   0.01096,  -0.01700, -16.88150, 178.20500,  23.09090, 159.55500,   0.54450,  -0.25917,  63.37620,  -7.94008,   1.31143, -61.27970,   0.33172,  -0.39426, -20.36310
   0.06667,   0.00000,   0.00000,  -0.00000,  81.98650, -65.31630, -12.85620,  93.87060,  81.43870, -96.14400,   9.34519,   1.11799,  -4.63465,  -2.30695,  13.61310,   0.88781, -14.70290,  23.69970,   0.91270, -90.89960,   2.88526, -87.67390, -64.16760,   7.23703, -11.03090,  -1.69700,  -2.48150, -34.37250,  23.17230,   5.54071,  -8.27091,  88.40870,  10.07380, -95.97550, -63.84810,   9.64532,   0.34161,   8.68811,  10.44530, -40.13030,  10.38250,   5.37203,  -2.04900,-171.63300,   1.54319, -26.32510,   0.04413,  -0.04094,  43.84740,  -3.30747,   1.03573, -71.43020,   0.01435,  -0.02228, -16.97600, 178.59300,  23.47920, 157.31800,   0.53059,  -0.26546,  62.38360,  -7.83740,   0.74919, -61.52760,   0.32053,  -0.38008, -20.23010
   0.10000,   0.00000,   0.00000,  -0.00000,  80.58600, -65.60710, -14.53040,  93.07460,  81.56180, -95.06250,   9.10536,   0.87707,  -4.04224,  -2.27767,  13.59200,   0.78164, -15.12790,  23.93270,   0.98513, -90.79780,   2.56401, -87.71010, -64.01240,   7.87055, -12.58960,  -1.98233,  -2.42635, -39.27470,  24.28430,   5.55289,  -8.84079,  88.42510,   9.86248, -95.88050, -64.99220,   9.30490,   2.11912,   8.73173,  11.07810, -38.64050,   9.78085,   5.37032,  -1.99751,-170.79700,   1.55452, -24.05950,   0.05098,  -0.05282,  40.97490,  -3.55480,   0.55597, -70.90990,   0.02461,  -0.03840, -17.26260, 178.95500,  23.87700, 155.30800,   0.46873,  -0.27557,  58.54880,  -7.99055,   0.64940, -61.73600,   0.30495,  -0.36041, -20.04570
   0.13333,   0.00000,   0.00000,  -0.00000,  79.47620, -65.90540, -16.12530,  91.83530,  81.67080, -93.53740,   8.89416,   0.51401,  -3.44115,  -2.35258,  13.70140,   0.80284, -15.43220,  24.07480,   1.01851, -90.65320,   2.08719, -87.61770, -63.93750,   8.27691, -13.94000,  -2.03810,  -2.10631, -44.07220,  25.08480,   5.56066,  -9.21636,  88.46540,   9.62764, -95.89890, -65.81400,   8.74173,   3.63171,   8.73719,  11.47820, -37.68300,   9.12048,   5.36728,  -1.90164,-170.06300,   1.22741, -22.20510,   0.05799,  -0.06670,  38.26040,  -3.79904,   0.43396, -70.22080,   0.02944,  -0.04607, -17.39920, 179.39600,  24.18900, 153.42600,   0.37417,  -0.27661,  52.50780,  -8.03648,   0.92848, -61.71170,   0.29823,  -0.35198, -19.96660
   0.16667,   0.00000,   0.00000,  -0.00000,  79.19050, -65.96030, -16.88700,  90.24790,  81.70330, -91.66440,   8.82945,   0.05800,  -2.83493,  -2.33962,  13.60750,   0.84137, -15.65600,  24.18280,   1.06789, -90.47360,   1.51875, -87.67950, -64.02170,   8.49840, -14.98030,  -2.47588,  -2.17913, -48.66790,  25.50850,   5.56478,  -9.42363,  88.47600,   9.45413, -95.79950, -66.12040,   8.26407,   4.97689,   8.77536,  11.68370, -37.32080,   8.57730,   5.37171,  -2.03940,-169.62600,   0.75109, -20.66470,   0.06336,  -0.07867,  36.02460,  -3.79160,   0.62789, -69.56780,   0.03801,  -0.05979, -17.64250, 179.62700,  24.58560, 152.00500,   0.27225,  -0.26265,  44.95740,  -7.99653,   1.33389, -60.96480,   0.28138,  -0.33092, -19.76820
   0.20000,   0.00000,   0.00000,  -0.00000,  79.79930, -65.75060, -16.84700,  88.48950,  81.68950, -89.63920,   8.84610,  -0.44678,  -2.26282,  -2.31568,  13.42910,   0.94235, -15.75500,  24.16690,   1.00528, -90.29720,   0.96600, -87.90000, -64.14650,   8.61320, -15.76270,  -3.10087,  -2.36258, -52.72370,  25.64050,   5.56527,  -9.44829,  88.43120,   9.39178, -95.47250, -65.99530,   7.89015,   6.10684,   8.92341,  11.84020, -37.42820,   8.63185,   5.37238,  -2.05895,-169.36000,   0.52402, -19.64720,   0.06915,  -0.08988,  34.54360,  -4.02411,   1.06349, -69.12860,   0.04692,  -0.07415, -17.89610, 179.71800,  25.02230, 150.79300,   0.18886,  -0.24574,  36.49350,  -7.51230,   1.10470, -57.96390,   0.30413,  -0.35938, -20.03620
   0.23333,   0.00000,   0.00000,  -0.00000,  81.17460, -65.24350, -16.14110,  86.50430,  81.64700, -87.42650,   8.90240,  -1.02252,  -1.76328,  -2.27139,  13.23430,   0.96241, -15.95140,  24.28160,   1.12498, -90.16320,   0.53637, -88.07710, -63.97820,   8.95920, -16.38040,  -4.16203,  -2.81578, -55.97450,  25.70300,   5.56772,  -9.57210,  88.35710,   9.46614, -95.10730, -65.60640,   7.34150,   7.06954,   8.82431,  11.56260, -37.76180,   8.65289,   5.37230,  -2.05787,-169.22100,   0.18333, -19.18150,   0.07685,  -0.10154,  33.86110,  -4.30601,   1.91228, -68.92720,   0.06084,  -0.09687, -18.29640, 179.37800,  24.76630, 150.05400,   0.12073,  -0.22435,  27.40150,  -7.38165,   0.01785, -54.07490,   0.30214,  -0.35689, -20.01270
   0.26667,   0.00000,   0.00000,  -0.00000,  83.33600, -64.39960, -14.69670,  84.64370,  81.55250, -85.38940,   9.04796,  -1.57712,  -1.36532,  -2.25631,  13.03910,   0.96499, -16.14370,  24.30630,   1.26654, -90.04500,   0.14990, -88.30980, -63.74500,   9.49004, -16.97280,  -4.88347,  -3.03944, -58.17560,  25.67080,   5.56660,  -9.51506,  88.28360,   9.51335, -94.72380, -65.24960,   6.50611,   7.88459,   8.73489,  11.25340, -38.21790,   8.84966,   5.37447,  -2.12511,-169.19200,  -0.02461, -19.10360,   0.08533,  -0.11127,  33.93790,  -4.64987,   3.04202, -69.18580,   0.07533,  -0.12093, -18.71780, 178.47500,  24.02240, 149.91200,   0.06522,  -0.18188,  18.77420,  -7.20406,  -1.68786, -52.11360,   0.28326,  -0.33328, -19.79040
   0.30000,   0.00000,   0.00000,  -0.00000,  86.19490, -63.36840, -12.21820,  83.46190,  81.27820, -84.09990,   9.55751,  -1.98461,  -1.10927,  -2.20045,  12.72140,   0.89702, -16.37950,  24.30330,   1.26902, -89.97960,  -0.06993, -88.69420, -63.56840,   9.94377, -17.41930,  -4.87300,  -2.89596, -59.35000,  25.39530,   5.56328,  -9.35025,  88.25150,   9.43079, -94.44650, -65.02130,   5.45506,   8.47386,   8.45290,  10.72970, -38.60190,   9.15379,   5.37706,  -2.20607,-169.27500,   0.39340, -18.70600,   0.08919,  -0.11140,  34.49120,  -5.10576,   3.92315, -70.01520,   0.08609,  -0.13910, -19.03650, 177.49300,  24.47410, 150.04300,   0.03301,  -0.13263,  12.90380,  -8.45885,  -2.75542, -53.38260,   0.28206,  -0.33178, -19.77630
