time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.84830, -62.84480, -15.00590,  95.48860,  71.74430,-102.67700,  28.77060,   2.02982, -15.04070,   6.92790,   7.38149, -11.94080,   1.24570,   3.11271, -17.55190, -90.17940,   2.55434,-100.98200, -49.58500,  -1.24449, -36.46460,   4.53474,  11.92050, -20.96030,   9.89907,   5.07763,   5.62185,  89.58020,  -4.12218,-110.82000, -56.22410,   1.34315, -47.04880,   4.61119,  15.54570, -16.75210,  18.28260,   5.33798,  -1.01906,-164.79900,  11.28840, -31.57900,  -0.00576,  -0.00952,  52.58580,  -6.76994,  -3.78595, -52.83080,   0.34145,  -0.40522, -20.43940,-160.74100,  17.92270, 162.95600,  -0.00379,   0.03591,  12.21140,  13.23350,   2.32375, -60.28930,   0.16790,  -0.17790, -17.93560
   0.03333,   0.00000,   0.00000,  -0.00000,  85.23890, -63.32170, -14.55660,  95.62900,  71.77230,-102.91900,  28.71450,   2.09509, -15.26040,   6.80849,   7.59479, -12.01490,   1.14905,   3.46321, -17.68680, -90.17730,   2.52695,-100.98500, -49.10910,  -0.67293, -37.46500,   4.66821,  11.96300, -21.48760,   9.78136,   5.08160,   5.53199,  89.57200,  -4.22091,-110.79500, -56.58840,   1.43587, -46.71950,   4.68737,  15.43260, -17.12790,  18.33800,   5.34352,  -1.18370,-165.39600,  11.81890, -32.69690,  -0.00812,  -0.00730,  50.20250,  -7.38427,  -3.86835, -55.52860,   0.31045,  -0.36608, -20.07540,-161.05200,  18.62110, 163.39300,  -0.00714,   0.04998,  12.86780,  12.93830,   3.17593, -60.86520,   0.14885,  -0.15727, -17.77940
   0.06667,   0.00000,   0.00000,  -0.00000,  85.94770, -63.63620, -13.84240,  95.49830,  71.81020,-102.95400,  28.64320,   1.98384, -15.56540,   6.72948,   7.76644, -12.17420,   1.11872,   3.82650, -17.73180, -90.17540,   2.48719,-100.96500, -48.60410,  -0.35102, -38.45130,   4.85422,  12.10370, -22.04840,   9.98796,   5.07862,   5.59894,  89.57300,  -4.25389,-110.73700, -56.80040,   2.29270, -46.55570,   4.88381,  15.41400, -17.82600,  18.14200,   5.34631,  -1.26676,-166.11300,  12.43600, -33.82280,  -0.02003,   0.00427,  46.61970,  -7.18837,  -4.81150, -56.68410,   0.31333,  -0.36968, -20.10910,-161.53400,  18.92770, 163.97100,  -0.01189,   0.06921,  13.20250,  12.69090,   3.43849, -61.34370,   0.21510,  -0.05500, -17.80010
   0.10000,   0.00000,   0.00000,  -0.00000,  86.66470, -63.72900, -13.18670,  95.35530,  71.85820,-102.95500,  28.55100,   1.86941, -15.82360,   6.77282,   7.92036, -12.40800,   1.11146,   4.12144, -17.81040, -90.17910,   2.55935,-100.99600, -48.07710,  -0.26415, -39.41890,   5.04462,  12.21180, -22.64450,  10.07690,   5.07878,   5.59599,  89.57950,  -4.21188,-110.70700, -57.13850,   3.52499, -46.23430,   5.10730,  15.13330, -18.90280,  17.99620,   5.35094,  -1.40548,-166.74900,  13.06610, -34.78410,  -0.02520,   0.01286,  41.78900,  -6.91420,  -5.79435, -56.90640,   0.31746,  -0.37490, -20.15710,-162.00300,  18.79400, 164.66800,  -0.01704,   0.09103,  13.20190,  12.37100,   3.07173, -61.77840,   0.40777,   0.28617, -17.76180
   0.13333,   0.00000,   0.00000,  -0.00000,  87.19470, -63.66890, -12.75730,  95.26080,  71.92160,-102.97300,  28.42690,   1.79045, -16.02610,   6.80888,   8.07524, -12.70650,   1.25532,   4.33343, -17.96390, -90.18950,   2.69826,-100.98200, -47.60000,  -0.30862, -40.31100,   5.14851,  12.11030, -23.23260,  10.37300,   5.07899,   5.59068,  89.59090,  -4.07517,-110.73800, -57.99920,   4.81500, -45.89980,   5.40274,  15.04950, -20.01720,  17.75840,   5.35496,  -1.52651,-167.43700,  13.34690, -35.33210,  -0.02408,   0.01493,  35.64370,  -6.63164,  -6.17544, -56.28660,   0.31264,  -0.36883, -20.10080,-162.40800,  18.34900, 165.37500,  -0.02424,   0.12236,  13.18830,  12.23240,   2.35515, -62.13120,   0.47305,   0.33421, -17.94530
   0.16667,   0.00000,   0.00000,  -0.00000,  87.64340, -63.61190, -12.40400,  95.14990,  71.95310,-103.03500,  28.36730,   1.69156, -16.34910,   6.73988,   8.40978, -12.79190,   1.31318,   4.45107, -18.25060, -90.18910,   2.57139,-100.78900, -47.57530,  -0.63615, -41.10660,   5.41636,  12.24850, -24.08230,  10.49650,   5.07174,   5.75362,  89.60950,  -3.79411,-110.88300, -59.18540,   6.17219, -45.68970,   5.63672,  14.88330, -21.02320,  17.32360,   5.35245,  -1.45037,-168.57300,  12.97260, -35.31520,  -0.02275,   0.01799,  28.33390,  -6.08207,  -5.84392, -53.61330,   0.32636,  -0.38611, -20.26190,-162.74400,  18.26340, 165.96500,  -0.02500,   0.12324,  13.58360,  12.18590,   1.82226, -63.06050,   0.43794,   0.24838, -18.01390
   0.20000,   0.00000,   0.00000,  -0.00000,  88.22440, -63.50550, -12.13850,  94.99400,  72.03370,-103.06700,  28.20950,   1.56302, -16.68990,   6.51924,   8.76648, -12.93600,   1.26640,   4.54304, -18.44380, -90.18490,   2.33162,-100.46400, -47.96130,  -1.04751, -41.67590,   5.71791,  12.27300, -25.21780,  10.55780,   5.07058,   5.78027,  89.61860,  -3.58114,-111.08300, -60.86500,   7.56393, -45.46150,   5.88533,  14.95440, -21.77710,  17.10360,   5.36377,  -1.79342,-170.74700,  11.36580, -34.79740,  -0.01314,   0.02820,  20.04200,  -5.23349,  -3.92325, -47.99270,   0.32905,  -0.38953, -20.29350,-163.14300,  18.06050, 166.01300,  -0.02692,   0.12288,  14.82830,  12.06100,   1.06890, -64.54890,   0.39901,   0.19146, -17.98550
   0.23333,   0.00000,   0.00000,  -0.00000,  88.86780, -63.32880, -12.03940,  95.06210,  72.24620,-103.18100,  27.78570,   1.59270, -16.77790,   6.50250,   8.82510, -13.34490,   1.14805,   4.73169, -18.69360, -90.19010,   2.40281,-100.47500, -48.30490,  -1.17450, -41.49680,   6.02321,  12.14030, -26.64070,  10.65530,   5.07495,   5.68222,  89.62020,  -3.58402,-111.05400, -63.30450,   8.86243, -44.93840,   6.00083,  14.88430, -22.25870,  16.47630,   5.37026,  -1.99514,-173.75500,   8.95494, -34.17790,  -0.01617,   0.03608,  12.41310,  -5.58755,  -0.16386, -42.02990,   0.31367,  -0.37010, -20.11290,-163.48300,  17.99370, 165.61200,  -0.02667,   0.11013,  16.74740,  11.93270,   0.28353, -66.63960,   0.30643,   0.06963, -17.88330
   0.26667,   0.00000,   0.00000,  -0.00000,  89.37000, -63.09150, -12.22440,  94.83480,  72.53550,-102.99400,  27.20990,   1.44955, -16.80710,   6.46036,   9.13496, -13.52420,   0.82574,   4.98435, -19.26680, -90.19630,   2.47358,-100.46100, -48.39570,  -1.27270, -40.76510,   6.38712,  12.05060, -28.19670,  10.58070,   5.08325,   5.49437,  89.62410,  -3.40643,-111.30100, -66.21470,   9.73621, -44.51230,   5.96237,  14.85040, -22.17310,  15.90220,   5.37892,  -2.26538,-176.78000,   6.86011, -34.05980,  -0.01454,   0.09603,   8.26069,  -4.06876,   4.93648, -38.41230,   0.29407,  -0.34560, -19.88460,-163.75600,  17.74400, 165.08900,  -0.02217,   0.08582,  19.06710,  11.61010,  -0.76530, -69.18350,   0.15717,  -0.16628, -17.84790
   0.30000,   0.00000,   0.00000,  -0.00000,  91.14640, -62.81240, -11.76420,  93.87700,  72.96890,-102.15300,  26.34400,   0.88069, -16.88580,   6.83785,   9.18744, -13.97890,   0.02045,   5.36835, -19.69760, -90.21660,   2.99736,-100.86500, -47.88650,  -1.37637, -39.51940,   6.64970,  11.90900, -29.46180,  10.55870,   5.09182,   5.29961,  89.64810,  -3.05787,-111.56900, -68.86220,  10.37510, -44.37490,   5.59458,  14.56940, -21.28110,  15.79430,   5.38392,  -2.42210,-176.38700,   9.87978, -38.37830,  -0.05347,   0.17902,  15.12190,  -1.79088,   4.42515, -40.50360,  -0.04721,   0.04784, -16.57630,-164.54900,  17.57360, 164.02000,  -0.02470,   0.08113,  21.76850,  10.58210,  -1.63428, -71.96820,   0.20284,  -0.21600, -18.22350
