time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.94370,  -0.90342,   1.36676,  93.08240,  84.37450, -91.13720,   3.46278,   0.53128,   3.87014,  -3.98559,  -2.07893,   0.50012,   1.94580,  -0.87569,  -3.26609, -90.49250,   2.36643, -93.23810, -69.87510,  12.00260,  10.99610,  -0.37779,  -0.53264, -35.38630,  10.36240,   5.58778, -10.63850,  88.78180,   5.29072, -92.01400, -63.50110,  10.05640,   6.13150,   2.29072,   2.85375, -38.79220,   3.66988,   5.55537,  -8.96091,-175.36400,  -5.06903, -19.52160,   0.22916,  -0.07457,  72.31300,  -5.90408,   0.24512, -43.43070,   0.16132,  -0.27269, -21.33900,-178.58300,  14.39230, 171.09000,   0.03541,  -0.05074,  24.67930,   0.96086,  -2.28030, -64.90270,   0.05493,  -0.06173, -17.18160
   0.03333,   0.00000,   0.00000,  -0.00000,  90.61470,  -2.71798,   1.13440,  98.63380,  84.52890, -97.78170,   3.04183,   1.60582,   1.65998,  -3.41207,  -1.92429,   0.39226,   2.93430,  -1.53547,  -2.82007, -90.46080,   1.94308, -91.65620, -70.06950,   9.98054,  14.01580,  -1.05744,  -1.56801, -34.00370,   9.74023,   5.59037, -10.78200,  88.99100,   4.62058, -92.66870, -63.07870,  11.93430,   1.47267,   2.52150,   3.04346, -39.68450,   3.79862,   5.55117,  -8.76042,-177.72200,  -7.22179, -23.72760,   0.19533,  -0.07536,  69.50890,  -5.40296,   1.26960, -47.56270,   0.16151,  -0.27306, -21.34560, 178.87100,  14.79360, 175.22000,   0.00932,   0.02728,  21.40240,   0.62514,  -0.01743, -65.82870,   0.05269,  -0.05918, -17.15660
   0.06667,   0.00000,   0.00000,  -0.00000,  91.53470,  -4.35035,   0.59210, 103.03800,  84.64950,-102.95300,   2.65944,   2.40825,   0.11357,  -2.96164,  -1.63175,   0.07566,   3.28895,  -2.28073,  -2.40997, -90.54560,   2.02936, -89.95240, -69.39270,   8.49818,  16.85210,  -1.08920,  -1.64045, -33.59150,   9.67988,   5.59377, -10.97730,  89.09380,   4.32580, -93.15760, -61.28910,  13.73890,  -4.00569,   2.72542,   3.26408, -39.90770,   3.86235,   5.54224,  -8.34490,-179.12100,  -8.79612, -27.45480,   0.16071,  -0.08235,  63.94820,  -5.28581,   1.96985, -51.40340,   0.14127,  -0.23582, -20.70860, 177.16500,  14.96980, 178.28100,  -0.00901,   0.07474,  19.11480,   0.23782,   1.83516, -67.04070,   0.00017,  -0.00019, -16.57570
   0.10000,   0.00000,   0.00000,  -0.00000,  91.65670,  -5.95015,  -0.06742, 106.67300,  84.65800,-107.00600,   2.48127,   3.07820,  -0.73194,  -2.65661,  -1.28936,  -0.15778,   3.00843,  -2.84999,  -2.29355, -90.80180,   2.69746, -88.44300, -68.18860,   6.98686,  19.40960,  -1.18792,  -1.80821, -33.31250,   9.51814,   5.60001, -11.34330,  89.07530,   4.67500, -93.79870, -58.04500,  15.05000,  -9.63437,   2.81893,   3.39368, -39.76430,   4.09119,   5.53505,  -8.01906,-179.56300, -10.01030, -29.89670,   0.11715,  -0.08796,  55.06980,  -4.57615,   1.79395, -54.11090,   0.15198,  -0.25542, -21.04430, 176.33100,  14.58900,-179.07800,  -0.02518,   0.13146,  17.21620,  -0.21730,   3.08422, -68.33500,   0.00572,  -0.00636, -16.63660
   0.13333,   0.00000,   0.00000,  -0.00000,  91.24120,  -7.22071,  -0.59143, 108.78900,  84.51150,-109.28400,   2.64614,   3.55453,  -1.07188,  -2.51603,  -0.84953,  -0.33763,   2.37066,  -3.28324,  -2.12332, -91.05390,   3.28284, -87.19150, -67.31100,   5.46004,  20.99840,  -1.56475,  -2.48291, -32.23560,   9.29171,   5.60362, -11.56010,  89.03180,   5.21996, -94.47660, -54.21040,  15.65040, -14.98460,   2.72355,   3.33676, -39.27100,   4.15496,   5.53156,  -7.86479,-179.01800, -10.40360, -30.03810,   0.07849,  -0.09633,  42.20510,  -5.22133,   0.81559, -55.47630,   0.14234,  -0.23778, -20.74230, 175.85900,  14.50160,-176.32500,  -0.03878,   0.18479,  15.64860,  -0.70921,   4.36863, -69.83530,   0.03589,  -0.04018, -16.97000
   0.16667,   0.00000,   0.00000,  -0.00000,  90.45040,  -8.11183,  -0.88423, 109.99100,  84.27750,-110.45000,   3.01157,   3.92780,  -1.02089,  -2.27821,  -0.51786,  -0.38736,   1.69937,  -3.45978,  -2.02561, -91.17240,   3.52391, -86.58480, -67.04790,   3.47127,  21.95720,  -1.22076,  -2.07831, -30.43450,   9.59276,   5.60539, -11.66960,  89.07510,   5.35828, -95.19210, -51.20970,  15.31390, -19.27560,   3.07130,   3.83359, -38.76000,   4.46910,   5.52286,  -7.48470,-177.33200,  -9.10089, -28.09330,   0.03914,  -0.09610,  26.28950,  -5.60312,  -0.05850, -54.41560,   0.13665,  -0.22747, -20.56530, 175.64400,  14.22220,-173.79600,  -0.05201,   0.23512,  15.48450,  -1.28492,   5.17871, -72.19130,   0.06472,  -0.07286, -17.29060
   0.20000,   0.00000,   0.00000,  -0.00000,  89.76460,  -8.89035,  -1.38548, 110.90700,  84.05580,-111.36800,   3.36485,   4.25527,  -1.04485,  -2.14250,  -0.26479,  -0.30190,   0.91471,  -3.40112,  -1.91262, -91.37860,   4.10353, -86.41300, -66.61210,   1.92994,  22.51720,  -1.13276,  -2.07300, -28.66850,   9.80227,   5.60735, -11.79220,  89.09010,   5.76141, -96.00950, -48.73140,  14.32090, -22.22730,   3.34580,   4.20831, -38.54990,   4.79838,   5.52111,  -7.40952,-174.89800,  -5.86627, -26.16060,   0.01096,  -0.07896,  11.69790,  -4.50287,  -0.64149, -52.79700,   0.13446,  -0.22353, -20.49760, 175.22700,  13.81490,-171.08100,  -0.04691,   0.22312,  14.84710,  -2.03788,   5.91842, -74.43990,   0.16368,  -0.18793, -18.40680
   0.23333,   0.00000,   0.00000,  -0.00000,  89.19870, -10.20150,  -1.89868, 112.69900,  83.86330,-113.26200,   3.59073,   4.75079,  -1.27408,  -1.96682,   0.19109,  -0.08898,   0.30296,  -3.22604,  -1.51476, -91.72260,   5.01185, -86.00470, -65.93250,   1.54952,  22.72880,  -1.27355,  -2.49824, -27.02350,   9.84063,   5.60866, -11.87470,  89.09560,   6.60653, -97.18480, -46.76630,  13.37980, -23.40450,   3.16946,   3.93326, -38.92330,   5.10908,   5.51722,  -7.24381,-173.19700,  -5.05782, -26.82570,   0.00386,  -0.05301,   6.50858,  -6.30612,  -1.07088, -50.67090,   0.13556,  -0.22552, -20.53180, 174.56600,  12.69970,-169.89800,  -0.00326,   0.05785,  17.01980,  -1.56816,   6.30708, -75.72290,   0.31856,  -0.37759, -20.20690
   0.26667,   0.00000,   0.00000,  -0.00000,  89.19350, -10.82540,  -3.77343, 114.47400,  84.28790,-115.40300,   2.67944,   4.76983,  -1.96926,  -1.97454,   0.58809,   0.09722,   0.07697,  -3.21546,  -0.76013, -92.17280,   6.22900, -85.72640, -64.74860,   1.70285,  22.64530,  -1.10302,  -2.31755, -25.45980,   9.64969,   5.61018, -11.97060,  89.06170,   7.90172, -98.20530, -45.77490,  12.64540, -22.79980,   2.84349,   3.44331, -39.59940,   5.37828,   5.51577,  -7.18228,-174.19000,  -6.51164, -31.61010,   0.01314,  -0.09182,  11.67230,  -6.04622,  -0.52795, -45.63630,   0.14634,  -0.24507, -20.86720, 173.27900,  12.35980,-171.14900,  -0.01322,   0.08586,  20.56360,  -2.11908,   7.25107, -73.57840,  -0.25450,  -1.59003, -25.11380
   0.30000,   0.00000,   0.00000,  -0.00000,  89.48130, -11.68790,  -3.98774, 117.34800,  84.27040,-118.74900,   2.48886,   5.32459,  -2.91568,  -2.20583,   0.47975,   0.57363,   0.17434,  -3.31054,  -0.28507, -92.38960,   6.75292, -85.46080, -64.04200,   2.20103,  21.69900,  -0.54078,  -1.24577, -23.44660,   9.40251,   5.60988, -11.95140,  88.97810,   8.32498, -97.97700, -46.85950,  12.87560, -20.60160,   3.11011,   3.65547, -40.44340,   5.70115,   5.51919,  -7.32678,-175.50200,  -7.97805, -37.32030,   0.05108,  -0.12245,  26.43520,  -5.45987,  -0.43551, -44.86680,   0.04219,  -0.06648, -17.76060, 171.43900,  10.53810,-170.50300,  -0.01564,   0.08674,  24.09270,  -2.21765,   7.04544, -70.30080,   1.01768,  -1.42553, -29.47140
