time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  92.93430,   2.76072,  -5.03964,  92.50510,  81.52400, -92.82350,   9.17262,   0.73302,  -0.69509,  -8.68961,  -1.79257,  -1.95988,  -3.45322,  -6.56323,  -0.91388, -90.29760,   2.75206, -98.83640, -71.88740,   5.04822,  -8.55665,  19.14040,  15.57880, -52.25270,  22.10590,   5.24658,   1.51896,  89.54630,   5.63131,-100.38100, -75.69640,  -0.48454,  31.23400,   1.38632,   3.87867, -19.70620,  32.72130,   5.67276, -17.98600, 174.14000,   8.60717, -16.31680,   0.10508,  -0.13379,  28.51390,   3.26801,  -4.32667, -66.97280,   0.16034,  -0.18341, -18.35280,-179.00300,   2.10767, 147.46700,  -0.48829,   0.14930,  71.71020,  11.94800, -19.89410, -35.29940,   0.53612,  -0.59989, -21.05210
   0.03333,   0.00000,   0.00000,  -0.00000,  91.16750,   4.64028,  -5.72340,  84.16400,  81.90470, -83.68030,   8.35033,  -1.63622,   1.08616,  -8.17438,  -1.78994,  -2.03604,  -2.46673,  -4.28371,   0.85192, -90.00070,   0.00558, -99.78130, -73.52560,   3.08938, -17.84980,  23.26460,  13.22390, -61.98910,  23.30100,   5.08670,   5.38884,  89.64950,   3.11926, -98.57730, -78.23530,   0.11662,  41.08720,   0.69120,   1.64730, -22.83630,  31.68640,   5.67577, -18.42310, 176.45200,  10.11470, -11.89800,   0.07168,  -0.09836,  25.28970,   2.95500,  -4.06889, -68.89100,   0.13251,  -0.15074, -18.04010,-177.14600,   1.76957, 142.13000,  -0.41968,   0.17079,  66.31620,  11.80180, -23.43250, -38.90370,   0.47488,  -0.52644, -20.52010
   0.06667,   0.00000,   0.00000,  -0.00000,  89.73920,   5.47981,  -6.45920,  76.75640,  82.02520, -75.69000,   7.80613,  -3.63860,   2.37946,  -8.25672,  -1.25679,  -2.03793,  -1.66555,  -2.05716,   2.06267, -89.83250,  -1.87976, -99.90700, -72.47420,   2.01516, -26.56820,  20.22670,   7.75170, -69.91210,  25.84310,   4.98621,   7.60321,  89.83520,   1.17806, -97.02140, -79.18450,   0.67440,  49.37890,  -0.07505,  -0.15089, -25.95390,  33.05670,   5.67550, -18.36890, 178.35200,   9.88582,  -7.28900,   0.04768,  -0.07539,  21.38700,   2.85740,  -3.15494, -70.53270,   0.10316,  -0.11669, -17.71250,-176.49300,   0.46305, 139.27900,  -0.28172,   0.17552,  55.91910,  10.20380, -24.61740, -41.85740,   0.47238,  -0.52347, -20.49860
   0.10000,   0.00000,   0.00000,  -0.00000,  89.02350,   5.19117,  -6.46595,  72.67840,  81.84200, -71.51100,   7.88160,  -4.83656,   2.66673,  -8.21101,  -0.69077,  -1.63027,  -1.63824,  -0.13207,   3.14358, -89.76970,  -2.64220,-100.01600, -69.16860,   0.48386, -34.20760,  15.02520,   3.41507, -77.49800,  26.63680,   4.98627,   7.60941,  90.06930,  -0.45387, -96.31450, -79.74170,   0.49839,  55.65800,  -0.85459,  -1.63228, -27.59960,  34.12150,   5.67483, -18.22920, 179.22700,   8.87561,  -0.85689,   0.02588,  -0.04647,  15.87020,   2.88475,  -2.33576, -71.59160,   0.10577,  -0.11969, -17.74150,-177.17100,  -1.13840, 140.52400,  -0.13611,   0.14485,  39.97350,   8.35588, -23.91900, -43.34890,   0.43140,  -0.47511, -20.14600
   0.13333,   0.00000,   0.00000,  -0.00000,  89.52290,   5.59924,  -6.01761,  68.15370,  81.41690, -67.36280,   8.24986,  -6.35589,   2.04044,  -8.49379,  -0.36103,  -0.92261,  -1.69821,   1.02048,   4.14235, -89.73210,  -3.39522,-100.48400, -66.31350,  -1.61117, -39.29280,  15.68410,   1.30378, -85.35680,  24.78180,   5.09208,   5.27305,  90.26660,  -1.78151, -96.48580, -79.28090,  -1.72869,  59.66020,  -1.63322,  -3.10349, -27.76360,  34.76310,   5.67704, -18.70080, 178.97600,   7.83555,   5.17521,   0.06100,  -0.10819,  12.36740,   3.15577,  -0.52569, -71.31650,   0.20319,  -0.24534, -19.03790,-179.34700,  -1.50106, 146.04500,  -0.03236,   0.06599,  19.01970,   5.56484, -20.34210, -43.99290,   0.39917,  -0.43749, -19.87050
   0.16667,   0.00000,   0.00000,  -0.00000,  90.27890,   7.19119,  -6.43742,  63.30390,  81.19150, -62.82880,   8.06330,  -7.87929,   1.50662,  -9.13865,  -0.66231,  -0.53874,  -1.97580,   1.37817,   5.00177, -89.72870,  -4.23920,-101.33300, -65.21960,  -2.33525, -41.69420,  18.05500,  -0.36954, -91.13290,  25.28680,   5.27156,   0.88365,  90.40230,  -2.65724, -96.38850, -79.12580,  -4.23324,  61.06730,  -3.18718,  -6.06364, -27.78540,  36.88450,   5.67483, -18.25900, 179.49600,   6.46328,   5.74869,   0.06257,  -0.17170,  16.99140,   3.68795,   2.85337, -70.75630,   0.46865,  -0.70730, -26.00540, 178.54400,  -1.22161, 148.36700,   0.00121,   0.00854,   6.83241,   4.03125, -16.02990, -48.09870,   0.38179,  -0.41736, -19.72250
   0.20000,   0.00000,   0.00000,  -0.00000,  89.12110,   7.73110,  -8.56426,  61.94220,  82.00370, -61.08170,   6.44681,  -7.50996,   2.14453,  -9.58425,  -1.22815,  -1.09110,  -2.45403,   0.66451,   5.92398, -89.80170,  -3.81692,-102.02500, -65.20540,   0.17179, -40.37390,  15.81160,  -1.16455, -94.10740,  28.33790,   5.32092,  -0.52657,  90.29920,  -1.92887, -96.18030, -78.99640,  -6.33506,  60.68480,  -4.77121,  -8.86500, -28.43420,  39.51450,   5.67554, -18.36870,-177.48100,   3.67729,   3.43357,   0.01374,   0.00232,  22.39430,   3.22308,   5.77001, -65.24180,   1.35903,  -1.45906, -39.34340,-179.80600,  -0.50610, 145.80600,   0.00285,  -0.01078,   6.04294,   1.95580, -14.90290, -47.38430,   0.45169,  -0.49897, -20.32030
   0.23333,   0.00000,   0.00000,  -0.00000,  86.89550,   6.84263,  -9.41248,  66.28220,  82.74420, -64.67780,   5.62707,  -5.85310,   3.49516, -10.19560,  -1.39792,  -1.67263,  -3.22883,  -0.24813,   5.65323, -89.91900,  -2.00627,-102.69000, -66.39700,   3.49833, -34.72920,  14.23350,  -1.14225, -94.49070,  25.78210,   5.30512,  -0.07546,  90.06580,  -0.43824, -96.47510, -80.35230,  -6.45247,  56.93900,  -6.10455, -11.27730, -28.67060,  39.66150,   5.67621, -18.54930,-173.93600,  -0.83411,   2.04768,   0.01022,   0.01271,  28.77790,   4.89388,   7.26024, -57.39290,   1.82958,  -3.52032, -45.76060,-174.22500,   2.15276, 141.87700,   0.01947,  -0.07404,  15.17690,   6.08457, -12.26280, -37.03960,   0.17338,  -0.18383, -17.98060
   0.26667,   0.00000,   0.00000,  -0.00000,  84.30960,   4.87511,  -7.09659,  75.10090,  82.22260, -72.83080,   7.36282,  -3.99263,   4.79399, -10.61530,  -1.17133,  -1.07872,  -4.91875,  -0.50752,   5.13650, -90.01510,   0.40415,-102.88300, -68.63540,   5.81333, -26.71160,  16.22940,   0.14938, -89.49420,  20.43410,   5.30365,  -0.02803,  89.80980,   1.47921, -97.65840, -83.16230,  -2.48335,  48.34430,  -6.76859, -12.94060, -27.91960,  38.63800,   5.67671, -18.62050,-171.12500,  -2.34682,   1.74901,  -0.01388,   0.03538,  36.94140,   4.14223,   6.30294, -41.71580,   2.00363,  -4.65874, -54.14910,-170.93000,   0.23733, 142.28000,   0.01777,  -0.02405,  28.69970,   4.45475, -12.18810, -48.74550,   0.00725,  -0.00751, -16.63200
   0.30000,   0.00000,   0.00000,  -0.00000,  83.01230,   3.34099,  -4.28159,  80.79910,  81.37590, -78.47890,   9.32745,  -2.71099,   4.85852,  -9.84802,  -0.98092,  -0.19838,  -6.13419,  -0.93191,   6.39486, -90.08690,   1.54799,-101.79100, -71.51110,   8.39123, -20.08030,  17.62300,   4.82787, -75.17430,  20.99050,   5.29815,   0.13158,  89.57970,   4.02229, -99.02460, -83.95350,   4.80644,  37.15550,  -6.18849, -12.31020, -26.95280,  37.17420,   5.67830, -19.09480,-170.55500,  -0.23951,  -2.60734,  -0.02589,   0.02361,  49.46760,  -0.51896,   2.25243, -26.24630,   0.90016,  -1.21497, -27.60590,-169.31800,  -2.07658, 147.57300,   0.01796,  -0.00138,  33.53050,   3.33951, -13.59430, -55.98680,  -0.02548,   0.01896, -16.57330
