time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.23080,  -6.19845,  -5.31558,  54.70870,  85.58730, -53.90150,  -0.52456,  -5.15597,   1.59072,  -1.60726,  -3.13681,   2.24249,  -2.21452,   0.17780,   2.33932, -90.03120,   0.09880, -87.47940, -62.88010, -22.26020, -25.18110,  -9.48160,  -5.32411, -60.94750,  34.34870,   5.58822, -10.66380,  87.87730,   7.63283, -89.40730, -36.06770, -28.45010,  35.04430,   0.14678,   0.23172, -32.56640,  19.34650,   5.32979,  -0.77963,-177.28000,  -8.78479,  -8.62763,  -0.00369,   0.03880,  12.00870,   0.95008,   3.04512, -59.21920,   0.09516,  -0.15454, -19.30450, 176.87900,   9.17511, 161.12800,   0.02072,  -0.03551,  19.90930,  -6.29870,   0.32113, -60.91080,   0.29988,  -0.35404, -19.98610
   0.03333,   0.00000,   0.00000,  -0.00000,  87.15980,  -6.24514,  -5.63229,  52.30750,  85.36140, -51.11920,  -0.36208,  -5.75531,   2.35850,  -1.54700,  -3.55523,   2.54248,  -2.70980,   0.21891,   2.97692, -89.75220,  -0.79368, -87.65500, -63.83120, -24.85310, -27.67790,  -8.75919,  -4.30871, -64.00860,  35.12120,   5.58604, -10.53960,  87.83890,   7.25353, -88.35970, -33.08360, -29.76720,  36.98230,   0.59122,   0.89324, -33.49390,  19.89690,   5.33048,  -0.79953,-177.17900,  -8.65075,  -7.71919,  -0.01318,   0.08448,  12.33360,   0.68546,   2.80663, -60.34260,   0.09373,  -0.15207, -19.26190, 178.05200,  10.08750, 158.94700,   0.01170,  -0.02740,  14.18580,  -7.58590,   2.22820, -60.36250,   0.32151,  -0.38131, -20.24180
   0.06667,   0.00000,   0.00000,  -0.00000,  87.33270,  -5.89189,  -6.10142,  50.06540,  85.18200, -48.60410,  -0.29273,  -6.28683,   2.90726,  -1.72522,  -4.01045,   2.82369,  -3.27425,   0.20347,   3.48795, -89.61440,  -1.25415, -87.90820, -64.52240, -26.32410, -28.90170,  -6.84193,  -3.05007, -66.08980,  35.91340,   5.57886, -10.15350,  87.76090,   7.22819, -87.73710, -31.45860, -30.69420,  38.55590,   1.18457,   1.79727, -33.40400,  21.14980,   5.32397,  -0.61034,-177.24100,  -8.43865,  -7.10488,  -0.02247,   0.12270,  13.09560,   0.52882,   2.97715, -62.20320,   0.09243,  -0.14988, -19.22340, 179.23500,  11.26600, 157.25400,   0.00811,  -0.03713,   7.92565,  -9.35428,   4.54603, -59.18450,   0.31100,  -0.36804, -20.11740
   0.10000,   0.00000,   0.00000,  -0.00000,  87.74190,  -5.02543,  -6.76578,  46.69590,  85.13540, -44.99730,  -0.58077,  -6.79532,   3.36405,  -1.99753,  -4.40511,   2.96503,  -3.56247,   0.08909,   3.77170, -89.58430,  -1.38554, -88.29620, -65.34650, -26.40920, -28.28030,  -6.05521,  -2.50072, -67.64180,  36.12330,   5.57775, -10.09260,  87.69090,   7.32163, -87.44190, -31.03240, -31.31060,  39.90080,   0.88605,   1.40801, -32.21650,  21.71600,   5.32550,  -0.65484,-177.38800,  -8.89856,  -6.57124,  -0.03079,   0.15287,  13.84180,   0.53951,   4.26107, -64.21120,   0.08914,  -0.14425, -19.12560,-179.72800,  12.35140, 155.19100,   0.00447,  -0.02182,   3.20605, -11.59970,   5.25723, -57.82130,   0.32422,  -0.38475, -20.27400
   0.13333,   0.00000,   0.00000,  -0.00000,  88.26980,  -3.51483,  -7.47351,  42.33520,  85.11410, -40.35820,  -1.05506,  -7.37415,   3.88860,  -2.41629,  -4.81905,   3.10500,  -3.61303,  -0.10155,   3.67107, -89.69830,  -1.04007, -88.82450, -66.53620, -25.36790, -26.24960,  -4.96515,  -2.00151, -68.09970,  36.25050,   5.57954, -10.18780,  87.62700,   7.49217, -87.36900, -31.92290, -31.78850,  40.56070,   0.61612,   1.06282, -30.15670,  21.85950,   5.31997,  -0.49445,-177.36300,  -8.91810,  -5.84124,  -0.03768,   0.17822,  14.39580,   0.44337,   5.75524, -66.26730,   0.09416,  -0.15282, -19.27490,-178.86700,  13.42830, 152.94200,   0.00301,   0.01675,   0.93853, -13.02480,   3.20524, -56.66450,   0.33093,  -0.39326, -20.35370
   0.16667,   0.00000,   0.00000,  -0.00000,  88.90520,  -1.27638,  -7.87396,  38.76280,  85.05160, -36.50410,  -1.41257,  -7.89620,   4.42411,  -2.84817,  -5.41994,   3.22056,  -3.74244,  -0.31119,   3.54941, -89.91280,  -0.31847, -89.70450, -67.89030, -23.07290, -23.29140,  -4.30000,  -1.82894, -67.00270,  37.09140,   5.58932, -10.71590,  87.46580,   7.97523, -87.30770, -33.86670, -32.19520,  40.55030,   0.38795,   0.73828, -27.78500,  21.69330,   5.31132,  -0.24680,-177.07200,  -7.98844,  -4.35838,  -0.04003,   0.18712,  14.55040,   0.34830,   7.01164, -68.38600,   0.09776,  -0.15898, -19.38190,-178.57000,  14.24230, 151.39700,   0.00293,   0.01363,   2.02237, -11.12660,  -0.28186, -56.96280,   0.34446,  -0.41050, -20.51470
   0.20000,   0.00000,   0.00000,  -0.00000,  89.52020,   1.72668,  -7.92183,  34.64020,  84.94170, -32.10380,  -1.82761,  -8.53345,   4.94289,  -2.93435,  -5.96434,   3.21475,  -3.80486,  -0.60273,   3.63351, -90.14240,   0.55651, -90.64380, -68.99510, -18.92980, -19.18540,  -5.60724,  -2.75036, -63.96340,  37.81420,   5.60810, -11.84150,  87.20270,   8.85785, -87.39470, -36.57710, -32.47980,  39.96780,   0.07020,   0.14894, -25.44450,  21.18530,   5.30303,  -0.01306,-176.46300,  -6.04557,  -2.45626,  -0.00915,   0.06609,  15.12760,   1.32623,   7.78327, -70.88280,   0.10560,  -0.17254, -19.61720,-178.54800,  15.20330, 151.54100,   0.00487,  -0.02412,   4.63660,  -7.48460,  -3.76471, -56.76490,   0.32661,  -0.38778, -20.30240
   0.23333,   0.00000,   0.00000,  -0.00000,  88.69730,   4.67510,  -9.30820,  27.27290,  85.41500, -24.01510,  -3.33169,  -8.46159,   6.28028,  -2.71384,  -6.70003,   3.60760,  -3.64988,  -0.91480,   3.46263, -90.53660,   2.20128, -91.29570, -69.71810, -12.95290, -15.04270,  -6.80894,  -4.27766, -58.02070,  36.83100,   5.62047, -12.66770,  86.59770,  10.71780, -87.27240, -39.71930, -31.64070,  38.10380,  -0.20866,  -0.48701, -23.09330,  20.63760,   5.29722,   0.15082,-173.90800,  -5.16253,  -2.85086,  -0.01403,   0.07913,  16.71320,   0.58357,   9.88327, -71.75580,   0.12054,  -0.19869, -20.06980,-177.20600,  13.29790, 148.37500,   0.00843,  -0.01720,  11.16380,   0.74082,  -6.20377, -54.55710,   0.35147,  -0.41949, -20.59860
   0.26667,   0.00000,   0.00000,  -0.00000,  87.59950,   6.96432, -10.29510,  18.21830,  86.17530, -14.29540,  -5.12281,  -7.69844,   7.51745,  -2.83823,  -7.05757,   3.80185,  -2.22803,  -1.63180,   3.23608, -91.03450,   4.19031, -91.12130, -70.81940,  -7.01526, -11.38900,  -7.14669,  -6.40665, -48.34200,  33.73700,   5.62307, -12.81340,  85.80600,  12.79980, -86.68620, -43.26190, -29.83530,  34.79720,  -0.50993,  -1.31906, -21.11480,  19.57560,   5.28384,   0.52235,-170.93400,  -4.84348,  -4.13865,  -0.01140,   0.06301,  20.42720,  -0.20776,  12.27580, -72.04350,   0.16412,  -0.27794, -21.42860,-177.78200,   9.47345, 146.52900,   0.01726,  -0.04512,  14.70770,   0.32428, -10.13370, -45.33690,   0.09077,  -0.10270, -17.58180
   0.30000,   0.00000,   0.00000,  -0.00000,  87.97530,   6.76815,  -8.87382,  24.16330,  86.68610, -20.25270,  -4.83594,  -6.47051,   7.56056,  -3.14279,  -6.60981,   3.92661,  -1.90891,  -1.62031,   2.76616, -91.33520,   5.19978, -90.57720, -72.93450,  -6.22470,  -6.36625,  -7.14934,  -8.65942, -39.80910,  28.63810,   5.60665, -11.70360,  85.53100,  13.67190, -86.70280, -48.46770, -28.68670,  27.74280,  -0.70555,  -2.01563, -19.27060,  19.01510,   5.26469,   1.04134,-170.31100,  -4.06742,  -4.88329,   0.01480,   0.00580,  27.77450,  -1.58380,  12.59070, -69.17050,   0.27245,  -0.49712, -25.10210,-178.38200,   8.91927, 146.63300,   0.04134,  -0.08981,  21.73090,  -0.51076,  -9.91897, -48.25410,   0.14771,  -0.16905, -18.22480
