time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.86830,   6.26969,   7.10659,  98.93860,  78.38630, -98.77080,  15.19510,   3.57141,  -0.14047,  14.82950,  -5.02732,  -0.57987, -22.33570,  -8.05162,  -3.08406, -91.05410,   2.65015, -83.29970, -58.98130,  19.64370, -18.53690,  -4.64468,  -3.02108, -57.03000,  24.36710,   5.62826, -13.20610,  88.73040,   7.50323, -95.36740, -69.24890,  20.67400,   3.52485,   7.45016,  25.55960, -16.86420,  -9.77642,   5.14712,   4.01595,-166.48800,  -6.05438, -18.81020,   0.41229,  -0.14787,  69.58520,  -6.08435,   6.12777, -56.73840,   0.12451,  -0.20575, -20.19140, 177.37500,  30.89890, 174.93700,   0.15301,  -0.19038,  33.37270,  -2.37598,  -7.10243, -70.43060,   0.17590,  -0.20245, -18.54620
   0.03333,   0.00000,   0.00000,  -0.00000,  88.06890,   3.14515,   6.25740, 102.12200,  78.70410,-102.56900,  14.37490,   4.66136,  -1.48282,  17.29130,  -3.36402,  -0.24395, -20.00010,  -6.41150,   0.62332, -90.84410,   2.00411, -82.15300, -63.80940,  20.08300, -12.03670,  -5.77816,  -4.26033, -53.72230,  24.26090,   5.63422, -13.65830,  88.71210,   7.71602, -95.49420, -62.82820,  20.90850,  -3.22316,   7.39100,  23.85710, -17.78430, -11.77600,   5.09075,   5.32836,-168.10900, -10.32600, -21.49520,   0.36152,  -0.15915,  65.69590,  -6.49752,   7.55556, -57.77010,   0.12270,  -0.20253, -20.13610, 177.04600,  29.82080, 177.57800,   0.12939,  -0.17961,  29.87460,  -2.22433,  -4.95283, -70.08510,   0.19067,  -0.22010, -18.71530
   0.06667,   0.00000,   0.00000,  -0.00000,  88.24760,  -0.31537,   4.98824, 103.40600,  79.19880,-104.60300,  13.33590,   4.89800,  -2.96715,  20.41720,  -1.52708,  -0.25472, -18.24270,  -3.90246,   4.03819, -90.58460,   1.31286, -80.99200, -68.35540,  18.66270,  -5.34967,  -7.14709,  -6.48207, -48.01440,  22.69580,   5.62481, -12.94340,  88.59610,   8.33745, -95.40650, -56.66430,  18.67330, -11.35140,   8.82090,  25.25390, -19.98970, -13.94420,   5.04690,   6.31006,-169.52500, -14.97730, -23.69980,   0.30047,  -0.18012,  58.68270,  -8.52691,  10.21300, -58.30100,   0.12098,  -0.19948, -20.08330, 176.76800,  28.85020, 179.22200,   0.09533,  -0.13841,  27.23950,  -2.14913,  -2.49711, -70.04540,   0.22077,  -0.25643, -19.06230
   0.10000,   0.00000,   0.00000,  -0.00000,  88.28170,  -4.33656,   4.31606, 103.06500,  79.32240,-105.04700,  13.15340,   4.68534,  -4.50669,  23.39710,   0.06962,  -0.76046, -18.59420,  -1.66616,   6.53152, -90.57880,   1.24849, -80.12770, -71.32610,  16.34540,   0.14773,  -8.45976, -10.25000, -39.90350,  19.34700,   5.61211, -12.06560,  88.54180,   8.59339, -95.33140, -52.48820,  14.97420, -20.20720,  11.13440,  26.01410, -24.16930, -16.23250,   4.98227,   7.69919,-170.76700, -19.96890, -24.61580,   0.21473,  -0.17784,  49.90650,  -9.09303,  10.46940, -58.24980,   0.13542,  -0.22525, -20.52720, 176.09400,  27.37250,-179.25200,   0.07200,  -0.09420,  26.15340,  -2.28030,   0.06152, -70.73600,   0.22798,  -0.26518, -19.14570
   0.13333,   0.00000,   0.00000,  -0.00000,  88.09550,  -8.74525,   4.32871, 102.26100,  79.03220,-104.91100,  13.80980,   4.46690,  -5.84462,  24.96860,   1.05556,  -1.54005, -20.08440,   0.11471,   7.43598, -90.93330,   2.00528, -80.03540, -72.75560,  14.97110,   4.06929,  -6.67614, -12.11960, -29.12780,  15.26900,   5.56125,  -9.17406,  88.62970,   7.91260, -95.14240, -51.12930,  11.07160, -28.74610,  13.81720,  25.14560, -30.06290, -17.10410,   4.95047,   8.35554,-171.28500, -24.32750, -24.05050,   0.12726,  -0.14730,  39.94220,  -9.15378,   9.15130, -57.95940,   0.13800,  -0.22992, -20.60720, 175.03900,  25.31180,-177.39800,   0.03699,  -0.01603,  26.05580,  -2.64747,   2.52874, -71.94670,   0.23282,  -0.27107, -19.20160
   0.16667,   0.00000,   0.00000,  -0.00000,  87.52770, -13.38530,   4.54905, 101.66200,  78.64460,-104.82000,  14.63590,   4.34464,  -6.88097,  24.25740,   1.85191,  -2.38234, -21.55850,   1.82521,   7.06812, -91.53350,   3.34736, -80.36910, -73.52670,  14.91610,   7.46929,  -1.47987,  -4.50738, -18.04420,   9.62849,   5.46499,  -5.11255,  88.85040,   6.52119, -94.97920, -51.48690,   8.54503, -36.01520,  15.76000,  21.86480, -37.16010, -16.86750,   4.91098,   9.15771,-170.41800, -26.68860, -22.48270,   0.06220,  -0.10106,  29.87730,  -9.28431,   7.81482, -55.67980,   0.14113,  -0.23559, -20.70460, 173.96100,  22.88670,-175.55800,  -0.01074,   0.08517,  26.71840,  -3.26951,   4.84794, -73.58110,   0.23542,  -0.27426, -19.23190
   0.20000,   0.00000,   0.00000,  -0.00000,  86.86520, -17.99720,   4.60341, 101.48300,  78.43430,-105.07300,  15.08100,   4.31593,  -7.75923,  22.26450,   2.67277,  -2.93055, -23.24790,   3.27460,   5.77906, -91.87550,   4.12308, -80.51430, -75.47270,  16.44890,   9.95897,   1.80548,  12.13020,  -8.60345,   3.96894,   5.39976,  -2.89560,  89.06250,   5.11936, -94.60780, -51.77300,   7.67722, -41.60620,  17.41190,  18.09560, -45.28230, -16.41230,   4.84924,  10.37230,-169.05000, -28.55040, -21.55880,   0.03764,  -0.07618,  23.82160,  -9.44312,   6.06464, -52.54190,   0.13878,  -0.23132, -20.63150, 172.66200,  20.19980,-173.66000,  -0.06018,   0.18263,  27.26500,  -4.18506,   7.19904, -75.26500,   0.22659,  -0.26350, -19.12960
   0.23333,   0.00000,   0.00000,  -0.00000,  86.71640, -22.28470,   3.58049, 101.66500,  78.90980,-105.72200,  14.14810,   4.20660,  -8.64308,  20.19500,   3.63941,  -3.42772, -25.17310,   4.81102,   4.50729, -91.87620,   4.13551, -80.57120, -78.33230,  15.24600,  12.13410,   0.66263,  25.32970,  -1.55739,  -0.67224,   5.32201,  -0.52872,  89.16660,   4.46028, -94.40500, -50.29090,   8.08450, -44.94750,  19.66810,  14.97200, -54.14070, -14.44920,   4.78346,  11.62430,-170.59200, -32.39090, -24.87980,   0.07401,  -0.13440,  26.35170,  -2.64075,   4.27218, -53.41390,   0.14165,  -0.23652, -20.72060, 170.80200,  17.49730,-172.53400,  -0.08685,   0.23266,  26.72250,  -5.61577,   9.60001, -76.36130,   0.26416,  -0.30956, -19.56640
   0.26667,   0.00000,   0.00000,  -0.00000,  87.56070, -25.53530,   2.16229, 101.24200,  79.91370,-105.82200,  12.20520,   3.71984,  -9.55940,  18.58090,   4.33503,  -3.86418, -26.85880,   5.89200,   3.43405, -91.71870,   3.85300, -80.93780, -80.05760,   9.92955,  14.08540,  -0.28151,  25.56590,   0.02798,  -1.17191,   5.23156,   3.41520,  89.14180,   4.54935, -94.30540, -47.74830,   8.81784, -46.02500,  21.94950,  12.11080, -62.49920, -11.88970,   4.75574,  12.14280,-172.12200, -33.74300, -27.82670,   0.09743,  -0.14999,  32.07070,  -2.21899,   4.54399, -49.38020,   0.05398,  -0.08564, -18.09850, 168.02300,  14.86630,-173.61100,  -0.04625,   0.14232,  28.33530,  -6.40353,  10.91090, -75.55810,   0.34380,  -0.40968, -20.50700
   0.30000,   0.00000,   0.00000,  -0.00000,  88.70640, -27.86480,   3.25090, 101.21100,  80.12610,-106.08100,  11.79720,   3.63539, -10.11750,  15.76740,   4.46421,  -3.98351, -25.92680,   6.35844,   2.07208, -91.62010,   3.69244, -81.29010, -79.75250,   5.76308,  14.46680,  -0.52693,  18.34880,   0.05042,  -0.89527,   5.28613,   3.70467,  89.03760,   4.84511, -93.75110, -46.38030,   9.40486, -44.62240,  25.01580,   9.59583, -70.33950,  -8.80997,   4.80215,  11.28640,-171.57900, -28.07880, -27.12150,   0.11641,  -0.12222,  41.52100,  -2.37606,  -2.41584, -58.14710,   0.03959,  -0.06229, -17.68640, 164.63300,  11.08860,-174.25300,  -0.04317,   0.11962,  33.04980,  -7.65019,  10.05620, -70.40780,  -0.37012,  -1.93789, -26.79560
