time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  98.99080,   4.44635,  -0.36870, 154.94300,  87.53350,-160.21500,  -5.43250,   5.06930, -10.32140,  -6.58145,  -5.03041,  -0.79382,   7.18444, -11.10620,   7.16595, -92.68200,  10.37510, -90.42170, -46.12070, -32.13250,  11.58810,  11.74010,   7.74333, -57.04300,  44.42480,   5.38369,  -2.43152,  89.57850,   3.35462, -97.83290, -75.61180,  -3.60145,  15.97480,   6.02158,  13.31470, -24.61290,   9.99710,   5.45536,  -4.83298, 163.15600,   6.71358,  -7.61523,   0.39459,  -0.59087,  30.87810,   9.91972,   2.35326, -72.35540,   0.01790,  -0.01991, -16.77260, 171.80900,   1.81232, 153.73500,  -0.56273,   0.11203,  77.93490,   9.51864, -21.79460, -49.03670,   0.48833,  -0.54246, -20.63660
   0.03333,   0.00000,   0.00000,  -0.00000,  96.67730,   8.18580,  -0.13771, 125.14200,  88.43850,-129.64700,  -5.10784,   2.30117,  -8.91613,  -5.38927,  -6.38157,   0.22095,   6.18170, -10.40920,   6.91803, -91.95450,   9.12261, -92.85560, -52.56970, -32.61170,   6.74039,  11.78140,   7.14825, -59.18020,  47.14030,   5.34358,  -1.19269,  89.52590,   3.01577, -96.06040, -75.01060,  -5.52112,  18.86000,   5.31523,  12.97580, -22.50940,   9.42446,   5.43602,  -4.14760, 166.71100,   6.63953,  -3.69348,   0.27148,  -0.44440,  28.22080,  10.12620,   5.59765, -73.45670,  -0.04324,   0.04396, -16.57670, 174.67000,   2.54678, 150.31200,  -0.52149,   0.14247,  73.92350,  10.45670, -24.75480, -52.53530,   0.51058,  -0.56908, -20.82960
   0.06667,   0.00000,   0.00000,  -0.00000,  94.51850,  11.75650,   0.68220,  76.91240,  88.18600, -80.70510,  -4.23499,  -0.42419,  -7.60508,  -4.10737,  -7.86173,   1.33376,   4.88615,  -9.54777,   6.67198, -91.25090,   7.66558, -95.70660, -58.14210, -31.87970,   2.30265,  11.20810,   6.28501, -61.08050,  48.02640,   5.35069,  -1.39803,  89.39310,   3.08785, -93.87560, -73.16180,  -8.30763,  21.27370,   4.50247,  12.47630, -20.03000,   9.71099,   5.40584,  -3.13114, 169.62600,   8.54785,   1.35116,   0.14869,  -0.28666,  23.79140,   9.39277,   6.04951, -73.22040,  -0.02094,   0.02202, -16.57730, 176.52800,   3.11269, 149.02100,  -0.35437,   0.14796,  66.38400,   9.46513, -23.45030, -55.22310,   0.47256,  -0.52368, -20.50020
   0.10000,   0.00000,   0.00000,  -0.00000,  92.42050,  14.55020,   1.71902,  51.88030,  87.03450, -54.73170,  -3.18054,  -3.38742,  -5.79896,  -3.53753,  -8.20123,   1.78467,   4.11586,  -8.53934,   6.34931, -90.89470,   6.75382, -97.43770, -62.84810, -30.61610,  -1.85489,  12.62230,   6.58579, -62.87880,  47.97150,   5.34661,  -1.27511,  89.31950,   3.04052, -92.37850, -70.03680, -11.66140,  23.30150,   3.77863,  11.90940, -17.75050,  10.77060,   5.37540,  -2.15896, 172.49400,   9.64126,   7.68619,   0.04252,  -0.10943,  16.54810,   8.34049,   6.39434, -71.64920,   0.06400,  -0.07183, -17.27860, 177.87600,   3.15612, 149.78800,  -0.19819,   0.13328,  54.92570,   8.23611, -22.64610, -56.46980,   0.44019,  -0.48544, -20.22150
   0.13333,   0.00000,   0.00000,  -0.00000,  90.43200,  16.49960,   2.78205,  43.62610,  86.02140, -45.66850,  -2.37657,  -5.57750,  -4.20259,  -2.90808,  -8.72330,   2.43969,   3.87446,  -7.26934,   5.78482, -90.53250,   5.27037, -99.22510, -67.02440, -28.93550,  -5.13338,  13.58440,   6.62469, -64.47840,  47.24000,   5.33428,  -0.91426,  89.11260,   3.39945, -90.36240, -66.23910, -14.54780,  25.68340,   3.13290,  11.23090, -15.70070,  12.02400,   5.36440,  -1.81553, 175.45800,   9.22234,  11.17890,   0.05550,  -0.19701,  13.85910,   9.04584,   7.57076, -68.99400,  -0.29123,  -0.81368, -19.67090, 178.99900,   2.18802, 152.74500,  -0.10267,   0.11576,  39.99950,   7.88922, -23.61640, -56.80490,   0.40019,  -0.43868, -19.87910
   0.16667,   0.00000,   0.00000,  -0.00000,  88.98270,  18.06690,   3.40637,  37.65240,  85.12390, -39.01940,  -1.90351,  -7.60394,  -2.86285,  -2.39698,  -8.99568,   2.87548,   3.80018,  -5.90449,   5.17721, -90.25950,   3.54471,-100.81500, -71.28330, -28.10840,  -7.96257,  14.87100,   6.92127, -65.59000,  46.00510,   5.36637,  -1.87708,  88.82460,   3.94571, -88.39850, -61.89230, -16.39470,  28.06090,   2.73816,  10.86670, -14.24020,  12.53860,   5.35844,  -1.63231, 177.59700,  10.02290,  14.45280,   0.19869,  -0.20729,  11.74580,   8.72005,   8.21041, -66.07300,  -0.31632,  -1.23256, -24.00320, 179.48400,   0.63060, 157.37000,  -0.04193,   0.09135,  23.11340,   7.82112, -22.11400, -56.81560,   0.40551,  -0.44484, -19.92440
   0.20000,   0.00000,   0.00000,  -0.00000,  88.15300,  19.33900,   3.50285,  32.49460,  84.35920, -33.36270,  -1.78386,  -9.44064,  -1.88599,  -2.22502,  -9.04989,   2.94304,   3.98836,  -4.68135,   4.46515, -90.11240,   2.14890,-102.01000, -74.47230, -27.01230, -10.43010,  16.93550,   7.69721, -66.25720,  46.23900,   5.35895,  -1.65010,  88.62600,   4.14435, -86.63990, -57.95500, -17.60670,  30.31010,   2.80574,  11.83840, -13.44050,  12.30390,   5.35685,  -1.58354, 179.05500,  11.39010,  15.33430,   0.05841,  -0.23279,  12.60790,   8.83355,   7.62462, -63.82890,  -0.30466,  -1.74205, -28.87040, 179.82200,   0.31525, 161.84100,  -0.00971,   0.06657,   8.51686,   5.43723, -19.03490, -57.98330,   0.39948,  -0.43785, -19.87300
   0.23333,   0.00000,   0.00000,  -0.00000,  86.77780,  19.72850,   3.68654,  29.91870,  83.91580, -30.19180,  -1.73050, -10.52160,  -0.70649,  -1.97137,  -9.20875,   3.26388,   4.05882,  -3.63937,   3.51460, -90.04380,   1.37881,-103.18300, -76.39420, -26.10470, -12.49700,  17.20480,   7.91658, -66.02040,  46.65610,   5.36252,  -1.75669,  88.42260,   4.37509, -85.15230, -54.98520, -17.63980,  32.58970,   2.74798,  11.91790, -13.08910,  12.40100,   5.35937,  -1.66045,-178.61900,  11.37830,  17.13810,   0.05848,  -0.22872,  12.82730,   9.06329,   7.87454, -61.90520,  -0.24793,  -2.29095, -34.43620,-178.07100,   1.41635, 163.00000,   0.00277,   0.00731,   3.14435,   2.65222, -16.74430, -59.65560,   0.38616,  -0.42242, -19.75970
   0.26667,   0.00000,   0.00000,  -0.00000,  84.78430,  18.79820,   4.35858,  29.63630,  83.76420, -29.14600,  -1.55909, -10.87770,   0.83402,  -1.61149,  -8.89761,   3.50586,   4.36549,  -2.66248,   2.92428, -90.02450,   1.11106,-103.73800, -77.83260, -25.65930, -14.36380,  18.49840,   9.19057, -64.48160,  47.34740,   5.37538,  -2.15315,  88.24780,   4.67063, -84.41000, -52.26440, -17.46440,  34.75930,   2.65007,  12.17510, -12.38290,  12.75530,   5.39204,  -2.67792,-175.52700,   9.85387,  19.79960,   0.03647,  -0.13833,  12.38910,   9.47811,   8.53627, -58.05440,  -0.02855,  -3.02009, -42.88010,-173.95100,   3.82723, 163.16800,   0.00482,  -0.01345,   3.87081,   1.57320, -14.21810, -60.48850,   0.41764,  -0.45901, -20.02820
   0.30000,   0.00000,   0.00000,  -0.00000,  82.48140,  16.60320,   4.65633,  28.32050,  84.02350, -26.97680,  -1.98060, -10.63390,   2.50840,  -0.96842,  -8.21504,   3.68850,   5.01846,  -1.72485,   2.28323, -90.03360,   1.44679,-103.66900, -77.79490, -24.93310, -14.90820,  17.79600,   9.93732, -61.73360,  47.99540,   5.37275,  -2.07222,  88.05090,   5.06683, -83.92690, -49.46550, -17.32440,  36.65600,   2.28275,  11.53110, -11.28170,  13.81000,   5.41489,  -3.42826,-171.70300,   6.83153,  20.68240,   0.01170,  -0.01325,  14.96190,   9.40971,   9.83137, -53.90120,   0.86616,  -3.59415, -48.75960,-168.96000,   5.44658, 158.20600,   0.12184,  -0.40926,  14.98870,   6.34617, -11.64830, -54.20670,   0.45160,  -0.49886, -20.31950
