time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.37610, -11.44620,   6.72133,  53.41550,  87.92190, -53.55710,  -4.43396,  -2.46001,  -0.37864,  -0.16817,  -0.10131,   2.76575,   2.13325,   4.19817,   8.23160, -90.75280,   1.90647, -83.45170, -56.03930,   7.85554,  -1.19457,   0.33415,   0.78958, -22.93700,  17.63410,   5.54389,  -8.41756,  87.48240,   8.20785, -87.88050, -61.85610,  -1.32473,  27.70390,   7.96377,  15.36480, -27.83630,   0.50933,   5.49537,  -6.34813,-169.54800, -13.32090,   2.24355,   0.03169,  -0.01002,  37.25120,  -2.43151,  -3.52023, -77.31200,   0.06875,  -0.10995, -18.52600, 171.18400,  19.20970, 165.70900,   0.34726,  -0.19310,  59.14880,  -8.51440,   2.30492, -54.91710,   0.33194,  -0.39454, -20.36570
   0.03333,   0.00000,   0.00000,  -0.00000,  84.21400,  -9.91367,   6.01753,  40.96970,  87.39400, -40.63330,  -4.34238,  -3.96777,   0.52282,  -0.47869,  -0.45493,   3.16338,   1.78088,   5.17925,   7.75783, -90.37890,   1.04339, -85.05210, -54.62390,   7.70921,  -4.05702,   0.31769,   0.62265, -27.02010,  17.96820,   5.54909,  -8.66421,  87.45140,   7.56810, -86.32630, -61.18200,  -1.29094,  29.76480,   8.19015,  15.32600, -28.57320,   0.12646,   5.49626,  -6.38344,-169.72300, -12.35760,   4.09773,   0.02339,   0.00074,  34.06190,  -1.93835,  -3.36132, -76.25510,   0.09139,  -0.14809, -19.19240, 173.92900,  22.25070, 161.47000,   0.26159,  -0.17334,  54.52390,  -8.77177,   1.54277, -55.91770,   0.32204,  -0.38198, -20.24810
   0.06667,   0.00000,   0.00000,  -0.00000,  84.24740,  -8.42565,   5.14975,  33.37860,  86.78520, -32.63270,  -4.20250,  -5.44293,   1.29363,  -0.60523,  -0.78990,   3.60101,   1.35744,   6.28249,   7.27539, -90.12650,   0.37648, -86.44100, -52.63880,   7.24139,  -6.18568,  -0.14416,  -0.23086, -31.82510,  19.05830,   5.56178,  -9.26744,  87.40690,   7.07826, -84.81960, -60.37120,  -1.24862,  31.13660,   8.21285,  14.83410, -29.41560,   0.01227,   5.49991,  -6.52970,-169.95600, -11.63600,   5.21227,   0.01672,   0.01176,  31.91760,  -1.65112,  -2.92451, -75.59040,   0.10682,  -0.17464, -19.65380, 176.95800,  24.44390, 157.38500,   0.17188,  -0.13912,  48.57120,  -8.09289,   0.65058, -56.94270,   0.30956,  -0.36621, -20.10020
   0.10000,   0.00000,   0.00000,  -0.00000,  84.69140,  -7.05554,   4.46105,  30.06700,  86.13990, -29.04140,  -3.84999,  -6.78103,   1.82560,  -0.43496,  -0.94592,   3.90945,   0.71039,   7.27011,   6.88680, -89.92540,  -0.23260, -87.19090, -50.22550,   7.12345,  -8.31876,  -1.47111,  -1.99810, -36.34320,  20.49030,   5.57832, -10.11640,  87.38830,   6.56617, -83.25220, -59.49890,  -1.32809,  31.75150,   8.59584,  14.76600, -30.67500,  -0.02476,   5.50043,  -6.55016,-170.47100, -11.05690,   6.06233,   0.01209,   0.02216,  30.76560,  -1.34622,  -2.47259, -75.38330,   0.12951,  -0.21468, -20.34530, 179.38800,  25.63840, 154.21700,   0.09602,  -0.09733,  41.22460,  -8.63179,   1.27896, -56.20790,   0.30308,  -0.35805, -20.02380
   0.13333,   0.00000,   0.00000,  -0.00000,  85.44100,  -5.82181,   4.08142,  29.01280,  85.52950, -27.77630,  -3.35789,  -7.93500,   2.24365,   0.10514,  -1.05210,   3.95259,   0.13354,   8.09676,   6.23657, -89.80780,  -0.61541, -87.65470, -47.66890,   6.90949,  -9.87481,  -3.11090,  -3.58392, -40.98570,  21.24620,   5.57587,  -9.99346,  87.43330,   6.03531, -81.90840, -58.56930,  -1.66591,  32.31940,   8.79142,  14.04280, -32.51630,   0.01912,   5.50742,  -6.83451,-171.23500, -10.36980,   6.95887,   0.00899,   0.03146,  30.57000,  -1.09174,  -2.24231, -75.68560,   0.14361,  -0.27036, -21.12390,-179.17400,  26.02240, 152.16000,   0.03749,  -0.04382,  33.51090, -10.45880,   2.84689, -54.29120,   0.30609,  -0.36185, -20.05920
   0.16667,   0.00000,   0.00000,  -0.00000,  86.33120,  -4.43947,   3.88372,  28.93140,  84.94870, -27.54390,  -2.78330,  -8.96603,   2.56124,   0.65734,  -1.19923,   3.82214,  -0.28805,   8.75118,   5.43292, -89.80170,  -0.65516, -88.15880, -45.01770,   6.41833, -10.71070,  -5.52622,  -5.36893, -45.94010,  20.93830,   5.56854,  -9.61296,  87.42750,   5.74552, -80.82960, -57.60490,  -2.03779,  33.01020,   8.12101,  12.05260, -34.35360,   0.02134,   5.51689,  -7.22873,-171.82200,  -9.75361,   7.79218,   0.00572,   0.04121,  31.33260,  -0.96244,  -1.63361, -76.40780,   0.18933,  -0.32589, -22.24260,-178.72200,  25.43990, 150.69500,  -0.00282,   0.02000,  27.29810, -11.73820,   4.02815, -53.80570,   0.31338,  -0.37102, -20.14550
   0.20000,   0.00000,   0.00000,  -0.00000,  87.12030,  -2.89077,   3.75537,  29.54680,  84.33170, -28.00960,  -2.05022,  -9.99139,   2.90081,   0.92793,  -1.27406,   3.60501,  -0.75258,   9.32167,   4.78486, -89.85780,  -0.48207, -88.55930, -42.58240,   5.84353, -11.07410,  -8.47780,  -6.99254, -50.75140,  20.97830,   5.57415,  -9.90231,  87.18150,   6.07136, -80.03980, -56.45060,  -1.87765,  33.51460,   7.42490,  10.34020, -35.98740,   0.24079,   5.52110,  -7.40870,-171.97800,  -8.94626,   8.62292,  -0.00010,   0.05398,  32.71600,  -1.15172,  -0.62417, -77.33870,   0.22494,  -0.39661, -23.43210,-179.00800,  24.02400, 149.30900,  -0.02230,   0.06729,  24.14910, -12.09410,   3.54780, -54.16010,   0.31439,  -0.37231, -20.15740
   0.23333,   0.00000,   0.00000,  -0.00000,  87.80060,  -1.13570,   3.55992,  29.86610,  83.74410, -28.12860,  -1.37087, -10.98630,   3.35045,   1.13568,  -1.41106,   3.34393,  -1.45728,   9.65181,   4.12520, -89.94590,  -0.18685, -88.84310, -40.91590,   5.23059, -11.09990, -10.20390,  -7.28213, -54.84960,  21.38390,   5.58320, -10.38380,  86.79850,   6.64338, -79.19700, -55.25580,  -1.06833,  33.42570,   7.37151,   9.83318, -37.14600,   0.49428,   5.52712,  -7.66887,-171.67800,  -8.02768,   9.54570,  -0.00772,   0.06762,  34.24090,  -1.43802,   0.75824, -78.17040,   0.27138,  -0.49478, -25.06350,-179.27700,  23.60500, 147.51300,  -0.03256,   0.08653,  24.78960, -12.95840,   2.53131, -54.51980,   0.32247,  -0.38252, -20.25310
   0.26667,   0.00000,   0.00000,  -0.00000,  88.39470,   0.54391,   2.91554,  28.56860,  83.44450, -26.56720,  -1.29287, -11.67040,   3.87993,   1.50057,  -1.62970,   3.20741,  -1.99801,   9.82044,   3.33199, -90.07140,   0.24960, -89.02820, -40.32860,   5.00465, -10.96480, -10.12170,  -6.48755, -57.67030,  21.78560,   5.59021, -10.77230,  86.39010,   7.24515, -78.42420, -54.03160,  -0.05197,  33.31600,   7.58424,   9.87456, -37.82430,   0.63022,   5.53251,  -7.90625,-170.93100,  -7.30329,  10.47680,  -0.02050,   0.08679,  35.34740,  -1.99308,   2.56504, -78.47790,   0.32817,  -0.62581, -27.20900,-178.74500,  23.59620, 144.27700,  -0.05276,   0.10974,  29.86470,  -9.59177,   2.01198, -56.17640,   0.30265,  -0.35753, -20.01880
   0.30000,   0.00000,   0.00000,  -0.00000,  88.65710,   1.75984,   1.36484,  24.57180,  83.57940, -22.17990,  -2.19007, -11.88270,   4.56862,   1.79749,  -1.80607,   3.24632,  -1.80197,   9.79158,   2.64815, -90.25440,   0.88727, -89.00160, -40.38340,   5.94314, -10.45840,  -9.37382,  -5.57183, -59.54360,  21.92030,   5.58769, -10.63110,  86.00760,   7.91146, -78.11220, -52.71330,   0.69868,  33.54760,   7.43203,   9.65647, -37.87520,   0.44288,   5.54363,  -8.40953,-169.65200,  -6.94286,  10.74050,  -0.03206,   0.10191,  36.19120,  -2.81254,   4.57821, -77.89770,   0.39645,  -0.80439, -30.08120,-177.26100,  22.24100, 139.69900,   0.10103,  -0.11849,  36.98620,   1.98104,   3.64901, -53.89290,   0.26145,  -0.30623, -19.53500
