time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.07720,  -0.00560,   1.45452,  80.19840,  85.64710, -78.51470,   0.83852,  -1.58323,   3.37650,  -0.99079,  -1.18688,  -0.71343,  10.09500,  -0.35370,  -1.08480, -91.68250,   7.49229, -92.30500, -58.96520,  20.86160,  -0.93870,  -0.29300,  -0.38086, -37.62840,  12.68110,   5.56317,  -9.34388,  87.23210,  10.11270, -89.60530, -65.51240,   8.35906,  10.14680,   3.86004,   8.36413, -24.88980,   5.34684,   5.47308,  -5.48633,-171.67600,  -1.70180, -14.51430,   0.04473,  -0.01476,  68.80840,   1.95261,  -0.07636, -48.97410,   0.17566,  -0.29968, -21.79840,-172.34200,  16.10540, 169.14700,   0.10304,  -0.23886,  20.14500,   6.02834,   1.38291, -59.62410,   0.01193,  -0.01328, -16.70510
   0.03333,   0.00000,   0.00000,  -0.00000,  88.18570,  -1.93619,   1.90660,  87.86730,  85.59250, -86.71680,   1.04779,  -0.39535,   2.30256,  -0.81795,  -0.63973,  -0.74591,   9.84964,  -0.66590,  -1.05622, -91.75490,   7.38234, -91.58820, -60.64620,  20.22040,   1.62051,  -1.26466,  -1.73273, -36.13800,  12.06010,   5.56262,  -9.31658,  87.41410,  10.29350, -90.81570, -64.40770,  11.49650,   5.45455,   4.04560,   8.04736, -26.81230,   5.66361,   5.47182,  -5.43996,-173.25500,  -4.21496, -17.64700,   0.04405,  -0.01662,  66.70700,   2.72982,  -1.12713, -53.38700,   0.17538,  -0.29914, -21.78930,-174.32200,  17.17980, 173.17500,   0.07795,  -0.19466,  18.13820,   5.92493,   4.18347, -61.05450,   0.02773,  -0.03099, -16.87970
   0.06667,   0.00000,   0.00000,  -0.00000,  89.11410,  -3.76930,   1.92275,  95.18550,  85.59240, -94.48440,   1.00893,   0.75505,   1.39427,  -0.64863,  -0.23196,  -0.80366,   9.56101,  -0.97896,  -1.13070, -91.88520,   7.52193, -90.88690, -61.84370,  19.76590,   4.38923,  -1.28828,  -1.83209, -35.12250,  11.55070,   5.55898,  -9.13610,  87.65450,  10.35550, -92.16350, -62.78210,  13.14480,   0.84601,   4.09152,   7.50067, -28.72900,   5.69148,   5.47336,  -5.49674,-174.58300,  -6.04931, -20.46000,   0.05307,  -0.02738,  61.58170,   1.79713,  -0.49274, -56.04530,   0.15819,  -0.26686, -21.23970,-176.14500,  17.68060, 176.40300,   0.05543,  -0.14386,  16.43370,   5.66059,   6.37639, -62.41310,   0.04824,  -0.05414, -17.10710
   0.10000,   0.00000,   0.00000,  -0.00000,  89.75360,  -5.43466,   1.76238, 102.07800,  85.55000,-101.70600,   0.93179,   1.83943,   0.72785,  -0.64033,   0.08772,  -0.77082,   9.48585,  -1.31475,  -1.30859, -92.01840,   7.70434, -90.27190, -62.91620,  19.57060,   7.09489,  -0.97226,  -1.44007, -34.02960,  11.41660,   5.55936,  -9.15585,  87.89680,  10.30320, -93.39740, -60.73370,  14.33710,  -3.77806,   4.08491,   6.98615, -30.42720,   5.93715,   5.47191,  -5.44186,-175.46900,  -7.51218, -22.49720,   0.05704,  -0.04227,  53.78960,   0.30320,   0.73465, -57.20170,   0.15290,  -0.25708, -21.07280,-177.62300,  17.27340, 179.11100,   0.04113,  -0.10644,  15.03720,   5.24944,   7.66193, -63.70850,   0.02975,  -0.03326, -16.90200
   0.13333,   0.00000,   0.00000,  -0.00000,  90.11520,  -6.88578,   1.38906, 107.47200,  85.53840,-107.26600,   0.74194,   2.66554,   0.39445,  -0.56797,   0.42925,  -0.81501,   9.36727,  -1.56927,  -1.49827, -92.17210,   7.86894, -89.51540, -64.22760,  19.61870,   9.82423,  -0.78312,  -1.21628, -32.77470,  11.07620,   5.55781,  -9.08002,  88.12540,  10.02200, -94.34890, -58.27710,  15.48610,  -8.57394,   4.12710,   6.73856, -31.59570,   6.30002,   5.46703,  -5.26080,-176.15800,  -8.67365, -23.95570,   0.04580,  -0.05199,  43.92460,  -0.58566,   0.38485, -55.93450,   0.14789,  -0.24790, -20.91570,-178.73300,  16.20180,-178.61300,   0.02930,  -0.07488,  13.82220,   4.66158,   8.03363, -64.94290,   0.00995,  -0.01109, -16.68340
   0.16667,   0.00000,   0.00000,  -0.00000,  90.19650,  -8.04526,   1.01041, 111.52800,  85.45520,-111.35400,   0.68626,   3.32359,   0.32928,  -0.50725,   0.68751,  -0.85207,   9.13134,  -1.82149,  -1.65584, -92.26650,   7.90807, -88.95140, -65.84610,  19.09420,  12.35820,  -0.36296,  -0.59713, -31.28810,  10.40520,   5.55589,  -8.98873,  88.34100,   9.61960, -95.16720, -55.76270,  15.82230, -13.01820,   4.32773,   6.79044, -32.62710,   6.51894,   5.46520,  -5.19175,-176.44800,  -8.88795, -24.19790,   0.02475,  -0.04965,  32.24910,  -0.56425,   0.06023, -54.75910,   0.14490,  -0.24242, -20.82190,-179.59400,  15.16760,-176.21300,   0.01960,  -0.04395,  12.37580,   4.00115,   8.23834, -66.06690,   0.01864,  -0.02080, -16.77930
   0.20000,   0.00000,   0.00000,  -0.00000,  89.93210,  -9.24575,   0.75074, 115.11400,  85.27300,-114.84700,   0.78786,   3.99481,   0.50593,  -0.50685,   0.97085,  -0.84039,   8.92687,  -2.10247,  -1.67384, -92.28210,   7.75036, -88.53710, -67.74110,  18.39050,  14.73710,  -0.14394,  -0.25275, -29.65570,   9.93050,   5.55612,  -8.99624,  88.56790,   9.19999, -96.11310, -53.36660,  15.65360, -16.62130,   4.29750,   6.47135, -33.69930,   6.84055,   5.46058,  -5.02129,-176.20500,  -8.99565, -23.24490,   0.00684,  -0.03621,  19.59380,   0.01086,   0.62636, -53.79630,   0.15085,  -0.25332, -21.00850, 179.66200,  14.54260,-174.28900,   0.01077,  -0.00514,  12.53660,   3.46892,   8.86842, -68.17000,   0.03596,  -0.04027, -16.97090
   0.23333,   0.00000,   0.00000,  -0.00000,  89.31920, -10.73760,   0.72659, 118.93000,  84.93210,-118.48700,   1.09110,   4.87515,   0.84019,  -0.47336,   1.20681,  -0.76810,   8.72480,  -2.37466,  -1.53718, -92.21270,   7.35884, -88.21380, -69.75280,  18.25800,  16.97920,   0.26021,   0.48165, -28.39800,   9.37054,   5.55109,  -8.75658,  88.75690,   8.78705, -96.91550, -51.59360,  14.70160, -19.63890,   4.21296,   6.22016, -34.21790,   6.64098,   5.46301,  -5.11165,-175.52200,  -9.57004, -21.38180,  -0.00007,  -0.02595,   7.11710,  -0.38388,   0.29080, -52.84310,   0.15246,  -0.25628, -21.05930, 178.94800,  13.91820,-171.82300,  -0.00343,   0.03635,  12.73210,   2.91641,   9.86499, -70.52970,   0.07050,  -0.07947, -17.35510
   0.26667,   0.00000,   0.00000,  -0.00000,  88.59380, -12.31060,   0.64166, 122.37900,  84.61630,-121.72600,   1.30259,   5.72664,   1.24037,  -0.43807,   1.49409,  -0.75419,   8.62441,  -2.45122,  -1.62517, -92.20890,   7.16351, -87.81270, -71.48840,  18.64950,  19.37010,   0.85154,   1.60803, -27.90760,   8.86955,   5.55030,  -8.72027,  88.88970,   8.41193, -97.45300, -50.00040,  14.21940, -22.25100,   4.18792,   6.19663, -34.15690,   6.63107,   5.46692,  -5.25484,-174.81700, -10.31980, -22.41750,  -0.00028,   0.00789,   2.22546,  -1.55459,  -2.09852, -55.29220,   0.15940,  -0.26915, -21.27870, 177.92500,  13.89230,-170.14200,   0.00410,   0.06982,  14.55330,   2.51882,  11.67550, -72.63950,   0.16504,  -0.18954, -18.42210
   0.30000,   0.00000,   0.00000,  -0.00000,  88.20530, -13.90390,   0.28860, 125.80100,  84.45390,-125.09800,   1.20040,   6.44542,   1.33770,  -0.35024,   1.90962,  -0.70694,   8.51355,  -2.38007,  -1.70989, -92.28690,   7.13910, -87.18600, -72.84580,  19.08480,  21.67870,   1.13406,   2.17152, -27.58360,   8.58142,   5.55151,  -8.77755,  88.95940,   8.34514, -97.86670, -48.66120,  14.09260, -24.13050,   4.19124,   6.30726, -33.71550,   6.61483,   5.46623,  -5.23004,-174.87700, -11.42760, -23.50810,  -0.00008,   0.04393,   0.10116,  -3.25579,  -5.74642, -58.62700,   0.16871,  -0.28654, -21.57500, 176.61600,  12.71730,-169.26800,  -0.02176,   0.10959,  17.23160,   1.94348,  12.55780, -73.58920,   0.28852,  -0.37558, -20.45200
