time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  92.60740,   1.49762,   5.51754,  92.03620,  76.21260, -90.67020,  19.78190,   1.10079,   2.54822,  -4.70261,   8.36820,   0.15314,  -0.25684,  11.03740,  -6.56600, -90.09470,   0.92054, -99.12680, -74.95200,  23.02330,   1.31266,  31.02900, -13.10320,-110.65000,  11.87490,   5.29307,   0.26550,  89.99830,   0.03488,-102.31100, -71.87510,  23.91220,   4.26120,  22.90910,  -7.35139,-106.84500,  18.24240,   5.47302,  -5.48238, 172.29200,  -1.40491,  -7.59657,   0.05814,  -0.06403,  27.89510,   6.54847,   1.32920, -65.19850,  -0.07360,   0.06263, -16.57420, 179.30900,  -2.62132, 155.66100,  -0.32997,   0.14283,  66.33550,   3.73132, -23.03010, -43.07140,   0.46338,  -0.51279, -20.42090
   0.03333,   0.00000,   0.00000,  -0.00000,  92.16510,   1.36605,   5.36878,  92.01750,  76.19000, -90.52580,  19.82640,   1.10714,   2.79898,  -4.67758,   8.66535,   0.33275,  -0.33700,  11.60880,  -6.51795, -90.08320,   0.82683, -99.25670, -75.04130,  23.03440,   1.23322,  30.87390, -13.03750,-110.67300,  11.81350,   5.29768,   0.13751,  90.00480,  -0.10682,-102.43000, -71.94300,  24.06430,   4.09100,  22.95960,  -7.37760,-106.86200,  17.95340,   5.47091,  -5.40401, 172.84000,  -1.37443,  -6.57515,   0.03502,  -0.02687,  27.01690,   6.41724,   1.14601, -65.49480,  -0.07778,   0.06607, -16.57400, 179.56800,  -4.22380, 154.95700,  -0.29558,   0.15781,  61.31460,   2.99082, -23.93510, -46.48350,   0.48893,  -0.54317, -20.64170
   0.06667,   0.00000,   0.00000,  -0.00000,  91.73030,   1.15274,   5.08106,  92.06240,  76.19220, -90.47900,  19.82030,   1.13766,   2.97747,  -4.77758,   8.91081,   0.44375,  -0.47046,  12.10790,  -6.44978, -90.07270,   0.73379, -99.34320, -75.04010,  23.12570,   1.01982,  30.85740, -13.04130,-110.69000,  12.10110,   5.29969,   0.08153,  90.00710,  -0.16254,-102.48700, -71.85410,  24.27470,   3.83741,  22.87190,  -7.34351,-106.85700,  18.08640,   5.47538,  -5.57299, 173.40900,  -1.39073,  -5.65604,   0.01134,   0.01370,  25.96900,   6.25624,   0.97617, -65.66430,  -0.09305,   0.07889, -16.57320, 179.63900,  -5.73037, 155.02800,  -0.22204,   0.15999,  53.92470,   2.18657, -23.64080, -49.24140,   0.48852,  -0.54267, -20.63820
   0.10000,   0.00000,   0.00000,  -0.00000,  91.40210,   0.81832,   4.70885,  92.14170,  76.23410, -90.53680,  19.73460,   1.17325,   3.01539,  -4.81373,   9.13939,   0.57868,  -0.77162,  12.55030,  -6.49628, -90.05490,   0.55634, -99.36750, -75.13080,  23.26770,   0.85193,  30.78870, -13.00100,-110.68400,  13.02910,   5.29732,   0.14596,  90.01460,  -0.34055,-102.54400, -71.93590,  24.47190,   3.56634,  23.03160,  -7.34721,-106.74200,  18.19180,   5.47674,  -5.62376, 173.83700,  -1.22850,  -4.87884,  -0.00605,   0.04478,  24.95070,   6.02323,   0.50525, -65.78560,  -0.11738,   0.09910, -16.57220, 179.41300,  -6.89471, 155.79700,  -0.13656,   0.13578,  44.55710,   0.81272, -22.39740, -51.00950,   0.48174,  -0.53460, -20.57950
   0.13333,   0.00000,   0.00000,  -0.00000,  91.30400,   0.55878,   4.31633,  91.99580,  76.30780, -90.46170,  19.59110,   1.09069,   2.88870,  -4.83466,   9.35838,   0.68006,  -1.04562,  12.96550,  -6.52946, -90.03820,   0.39021, -99.41150, -75.23970,  23.32430,   0.75218,  30.24740, -12.77500,-110.76700,  14.09250,   5.28964,   0.35969,  90.02060,  -0.49630,-102.63100, -72.05510,  24.59750,   3.37385,  23.02950,  -7.34106,-106.73000,  18.14270,   5.47708,  -5.63744, 173.98000,  -1.00680,  -4.12150,  -0.01453,   0.06031,  24.04590,   6.07559,  -0.11987, -66.01510,  -0.29318,  -0.08465, -16.43080, 179.01600,  -7.53100, 157.71600,  -0.06860,   0.10343,  33.12040,   0.60176, -20.50100, -51.03020,   0.46317,  -0.51253, -20.41910
   0.16667,   0.00000,   0.00000,  -0.00000,  91.40510,   0.52041,   3.98908,  91.71060,  76.44740, -90.32280,  19.31870,   0.93139,   2.62477,  -4.69387,   9.42986,   0.72209,  -1.13736,  13.13860,  -6.32289, -90.01910,   0.19825, -99.50890, -75.28260,  23.37680,   0.59754,  29.99300, -12.61820,-110.73100,  14.73400,   5.28198,   0.57123,  90.02200,  -0.54263,-102.68400, -72.26060,  24.66180,   3.46890,  22.88460,  -7.29800,-106.74900,  18.43580,   5.48367,  -5.88963, 173.99700,  -1.00439,  -3.42566,  -0.00876,   0.04590,  23.67560,   6.18689,  -0.26514, -66.52860,  -0.43323,  -0.26430, -16.45030, 178.90600,  -6.88104, 160.84500,  -0.02499,   0.07476,  20.62830,   1.67209, -17.54580, -50.47630,   0.42686,  -0.46978, -20.10700
   0.20000,   0.00000,   0.00000,  -0.00000,  91.31060,   0.83729,   3.73212,  91.46910,  76.65640, -90.15560,  18.90570,   0.79751,   2.50085,  -4.34089,   9.27633,   0.69339,  -1.04779,  12.97280,  -5.81929, -90.00340,   0.03571, -99.65130, -75.10150,  23.46060,   0.21277,  29.61460, -12.34960,-110.62000,  14.84750,   5.28737,   0.42380,  90.01630,  -0.40851,-102.71500, -72.47040,  24.57290,   3.80229,  22.80040,  -7.28680,-106.79000,  18.55910,   5.48685,  -6.01228, 174.41700,  -1.13749,  -2.71821,  -0.01130,   0.05092,  23.75260,   5.93733,   0.13388, -67.38450,  -0.39201,  -0.22098, -16.68160, 179.26500,  -6.05800, 163.69600,  -0.00160,   0.04086,  10.76930,   3.12291, -13.61030, -48.88790,   0.43266,  -0.47659, -20.15680
   0.23333,   0.00000,   0.00000,  -0.00000,  90.62930,   1.15494,   3.62941,  92.12610,  76.86920, -90.69090,  18.46740,   1.08892,   2.69995,  -3.96579,   8.93078,   0.59952,  -0.69640,  12.51020,  -5.13058, -90.00630,   0.07124, -99.92290, -74.53450,  23.60540,  -0.43486,  29.58970, -12.29230,-110.55200,  14.55270,   5.28791,   0.40842,  90.00230,  -0.05765,-102.76200, -72.56640,  24.21950,   4.42087,  22.56420,  -7.26917,-106.93600,  18.80000,   5.49557,  -6.35518, 175.59200,  -1.26804,  -1.89012,  -0.01113,   0.04903,  24.30020,   5.63002,   0.50305, -68.56280,  -0.39870,  -0.24311, -16.99900,-179.79800,  -5.77152, 164.11600,   0.00551,  -0.01364,   9.17445,   3.23855, -11.18360, -47.85140,   0.42867,  -0.47189, -20.12250
   0.26667,   0.00000,   0.00000,  -0.00000,  90.00050,   1.30256,   3.70687,  92.95250,  77.08890, -91.42790,  18.00810,   1.44130,   2.82721,  -3.59953,   8.73545,   0.46424,  -0.20634,  12.10500,  -4.62995, -90.01480,   0.16810, -99.98560, -73.98270,  23.66900,  -0.97999,  29.48460, -12.33640,-110.70000,  14.00200,   5.29525,   0.20475,  89.99430,   0.15261,-102.88500, -72.83690,  24.06550,   5.04053,  22.33440,  -7.24345,-107.06200,  19.30680,   5.50521,  -6.74370, 176.68400,  -1.20173,  -0.99484,  -0.00775,   0.04043,  25.42800,   5.18105,   0.41671, -69.76130,  -0.37007,  -0.26459, -17.76870,-178.48400,  -4.67254, 163.47500,   0.01600,  -0.04724,  12.22270,   3.45743, -10.05720, -45.34700,   0.44863,  -0.49538, -20.29400
   0.30000,   0.00000,   0.00000,  -0.00000,  88.90890,   1.47241,   3.83669,  93.73440,  77.28160, -91.95620,  17.59700,   1.77946,   3.28754,  -3.27142,   8.77967,   0.34196,   0.05687,  11.88410,  -4.43278, -90.03010,   0.34097, -99.96470, -73.72730,  23.36540,  -1.27883,  29.55430, -12.47010,-110.84700,  13.37230,   5.30230,   0.00763,  89.98920,   0.33095,-103.12700, -72.98660,  24.05820,   5.43135,  21.99960,  -7.15529,-107.13500,  19.95440,   5.51828,  -7.28705, 178.28400,  -0.88227,  -0.35045,  -0.00537,   0.03315,  26.97650,   4.42613,   0.17335, -70.08140,  -0.19413,  -0.22092, -19.67050,-176.44900,  -2.57828, 163.85600,   0.01809,  -0.04505,  13.65900,   4.12556,  -8.77920, -44.20240,   0.40617,  -0.44562, -19.93010
