time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.35610,  -5.85237,  -6.92771,  92.05820,  77.61760, -91.56090,  16.98050,   0.91455,   0.85962,  -4.22051,  -2.34520,   3.04454, -25.73370,  -0.39936,   5.69717, -90.61410,   3.90200, -96.04940,-122.67400,  75.16190,  39.42950,   7.23818,   9.43467, -37.76810,  20.12340,   5.62148, -12.72150,  89.74170,  12.82350,-103.83700,-113.37800,  63.56640,  39.54440,  32.42540,  29.77690, -51.98330,   1.42632,   5.67398, -18.06200,-175.40900,  -6.80207, -31.09190,   0.38960,  -0.12875,  71.52790,  -2.50848,   4.31572, -58.56610,   0.15139,  -0.25431, -21.02530,-179.21300,   7.62305, 147.21100,  -0.00520,   0.01800,  39.46090,   1.02109,  -0.18321, -64.12980,   0.02981,  -0.03332, -16.90260
   0.03333,   0.00000,   0.00000,  -0.00000,  90.43600,  -5.54217,  -7.41541,  91.85020,  77.82050, -91.53000,  16.57930,   0.79859,   0.52476,  -4.37409,  -2.44483,   2.98670, -26.44370,  -0.66854,   5.82927, -90.56080,   3.54802, -96.01320,-122.62500,  74.60460,  39.15080,   7.03534,   9.21775, -37.61110,  19.93920,   5.62142, -12.71460,  89.72260,  12.84130,-103.75200,-113.88700,  63.45070,  39.90190,  32.16630,  29.62410, -51.83480,   1.05483,   5.67515, -18.30030,-175.45400,  -6.81033, -33.00710,   0.35854,  -0.14296,  68.30400,  -2.79988,   5.27976, -59.15120,   0.15181,  -0.25508, -21.03850,-179.25900,   8.31507, 149.17400,  -0.01724,   0.03329,  37.22720,   0.97538,   0.11714, -64.35810,   0.04302,  -0.04823, -17.04920
   0.06667,   0.00000,   0.00000,  -0.00000,  90.39250,  -4.65066,  -7.64307,  91.14020,  77.91830, -90.89820,  16.39200,   0.49156,   0.41390,  -4.57576,  -2.58922,   2.95281, -27.05490,  -0.92504,   5.96480, -90.52080,   3.32045, -96.08020,-122.65000,  74.09100,  39.09040,   6.81970,   8.93147, -37.60690,  19.80050,   5.61737, -12.44060,  89.70690,  12.78810,-103.67600,-114.30900,  63.25340,  40.18380,  32.13400,  29.58600, -51.83260,   0.85620,   5.67482, -18.21950,-175.22700,  -6.68963, -34.30670,   0.31608,  -0.16246,  63.11380,  -3.58136,   6.63951, -59.30410,   0.13994,  -0.23341, -20.66720,-179.06000,   9.45435, 151.43700,  -0.00873,   0.02388,  34.77200,   1.00781,   0.39539, -64.41100,   0.04099,  -0.04593, -17.02660
   0.10000,   0.00000,   0.00000,  -0.00000,  90.26510,  -4.25318,  -8.07211,  91.16900,  78.07350, -91.05520,  16.08210,   0.48761,   0.15894,  -4.77941,  -2.65442,   2.92428, -27.42500,  -1.08657,   6.02866, -90.51180,   3.23719, -96.01260,-122.86200,  73.76360,  39.33600,   6.64050,   8.70015, -37.58370,  19.81370,   5.61470, -12.26290,  89.71280,  12.74420,-103.69800,-114.68200,  63.07480,  40.42750,  32.04290,  29.58650, -51.73370,   0.66316,   5.67405, -18.07290,-175.30100,  -7.25781, -35.28680,   0.25986,  -0.17586,  56.45310,  -4.04887,   7.60694, -59.36780,   0.13974,  -0.23307, -20.66150,-179.01800,  10.09570, 153.26500,  -0.00641,   0.02444,  32.65170,   0.81363,   0.62484, -64.51820,   0.02069,  -0.02310, -16.80190
   0.13333,   0.00000,   0.00000,  -0.00000,  90.23400,  -3.92892,  -8.72243,  91.22140,  78.28880, -91.28710,  15.65160,   0.48771,  -0.19859,  -4.94659,  -2.68589,   2.84703, -27.59200,  -1.27090,   6.00724, -90.50620,   3.15911, -95.89280,-122.89800,  73.47710,  39.45200,   6.43839,   8.45076, -37.51950,  19.42540,   5.60954, -11.93040,  89.70540,  12.84030,-103.67500,-115.01600,  62.97180,  40.78530,  32.03120,  29.58700, -51.72060,   0.64200,   5.67281, -17.84530,-175.59100,  -7.72745, -35.99420,   0.19396,  -0.17667,  48.38930,  -4.58752,   7.83810, -59.55480,   0.13066,  -0.21672, -20.38040,-179.08800,  10.74880, 154.58100,  -0.00147,   0.01816,  30.96580,   0.59410,   1.02043, -64.76920,   0.03602,  -0.04032, -16.97140
   0.16667,   0.00000,   0.00000,  -0.00000,  89.93460,  -3.36442,  -9.08259,  91.03250,  78.37840, -91.14220,  15.47410,   0.40566,  -0.27477,  -5.15302,  -2.76023,   2.79266, -27.58330,  -1.41776,   5.80779, -90.52760,   3.24584, -95.76160,-122.37800,  72.95760,  39.18500,   6.80372,   8.84251, -37.81650,  19.34260,   5.60733, -11.79040,  89.67840,  12.96740,-103.56700,-115.30000,  63.01260,  41.09640,  31.62560,  29.41990, -51.42360,   0.51952,   5.67541, -18.40640,-175.48000,  -7.67738, -35.86970,   0.12210,  -0.15446,  39.28360,  -4.40087,   7.71120, -59.85280,   0.13037,  -0.21620, -20.37160,-178.96100,  11.38610, 156.05700,  -0.01126,   0.03807,  29.70100,   0.28419,   1.10020, -65.27430,   0.05723,  -0.06433, -17.20710
   0.20000,   0.00000,   0.00000,  -0.00000,  89.50450,  -3.12847,  -9.61893,  91.20520,  78.49990, -91.37500,  15.23020,   0.46625,  -0.40215,  -5.40601,  -2.82690,   2.74675, -27.47180,  -1.61354,   5.69024, -90.55100,   3.31743, -95.56570,-121.56000,  72.49180,  38.56430,   6.95581,   8.98434, -37.99820,  19.07680,   5.61003, -11.96630,  89.65970,  13.08410,-103.49700,-115.29400,  62.94960,  41.27350,  31.65340,  29.40010, -51.47090,   0.66620,   5.67387, -18.27710,-175.19700,  -7.29229, -35.33520,   0.06552,  -0.12212,  29.58460,  -3.79750,   7.13485, -59.42010,   0.13812,  -0.23014, -20.61110,-178.79600,  11.99700, 157.10700,  -0.01487,   0.04937,  28.95400,  -0.06254,   1.52159, -66.02240,   0.06347,  -0.07144, -17.27670
   0.23333,   0.00000,   0.00000,  -0.00000,  88.87180,  -3.08370,  -9.69306,  91.51920,  78.45870, -91.72040,  15.31030,   0.59045,  -0.48208,  -5.47649,  -2.82549,   2.75102, -27.51350,  -1.82552,   5.59483, -90.57330,   3.38671, -95.38690,-120.54400,  72.08610,  37.74660,   7.26302,   9.29436, -38.27720,  19.01860,   5.60999, -11.96010,  89.65780,  13.21810,-103.50400,-115.06600,  62.80050,  41.20420,  31.37520,  29.16350, -51.37260,   0.60266,   5.67687, -18.68020,-174.56200,  -6.93611, -34.19630,   0.03406,  -0.09804,  21.19410,  -4.00356,   6.79398, -58.53840,   0.13902,  -0.23175, -20.63880,-178.71000,  12.16840, 158.48300,  -0.02765,   0.07632,  28.91950,  -0.53869,   1.78522, -67.28710,   0.06630,  -0.07466, -17.30810
   0.26667,   0.00000,   0.00000,  -0.00000,  88.31590,  -3.43754,  -9.97518,  91.84130,  78.48460, -92.16450,  15.25580,   0.70897,  -0.74195,  -5.39785,  -2.70442,   2.81053, -27.66380,  -1.90620,   5.51220, -90.61250,   3.53550, -95.16490,-119.39500,  71.96080,  36.92120,   7.40409,   9.37534, -38.58000,  19.06050,   5.61112, -12.03260,  89.68200,  13.31690,-103.62000,-114.66100,  62.83450,  40.97740,  31.40020,  29.04440, -51.50420,   0.90068,   5.67477, -18.21210,-174.06400,  -6.81675, -34.27400,   0.02797,  -0.10107,  17.37440,  -5.19017,   6.07461, -57.08750,   0.14208,  -0.23731, -20.73410,-178.92100,  11.91960, 159.46200,  -0.03626,   0.09132,  29.45980,  -1.18114,   2.08730, -68.89370,   0.07571,  -0.08542, -17.41330
   0.30000,   0.00000,   0.00000,  -0.00000,  87.87940,  -3.77846, -10.30860,  91.63360,  78.60690, -92.10100,  15.01420,   0.61157,  -1.01609,  -5.25364,  -2.63757,   2.82747, -27.42580,  -1.90671,   5.55684, -90.64300,   3.66152, -95.03320,-118.82200,  72.12150,  36.63000,   7.34907,   9.21332, -38.85220,  19.04610,   5.61136, -12.04580,  89.70400,  13.36870,-103.72000,-114.41200,  62.84260,  40.79020,  31.25780,  28.87940, -51.49320,   1.03322,   5.67328, -17.92910,-173.96800,  -6.74127, -36.05050,   0.03912,  -0.12206,  19.83420,  -5.75873,   5.35396, -54.49060,   0.14318,  -0.23931, -20.76850,-179.43200,  11.51980, 160.31400,  -0.05875,   0.12714,  30.51740,  -2.01305,   2.25705, -70.91640,   0.06468,  -0.07281, -17.29010
