time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.42370,  -1.15009,  -2.92227, 172.43200,  88.93060,-170.64600,  -7.51361,   1.87723,   3.70225, -11.26860,   3.25023,  -4.77824,  -0.22195,  -1.34877, -12.48300, -89.39960,  -1.91822, -87.61520, -67.57320,  61.30530,  33.27860,-100.30000,  40.85110, -83.22140,  47.61270,   1.33349,  55.34880,  91.09540,  -3.92289, -89.38550, -76.56670,  59.62670,  43.73350, -91.49640,  39.89940, -89.04050,  43.90260,   1.69935,  51.53110,-173.32300,   3.46267, -25.04940,  -0.48431,   0.15208,  71.64090,   6.11775,  -9.61267, -44.99910,   0.50001,  -0.61389, -22.34780,-164.96900,  -0.02394, 164.87200,   0.27744,  -0.47110,  27.19910,   5.46156, -18.40630, -65.72240,  -0.01557,   0.01086, -16.57380
   0.03333,   0.00000,   0.00000,  -0.00000,  85.23900,  -1.00389,  -2.89320, 162.20200,  88.57870,-160.82800,  -6.92991,   2.52516,   2.90442, -11.67460,   3.24161,  -4.86453,  -1.17086,  -1.68143, -12.49140, -89.37370,  -1.96158, -87.28960, -67.45040,  60.49040,  33.40690,-100.19700,  41.06600, -83.26100,  47.35220,   1.30395,  55.65410,  91.10400,  -4.04351, -89.71540, -78.06800,  60.05020,  44.90400, -91.10400,  39.66290, -89.29600,  43.81970,   1.73850,  51.11760,-173.97100,   6.25490, -29.24660,  -0.54358,   0.17650,  71.01090,   8.11535, -13.40480, -46.34910,   0.47042,  -0.57384, -21.98520,-165.85300,   0.77173, 166.15300,   0.23638,  -0.39794,  26.89380,   5.14536, -18.03300, -66.83670,  -0.05094,   0.03541, -16.57350
   0.06667,   0.00000,   0.00000,  -0.00000,  85.99390,  -0.72045,  -3.04211, 157.85400,  88.26210,-156.85200,  -6.48743,   3.08922,   2.18118, -12.01040,   3.14819,  -5.00260,  -2.08921,  -2.06950, -12.55080, -89.33730,  -2.04343, -87.02470, -67.09220,  60.15230,  33.23120,-100.02700,  41.27960, -83.34640,  46.95690,   1.30109,  55.68370,  91.12440,  -4.18388, -89.94240, -79.28450,  60.51860,  45.72300, -90.94390,  39.47390, -89.40040,  44.06950,   1.78267,  50.65050,-174.10500,   8.67494, -32.79180,  -0.49584,   0.18896,  67.91840,   8.03269, -14.81480, -48.35730,   0.44028,  -0.53361, -21.61910,-166.66800,   1.16850, 167.52500,   0.19594,  -0.33675,  25.93520,   4.87247, -18.05480, -67.52010,  -0.08652,   0.06007, -16.57300
   0.10000,   0.00000,   0.00000,  -0.00000,  86.68630,  -0.29629,  -3.44556, 157.00700,  88.03660,-156.32300,  -6.25958,   3.52530,   1.56228, -12.20590,   3.09259,  -5.21904,  -2.92030,  -2.47443, -12.68540, -89.31980,  -2.07388, -86.83610, -66.49130,  60.07460,  32.76640,-100.24500,  41.37960, -83.18650,  46.57000,   1.30907,  55.60110,  91.12720,  -4.26205, -90.17000, -80.28460,  60.87490,  46.37520, -90.48900,  39.24090, -89.69110,  44.10560,   1.80249,  50.44010,-174.10800,  10.33680, -35.70350,  -0.41861,   0.20210,  62.52560,   8.03016, -15.46050, -50.02270,   0.42056,  -0.50752, -21.38100,-167.43400,   2.17902, 168.84700,   0.14844,  -0.26259,  24.49930,   4.77489, -17.51730, -67.97580,  -0.11320,   0.07832, -16.57280
   0.13333,   0.00000,   0.00000,  -0.00000,  87.17030,   0.30368,  -4.05311, 157.75100,  87.92150,-157.28500,  -6.21494,   3.78455,   1.13868, -12.43900,   3.09274,  -5.40772,  -3.44302,  -2.78792, -12.92080, -89.33660,  -2.01397, -86.76210, -65.86920,  60.21390,  32.28370,-100.29900,  41.55640, -83.12670,  46.62070,   1.31575,  55.53230,  91.11150,  -4.27701, -90.41780, -80.95080,  61.09920,  46.80260, -90.18670,  39.00840, -89.88300,  43.89580,   1.80311,  50.43380,-174.16900,  10.88020, -37.76960,  -0.32788,   0.21473,  54.87300,   7.68520, -17.39090, -50.96010,   0.42731,  -0.51642, -21.46230,-167.97400,   3.54690, 170.00900,   0.10577,  -0.19106,  22.86910,   4.74327, -16.75210, -68.31200,  -0.13239,   0.09105, -16.57270
   0.16667,   0.00000,   0.00000,  -0.00000,  87.42900,   0.94348,  -4.83015, 159.87200,  87.86740,-159.48600,  -6.32003,   3.95069,   0.99220, -12.61460,   3.04326,  -5.64681,  -3.86219,  -2.99797, -13.23220, -89.39810,  -1.83513, -86.83670, -65.31050,  60.36150,  31.82080,-100.31800,  41.69020, -83.09590,  46.82120,   1.31833,  55.50590,  91.10690,  -4.32061, -90.61460, -81.18380,  61.43800,  46.90600, -90.16880,  38.92390, -89.89430,  43.78050,   1.81733,  50.28310,-174.70500,  10.01900, -38.71160,  -0.24640,   0.22729,  45.33990,   8.07060, -17.88360, -51.48310,   0.41955,  -0.50620, -21.36880,-168.26400,   4.58222, 170.91400,   0.06679,  -0.11389,  21.38340,   4.61306, -16.32280, -68.67170,  -0.13650,   0.09322, -16.57270
   0.20000,   0.00000,   0.00000,  -0.00000,  87.49010,   1.45342,  -5.59650, 163.08700,  87.89060,-162.72500,  -6.56016,   3.98405,   0.95230, -12.80520,   3.16359,  -5.70217,  -3.98523,  -3.15538, -13.47460, -89.39970,  -1.82218, -86.76070, -64.88230,  60.40510,  31.48730,-100.39900,  41.71140, -83.03810,  46.89570,   1.30626,  55.63060,  91.06210,  -4.23977, -90.92200, -81.41570,  61.81990,  47.01150, -90.22760,  38.82880, -89.85760,  43.51160,   1.82431,  50.20870,-175.92300,   7.75765, -37.93680,  -0.15020,   0.20903,  33.72910,   6.73714, -15.54850, -51.80960,   0.43909,  -0.53201, -21.60460,-168.34500,   5.07907, 171.90600,   0.03135,  -0.03236,  19.95120,   4.36987, -16.33020, -69.10480,  -0.09852,   0.06678, -16.57290
   0.23333,   0.00000,   0.00000,  -0.00000,  87.25870,   1.79680,  -5.82534, 162.11700,  87.81470,-161.64700,  -6.44997,   4.09406,   1.17378, -13.02200,   3.21766,  -5.84379,  -4.16915,  -3.21771, -13.54800, -89.39650,  -1.83598, -86.80070, -64.72160,  60.40080,  31.25780,-100.34700,  41.74230, -83.06880,  47.01160,   1.30796,  55.61260,  91.03800,  -4.19807, -91.09850, -81.40180,  62.11520,  46.90820, -90.25740,  38.81830, -89.83910,  43.39100,   1.83351,  50.11100,-177.97400,   4.22985, -34.67480,  -0.06231,   0.16952,  20.15890,   4.67797, -11.75810, -52.28380,   0.43566,  -0.52745, -21.56310,-168.12200,   5.05741, 173.74100,   0.00548,   0.03439,  18.35830,   4.06116, -16.80490, -69.64160,  -0.06118,   0.04116, -16.57340
   0.26667,   0.00000,   0.00000,  -0.00000,  86.81090,   1.97533,  -5.71634, 159.90300,  87.72200,-159.22700,  -6.23437,   4.18922,   1.58250, -12.93760,   3.22071,  -5.85816,  -4.60448,  -3.16980, -13.70250, -89.36920,  -1.92044, -86.81400, -64.76850,  60.36100,  31.17890,-100.23900,  41.64830, -83.15560,  47.14680,   1.31483,  55.54190,  91.02510,  -4.23350, -91.37560, -81.70500,  62.26390,  47.11150, -89.87540,  38.84740, -90.07880,  43.12920,   1.83984,  50.04400, 179.91100,   0.76902, -31.14990,  -0.02068,   0.09516,   8.09213,   3.07798,  -6.68741, -53.00600,   0.44606,  -0.54126, -21.68900,-167.76800,   5.24781, 176.13000,  -0.01648,   0.10242,  16.92470,   3.69137, -16.91180, -70.56310,   0.02485,  -0.02578, -16.77310
   0.30000,   0.00000,   0.00000,  -0.00000,  86.33910,   1.75594,  -5.55662, 160.13200,  87.57900,-159.24400,  -6.16472,   4.43883,   2.01742, -12.72320,   3.30030,  -5.87299,  -4.87259,  -3.17809, -13.73580, -89.31370,  -2.07551, -86.69890, -64.56520,  60.09210,  30.90890,-100.22800,  41.50810, -83.18080,  47.02100,   1.31476,  55.54250,  91.02290,  -4.28104, -91.54920, -81.97480,  62.32000,  47.34890, -89.66060,  38.77170, -90.21300,  42.45290,   1.83790,  50.06490, 178.62800,  -1.49652, -31.06970,   0.00004,  -0.00719,   4.63185,   0.46813,  -2.01270, -56.72100,   0.43755,  -0.52995, -21.58590,-167.35000,   6.00283, 178.47900,   0.04038,  -0.09228,  16.16240,   5.32655, -16.43580, -71.61060,   0.13156,  -0.13867, -17.63800
