time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.59100,   1.02404,   3.07826,  91.21100,  83.11010, -90.27580,   6.00914,   0.27610,   1.85372,  -9.35390,  -0.12159,  -8.63574,  -9.30317,  -6.85231, -17.50720, -90.03330,   0.73744,-102.41200, -74.23830,  12.58990, -17.59400,   7.39330,  13.07810, -29.83180,   9.66195,   5.17526,   3.33205,  89.98380,   0.50135,-103.14700, -75.07980,   7.97917,  -7.88726,   5.71478,  14.62980, -21.61800,  13.38740,   5.37756,  -2.22191,-172.16400,  -6.37466, -12.17350,   0.07273,  -0.03891,  59.63420,  -3.83275,  -1.60270, -47.21450,   0.39621,  -0.47568, -21.08900,-170.53300,   6.15596, 174.33200,   0.12695,  -0.20954,  25.00300,   6.64557,  -5.87775, -67.35360,  -0.10363,   0.07857, -16.57190
   0.03333,   0.00000,   0.00000,  -0.00000,  87.99350,   1.14188,   3.22177,  91.51790,  82.93550, -90.67700,   6.35600,   0.36283,   1.65976,  -9.46348,  -0.16028,  -8.63878,  -9.66506,  -6.97534, -17.61260, -90.02770,   0.58092,-102.26900, -74.43300,  12.14560, -16.95060,   7.14370,  13.12530, -28.89470,   9.45952,   5.17980,   3.22160,  89.98600,   0.43774,-103.16400, -75.36680,   7.75329,  -7.02564,   5.64065,  14.65580, -21.32770,  13.23910,   5.37650,  -2.18867,-173.22000,  -6.04366, -14.30150,   0.03247,  -0.01606,  59.17490,  -2.88578,  -3.79287, -50.13000,   0.38297,  -0.45849, -20.93100,-170.92700,   5.44370, 174.95600,   0.10965,  -0.17598,  24.73500,   6.36379,  -6.77955, -67.48310,  -0.11016,   0.08343, -16.57190
   0.06667,   0.00000,   0.00000,  -0.00000,  88.46440,   1.18511,   3.21947,  92.25990,  82.78950, -91.56500,   6.64087,   0.56002,   1.35565,  -9.53483,  -0.23456,  -8.66387, -10.14440,  -7.13502, -17.57350, -90.02370,   0.47106,-102.12300, -74.42530,  11.90790, -16.14080,   6.64876,  12.96590, -27.45250,   9.02135,   5.17537,   3.32924,  89.98420,   0.49237,-103.16300, -75.63340,   7.45884,  -6.19848,   5.37661,  14.59580, -20.48340,  13.06480,   5.37869,  -2.25735,-174.27800,  -5.77183, -16.15200,   0.01134,  -0.00438,  56.85760,  -2.91451,  -5.44727, -52.85440,   0.33576,  -0.39798, -20.37190,-171.40300,   4.85026, 175.44100,   0.08932,  -0.13675,  24.32110,   6.16298,  -7.37736, -67.47960,  -0.11147,   0.08441, -16.57180
   0.10000,   0.00000,   0.00000,  -0.00000,  88.85940,   1.30536,   3.16603,  92.77820,  82.64200, -92.19280,   6.92975,   0.70659,   1.12676,  -9.66231,  -0.28657,  -8.68232, -10.60750,  -7.27173, -17.66890, -90.03030,   0.59078,-102.06500, -74.16490,  11.78890, -15.02670,   6.09121,  12.83350, -25.66160,   8.70156,   5.17304,   3.38590,  89.98390,   0.51706,-103.21200, -75.88150,   7.32736,  -5.55505,   4.96285,  14.57980, -19.03590,  13.09000,   5.37691,  -2.20154,-175.21700,  -5.37538, -17.55990,  -0.00461,   0.00609,  52.90360,  -2.89398,  -6.66535, -54.96640,   0.35002,  -0.41614, -20.54010,-171.86500,   4.88237, 176.02200,   0.07028,  -0.10174,  23.59040,   6.10334,  -7.41688, -67.37480,  -0.10963,   0.08295, -16.57190
   0.13333,   0.00000,   0.00000,  -0.00000,  89.12910,   1.37499,   3.09329,  93.22100,  82.49770, -92.71300,   7.21193,   0.83760,   0.96220,  -9.75671,  -0.29658,  -8.65863, -11.10810,  -7.26942, -17.72280, -90.03840,   0.72362,-101.96300, -73.95600,  11.71950, -13.65180,   5.56228,  12.89810, -23.57040,   8.49172,   5.16816,   3.50519,  89.98510,   0.49403,-103.27100, -76.13280,   7.38673,  -5.07903,   4.48690,  14.68980, -17.19800,  12.87420,   5.37636,  -2.18352,-175.96200,  -5.14548, -18.40180,  -0.01371,   0.01405,  47.29410,  -2.60078,  -7.63387, -55.87460,   0.39228,  -0.47057, -21.04210,-172.20900,   5.05818, 176.60200,   0.06392,  -0.09486,  22.74380,   6.08055,  -7.31987, -67.19070,  -0.15637,   0.11832, -16.57120
   0.16667,   0.00000,   0.00000,  -0.00000,  89.27770,   1.23393,   2.78650,  93.91520,  82.45700, -93.45770,   7.28174,   1.02437,   0.84881,  -9.92909,  -0.21718,  -8.60368, -11.34530,  -7.26660, -17.72980, -90.04360,   0.78883,-101.83900, -73.99850,  11.55700, -11.89030,   5.00200,  12.92240, -21.37350,   8.17536,   5.16543,   3.57182,  89.98740,   0.42361,-103.30500, -76.43430,   7.47919,  -4.73155,   3.90517,  14.65820, -15.10040,  12.62170,   5.37367,  -2.10015,-176.50700,  -5.15408, -18.91800,  -0.01128,   0.01304,  40.40470,  -2.58113,  -7.88571, -55.74990,  -0.47162,  -1.40380, -22.81860,-172.44600,   5.00946, 176.86100,   0.04463,  -0.05333,  22.11530,   6.01364,  -7.22040, -67.10620,  -0.11981,   0.09071, -16.57170
   0.20000,   0.00000,   0.00000,  -0.00000,  89.28080,   0.80781,   2.45670,  94.98820,  82.44240, -94.56070,   7.28862,   1.30767,   0.77080, -10.07610,  -0.08608,  -8.52187, -11.58970,  -7.22737, -17.68800, -90.04960,   0.84231,-101.63700, -74.20610,  11.17640,  -9.76232,   4.44324,  12.85730, -19.24840,   7.61195,   5.16557,   3.56882,  89.98820,   0.40317,-103.33500, -76.78110,   7.34139,  -4.32568,   3.41025,  14.71310, -13.20810,  12.53130,   5.36749,  -1.90928,-176.83800,  -5.68641, -18.71030,   0.00032,  -0.00255,  32.43220,  -2.31125,  -6.39632, -55.30540,   0.22560,  -0.68190, -22.83510,-172.51600,   4.90269, 177.19500,   0.03927,  -0.04465,  21.42910,   6.01879,  -6.89657, -67.05700,  -0.14293,   0.10866, -16.57120
   0.23333,   0.00000,   0.00000,  -0.00000,  88.97630,   0.32153,   1.92020,  95.93320,  82.50960, -95.45220,   7.13024,   1.54042,   0.86510, -10.29480,   0.01917,  -8.36124, -11.82020,  -7.05516, -17.60880, -90.04810,   0.76734,-101.41300, -74.68630,  10.52150,  -7.37982,   3.92582,  12.80950, -17.19850,   7.19354,   5.15502,   3.82372,  89.99070,   0.33500,-103.41000, -77.16330,   6.99508,  -3.83718,   3.07028,  14.83930, -11.83230,  12.50320,   5.36359,  -1.78901,-176.92700,  -6.07327, -18.55640,   0.01374,  -0.03299,  24.24540,  -1.23073,  -3.69273, -53.92380,   0.38474,  -0.46077, -20.95200,-172.24900,   4.60385, 177.25900,   0.02638,  -0.01445,  20.89650,   6.00912,  -6.65252, -67.07690,  -0.13407,   0.10238, -16.57130
   0.26667,   0.00000,   0.00000,  -0.00000,  89.10250,  -0.39219,   1.55881,  96.61020,  82.45160, -96.18940,   7.22671,   1.72957,   0.73153, -10.74350,   0.24356,  -8.31879, -12.30330,  -6.84169, -17.67440, -90.07600,   1.12061,-101.12400, -74.82150,   9.66793,  -4.87696,   3.46115,  12.52550, -15.58310,   6.24496,   5.15069,   3.92776,  89.99070,   0.32489,-103.35500, -77.27020,   6.67698,  -3.51331,   2.86559,  14.82870, -11.07050,  12.54720,   5.36025,  -1.68712,-177.15500,  -5.86804, -18.88600,  -0.00530,   0.01733,  17.17770,  -0.92960,  -0.24404, -46.93870,   0.37972,  -0.45428, -20.89220,-172.57500,   4.47605, 177.42700,   0.02304,  -0.00618,  20.75510,   5.92022,  -6.07789, -67.42050,  -0.12602,   0.09688, -16.57130
   0.30000,   0.00000,   0.00000,  -0.00000,  88.94460,  -1.17042,   1.17585,  97.00350,  82.40850, -96.57250,   7.29982,   1.84271,   0.74360, -11.15300,   0.51979,  -8.14319, -13.00460,  -6.48915, -17.82290, -90.10350,   1.41596,-100.82000, -75.06830,   8.71629,  -2.32892,   3.09320,  12.52800, -13.98850,   6.09187,   5.15515,   3.82047,  89.99260,   0.25823,-103.36600, -77.35000,   6.56164,  -3.22850,   2.84129,  14.85920, -10.95710,  12.34690,   5.36029,  -1.68806,-176.82500,  -5.04077, -18.00420,  -0.00687,   0.03495,  10.07250,  -1.80406,   3.60089, -42.25660,   0.37222,  -0.44461, -20.80310,-172.73500,   5.00265, 177.49700,   0.01776,   0.00902,  20.98620,   5.91874,  -4.82651, -68.11380,  -0.11780,   0.09118, -16.57140
