time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.78544, 109.44275,-452.15347,   6.15985, 118.09551,-451.53786,  12.76583, 132.71609,-448.24914,  14.76951, 138.58557,-446.45368,  15.83320, 127.52981,-448.20126,  20.49443, 124.93770,-447.80638,  19.31701, 102.14222,-456.22426,  19.21661,  79.95806,-454.04057,   7.09579, 131.90997,-450.12192,   2.40087, 134.26105,-451.13816, -19.74220, 142.90802,-445.96036, -21.94172, 159.75576,-431.53029,   6.74106,  90.62814,-451.41310,  16.05705,  53.94857,-441.65840,  23.15735,  15.98826,-455.38441,  24.55836,   7.76932,-447.09890,  -5.86584,  93.03205,-453.05683, -17.28828,  56.96884,-443.24322, -20.62427,  17.30789,-453.02500, -22.62268,   8.05392,-446.05837
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.49661, 109.49494,-452.17303,   5.64969, 118.19664,-451.44375,  11.62142, 132.93092,-447.51243,  13.20253, 138.83450,-445.42986,  14.88974, 127.86940,-447.60038,  19.68238, 125.53105,-447.19455,  19.63082, 102.87428,-456.05734,  20.00271,  80.68248,-453.98339,   6.01781, 131.97515,-449.51057,   1.54464, 134.72337,-450.53068, -15.37870, 151.45826,-445.48696,  -5.72262, 168.03402,-434.13287,   6.80465,  90.73939,-451.42509,  16.45902,  54.66405,-439.90574,  22.64177,  16.65559,-453.93903,  24.08169,   8.30539,-445.79260,  -5.84894,  92.90625,-453.03939, -17.34939,  57.46979,-441.23556, -21.42721,  18.01244,-451.54539, -23.23804,   8.60998,-444.72791
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.26807, 109.53206,-452.13243,   5.29762, 118.25093,-451.26670,  11.02026, 132.89796,-446.69157,  11.91767, 138.80470,-444.24325,  14.37584, 127.90313,-447.00838,  19.25384, 125.75152,-446.58680,  20.39616, 103.42490,-456.18357,  21.49037,  81.26593,-454.01606,   5.43014, 131.93429,-448.72342,   1.40345, 135.27184,-449.84101,  -8.94602, 156.93907,-445.92760,   8.11910, 168.60453,-437.58436,   6.86625,  90.82382,-451.55956,  17.32613,  55.30661,-439.05151,  22.65394,  17.15267,-453.04059,  24.17234,   8.98084,-444.72920,  -5.84686,  92.81148,-452.91624, -16.51791,  57.48469,-440.05230, -21.46102,  18.28665,-450.95561, -23.23586,   9.18446,-443.73317
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.11935, 109.55399,-452.06972,   5.10021, 118.27129,-451.08382,  10.76392, 132.75988,-445.96335,  10.92857, 138.55502,-443.12107,  14.09704, 127.75123,-446.29839,  18.97261, 125.62600,-445.73778,  20.47301, 103.85316,-456.48826,  22.05483,  81.75503,-454.02130,   5.23576, 131.88596,-448.19544,   1.58071, 135.34243,-450.01093,  -5.42304, 158.23338,-445.66961,  13.39008, 166.33231,-436.87275,   6.90124,  90.87861,-451.62201,  18.46860,  55.71780,-439.08222,  23.52129,  17.53770,-453.10196,  24.96409,   9.74587,-444.42041,  -5.84041,  92.75058,-452.87126, -14.90231,  56.62593,-441.02959, -20.09588,  17.53134,-452.18502, -22.30841,   9.67291,-443.72847
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.73088, 109.44795,-451.82273,   5.95780, 118.07804,-450.61874,  11.54879, 132.33613,-444.81671,  11.48024, 137.94564,-441.62016,  14.79551, 127.26453,-445.03164,  19.61607, 125.05490,-444.33754,  20.89885, 103.78043,-456.06921,  22.20823,  81.70269,-453.28095,   6.16965, 131.62624,-447.43729,   2.65136, 135.03834,-449.57778,  -6.37775, 157.32304,-445.86796,   9.88494, 165.03658,-432.71741,   6.77161,  90.63314,-451.64910,  19.10741,  56.26317,-437.72553,  24.34410,  18.34420,-452.37241,  25.70422,  10.62682,-443.61138,  -5.88119,  93.02560,-452.91300, -13.98775,  56.88535,-440.44302, -19.80332,  17.98446,-451.96269, -21.76130,  10.50874,-443.10587
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   4.35531, 109.32121,-451.95283,   6.82222, 117.87874,-450.69972,  12.33271, 131.96419,-444.41875,  12.58361, 137.47693,-441.06673,  15.52988, 126.85983,-444.59816,  20.27724, 124.47826,-443.97142,  21.47456, 103.26511,-455.82257,  21.89997,  81.21074,-452.60715,   7.05490, 131.36417,-447.26326,   3.36171, 134.65050,-449.30357, -10.43288, 154.45899,-446.26573,  -1.60890, 165.31054,-428.90796,   6.61847,  90.40161,-451.50558,  16.91064,  56.44219,-435.12995,  23.71470,  19.29223,-451.04812,  25.17068,  11.53229,-442.34025,  -5.90205,  93.29244,-453.02027, -15.41890,  58.01706,-439.14905, -20.20307,  18.97510,-450.66599, -22.25100,  11.37994,-441.93197
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   4.89865, 109.18864,-452.10004,   7.61387, 117.67410,-450.87054,  13.41793, 131.59029,-444.47770,  14.22449, 136.96945,-440.99871,  16.60791, 126.50138,-444.96302,  21.28911, 123.93357,-444.65505,  21.83661, 102.11867,-455.41103,  21.58232,  80.19740,-451.37260,   8.00399, 131.05737,-447.06841,   3.80502, 134.00770,-448.57397, -15.39319, 148.64627,-445.56798, -17.35454, 162.68260,-428.36200,   6.49364,  90.20451,-451.52370,  14.35228,  56.23715,-433.86604,  22.75932,  19.77534,-450.58910,  24.45759,  12.02580,-441.91592,  -5.92863,  93.52649,-452.96112, -17.70784,  58.79712,-439.45353, -20.92364,  19.40156,-450.29103, -22.84001,  11.80094,-441.53194
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   4.86630, 109.19773,-452.21049,   7.66330, 117.67417,-451.10873,  14.17263, 131.49827,-445.21477,  15.71084, 136.77318,-441.82383,  17.26056, 126.39146,-446.04771,  21.86827, 123.68111,-446.20577,  21.28824, 101.13360,-455.32465,  20.60724,  79.40799,-450.38000,   8.52687, 131.02356,-447.26578,   3.79633, 133.42668,-447.93618, -19.53780, 140.03880,-446.01438, -32.18035, 152.71214,-432.73043,   6.50441,  90.22102,-451.52176,  13.27433,  55.80908,-434.27881,  22.28172,  19.50199,-451.02591,  24.08138,  11.76716,-442.36005,  -5.93039,  93.50745,-452.93228, -18.88797,  58.75610,-440.61241, -21.31104,  19.11448,-450.73533, -23.20201,  11.49398,-441.98800
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   4.83800, 109.20245,-452.51329,   7.68045, 117.69117,-451.64767,  14.62347, 131.58013,-446.44120,  16.81653, 136.84308,-443.41118,  17.63596, 126.45657,-447.43247,  22.22688, 123.75051,-447.88277,  20.74461, 100.80393,-455.82872,  20.08120,  79.18144,-450.44881,   8.84034, 131.08909,-448.06009,   3.91019, 133.12875,-448.42875, -20.31307, 130.86527,-448.35558, -39.05640, 136.28737,-437.57599,   6.51746,  90.24356,-451.50675,  13.44745,  55.20718,-435.63982,  22.46682,  18.68422,-451.90412,  24.18715,  10.96162,-443.21127,  -5.93555,  93.48359,-452.86292, -18.90483,  58.39834,-441.54227, -21.35956,  18.64848,-451.22350, -23.24634,  10.74291,-442.73200
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   4.68546, 109.24089,-452.55082,   7.50954, 117.74954,-451.83349,  14.68116, 131.76281,-447.31554,  17.12194, 137.16156,-444.74935,  17.62624, 126.57433,-448.16094,  22.19929, 123.81860,-448.46957,  20.02591, 100.88602,-456.29604,  19.43742,  79.29182,-450.79516,   8.86310, 131.26616,-448.80216,   3.86331, 133.13242,-449.15105, -18.86544, 124.56210,-450.51080, -38.34381, 123.17017,-439.76061,   6.56337,  90.29802,-451.59445,  14.74671,  54.75588,-437.55446,  22.91350,  17.62091,-452.85483,  24.50595,   9.90787,-444.12920,  -5.93895,  93.41842,-452.76476, -18.71787,  58.06771,-442.07081, -21.26434,  18.24369,-451.41782, -23.10196,   9.83962,-443.40793
