time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.25172, 109.64580,  -2.38598,  -0.35849, 118.63355,  -2.07603,  -0.43736, 135.00579,  -1.67645,  -0.18634, 141.39809,  -2.55090,   4.05119, 131.59146,   0.44579,   8.87696, 131.81890,   2.73976,  28.71557, 117.88741,   0.68452,  12.51080, 103.42725,   5.70690,  -4.65773, 131.66779,  -4.38804,  -9.68534, 131.49767,  -6.20374, -11.23096, 109.07656, -15.52039, -15.06369,  87.30477, -18.38577,   4.73861,  91.63544,   1.35526,  -0.56731,  54.86781,  13.49285,  -2.16988,  13.97969,  11.16982,  -1.76690,   6.21452,  19.98476,  -4.66846,  91.83167,  -7.52637,  -5.89009,  53.12768,  -2.24975,   4.64247,  13.52969,  -3.18099,  -3.92949,   6.03873,  -0.25342
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.31826, 109.64380,  -2.36597,  -0.43146, 118.63149,  -2.05644,  -0.41387, 135.00522,  -1.71527,  -0.11683, 141.39117,  -2.62120,   4.04904, 131.57189,   0.43024,   8.87954, 131.74527,   2.71897,  28.45067, 117.42689,   0.76049,  12.26077, 102.92751,   5.71737,  -4.64734, 131.68271,  -4.42546,  -9.67953, 131.52435,  -6.22948, -11.44842, 109.03092, -15.32959, -15.24373,  87.23702, -18.07413,   4.71967,  91.64818,   1.38241,  -0.66519,  54.57697,  12.52067,  -3.94966,  13.72928,  11.82692,  -2.81846,   6.00767,  20.61673,  -4.63099,  91.81948,  -7.55909,  -5.97802,  53.10928,  -2.35914,   4.50521,  13.50008,  -3.36722,  -4.06905,   6.00916,  -0.44627
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.33229, 109.64123,  -2.31167,  -0.43034, 118.62876,  -1.99255,  -0.31134, 135.00339,  -1.72204,   0.03538, 141.38194,  -2.66177,   4.12543, 131.55164,   0.44801,   8.95695, 131.67755,   2.73769,  28.29713, 117.02613,   0.95610,  12.05626, 102.58938,   5.92902,  -4.55961, 131.69560,  -4.42708,  -9.59905, 131.53392,  -6.21046, -11.67690, 108.98536, -15.10654, -15.55030,  87.18344, -17.67251,   4.71431,  91.63678,   1.38224,  -0.66191,  54.44968,  12.13156,  -4.24944,  13.62683,  11.47731,  -2.87102,   6.03053,  20.34070,  -4.62172,  91.83161,  -7.57405,  -6.03221,  53.11141,  -2.46612,   4.50455,  13.52176,  -3.66560,  -4.07093,   6.03095,  -0.74799
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.30922, 109.64042,  -2.28305,  -0.37736, 118.62823,  -1.96423,  -0.15064, 135.00271,  -1.76176,   0.24610, 141.37454,  -2.72701,   4.27092, 131.53099,   0.40744,   9.09900, 131.61833,   2.70617,  28.20886, 116.63874,   1.18767,  11.87935, 102.24246,   5.98451,  -4.42963, 131.71168,  -4.43868,  -9.48586, 131.52624,  -6.17148, -12.04394, 108.96547, -14.91009, -16.05297,  87.15640, -17.19107,   4.73283,  91.62336,   1.35517,  -0.62586,  54.37272,  11.89114,  -4.09322,  13.54325,  11.03382,  -2.75682,   6.05239,  19.99287,  -4.64667,  91.84525,  -7.55496,  -5.98445,  53.11282,  -2.52080,   4.59662,  13.54314,  -3.96452,  -3.97953,   6.05234,  -1.04881
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.30293, 109.64053,  -2.28283,  -0.34184, 118.62867,  -1.96832,   0.02854, 135.00093,  -1.80141,   0.47677, 141.36422,  -2.79989,   4.43508, 131.49524,   0.34360,   9.25900, 131.53577,   2.65231,  28.14398, 116.24958,   1.39887,  11.67489, 101.91261,   5.88615,  -4.29778, 131.74187,  -4.44111,  -9.37766, 131.53521,  -6.10082, -12.66308, 109.01566, -14.70150, -16.92070,  87.21309, -16.55391,   4.76789,  91.62384,   1.31702,  -0.51577,  54.38185,  11.92125,  -3.83692,  13.54842,  10.73630,  -2.57636,   6.05756,  19.70633,  -4.68347,  91.84474,  -7.51687,  -5.89771,  53.09807,  -2.56157,   4.71842,  13.54843,  -4.27228,  -3.85565,   6.05761,  -1.35053
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.29521, 109.63831,  -2.23270,  -0.29766, 118.62607,  -1.90515,   0.24815, 134.99383,  -1.78514,   0.73532, 141.34695,  -2.82909,   4.62679, 131.44710,   0.34952,   9.44707, 131.43302,   2.66613,  28.12887, 115.88306,   1.63190,  11.49245, 101.65788,   5.84960,  -4.12472, 131.77403,  -4.39616,  -9.22846, 131.59625,  -5.98445, -13.47987, 109.12813, -14.29136, -18.23204,  87.39411, -15.69148,   4.79210,  91.60954,   1.28244,  -0.43186,  54.39220,  12.00214,  -3.68986,  13.56524,  10.46978,  -2.43776,   6.07439,  19.44101,  -4.70983,  91.85966,  -7.49626,  -5.79223,  53.09887,  -2.62144,   4.84460,  13.56507,  -4.55527,  -3.72771,   6.07423,  -1.62842
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.28092, 109.63726,  -2.20633,  -0.24315, 118.62469,  -1.87200,   0.48800, 134.98543,  -1.78394,   1.01647, 141.32636,  -2.88051,   4.83642, 131.39316,   0.33630,   9.65798, 131.32098,   2.64918,  28.14959, 115.53627,   1.76367,  11.34849, 101.46608,   5.84637,  -3.93332, 131.81070,  -4.36843,  -9.06058, 131.68634,  -5.88444, -14.54473, 109.33330, -13.76865, -20.09193,  87.76095, -14.64805,   4.81196,  91.59960,   1.25469,  -0.40597,  54.41070,  12.07555,  -3.64432,  13.59555,  10.22095,  -2.38611,   6.10470,  19.19132,  -4.73368,  91.86989,  -7.47585,  -5.76140,  53.10342,  -2.63448,   4.92161,  13.59547,  -4.82484,  -3.64671,   6.10456,  -1.88651
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.25292, 109.63541,  -2.16148,  -0.17009, 118.62194,  -1.81149,   0.74141, 134.97373,  -1.74642,   1.31066, 141.30288,  -2.88967,   5.05975, 131.33626,   0.35817,   9.88285, 131.19950,   2.66491,  28.16724, 115.17290,   1.82223,  11.19924, 101.31682,   5.94673,  -3.72641, 131.84489,  -4.30679,  -8.87726, 131.77287,  -5.74417, -15.91183, 109.63109, -12.96577, -22.61458,  88.37621, -13.42885,   4.80513,  91.57869,   1.25093,  -0.44232,  54.44777,  12.25507,  -3.58207,  13.64332,  10.03194,  -2.33009,   6.15245,  19.00316,  -4.73465,  91.89131,  -7.48460,  -5.75421,  53.12519,  -2.63878,   4.98389,  13.64331,  -5.02154,  -3.58142,   6.15238,  -2.07453
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.21159, 109.63499,  -2.14241,  -0.08234, 118.62063,  -1.78359,   0.99282, 134.96249,  -1.72326,   1.59813, 141.28098,  -2.90624,   5.27721, 131.28242,   0.37665,  10.09605, 131.08193,   2.68765,  28.13776, 114.78191,   1.85893,  10.97693, 101.19381,   6.07615,  -3.50933, 131.87798,  -4.27728,  -8.68144, 131.85983,  -5.63796, -17.52585, 110.06937, -11.87075, -25.72034,  89.34003, -12.10664,   4.77440,  91.55912,   1.27465,  -0.46777,  54.47859,  12.44989,  -3.56542,  13.69218,   9.86605,  -2.31780,   6.20130,  18.83788,  -4.71544,  91.91100,  -7.51363,  -5.78517,  53.15008,  -2.63711,   5.00595,  13.69212,  -5.17182,  -3.55798,   6.20128,  -2.22053
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.14655, 109.63515,  -2.13186,   0.03879, 118.61977,  -1.77219,   1.27947, 134.94998,  -1.74033,   1.92047, 141.25839,  -2.95781,   5.52723, 131.23029,   0.36421,  10.33993, 130.98012,   2.68313,  28.15556, 114.42981,   1.92733,  10.81118, 101.11150,   6.25291,  -3.25475, 131.90688,  -4.28727,  -8.44609, 131.98165,  -5.57058, -19.26080, 110.76077, -10.53160, -29.25127,  90.83362, -10.63123,   4.74539,  91.53519,   1.29361,  -0.48884,  54.51542,  12.67216,  -3.56882,  13.74566,   9.81841,  -2.32202,   6.25481,  18.79037,  -4.70455,  91.93488,  -7.53553,  -5.82477,  53.18374,  -2.59304,   5.01709,  13.74545,  -5.21565,  -3.54599,   6.25466,  -2.26178
   0.33333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.07369, 109.63528,  -2.12498,   0.16941, 118.61876,  -1.77137,   1.56701, 134.93630,  -1.79642,   2.24202, 141.23598,  -3.04047,   5.77751, 131.18344,   0.32402,  10.58187, 130.90448,   2.65692,  28.21446, 114.15459,   2.01408,  10.71825, 101.07623,   6.45868,  -2.99467, 131.92792,  -4.33555,  -8.19550, 132.12660,  -5.56620, -21.16915, 111.83444,  -9.00249, -33.18893,  93.06120,  -9.03267,   4.70740,  91.50962,   1.32103,  -0.53787,  54.55779,  12.91333,  -3.55908,  13.80331,   9.79122,  -2.31404,   6.31245,  18.76343,  -4.68687,  91.96042,  -7.56487,  -5.86644,  53.22115,  -2.54375,   5.02509,  13.80334,  -5.26651,  -3.53307,   6.31246,  -2.29865
   0.36667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.00056, 109.63613,  -2.13727,   0.29539, 118.61870,  -1.80106,   1.82136, 134.92443,  -1.90302,   2.52720, 141.21494,  -3.17602,   5.99802, 131.14904,   0.24418,  10.79136, 130.84989,   2.59714,  28.29371, 113.95802,   2.13500,  10.65508, 101.08739,   6.62289,  -2.75885, 131.93958,  -4.43658,  -7.95983, 132.27533,  -5.63640, -23.25092, 113.43918,  -7.44680, -37.39352,  96.20904,  -7.30502,   4.66651,  91.48941,   1.35392,  -0.60929,  54.59693,  13.12010,  -3.59222,  13.85690,   9.78015,  -2.33505,   6.36606,  18.75068,  -4.66635,  91.98039,  -7.59433,  -5.95297,  53.25092,  -2.52415,   5.01754,  13.85701,  -5.27564,  -3.53995,   6.36613,  -2.30587
   0.40000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.08378, 109.63854,  -2.18659,   0.43449, 118.62030,  -1.88295,   2.08016, 134.91369,  -2.06442,   2.80237, 141.19613,  -3.36774,   6.22466, 131.11879,   0.11053,  11.00693, 130.80193,   2.48362,  28.43108, 113.82464,   2.25757,  10.65818, 101.13950,   6.74385,  -2.51665, 131.94961,  -4.59228,  -7.70430, 132.45517,  -5.79028, -25.32059, 115.67594,  -5.92844, -41.51459, 100.36270,  -5.51639,   4.63076,  91.47699,   1.38501,  -0.62731,  54.63076,  13.30310,  -3.59469,  13.90350,   9.79777,  -2.34841,   6.41263,  18.76980,  -4.65411,  91.99215,  -7.61168,  -6.04482,  53.27394,  -2.48327,   5.00376,  13.90363,  -5.26010,  -3.55280,   6.41267,  -2.28784
   0.43333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.14792, 109.63946,  -2.21404,   0.54406, 118.62010,  -1.93393,   2.29795, 134.90115,  -2.19281,   3.03019, 141.17631,  -3.52527,   6.41641, 131.08928,   0.00185,  11.19223, 130.76484,   2.38688,  28.55352, 113.72177,   2.37914,  10.69563, 101.17974,   6.92981,  -2.31756, 131.95557,  -4.70818,  -7.47728, 132.64787,  -5.93315, -27.26206, 118.57036,  -4.42272, -45.36044, 105.63101,  -3.03247,   4.60272,  91.46502,   1.40778,  -0.59934,  54.64813,  13.44056,  -3.64227,  13.93482,   9.83916,  -2.38092,   6.44397,  18.80909,  -4.64394,  92.00386,  -7.62680,  -6.09432,  53.29638,  -2.43436,   4.98291,  13.93493,  -5.22253,  -3.57209,   6.44398,  -2.24572
   0.46667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.20436, 109.63932,  -2.22382,   0.64126, 118.61862,  -1.96221,   2.49188, 134.88737,  -2.30680,   3.20953, 141.15877,  -3.66467,   6.58746, 131.06273,  -0.09164,  11.35849, 130.73795,   2.30290,  28.66811, 113.64296,   2.44238,  10.72948, 101.24982,   7.08254,  -2.14088, 131.95603,  -4.80707,  -7.25642, 132.84770,  -6.08717, -28.82600, 122.01423,  -3.04014, -48.52702, 111.97279,  -0.22047,   4.57948,  91.45071,   1.42395,  -0.55097,  54.67913,  13.62483,  -3.62415,  13.98002,   9.89099,  -2.36479,   6.48917,  18.86120,  -4.63643,  92.01821,  -7.64025,  -6.14579,  53.32345,  -2.37037,   4.99309,  13.98011,  -5.16852,  -3.56221,   6.48923,  -2.19244
