time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.32917, 109.62456,-450.56586,   0.62081, 118.40951,-448.77423,  -3.90110, 132.81601,-442.43222,  -5.53358, 138.78090,-440.57633,   1.82408, 131.05140,-443.07798,   7.08124, 131.72249,-442.36101,  21.61212, 115.75272,-453.57264,  29.54799,  94.94157,-452.65975,  -7.72424, 128.83290,-444.84571, -12.50655, 126.44735,-445.04855, -15.00521, 102.82184,-439.80568,  -7.84511, 109.44600,-419.76162,   7.03173,  91.43987,-450.83305,   5.70036,  64.09160,-422.94700,   8.09568,  57.45982,-463.32131,   6.24535,  56.83692,-474.91234,  -5.47203,  92.16965,-454.07929,  -8.94415,  54.77551,-443.26465,  -1.14327,  25.30682,-470.66073,  -2.69713,  17.71926,-461.81889
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.47618, 109.55742,-450.00166,  -0.38948, 118.28857,-448.02560,  -3.98899, 132.98939,-441.76896,  -5.45898, 139.01902,-439.98799,   1.61890, 130.95320,-442.61395,   6.91992, 131.58540,-442.29520,  22.56468, 120.29784,-457.11793,  31.65132, 100.06632,-459.36158,  -8.08490, 129.14727,-443.95260, -13.19594, 127.60883,-443.61648, -14.57948, 105.18532,-434.28013,  -5.56013, 118.67740,-418.99858,   7.08518,  91.69184,-450.64635,   2.63546,  64.91016,-422.53453,   6.56802,  48.39619,-459.83905,   7.12718,  40.62914,-468.64380,  -5.28778,  91.93639,-454.42322,  -8.92807,  53.05987,-452.78045,  -1.94666,  22.11072,-478.72679,  -3.28471,  13.39531,-470.95409
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.72145, 109.32815,-449.10904,  -1.83733, 117.96410,-446.85909,  -4.42765, 133.04213,-441.01450,  -5.55087, 139.17826,-439.34850,   1.02752, 130.72975,-442.11110,   6.31151, 131.55529,-442.11015,  20.96095, 124.00153,-460.00470,  30.34239, 104.17333,-463.97292,  -8.80731, 129.30162,-442.78474, -14.05421, 128.51248,-442.11409, -16.53616, 106.89811,-431.22583,  -5.56699, 123.17455,-420.65864,   7.26107,  92.10480,-450.81459,   0.49738,  63.73663,-424.79860,   5.49669,  38.35832,-456.59091,   6.76498,  27.17161,-459.96917,  -5.12994,  91.58732,-454.50372,  -7.27468,  53.18162,-461.41287,  -2.78577,  19.24388,-483.94912,  -3.74957,   8.41256,-479.48627
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -1.32178, 109.05936,-448.27001,  -2.47721, 117.61585,-445.75234,  -4.14172, 132.96555,-440.29046,  -4.83733, 139.19438,-438.73900,   1.15008, 130.38968,-441.58286,   6.38423, 131.48011,-441.71186,  18.93881, 126.80848,-462.02046,  28.34393, 107.05344,-466.28631,  -8.75667, 129.36171,-441.71211, -14.00899, 128.99869,-440.77198, -18.33656, 107.92388,-429.41329,  -5.73308, 124.90185,-422.35556,   7.33591,  92.28882,-450.92831,  -0.07306,  61.54278,-427.96920,   5.20352,  28.40269,-451.49993,   4.91048,  16.66264,-451.99899,  -5.03748,  91.47821,-454.62381,  -6.85913,  54.63868,-467.54142,  -5.22704,  17.97053,-485.77837,  -4.32066,   6.25403,-485.52229
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -1.28079, 109.05305,-448.22396,  -2.28046, 117.62113,-445.67918,  -3.16390, 133.05046,-440.25966,  -3.33852, 139.32663,-438.75352,   1.97775, 130.26348,-441.71042,   7.15296, 131.59520,-441.92445,  17.83223, 129.11401,-463.64259,  26.81169, 109.16230,-467.91038,  -7.96030, 129.62290,-441.50582, -13.19345, 129.46856,-440.41368, -19.68184, 109.05849,-428.87134,  -5.20853, 125.14978,-423.53234,   7.27561,  92.20971,-450.74653,   0.56946,  58.74656,-431.70507,   4.90535,  21.13163,-447.39330,   3.03537,   9.62752,-445.86944,  -4.98861,  91.55907,-454.81842,  -6.92105,  55.80161,-470.47102,  -4.56484,  20.90739,-491.84027,  -4.68519,   9.40734,-494.26882
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.52882, 109.26242,-448.71939,  -1.17430, 117.92260,-446.38021,  -1.61584, 133.39469,-441.02901,  -1.25980, 139.65051,-439.47105,   3.44270, 130.46030,-442.48129,   8.58329, 131.90901,-442.76012,  18.06421, 130.63668,-465.12916,  26.87605, 110.62959,-469.48615,  -6.50861, 130.09529,-442.24611, -11.74885, 130.06085,-441.17785, -20.15337, 110.44514,-429.49524,  -3.80162, 124.62309,-424.15512,   7.12441,  91.89972,-450.51887,   1.75062,  56.36574,-435.16339,   4.27155,  16.51701,-444.41146,   2.31193,   5.57489,-440.59132,  -5.04696,  91.81072,-454.90802,  -7.89806,  56.80293,-472.04452,  -2.59697,  25.89520,-498.43418,  -2.70959,  15.19430,-503.29644
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.20865, 109.41972,-449.23446,  -0.08364, 118.16089,-447.13835,  -0.09922, 133.71282,-442.00483,   0.61982, 139.91449,-440.35817,   4.88128, 130.59870,-443.34850,  10.01698, 132.05855,-443.65752,  18.83300, 130.68539,-466.29097,  28.03368, 110.79656,-470.37721,  -5.07884, 130.55417,-443.24288, -10.34006, 130.66754,-442.28935, -20.41871, 111.75131,-430.77883,  -2.56507, 123.34351,-424.16225,   7.01364,  91.65649,-450.43163,   3.41426,  54.73609,-438.13282,   4.64547,  13.93449,-441.80933,   2.40914,   4.09459,-435.78118,  -5.14170,  92.01011,-454.85173,  -8.53574,  57.57068,-473.01048,  -0.37202,  31.88238,-503.88552,   0.69914,  22.11552,-510.33722
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82501, 109.46997,-449.43280,   0.87613, 118.24502,-447.46222,   1.42088, 133.87029,-442.58678,   2.39152, 140.04169,-440.95553,   6.28676, 130.55173,-443.85914,  11.46393, 131.84424,-444.21743,  20.35343, 129.58145,-466.75046,  29.83239, 109.67036,-470.00826,  -3.66844, 130.87818,-443.79202,  -8.93963, 131.20139,-442.94786, -20.43296, 112.57259,-432.32870,  -1.72795, 120.99999,-423.61019,   6.98012,  91.46781,-450.57740,   4.74437,  53.93268,-439.92623,   5.31398,  12.95477,-439.38825,   2.98798,   4.42477,-431.64277,  -5.27993,  92.18479,-454.65069,  -9.01189,  58.08641,-473.37786,   1.45553,  38.01345,-507.54382,   3.91173,  29.56505,-515.33838
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.24483, 109.43705,-449.28269,   1.59729, 118.20294,-447.30224,   2.85028, 133.87114,-442.70295,   4.01671, 140.03047,-441.15657,   7.55933, 130.32363,-443.94737,  12.80259, 131.27570,-444.39892,  22.41817, 127.59156,-466.44090,  31.84513, 107.49825,-468.51610,  -2.37177, 131.08207,-443.82448,  -7.63059, 131.64420,-443.02995, -20.29302, 112.85873,-434.16065,  -1.63986, 117.80517,-423.00254,   6.96879,  91.31905,-450.78185,   5.59285,  53.58942,-440.68660,   6.14211,  12.70770,-437.82538,   4.09431,   5.53815,-428.73871,  -5.38559,  92.34272,-454.48806,  -9.06934,  58.32149,-473.36450,   2.60387,  43.83176,-509.88281,   5.95588,  36.83002,-518.70908
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.43381, 109.38394,-449.04539,   2.01455, 118.12345,-447.00316,   4.06715, 133.76672,-442.61101,   5.40781, 139.92100,-441.19089,   8.58762, 129.97676,-443.83989,  13.88389, 130.45779,-444.40577,  24.50030, 124.85302,-465.56609,  33.83528, 104.62487,-466.33793,  -1.29318, 131.22424,-443.66421,  -6.53234, 131.96268,-442.88423, -20.08357, 112.82140,-436.41346,  -2.35024, 114.14212,-422.97115,   6.96649,  91.24186,-450.92365,   6.32483,  53.63682,-440.30378,   7.60176,  12.76864,-437.48169,   5.67967,   6.22888,-427.90564,  -5.43595,  92.43472,-454.41240,  -9.17173,  58.08225,-472.66851,   3.31637,  49.20816,-510.68300,   6.97915,  43.93933,-520.53120
