time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.21792, 109.43660,  -0.65663,   1.39150, 118.31851,   0.74648,  -0.17894, 134.36568,   3.61662,  -0.42038, 140.81516,   3.42905,   5.10169, 131.56774,   2.84522,  10.40191, 132.17302,   3.22381,  17.72361, 117.58310, -14.81525,  18.75970,  99.59335,  -1.69233,  -4.81311, 130.61936,   2.72441,  -9.89528, 129.33179,   3.78089, -16.27781, 106.09144,   0.45753,  -8.82252, 105.05849,  21.43996,   6.23924,  91.16185,  -2.67982,   4.18316,  56.16754,  14.59743,   7.68249,  42.07380, -23.72912,  11.62040,  32.60550, -29.47436,  -6.57863,  92.36356,  -3.97320,  -2.33575,  53.69715,  -0.19951,   5.62291,  22.35507, -25.38159,   3.89097,  14.86423, -16.49050
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.13082, 109.41741,  -0.25185,  -0.34459, 118.27530,   1.29067,  -1.24853, 134.39064,   4.06455,  -1.54159, 140.83524,   3.79897,   3.77921, 131.52293,   2.38926,   9.01377, 132.37944,   1.70527,  14.00485, 119.22264, -18.14085,  18.69572, 102.01589,  -4.76778,  -5.99296, 130.67668,   4.12297, -10.75867, 129.62289,   6.30929, -16.92865, 106.14533,   4.68730,  -7.09285, 107.98222,  24.60699,   6.46147,  91.71699,  -2.80331,   1.43720,  58.68163,  17.46376,   6.39324,  38.62197, -17.93186,   9.53950,  27.55233, -20.32515,  -6.42502,  91.81376,  -3.96251,  -1.51308,  53.14098,  -6.72342,   5.02783,  21.02001, -31.32551,   3.35862,  12.75454, -23.13653
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.56363, 109.20740,   0.40414,  -2.20201, 117.98842,   2.24078,  -2.53372, 134.12686,   5.00788,  -2.85259, 140.56863,   4.70612,   2.14326, 131.20650,   2.57766,   7.15398, 132.17646,   0.97957,   9.60594, 120.02130, -19.95176,  17.52034, 104.23171,  -6.35153,  -7.23671, 130.45401,   5.84373, -11.51177, 129.65327,   8.95582, -18.03059, 106.23853,   7.88331,  -6.04238, 109.44348,  26.40146,   6.64780,  92.35359,  -3.03025,  -0.76598,  60.05814,  17.69104,   4.12160,  32.44305, -12.19744,   6.56902,  21.02078, -10.89154,  -6.21207,  91.23569,  -3.91836,  -1.19128,  53.23015, -11.51474,   4.45723,  20.14258, -35.03303,   2.57951,  10.00427, -29.38924
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.08599, 109.00679,   0.97157,  -2.81307, 117.72965,   3.03801,  -2.66950, 133.89500,   5.66037,  -3.00163, 140.33274,   5.29375,   1.66933, 130.90279,   2.73979,   6.39638, 131.85303,   0.42591,   6.34599, 120.29224, -20.98032,  16.95956, 106.07083,  -7.48888,  -7.28067, 130.28057,   7.06733, -11.12223, 129.65150,  10.73463, -18.35113, 106.46118,   9.37547,  -4.54071, 109.28659,  26.64394,   6.70277,  92.63824,  -3.28303,  -1.54659,  59.69690,  16.05989,   1.78996,  25.30617,  -5.98435,   3.69238,  14.80571,  -1.05639,  -6.12147,  91.00694,  -3.82370,  -1.26739,  53.69352, -14.38212,   4.73780,  19.84429, -36.69737,   2.39902,   8.45945, -34.94258
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.48906, 109.05212,   1.06668,  -1.91754, 117.79561,   3.12945,  -1.44895, 133.98400,   5.56507,  -1.80645, 140.41225,   5.07612,   2.65279, 130.92089,   2.38677,   7.14235, 131.79988,  -0.38330,   4.70815, 120.42528, -21.75089,  17.35879, 107.63414,  -8.58793,  -5.98557, 130.42875,   7.32171,  -9.57992, 129.87124,  11.24247, -17.58631, 107.00092,   9.06500,  -2.34250, 107.93128,  25.30296,   6.64459,  92.46089,  -3.60749,  -0.49589,  57.70948,  12.78415,   0.43952,  18.79742,  -0.05250,   0.65164,  10.08237,   7.83207,  -6.22964,  91.17166,  -3.52575,  -1.39085,  54.20418, -15.24435,   5.21449,  20.50675, -37.61968,   3.29885,   9.06028, -39.48304
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.46057, 109.21732,   0.67664,  -0.48558, 118.02054,   2.51778,   0.07939, 134.23690,   4.73736,  -0.28683, 140.66095,   4.20193,   4.08098, 131.12693,   1.47791,   8.44700, 131.92535,  -1.50580,   4.17551, 120.31242, -22.45276,  17.83960, 108.74451,  -9.17151,  -4.40893, 130.71225,   6.67085,  -7.91810, 130.21131,  10.67550, -16.59778, 107.76362,   7.11743,  -0.45805, 105.62960,  22.34458,   6.51438,  92.08474,  -3.91664,   1.42291,  55.46456,   8.74717,  -0.14695,  14.71103,   4.68662,  -1.79782,   8.25411,  14.36890,  -6.38603,  91.50177,  -3.10791,  -1.37988,  54.34475, -14.13643,   5.73226,  22.51698, -38.96007,   4.71579,  11.57010, -43.11895
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.16221, 109.30350,   0.32566,   0.37815, 118.14124,   1.97939,   1.00698, 134.37979,   4.01169,   0.64704, 140.80613,   3.50011,   4.97747, 131.22081,   0.76137,   9.36038, 131.92200,  -2.22201,   4.19272, 119.51415, -22.50060,  17.57630, 108.89262,  -8.18353,  -3.47913, 130.89116,   6.01439,  -7.04721, 130.46790,   9.97573, -16.29747, 108.63117,   4.54569,  -0.30494, 102.83594,  18.95281,   6.40591,  91.86942,  -4.18461,   2.51391,  54.37546,   6.12984,  -0.26338,  13.48508,   6.38732,  -2.80942,   8.49872,  16.72257,  -6.45111,  91.69307,  -2.74214,  -1.25965,  54.07520, -11.97677,   5.44462,  25.84250, -40.92103,   4.92194,  15.16362, -45.80487
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.03967, 109.40466,  -0.17812,   0.23298, 118.27368,   1.30180,   1.10632, 134.49168,   3.40655,   0.83104, 140.92013,   2.86952,   5.07844, 131.27569,   0.21464,   9.57359, 131.74797,  -2.64413,   4.94787, 117.91002, -22.11192,  16.74653, 108.69477,  -5.59568,  -3.47408, 131.07440,   5.31671,  -7.27499, 130.68154,   9.05853, -16.77324, 109.64596,   1.36551,  -2.56072,  99.81155,  15.44385,   6.36946,  91.94886,  -4.47953,   1.99026,  55.11168,   7.81588,  -2.34532,  14.50862,   4.29485,  -3.53227,   8.31782,  14.21598,  -6.38052,  91.58545,  -2.30683,  -1.91677,  53.21359,  -8.22366,   3.57050,  29.48741, -41.18973,   2.58974,  19.42988, -47.19370
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.99073, 109.41359,  -0.41034,  -1.15887, 118.28671,   1.04796,  -0.04115, 134.45288,   3.41894,  -0.16761, 140.88845,   2.91227,   4.01107, 131.19153,   0.37730,   8.70759, 131.30578,  -2.17844,   6.07870, 115.44502, -20.43784,  14.49336, 108.66844,  -0.93946,  -4.78088, 131.11316,   5.05839,  -8.94665, 130.71807,   8.38896, -18.48510, 110.72875,  -1.67784,  -7.27252,  97.18759,  12.02713,   6.44267,  92.38831,  -4.67151,   2.61873,  56.16118,   9.48139,  -3.44355,  16.95616,  -0.81511,  -3.81639,   9.46528,   8.23537,  -6.16659,  91.14351,  -2.05013,  -3.81503,  52.13563,  -1.61480,  -0.01984,  33.76345, -38.05465,  -1.98476,  24.76641, -45.35917
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.72709, 109.39108,  -0.67581,  -2.16940, 118.26379,   0.72655,  -0.97288, 134.38276,   3.36530,  -0.93674, 140.83169,   3.05023,   3.26454, 131.07696,   0.64050,   8.22133, 130.76293,  -1.34286,   8.88732, 112.03801, -16.86106,  11.92548, 109.45186,   5.07058,  -5.89234, 131.11524,   4.56062, -10.44778, 130.73465,   7.33651, -19.68020, 111.90042,  -4.98946, -12.75766,  95.16851,   8.01180,   6.48669,  92.67963,  -4.74205,   2.80806,  56.53451,   9.65694,  -4.14856,  19.94356,  -7.44601,  -4.48382,  12.45271,   1.60597,  -6.00541,  90.85847,  -1.90562,  -4.70726,  52.68387,   6.36171,  -3.26215,  37.99537, -31.87391,  -6.60743,  29.61655, -39.40837
