time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.44381, 109.47746,  -1.09719,   1.92472, 118.23308,   0.90156,   1.84378, 133.08342,   7.80640,   2.46309, 139.44310,   8.73384,   6.72479, 130.49964,   5.39634,  12.03904, 130.75655,   4.85330,  19.08130, 112.39034,  -9.46347,  12.87495, 107.62849,  11.41047,  -3.08732, 129.73336,   6.93010,  -7.97914, 128.69440,   8.82567, -15.56274, 105.80717,   5.57615,   0.93323, 106.37457,  20.55855,   6.24092,  91.16430,  -3.30836,   2.94633,  63.77212,  24.37100,   9.40289,  53.27269, -14.71708,  11.26123,  44.53807, -22.36015,  -6.64326,  92.34972,  -3.22189,  -4.79012,  54.37980,   5.84367,   1.43981,  20.99472, -17.10034,  -0.91293,  13.50381,  -8.35308
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.61833, 109.48626,  -0.75297,   0.78248, 118.23530,   1.32417,   0.78331, 133.21438,   7.94557,   1.07059, 139.59775,   8.87257,   5.56975, 130.68470,   5.29996,  10.74333, 131.25117,   4.06902,  16.61239, 117.70484, -15.26830,  16.96918, 108.16685,   4.87655,  -4.11663, 129.74667,   7.42395,  -8.71990, 128.77387,   9.96678, -12.54432, 104.93297,  12.94679,   3.90444, 112.93948,  25.68434,   6.37574,  91.47832,  -3.16952,   1.46743,  67.74488,  27.48932,   7.10882,  52.39995, -10.09406,  10.10700,  41.99549, -14.66810,  -6.54805,  92.03325,  -3.45665,  -5.34293,  53.16100,   0.39432,   1.01126,  20.51690, -23.55959,  -1.35767,  12.97844, -14.85767
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.54918, 109.36069,   0.00373,  -0.76318, 118.07500,   2.21779,  -0.47268, 133.42169,   7.92837,  -0.43449, 139.81881,   8.80277,   4.10453, 130.81294,   5.00397,   8.99071, 131.70839,   3.02270,  12.93635, 121.93940, -18.90627,  18.94774, 110.74490,  -0.59065,  -5.32595, 129.85321,   8.06375,  -9.61605, 129.14989,  11.17868, -10.44977, 105.59941,  17.22641,   4.27758, 119.01283,  27.23122,   6.54038,  91.96708,  -3.23259,   0.06410,  69.14236,  27.82256,   5.02406,  46.38116,  -5.89879,   7.99506,  35.04151,  -6.76430,  -6.38734,  91.57948,  -3.60444,  -4.75883,  52.59371,  -5.79346,  -0.10922,  19.28276, -29.21492,  -2.06892,  10.46137, -21.69787
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.44630, 109.14313,   0.72848,  -1.96014, 117.81701,   3.04946,  -1.63801, 133.51530,   7.70521,  -1.80996, 139.92270,   8.48292,   2.69256, 130.85763,   4.46614,   7.27496, 132.06556,   1.98732,   9.32414, 124.28064, -20.97083,  18.34253, 112.90902,  -4.05131,  -6.30926, 129.81625,   8.60135, -10.24220, 129.29672,  12.18807, -10.02799, 105.96809,  19.08912,   3.77794, 121.94488,  26.23400,   6.64157,  92.41933,  -3.53461,  -0.67242,  67.79718,  25.92024,   3.34224,  37.58686,  -1.48454,   5.60553,  26.33718,   1.06215,  -6.23854,  91.18786,  -3.50439,  -4.79425,  52.68994, -10.07387,  -1.29719,  18.69749, -32.70321,  -3.05389,   8.05402, -28.03481
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.33034, 109.07389,   1.04060,  -1.81991, 117.75452,   3.34148,  -1.76385, 133.65294,   7.27252,  -2.26572, 140.05784,   7.91640,   2.43729, 130.99506,   3.86743,   6.85807, 132.33566,   1.17269,   7.85546, 124.64128, -21.88555,  17.34508, 113.91204,  -4.80497,  -6.22758, 129.84491,   8.64385,  -9.97183, 129.34966,  12.43038, -10.03494, 105.68363,  18.07047,   3.87066, 121.83175,  24.61138,   6.62161,  92.43387,  -3.77081,  -0.11038,  63.79756,  21.95806,   2.81948,  27.68770,   2.79306,   3.58010,  17.25301,   8.15050,  -6.25089,  91.19261,  -3.35517,  -5.69875,  52.92584, -11.27244,  -2.38694,  19.15199, -34.25420,  -3.67377,   7.52259, -33.12954
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.57377, 109.29456,   0.32143,  -0.81358, 118.07063,   2.27341,  -0.89484, 134.02999,   5.94878,  -1.71261, 140.40725,   6.54129,   3.37155, 131.33915,   2.65245,   7.92131, 132.55700,   0.11894,   8.73142, 123.57821, -22.47765,  16.43759, 113.88110,  -3.94400,  -5.36115, 130.22198,   7.31173,  -9.27301, 129.68032,  10.91818, -10.40261, 105.53307,  13.66226,   4.43789, 119.73888,  22.31476,   6.53250,  92.09783,  -3.80733,   1.55476,  58.71354,  15.89148,   3.13889,  19.13830,   5.35135,   2.40012,   9.85553,  12.52407,  -6.37261,  91.46716,  -3.11824,  -5.78584,  52.86010,  -9.15851,  -3.56994,  22.15411, -36.21466,  -3.82691,  10.47315, -37.50020
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.06370, 109.50764,  -0.81791,   0.03883, 118.37894,   0.66076,  -0.07662, 134.36562,   4.21445,  -1.04835, 140.71653,   4.85553,   4.41536, 131.57420,   1.32678,   9.29014, 132.53863,  -0.65020,  10.76895, 121.00069, -22.01769,  14.96072, 112.70227,  -1.75736,  -4.71493, 130.64774,   5.19933,  -9.06450, 130.10564,   8.26362, -11.84081, 105.94698,   7.52426,   4.31672, 115.56656,  19.49543,   6.44923,  91.77988,  -3.68584,   3.50233,  55.27315,   9.94891,   3.31327,  14.55989,   5.23742,   1.91950,   5.42666,  12.50413,  -6.46698,  91.72573,  -2.92223,  -5.01750,  52.68134,  -3.79897,  -4.25954,  28.30344, -36.73750,  -3.76239,  16.99057, -39.88954
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.02131, 109.58932,  -1.51246,   0.00351, 118.49887,  -0.28496,  -0.00000, 134.47577,   3.31429,  -0.96342, 140.82616,   3.97273,   4.75623, 131.50591,   1.10822,   9.97729, 132.04604,   0.08310,  13.08682, 117.47690, -19.15102,  12.58175, 111.31725,   2.26670,  -4.87805, 130.94830,   3.57537,  -9.73642, 130.56168,   5.77748, -14.31881, 107.08511,   1.33363,   1.52453, 109.68826,  16.79723,   6.45558,  91.76819,  -3.58146,   4.87380,  54.22190,   7.14729,   4.03618,  13.72238,   0.91107,   2.34758,   4.39587,   7.86294,  -6.46152,  91.71466,  -2.83306,  -4.60150,  53.52351,   5.24842,  -5.41466,  36.38698, -31.97363,  -5.18859,  25.98459, -37.44197
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.37940, 109.62195,  -1.97741,  -0.51080, 118.54810,  -0.88481,  -0.40456, 134.47529,   2.92693,  -1.18110, 140.84691,   3.62593,   4.51782, 131.30407,   1.50488,   9.86476, 131.30334,   1.61568,  15.80241, 113.64146, -14.02666,   9.66032, 110.46352,   7.16510,  -5.41009, 131.17942,   2.30375, -10.63175, 131.02895,   3.45014, -16.95614, 109.17726,  -5.17547,  -4.93779, 104.76531,  13.07295,   6.51405,  91.91106,  -3.41891,   5.89141,  53.88930,   5.59722,   4.67835,  15.31520,  -8.20026,   2.31269,   7.82436,   0.54357,  -6.40832,  91.56269,  -2.86605,  -4.47188,  56.98706,  15.24774,  -6.44097,  44.53315, -23.75002,  -7.48214,  35.00211, -30.54994
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.11597, 109.61248,  -2.50833,  -1.51376, 118.54486,  -1.53809,  -1.48587, 134.35426,   2.73722,  -1.98738, 140.75241,   3.44525,   3.49197, 131.03749,   2.01005,   8.73420, 130.57597,   2.96296,  17.54127, 109.71350,  -5.92938,   5.54945, 111.57044,  12.76991,  -6.43568, 131.26598,   1.23108, -11.78013, 131.16705,   1.40273, -19.70905, 112.69465, -12.30122, -13.54945, 103.07726,   6.84234,   6.60778,  92.20005,  -3.15993,   4.15195,  54.15006,   5.41324,   3.86049,  18.32901, -14.50085,   1.51223,  10.83813,  -5.75238,  -6.29680,  91.27635,  -2.97708,  -4.15834,  62.74200,  23.64156,  -7.13935,  49.88551, -15.16086,  -9.90790,  40.28013, -21.34433
