time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.15393, 109.60188,  -2.30139,  -1.61350, 118.57993,  -2.03584,  -1.72703, 134.95683,  -2.04959,  -1.36895, 141.08127,  -4.06260,   3.28011, 131.60849,  -1.88905,   8.51550, 131.28171,  -0.84696,  23.40768, 112.04996,  -0.35324,  11.63633, 106.61790,  17.78080,  -6.64831, 131.53930,  -2.68831, -11.95899, 131.25220,  -2.12546, -22.16816, 110.68316, -10.16180, -17.54693,  98.03860,   7.60531,   6.57769,  92.18106,  -2.40301,   1.99774,  53.98754,   4.49710,  -0.27092,  21.39408, -20.24806,  -1.54372,  13.90322, -11.27975,  -6.25613,  91.29830,  -3.79167,  -8.33139,  57.38592,  15.52097,  -4.13357,  39.64413, -21.18611,  -7.00712,  29.68628, -26.73115
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.57855, 109.60858,  -1.87105,  -0.84970, 118.58840,  -1.45086,  -1.11351, 134.96349,  -1.50323,  -0.70596, 141.06047,  -3.58889,   3.92463, 131.66159,  -1.35123,   9.10751, 131.45072,  -0.04915,  21.45459, 111.95458,   7.65351,   5.27043, 112.03602,  22.98262,  -6.00530, 131.49946,  -2.11759, -11.34316, 131.35793,  -1.81806, -22.14490, 113.88431, -14.85227, -20.98017,  96.31402,  -1.18335,   6.53903,  91.95471,  -2.84776,   3.17796,  53.05833,  -1.08491,   0.31709,  21.10442, -26.59110,  -1.00469,  13.61347, -17.62996,  -6.37781,  91.52277,  -3.46683,  -6.81974,  59.96733,  19.58512,  -3.78009,  37.40490, -14.49567,  -7.03870,  26.46653, -17.30586
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.10464, 109.54873,  -1.13660,   0.04579, 118.51653,  -0.45678,  -0.41678, 134.88618,  -0.64856,   0.01130, 140.91174,  -2.92859,   4.65793, 131.64800,  -0.38384,   9.72787, 131.81011,   1.31070,  19.13779, 113.52008,  14.30336,   0.09220, 117.68541,  25.11220,  -5.25475, 131.35725,  -1.31731, -10.60132, 131.43062,  -1.42374, -22.01259, 117.69538, -17.94710, -22.86765,  97.63306,  -8.26811,   6.45409,  91.71503,  -3.35403,   4.07688,  52.85015,  -6.70104,   0.83107,  20.59346, -31.77640,  -0.31804,  11.87976, -23.97163,  -6.48325,  91.77913,  -3.16523,  -4.80217,  61.11180,  21.00133,  -2.88656,  32.19172,  -7.97733,  -6.22674,  20.93137,  -7.51757
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.93457, 109.41468,  -0.39603,   1.10202, 118.35470,   0.57107,   0.28222, 134.70892,   0.28239,   0.72748, 140.66119,  -2.17960,   5.40698, 131.58765,   0.83289,  10.28983, 132.13998,   2.94354,  17.50292, 116.11456,  19.76727,  -3.18923, 122.44307,  25.12456,  -4.43228, 131.06893,  -0.62895,  -9.75219, 131.41767,  -1.05255, -21.30573, 120.92958, -19.71832, -23.30548,  99.67033, -13.31863,   6.31432,  91.45693,  -3.83852,   4.93434,  53.02013, -10.76964,   2.13116,  20.01854, -34.91173,   0.92877,   9.46107, -29.88602,  -6.57475,  92.07459,  -2.88712,  -2.92071,  60.55277,  19.92422,  -1.63923,  25.51817,  -1.30636,  -4.75920,  14.92829,   2.72897
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.26371, 109.32309,  -0.01897,   1.50667, 118.24203,   1.11264,   0.52665, 134.58747,   0.82627,   1.03806, 140.44634,  -1.83858,   5.65001, 131.51902,   1.62901,  10.37619, 132.34551,   3.99167,  16.40196, 117.92122,  22.63331,  -4.40893, 125.81010,  23.89343,  -4.09583, 130.90060,  -0.33401,  -9.37851, 131.53541,  -0.87510, -20.47077, 123.03799, -20.79120, -23.43668, 101.33343, -16.66488,   6.24614,  91.38153,  -4.08703,   4.92589,  53.45350, -13.41732,   2.01935,  20.04936, -36.98675,   1.27320,   8.41365, -35.49778,  -6.59829,  92.17551,  -2.74368,  -2.01589,  58.50527,  16.56047,  -1.11752,  19.40334,   4.31158,  -3.29802,  10.59017,  11.77730
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.97808, 109.35155,  -0.05902,   1.09343, 118.27197,   1.08111,   0.00900, 134.61272,   0.93959,   0.61254, 140.39767,  -1.86385,   5.14051, 131.56993,   1.78673,   9.86659, 132.45869,   4.12687,  15.80933, 117.96552,  22.74173,  -4.45664, 127.24584,  22.45671,  -4.57161, 130.90743,  -0.32347,  -9.83212, 131.69094,  -0.88530, -20.46007, 124.08330, -21.40520, -23.98355, 102.30616, -18.20331,   6.29486,  91.48933,  -4.05227,   5.04571,  53.69029, -13.90138,   2.06238,  21.01156, -38.45750,   1.20770,   9.45261, -40.41296,  -6.56741,  92.05978,  -2.76728,  -1.76604,  56.39550,  12.47543,  -1.12088,  15.73359,   7.37687,  -2.06928,   9.15555,  17.07190
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.58359, 109.42406,  -0.34995,   0.61292, 118.35682,   0.69510,  -0.20337, 134.71370,   0.74131,   0.38767, 140.50581,  -2.05000,   4.89308, 131.57870,   1.45307,   9.73089, 132.26522,   3.62707,  16.13787, 116.08135,  20.62454,  -3.37711, 126.84479,  21.10335,  -4.86925, 131.09724,  -0.46587, -10.14280, 131.87707,  -0.89484, -20.71047, 123.92210, -21.31390, -24.27641, 102.17604, -17.95177,   6.36747,  91.60570,  -3.86078,   5.71242,  53.31335, -11.64531,   3.03872,  23.14131, -39.25514,   1.37830,  12.38136, -43.68571,  -6.53010,  91.92320,  -2.87770,  -1.11371,  55.54901,  10.34783,  -0.20511,  14.69378,   7.21284,  -0.93490,   8.90718,  17.41804
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.77003, 109.43162,  -0.44339,   0.95061, 118.36030,   0.62109,   0.48429, 134.72624,   1.01403,   1.02955, 140.56282,  -1.69269,   5.53828, 131.47432,   1.45073,  10.52219, 131.83179,   3.35727,  17.95335, 113.21065,  17.13811,  -0.77819, 124.81510,  20.51176,  -4.30354, 131.23057,  -0.06464,  -9.60608, 131.90707,  -0.23187, -20.59129, 122.47555, -19.78352, -23.44337, 100.84827, -15.19690,   6.34714,  91.50129,  -3.71027,   6.55412,  52.61334,  -7.58540,   4.27373,  26.52332, -39.11181,   2.60195,  16.30101, -44.66815,  -6.56171,  92.02551,  -3.00217,  -0.39515,  56.05943,  10.98885,   1.04653,  15.61144,   4.53248,   0.18937,   8.12052,  13.54996
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.20712, 109.47189,  -0.89730,   1.63579, 118.40049,   0.09439,   1.51257, 134.74821,   1.07048,   1.95293, 140.71885,  -1.34754,   6.51867, 131.39466,   1.10515,  11.66559, 131.38103,   2.55811,  19.99474, 110.54990,  11.96927,   2.34666, 121.44961,  20.13364,  -3.39622, 131.37724,   0.15024,  -8.72057, 131.82081,   0.38901, -20.60606, 120.32548, -17.45723, -21.66814,  99.09007, -10.76093,   6.27998,  91.28883,  -3.52704,   7.01082,  52.30191,  -0.91576,   5.47471,  31.92009, -36.44074,   4.43438,  22.10947, -42.83081,  -6.61636,  92.22675,  -3.05891,   0.07967,  56.65195,  11.66967,   1.86662,  18.25964,  -2.56551,   1.03342,  10.76874,   6.45423
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   2.01065, 109.44226,  -1.33980,   2.79368, 118.35354,  -0.41074,   2.88197, 134.65373,   1.17411,   3.22131, 140.78826,  -0.81124,   7.84871, 131.27062,   0.73299,  13.09243, 130.86705,   1.70387,  21.53093, 108.37629,   5.55591,   6.27546, 116.51846,  19.62329,  -2.10848, 131.34969,   0.47750,  -7.40582, 131.44100,   1.20713, -20.24343, 116.95929, -13.53637, -18.39722,  96.74895,  -4.31442,   6.13576,  90.94864,  -3.39957,   6.19500,  53.39355,   7.41453,   6.76376,  36.77575, -30.04649,   6.31024,  27.67864, -37.47620,  -6.69606,  92.57519,  -3.06307,  -0.01592,  56.74055,  11.02905,   2.56963,  20.99747,  -8.85939,   1.73946,  13.50661,   0.16066
