time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.60051, 109.50350,  -4.52743,   2.33672, 118.46024,  -4.87642,   3.08230, 134.76890,  -3.57731,   2.86141, 141.21399,  -3.89567,   7.90743, 131.18496,  -4.00399,  13.18470, 130.69174,  -3.29036,  17.55582, 106.85204,  -5.39814,  21.30142,  85.15839,  -1.89509,  -2.04092, 131.65339,  -4.17115,  -7.31148, 131.42259,  -3.29342, -13.66337, 108.68804,  -9.18315, -18.92424,  87.07400,  -7.74526,   6.19243,  91.15089,  -2.21021,   8.20286,  52.81101,   5.09347,  11.53608,  14.30303,  -8.53841,  11.21904,   6.81217,   0.51421,  -6.63843,  92.35587,  -3.36415,  -5.00416,  53.83293,   3.01125,  -0.89532,  14.30297,  -7.00387,  -3.60041,   6.81209,   1.64094
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.60819, 109.50279,  -4.52657,   2.35154, 118.45866,  -4.88290,   3.12050, 134.76951,  -3.62562,   2.90935, 141.21494,  -3.94353,   7.94021, 131.17832,  -4.05262,  13.21726, 130.68553,  -3.33711,  17.66955, 106.82800,  -5.03305,  21.34900,  85.25783,  -0.77810,  -2.00784, 131.65913,  -4.20198,  -7.27511, 131.43845,  -3.30220, -13.69667, 108.68972,  -9.06018, -18.94336,  87.09281,  -7.34069,   6.19131,  91.14747,  -2.21343,   8.20820,  52.80983,   5.10025,  11.53617,  14.30840,  -8.55141,  11.21696,   6.81755,   0.50115,  -6.63945,  92.35949,  -3.36117,  -5.00225,  53.83533,   3.00614,  -0.88546,  14.30848,  -7.01797,  -3.59224,   6.81765,   1.62636
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.61894, 109.50046,  -4.53891,   2.36838, 118.45527,  -4.90893,   3.14853, 134.76925,  -3.70011,   2.94505, 141.21511,  -4.01440,   7.96574, 131.17359,  -4.11756,  13.24194, 130.68077,  -3.39586,  17.74544, 106.80683,  -4.67421,  21.35661,  85.38854,   0.33895,  -1.98202, 131.66061,  -4.26611,  -7.24750, 131.45067,  -3.35332, -13.71130, 108.67796,  -8.96743, -18.95140,  87.10313,  -6.97267,   6.18881,  91.14460,  -2.20395,   8.22574,  52.80702,   5.10449,  11.54531,  14.32128,  -8.59336,  11.22146,   6.83042,   0.45903,  -6.63995,  92.36301,  -3.36721,  -5.01046,  53.84014,   3.00987,  -0.90751,  14.32129,  -7.05141,  -3.61512,   6.83037,   1.59258
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.63516, 109.49862,  -4.54043,   2.39367, 118.45232,  -4.91867,   3.18833, 134.76863,  -3.75150,   2.99126, 141.21459,  -4.06770,   8.00243, 131.16742,  -4.15675,  13.27689, 130.67785,  -3.42026,  17.80438, 106.79060,  -4.30457,  21.31845,  85.53803,   1.43087,  -1.94478, 131.66332,  -4.31257,  -7.20950, 131.46628,  -3.39258, -13.68925, 108.65779,  -8.84061, -18.92698,  87.10727,  -6.59285,   6.18559,  91.13866,  -2.19973,   8.21725,  52.80281,   5.11923,  11.52334,  14.33073,  -8.62019,  11.20315,   6.83987,   0.43233,  -6.64125,  92.36947,  -3.37101,  -5.02098,  53.84523,   3.00017,  -0.91402,  14.33072,  -7.07649,  -3.62368,   6.83984,   1.56689
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.64699, 109.49726,  -4.54160,   2.41278, 118.45000,  -4.92776,   3.22169, 134.76850,  -3.80166,   3.03001, 141.21447,  -4.12104,   8.03279, 131.16170,  -4.19260,  13.30579, 130.67807,  -3.44177,  17.83967, 106.78099,  -3.94571,  21.22525,  85.70506,   2.47758,  -1.91377, 131.66662,  -4.36015,  -7.17951, 131.48018,  -3.44381, -13.66374, 108.64360,  -8.76741, -18.86915,  87.11741,  -6.23017,   6.18328,  91.13428,  -2.19712,   8.21626,  52.80081,   5.13394,  11.50690,  14.34633,  -8.65837,  11.18549,   6.85548,   0.39411,  -6.64224,  92.37422,  -3.37329,  -5.02777,  53.84956,   2.99680,  -0.93281,  14.34623,  -7.12847,  -3.64199,   6.85534,   1.51506
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.66017, 109.49538,  -4.54641,   2.43320, 118.44714,  -4.94077,   3.25224, 134.76751,  -3.84959,   3.06576, 141.21370,  -4.16746,   8.06139, 131.15620,  -4.22253,  13.33150, 130.68107,  -3.44650,  17.86356, 106.77882,  -3.60057,  21.08497,  85.86367,   3.40617,  -1.88442, 131.66828,  -4.41171,  -7.15193, 131.49123,  -3.50369, -13.62476, 108.63375,  -8.75092, -18.76968,  87.12840,  -5.92944,   6.18032,  91.13008,  -2.18904,   8.22451,  52.79474,   5.12915,  11.49702,  14.35886,  -8.71919,  11.17429,   6.86799,   0.33323,  -6.64296,  92.37895,  -3.38002,  -5.04300,  53.85230,   2.98168,  -0.94932,  14.35876,  -7.18223,  -3.65754,   6.86797,   1.46168
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.67127, 109.49345,  -4.55383,   2.45017, 118.44438,  -4.95554,   3.27629, 134.76604,  -3.88931,   3.09178, 141.21220,  -4.20905,   8.08418, 131.15127,  -4.24463,  13.35119, 130.68488,  -3.44272,  17.86154, 106.77865,  -3.26915,  20.90543,  86.00099,   4.21007,  -1.86084, 131.66893,  -4.45877,  -7.13047, 131.50128,  -3.56132, -13.58611, 108.63225,  -8.77933, -18.67530,  87.15051,  -5.68965,   6.17772,  91.12686,  -2.18037,   8.22246,  52.78882,   5.12352,  11.47544,  14.37095,  -8.77928,  11.15184,   6.88008,   0.27311,  -6.64345,  92.38271,  -3.38664,  -5.06156,  53.85426,   2.96868,  -0.98382,  14.37094,  -7.24126,  -3.69212,   6.88011,   1.40259
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.67960, 109.49374,  -4.54187,   2.46320, 118.44439,  -4.94061,   3.29616, 134.76630,  -3.88353,   3.11617, 141.21224,  -4.21022,   8.10284, 131.14841,  -4.22299,  13.36652, 130.69251,  -3.39363,  17.83216, 106.78150,  -2.94364,  20.70691,  86.10943,   4.88687,  -1.84123, 131.67186,  -4.46506,  -7.11383, 131.50886,  -3.58436, -13.56338, 108.65931,  -8.89441, -18.55363,  87.20727,  -5.45662,   6.17550,  91.12386,  -2.17385,   8.21415,  52.78239,   5.11367,  11.45314,  14.38272,  -8.84259,  11.12988,   6.89185,   0.20981,  -6.64354,  92.38563,  -3.39648,  -5.06785,  53.85512,   2.94790,  -0.98978,  14.38279,  -7.30429,  -3.69856,   6.89192,   1.33937
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.68405, 109.49297,  -4.54488,   2.47021, 118.44332,  -4.94523,   3.30623, 134.76527,  -3.89120,   3.12763, 141.21113,  -4.22007,   8.11259, 131.14518,  -4.21125,  13.37278, 130.69814,  -3.35533,  17.77083, 106.77889,  -2.71690,  20.50475,  86.18069,   5.35498,  -1.83027, 131.67282,  -4.49084,  -7.10715, 131.51509,  -3.63514, -13.54581, 108.69708,  -9.09204, -18.44945,  87.28777,  -5.28330,   6.17370,  91.12352,  -2.16165,   8.19660,  52.77338,   5.08451,  11.41187,  14.39087,  -8.92436,  11.08976,   6.90001,   0.12809,  -6.64298,  92.38618,  -3.40784,  -5.09000,  53.85052,   2.91080,  -1.02711,  14.39087,  -7.39609,  -3.73856,   6.90002,   1.24674
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.68310, 109.49375,  -4.53795,   2.46966, 118.44423,  -4.93465,   3.30625, 134.76589,  -3.87652,   3.12678, 141.21157,  -4.20861,   8.11283, 131.14417,  -4.17398,  13.36948, 130.70652,  -3.29185,  17.68687, 106.77606,  -2.53418,  20.29456,  86.21051,   5.66178,  -1.82842, 131.67519,  -4.50036,  -7.11006, 131.52055,  -3.67395, -13.56153, 108.76685,  -9.37859, -18.37625,  87.41610,  -5.15072,   6.17358,  91.12388,  -2.15957,   8.17036,  52.76181,   5.03046,  11.37325,  14.39870,  -9.03426,  11.05111,   6.90784,   0.01818,  -6.64260,  92.38560,  -3.41186,  -5.10616,  53.84300,   2.86843,  -1.07472,  14.39871,  -7.50936,  -3.78624,   6.90786,   1.13346
   0.33333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.67460, 109.49641,  -4.52019,   2.45720, 118.44760,  -4.90879,   3.28743, 134.76918,  -3.84459,   3.11051, 141.21487,  -4.17785,   8.09566, 131.14797,  -4.12083,  13.34849, 130.71808,  -3.21255,  17.59688, 106.77645,  -2.41866,  20.08307,  86.20374,   5.79704,  -1.84408, 131.67807,  -4.49207,  -7.13191, 131.53116,  -3.70485, -13.62489, 108.89118,  -9.80142, -18.36950,  87.63422,  -5.05368,   6.17422,  91.12737,  -2.15269,   8.13911,  52.74883,   4.95778,  11.32610,  14.40478,  -9.16244,  11.00295,   6.91393,  -0.11002,  -6.64088,  92.38137,  -3.42368,  -5.13700,  53.83147,   2.81954,  -1.12376,  14.40469,  -7.63160,  -3.84121,   6.91389,   1.00940
   0.36667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.65369, 109.50023,  -4.50387,   2.42933, 118.45240,  -4.88366,   3.25879, 134.77328,  -3.80804,   3.08401, 141.21845,  -4.15211,   8.06730, 131.15134,  -4.06967,  13.31810, 130.72746,  -3.14693,  17.50541, 106.77429,  -2.37701,  19.87824,  86.15459,   5.75399,  -1.87101, 131.68343,  -4.47476,  -7.16483, 131.54126,  -3.72793, -13.78180, 109.08431, -10.34581, -18.46467,  87.95310,  -5.01161,   6.17990,  91.13243,  -2.17780,   8.09048,  52.73110,   4.82359,  11.27887,  14.41152,  -9.36256,  10.95660,   6.92065,  -0.31013,  -6.64073,  92.37524,  -3.40312,  -5.16289,  53.80728,   2.73380,  -1.16360,  14.41156,  -7.83910,  -3.89460,   6.92065,   0.79754
   0.40000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.59180, 109.51150,  -4.45307,   2.34821, 118.46618,  -4.81191,   3.19482, 134.78586,  -3.73161,   3.03976, 141.23094,  -4.08675,   7.99949, 131.15928,  -3.99918,  13.25082, 130.73873,  -3.07791,  17.37788, 106.77143,  -2.43228,  19.67076,  86.08583,   5.55296,  -1.93868, 131.70130,  -4.39433,  -7.23630, 131.55540,  -3.67567, -14.13072, 109.40459, -11.00396, -18.70257,  88.44795,  -4.93534,   6.19531,  91.14890,  -2.24041,   8.02164,  52.71471,   4.60139,  11.21190,  14.40018,  -9.59799,  10.88386,   6.90932,  -0.54575,  -6.63889,  92.35564,  -3.35467,  -5.18760,  53.76424,   2.63963,  -1.24590,  14.40015,  -8.07179,  -3.98607,   6.90935,   0.56204
   0.43333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.50545, 109.52686,  -4.37829,   2.23470, 118.48481,  -4.71063,   3.10392, 134.80435,  -3.64608,   2.96934, 141.24831,  -4.02880,   7.90331, 131.17286,  -3.94072,  13.16143, 130.75927,  -3.05576,  17.22321, 106.77657,  -2.59419,  19.47614,  86.00923,   5.18765,  -2.03656, 131.72442,  -4.27536,  -7.33528, 131.58449,  -3.56368, -14.73121, 109.89874, -11.74439, -19.03939,  89.15412,  -4.81535,   6.21787,  91.16970,  -2.35818,   8.01620,  52.70712,   4.32977,  11.14808,  14.38739,  -9.86856,  10.81613,   6.89652,  -0.81647,  -6.63739,  92.33056,  -3.25774,  -5.18569,  53.70878,   2.53751,  -1.30368,  14.38727,  -8.35063,  -4.06274,   6.89644,   0.27715
