time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.45226, 109.62795,  -2.10738,  -0.61093, 118.60640,  -1.60788,  -0.53910, 134.96149,  -0.75845,  -0.53255, 141.41580,  -0.93475,   3.93522, 131.45075,   1.23245,   8.56565, 130.93803,   3.85890,  18.24009, 108.71596,   1.74558,  25.57461,  88.17217,   6.33607,  -4.81080, 131.73660,  -3.52598,  -9.77097, 131.45782,  -5.50624, -14.46611, 109.06847, -13.78683, -20.23636,  88.48170, -20.09558,   5.34327,  91.67568,   0.61313,  -0.48344,  54.16434,   9.90191,  -4.21907,  13.59941,  14.41122,  -6.45740,   6.16898,  23.23971,  -5.21724,  91.79640,  -6.86187,  -5.61194,  53.25332,  -0.41137,   4.64040,  13.57653,  -1.07811,  -4.01196,   6.08561,   1.60266
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.40543, 109.63252,  -2.16719,  -0.53781, 118.61305,  -1.69849,  -0.41934, 134.97011,  -0.89319,  -0.40194, 141.42380,  -1.09023,   4.04661, 131.45216,   1.10377,   8.67912, 130.92558,   3.72382,  18.57988, 108.78498,   1.81342,  26.06667,  88.41252,   6.89536,  -4.70220, 131.74981,  -3.64879,  -9.66676, 131.46697,  -5.61746, -14.53312, 109.11405, -13.89762, -20.33772,  88.56775, -20.30600,   5.33314,  91.67319,   0.62651,  -0.52169,  54.20367,  10.06517,  -4.17771,  13.62247,  14.49272,  -6.41034,   6.16866,  23.30292,  -5.22017,  91.79762,  -6.85859,  -5.64660,  53.26325,  -0.35829,   4.69438,  13.60967,  -1.03728,  -3.95677,   6.11884,   1.64763
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.35490, 109.63732,  -2.23770,  -0.46027, 118.61999,  -1.80450,  -0.29837, 134.97892,  -1.04625,  -0.26051, 141.43197,  -1.26073,   4.16023, 131.45506,   0.95670,   8.79313, 130.92269,   3.57489,  18.93428, 108.87240,   1.89487,  26.64479,  88.69802,   7.41376,  -4.59216, 131.76193,  -3.78867,  -9.56319, 131.47676,  -5.74062, -14.62359, 109.14886, -13.97182, -20.50070,  88.63737, -20.42542,   5.32365,  91.67214,   0.63979,  -0.54873,  54.23528,  10.19639,  -4.13623,  13.64193,  14.56825,  -6.35887,   6.16511,  23.36147,  -5.22475,  91.79733,  -6.85222,  -5.66317,  53.26938,  -0.31471,   4.76221,  13.63795,  -0.99621,  -3.88934,   6.14700,   1.68702
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.30822, 109.64165,  -2.31021,  -0.39101, 118.62630,  -1.91463,  -0.20202, 134.98733,  -1.20982,  -0.14847, 141.43993,  -1.43417,   4.25096, 131.46267,   0.80419,   8.88371, 130.93425,   3.42345,  19.26321, 108.97591,   2.01698,  27.20557,  88.99268,   7.89104,  -4.50141, 131.76850,  -3.94129,  -9.47824, 131.48456,  -5.87857, -14.80237, 109.16357, -13.96079, -20.78378,  88.67364, -20.38702,   5.32067,  91.67346,   0.64496,  -0.55454,  54.25847,  10.28512,  -4.07109,  13.65508,  14.62124,  -6.29652,   6.16423,  23.40179,  -5.23478,  91.79481,  -6.83718,  -5.65673,  53.27329,  -0.26080,   4.82785,  13.65766,  -0.95230,  -3.82564,   6.16691,   1.72528
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.27854, 109.64366,  -2.34424,  -0.34775, 118.62944,  -1.97249,  -0.14697, 134.99273,  -1.32572,  -0.07401, 141.44472,  -1.56181,   4.30885, 131.47240,   0.68961,   8.94448, 130.95683,   3.30631,  19.55850, 109.09253,   2.22184,  27.71094,  89.28147,   8.38423,  -4.45511, 131.76699,  -4.03516,  -9.44172, 131.47831,  -5.94641, -15.07212, 109.15254, -13.80479, -21.22225,  88.67300, -20.10362,   5.33370,  91.67264,   0.62536,  -0.54844,  54.28194,  10.35514,  -4.04243,  13.67720,  14.69678,  -6.26386,   6.18633,  23.47833,  -5.25608,  91.79506,  -6.80810,  -5.64620,  53.28502,  -0.16290,   4.87487,  13.67939,  -0.87269,  -3.77794,   6.18851,   1.80672
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.23784, 109.64601,  -2.38592,  -0.29128, 118.63294,  -2.04024,  -0.08949, 134.99826,  -1.44742,  -0.00231, 141.44984,  -1.68970,   4.37698, 131.48502,   0.55665,   9.02178, 130.97639,   3.15841,  19.86108, 109.20860,   2.41404,  28.26443,  89.58898,   8.84594,  -4.41087, 131.76324,  -4.12453,  -9.41177, 131.46517,  -5.99659, -15.34381, 109.11463, -13.55702, -21.73394,  88.62667, -19.58366,   5.34916,  91.66997,   0.60084,  -0.52085,  54.30674,  10.44279,  -3.99480,  13.70075,  14.78887,  -6.21722,   6.20991,  23.57020,  -5.28288,  91.79708,  -6.77196,  -5.65522,  53.29373,  -0.08709,   4.92494,  13.70377,  -0.79296,  -3.72767,   6.21291,   1.88712
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19645, 109.64762,  -2.41290,  -0.23407, 118.63519,  -2.08240,  -0.03260, 135.00143,  -1.51532,   0.05768, 141.45299,  -1.75722,   4.44991, 131.49242,   0.46016,   9.10822, 130.99586,   3.04001,  20.11521, 109.30356,   2.62627,  28.73039,  89.85174,   9.28368,  -4.37312, 131.76124,  -4.15493,  -9.39300, 131.45916,  -5.97483, -15.64646, 109.05025, -13.09032, -22.29302,  88.52688, -18.70511,   5.36236,  91.66336,   0.57697,  -0.51126,  54.34736,  10.59443,  -3.96537,  13.73574,  14.90355,  -6.18980,   6.24487,  23.68434,  -5.30762,  91.80325,  -6.74058,  -5.67082,  53.31686,   0.04178,   4.95089,  13.73833,  -0.68043,  -3.70353,   6.24751,   1.99395
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.13712, 109.65058,  -2.47910,  -0.15445, 118.63918,  -2.17595,   0.03709, 135.00584,  -1.61762,   0.11892, 141.45808,  -1.84374,   4.53685, 131.50155,   0.32677,   9.20821, 131.02219,   2.88620,  20.38741, 109.41457,   2.75487,  29.15516,  90.10277,   9.61754,  -4.31973, 131.76074,  -4.22415,  -9.35996, 131.46107,  -5.98732, -15.91971, 108.96397, -12.52535, -22.86522,  88.37864, -17.51683,   5.37530,  91.65945,   0.55501,  -0.49775,  54.38361,  10.72120,  -3.94825,  13.77122,  15.02594,  -6.16274,   6.28038,  23.80927,  -5.33709,  91.80633,  -6.70017,  -5.68689,  53.33404,   0.16237,   4.99198,  13.77080,  -0.55541,  -3.66220,   6.28004,   2.11988
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.08033, 109.65237,  -2.52326,  -0.07770, 118.64147,  -2.23466,   0.10736, 135.00767,  -1.66103,   0.18379, 141.46050,  -1.87165,   4.62174, 131.50423,   0.25072,   9.30114, 131.03776,   2.79782,  20.68034, 109.53468,   2.90676,  29.60866,  90.36456,   9.95710,  -4.26420, 131.76249,  -4.24265,  -9.32578, 131.47045,  -5.94490, -16.18032, 108.86331, -11.76109, -23.45777,  88.20571, -15.90996,   5.38937,  91.65116,   0.52833,  -0.45996,  54.40525,  10.81715,  -3.90187,  13.79869,  15.18334,  -6.11350,   6.30782,  23.96736,  -5.36698,  91.81412,  -6.66118,  -5.66426,  53.35780,   0.29275,   5.03466,  13.79964,  -0.40618,  -3.61837,   6.30886,   2.27277
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.03335, 109.65327,  -2.54803,  -0.01159, 118.64262,  -2.26805,   0.18087, 135.00853,  -1.68873,   0.24415, 141.46229,  -1.87373,   4.70650, 131.50326,   0.19284,   9.39517, 131.04632,   2.72457,  20.97090, 109.65113,   3.08328,  30.06872,  90.60805,  10.26007,  -4.20774, 131.76544,  -4.24391,  -9.29069, 131.48798,  -5.88378, -16.39698, 108.74933, -10.81836, -23.97961,  88.01750, -13.91768,   5.40315,  91.64157,   0.50095,  -0.45047,  54.45183,  10.98858,  -3.88668,  13.84645,  15.37028,  -6.09223,   6.35560,  24.15585,  -5.39386,  91.82346,  -6.62690,  -5.69170,  53.39068,   0.45594,   5.05914,  13.84634,  -0.22804,  -3.59180,   6.35554,   2.45760
