time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.67188, 109.53743,  -4.02025,   2.27882, 118.50185,  -4.41773,   2.11405, 134.87828,  -4.45265,   1.13257, 141.23161,  -5.05366,   7.03932, 131.54251,  -5.41336,  12.37218, 131.65866,  -5.79958,  19.63628, 108.58477,  -8.38984,  27.32274,  88.46646,  -2.63768,  -2.81407, 131.44678,  -3.95773,  -7.97693, 130.91652,  -2.66694, -16.61848, 108.39865,  -5.85510, -23.94609,  87.87773,  -1.15307,   6.14111,  91.01215,  -3.68400,  20.32631,  54.77182,  -0.11310,  30.32926,  15.03907,  -1.13912,  37.81708,   7.54820,   3.95822,  -6.60701,  92.48516,  -2.03169,  -2.74978,  53.97232,   3.37352,   1.30243,  15.03897,  -8.77461,  -0.70938,   7.54815,   0.05737
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.71220, 109.53247,  -4.02921,   2.34621, 118.49470,  -4.43380,   2.24627, 134.87161,  -4.48721,   1.29542, 141.22935,  -5.09077,   7.15934, 131.51531,  -5.43880,  12.49303, 131.60413,  -5.82083,  19.66583, 108.50535,  -8.44335,  27.30139,  88.34990,  -2.75372,  -2.69592, 131.46017,  -3.99385,  -7.85716, 130.94535,  -2.69038, -16.58874, 108.43687,  -5.69430, -23.99484,  87.92225,  -1.08876,   6.13703,  90.99723,  -3.65649,  20.54131,  54.85898,   0.06857,  30.28540,  15.07024,  -1.23983,  37.77383,   7.57937,   3.85663,  -6.61415,  92.50146,  -2.05670,  -2.80678,  53.98321,   3.34536,   1.23264,  15.07038,  -8.87258,  -0.77931,   7.57944,  -0.04073
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.74098, 109.52967,  -4.02344,   2.39849, 118.49018,  -4.42850,   2.36719, 134.86731,  -4.49602,   1.44391, 141.22830,  -5.10808,   7.26742, 131.48966,  -5.43827,  12.60197, 131.55146,  -5.81345,  19.65491, 108.42720,  -8.53469,  27.20446,  88.21741,  -2.92359,  -2.58988, 131.47702,  -4.00627,  -7.75045, 130.97768,  -2.69413, -16.57039, 108.46803,  -5.41803, -24.09582,  87.96004,  -0.97942,   6.13375,  90.98699,  -3.64123,  20.67652,  54.91263,   0.16413,  30.24192,  15.08736,  -1.33704,  37.73151,   7.59656,   3.75782,  -6.61890,  92.51248,  -2.07358,  -2.86562,  53.98333,   3.28848,   1.17539,  15.08716,  -8.98185,  -0.84130,   7.59632,  -0.15100
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.76526, 109.52797,  -4.00762,   2.44249, 118.48715,  -4.40975,   2.46838, 134.86421,  -4.49434,   1.57062, 141.22757,  -5.11952,   7.35804, 131.46851,  -5.42658,  12.69310, 131.50219,  -5.79821,  19.61655, 108.35541,  -8.65708,  27.06638,  88.07246,  -3.17828,  -2.50113, 131.49173,  -4.00763,  -7.66089, 131.00885,  -2.68620, -16.56023, 108.49146,  -5.06613, -24.19243,  87.98492,  -0.80673,   6.13065,  90.97868,  -3.63269,  20.80316,  54.96357,   0.23532,  30.20886,  15.10748,  -1.44615,  37.69736,   7.61667,   3.65030,  -6.62256,  92.52126,  -2.08652,  -2.90347,  53.98442,   3.24395,   1.13686,  15.10726,  -9.08672,  -0.88096,   7.61641,  -0.25614
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.77263, 109.52704,  -4.00904,   2.46331, 118.48503,  -4.41483,   2.54813, 134.86180,  -4.51554,   1.67269, 141.22782,  -5.14531,   7.42464, 131.44759,  -5.44901,  12.75963, 131.45441,  -5.82309,  19.53976, 108.28107,  -8.80752,  26.88682,  87.91024,  -3.51927,  -2.43304, 131.50773,  -4.02087,  -7.58975, 131.04208,  -2.68146, -16.54336, 108.50598,  -4.64427, -24.28612,  88.00690,  -0.55183,   6.13030,  90.97614,  -3.62420,  20.87759,  54.99208,   0.24837,  30.20039,  15.12258,  -1.57133,  37.68908,   7.63176,   3.52482,  -6.62427,  92.52406,  -2.09462,  -2.92782,  53.97852,   3.18851,   1.10969,  15.12233,  -9.20899,  -0.90616,   7.63151,  -0.37794
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.78069, 109.52570,  -4.01556,   2.48554, 118.48240,  -4.42544,   2.63161, 134.85868,  -4.53436,   1.77651, 141.22680,  -5.17085,   7.49487, 131.42578,  -5.46844,  12.82937, 131.40744,  -5.84902,  19.46067, 108.20660,  -8.95187,  26.69849,  87.73015,  -3.92749,  -2.36184, 131.52353,  -4.03566,  -7.51320, 131.07038,  -2.67161, -16.50122, 108.50879,  -4.11578, -24.35087,  88.02742,  -0.13994,   6.12981,  90.97314,  -3.61469,  20.95404,  55.02407,   0.28902,  30.18462,  15.13944,  -1.66445,  37.67624,   7.64857,   3.42731,  -6.62603,  92.52744,  -2.10230,  -2.94921,  53.97535,   3.14666,   1.09497,  15.13959,  -9.31251,  -0.92464,   7.64871,  -0.48237
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.79527, 109.52327,  -4.02715,   2.51369, 118.47866,  -4.44207,   2.70438, 134.85447,  -4.55325,   1.86649, 141.22533,  -5.18512,   7.55694, 131.40817,  -5.49359,  12.89067, 131.36963,  -5.88332,  19.39285, 108.14367,  -9.07038,  26.52727,  87.55379,  -4.37229,  -2.29748, 131.53304,  -4.04725,  -7.44087, 131.09468,  -2.64872, -16.43316, 108.50277,  -3.44836, -24.35640,  88.03343,   0.44260,   6.12787,  90.96730,  -3.60588,  21.05630,  55.06552,   0.33581,  30.19394,  15.16639,  -1.75370,  37.68548,   7.67555,   3.33823,  -6.62815,  92.53396,  -2.10789,  -2.97155,  53.97690,   3.11863,   1.10269,  15.16636,  -9.40917,  -0.91810,   7.67551,  -0.57928
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.80918, 109.52021,  -4.04905,   2.53802, 118.47421,  -4.47542,   2.75777, 134.84955,  -4.60209,   1.92929, 141.22123,  -5.23814,   7.60271, 131.39371,  -5.54675,  12.93558, 131.33941,  -5.94629,  19.31404, 108.09021,  -9.21286,  26.33132,  87.38584,  -4.85368,  -2.24922, 131.53753,  -4.08527,  -7.38274, 131.11657,  -2.64574, -16.34275, 108.49770,  -2.62082, -24.30040,  88.02966,   1.20617,   6.12615,  90.96138,  -3.59428,  21.14300,  55.09681,   0.35028,  30.21854,  15.18940,  -1.84888,  37.70824,   7.69849,   3.24565,  -6.63031,  92.54073,  -2.11339,  -3.00259,  53.97732,   3.08630,   1.11495,  15.18941,  -9.49730,  -0.90698,   7.69863,  -0.66760
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.82623, 109.51673,  -4.07094,   2.56563, 118.46934,  -4.50821,   2.80842, 134.84426,  -4.64689,   1.97937, 141.21590,  -5.28251,   7.64643, 131.38086,  -5.59932,  12.97843, 131.31044,  -6.00781,  19.24477, 108.04261,  -9.35775,  26.15994,  87.23758,  -5.32702,  -2.20218, 131.53974,  -4.11718,  -7.32243, 131.13705,  -2.62607, -16.21538, 108.51295,  -1.64588, -24.15422,  88.05539,   2.27509,   6.12387,  90.95428,  -3.58226,  21.25036,  55.13906,   0.39165,  30.24291,  15.21963,  -1.92698,  37.73492,   7.72878,   3.16422,  -6.63277,  92.54880,  -2.11930,  -3.00984,  53.98273,   3.06399,   1.14110,  15.21956,  -9.58469,  -0.87861,   7.72872,  -0.75454
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.83555, 109.51412,  -4.09290,   2.58096, 118.46567,  -4.54144,   2.83916, 134.84023,  -4.69345,   2.00188, 141.21074,  -5.32966,   7.67065, 131.37141,  -5.65916,  13.00094, 131.28708,  -6.08691,  19.16527, 108.00360,  -9.51645,  25.97547,  87.11149,  -5.76730,  -2.17286, 131.54099,  -4.14471,  -7.27534, 131.15207,  -2.59036, -16.04902, 108.54381,  -0.64498, -23.88782,  88.13489,   3.70706,   6.12304,  90.95024,  -3.57020,  21.32501,  55.16841,   0.41645,  30.26139,  15.24267,  -2.00830,  37.75511,   7.75179,   3.08036,  -6.63455,  92.55357,  -2.12525,  -3.00891,  53.98535,   3.04012,   1.15938,  15.24269,  -9.66559,  -0.86156,   7.75188,  -0.83569
