time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.67048, 109.57487,-450.26061,   2.21735, 118.35180,-448.37552,   3.26238, 133.50031,-442.23984,   3.95574, 139.65272,-440.40779,   8.01737, 129.99028,-443.41387,  13.26637, 129.05186,-443.00229,  20.16804, 105.77948,-444.62839,  11.69503, 109.51985,-424.35197,  -1.87851, 130.93079,-444.04963,  -7.17132, 130.68757,-444.77731, -16.19175, 116.95551,-462.72048, -17.90860,  96.04314,-455.19478,   7.17837,  91.53072,-452.97075,   5.78136,  52.60848,-449.73970,   2.90737,  23.13572,-478.07519,   2.41131,  13.92998,-470.78329,  -5.71378,  92.09265,-452.02665, -10.72934,  62.52602,-426.96687,  -8.73736,  52.32470,-466.61240,  -6.29687,  47.68203,-477.13158
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.32484, 109.45950,-449.78836,   3.02129, 118.20706,-447.81801,   3.50834, 133.59984,-442.24655,   3.93612, 139.84154,-440.65051,   8.36987, 130.12216,-443.00805,  13.60821, 129.49122,-442.13411,  20.59663, 106.18795,-442.12387,   9.41720, 112.11674,-423.77216,  -1.48543, 130.87996,-444.23928,  -6.72343, 130.86812,-445.31897, -14.39865, 119.35303,-465.32869, -16.99115,  98.26127,-458.59612,   7.05790,  91.31674,-453.21063,   5.36351,  52.44535,-456.88161,   3.19964,  20.55096,-482.53056,   2.48177,   9.55259,-478.44594,  -5.77566,  92.33877,-451.91837,  -8.50664,  61.86611,-427.60186,  -8.21268,  43.11889,-464.04714,  -7.25767,  34.23537,-471.68485
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.42424, 109.41389,-449.57113,   3.06261, 118.16224,-447.58465,   3.06008, 133.70409,-442.42067,   3.22068, 140.01090,-441.04676,   8.00715, 130.29617,-442.89085,  13.22541, 130.04023,-441.74792,  20.87572, 106.99460,-440.24704,   7.28212, 113.82899,-423.95531,  -1.80141, 130.84200,-444.53748,  -6.99652, 131.06028,-445.78873, -12.70517, 121.58375,-467.45673, -15.98550, 100.39929,-461.34368,   7.04812,  91.27396,-453.15383,   6.82362,  53.26963,-462.26168,   5.48129,  18.67170,-484.19304,   2.93106,   7.19771,-484.10604,  -5.79358,  92.39427,-452.03571,  -6.75743,  60.78466,-429.07406,  -7.58546,  34.59475,-460.58922,  -7.80457,  23.57189,-464.66502
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.46540, 109.39206,-449.47097,   3.04051, 118.14611,-447.49027,   2.63057, 133.77401,-442.61006,   2.54540, 140.10655,-441.35271,   7.64613, 130.44567,-442.88360,  12.80710, 130.58172,-441.48791,  21.50325, 108.05803,-438.49776,   5.82570, 115.15407,-424.32822,  -2.12121, 130.79024,-444.80647,  -7.27052, 131.33808,-446.14325, -11.42633, 123.32236,-468.73468, -14.73550, 102.05606,-462.92906,   7.04490,  91.25221,-453.11065,   8.12670,  54.35265,-465.93969,   7.12497,  20.67646,-489.27879,   3.73610,   9.46901,-490.31423,  -5.80183,  92.42210,-452.10680,  -5.95543,  59.55469,-430.96339,  -7.43796,  27.41312,-456.35089,  -7.49822,  15.71721,-457.51948
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.15841, 109.42298,-449.48086,   2.56742, 118.19783,-447.55163,   1.89713, 133.89808,-442.93983,   1.60020, 140.24274,-441.77950,   6.95037, 130.61772,-443.05180,  12.02426, 131.04376,-441.41590,  21.98912, 109.25833,-437.17595,   4.64448, 116.17503,-425.00065,  -2.77652, 130.83000,-445.18713,  -7.85446, 131.67149,-446.63934, -11.01369, 124.61721,-469.70775, -14.00349, 103.38162,-463.62317,   7.09595,  91.38122,-453.13994,   8.90967,  54.84077,-466.88177,   5.66503,  25.34439,-495.15258,   3.55964,  14.17685,-498.15543,  -5.76734,  92.28447,-452.07476,  -6.00911,  58.02616,-433.26934,  -7.36035,  21.39243,-451.59819,  -6.62680,   9.72568,-450.36835
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.74640, 109.50098,-449.77009,   1.96868, 118.31433,-447.99171,   1.11684, 134.06519,-443.58709,   0.66437, 140.40971,-442.47733,   6.19374, 130.81966,-443.57831,  11.18899, 131.47790,-441.78489,  22.36350, 110.51403,-436.53827,   3.74662, 116.76295,-425.98943,  -3.49923, 130.93648,-445.86955,  -8.51515, 131.93487,-447.43359, -11.09034, 125.41361,-470.73030, -13.77730, 104.36591,-463.89761,   7.16299,  91.53234,-453.09598,   9.59008,  55.07090,-466.95257,   4.42555,  31.10982,-499.80067,   2.72098,  20.87275,-505.31975,  -5.71956,  92.11162,-452.03812,  -6.21040,  56.55656,-435.82300,  -6.75778,  17.04879,-446.71520,  -5.38278,   5.95110,-443.09384
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.48673, 109.54918,-450.00503,   1.56119, 118.38880,-448.34894,   0.43742, 134.17187,-444.12427,  -0.12471, 140.50797,-443.01651,   5.55976, 131.00001,-444.02673,  10.48990, 131.87253,-442.14672,  22.71054, 111.69173,-436.20771,   3.27034, 116.96168,-426.65672,  -4.10878, 130.95289,-446.42139,  -9.10022, 131.99533,-448.03423, -11.36869, 125.37930,-471.33612, -13.78612, 104.62921,-463.55791,   7.20787,  91.61583,-452.99447,  10.36686,  54.98583,-466.24575,   4.14485,  37.74202,-502.90282,   1.54556,  29.17060,-510.51452,  -5.69208,  92.01470,-452.07416,  -6.33045,  55.42811,-438.35018,  -6.10368,  14.59455,-441.86755,  -4.16745,   4.55168,-436.07485
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.28036, 109.56822,-450.09040,   1.20983, 118.41804,-448.48952,  -0.26532, 134.20765,-444.39950,  -0.91717, 140.53651,-443.29959,   4.91737, 131.13858,-444.22872,   9.81041, 132.19793,-442.34777,  22.88386, 112.70335,-435.95034,   3.00656, 116.93526,-426.79070,  -4.72493, 130.88187,-446.71416,  -9.72983, 131.84758,-448.33307, -11.97022, 124.59396,-471.44716, -14.12179, 104.26128,-462.56662,   7.24449,  91.68304,-452.88728,  11.23259,  54.74739,-465.01929,   4.34091,  45.18570,-504.27336,   0.47814,  38.70944,-513.29004,  -5.67119,  91.94219,-452.15756,  -6.19405,  54.98644,-439.45584,  -5.55695,  14.03357,-437.95271,  -3.48673,   5.38966,-430.26112
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.30224, 109.54820,-449.95325,   1.16760, 118.38871,-448.30575,  -0.66999, 134.15491,-444.27260,  -1.39733, 140.46943,-443.13813,   4.58287, 131.20788,-444.09654,   9.48931, 132.36806,-442.31246,  23.16569, 113.41588,-435.55582,   3.19061, 116.72444,-426.23030,  -5.05355, 130.71768,-446.56965, -10.10513, 131.44514,-448.16805, -12.54640, 123.03419,-470.86588, -14.46465, 103.36687,-460.54950,   7.24558,  91.66618,-452.81391,  12.02530,  54.15968,-462.70074,   4.82044,  52.68136,-503.02080,   0.35152,  48.83599,-513.18965,  -5.67838,  91.96462,-452.26915,  -5.84845,  55.24266,-438.89746,  -4.32745,  14.42335,-435.53986,  -3.05591,   6.34279,-427.09881
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.33327, 109.53584,-449.87637,   1.14436, 118.36763,-448.18787,  -1.03500, 134.07900,-444.11122,  -1.79323, 140.37278,-442.88537,   4.29051, 131.26210,-443.99900,   9.25869, 132.40418,-442.38193,  23.36614, 113.84762,-435.41669,   3.57440, 116.38666,-425.47910,  -5.35840, 130.53749,-446.36343, -10.46637, 130.88309,-447.90997, -13.31378, 120.71396,-469.82746, -14.95481, 102.03038,-457.77999,   7.24267,  91.64878,-452.77557,  12.52590,  53.46417,-459.20642,   5.28735,  59.54046,-499.08731,   1.05174,  58.57538,-510.00939,  -5.68412,  91.98547,-452.32891,  -5.90674,  55.81926,-437.52046,  -3.20198,  14.96259,-435.72610,  -2.52927,   6.20766,-427.91187
