time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   2.23311, 109.38512,  -1.10730,   3.30076, 118.08452,   0.90956,   4.66666, 132.84157,   7.87947,   4.82326, 139.20504,   8.96160,   9.16337, 130.01486,   5.03379,  14.42421, 129.41944,   4.27811,  16.63335, 110.85990, -11.29571,  20.96840,  89.39444,  -7.12956,  -0.50404, 129.78197,   7.42212,  -5.36378, 128.43609,   9.20370, -15.85914, 110.26339,  -3.10466, -17.43009,  88.17249,  -0.56781,   6.04599,  90.96015,  -4.14961,   5.25575,  56.35005,  13.98459,   5.59143,  36.23345, -21.72273,   6.84880,  25.47237, -26.28142,  -6.66828,  92.57961,  -2.37782,  -2.43882,  54.21639,   3.76299,   2.43499,  19.28860, -17.11999,   1.42382,  11.76284,  -8.14759
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.11408, 109.41564,  -0.47349,   1.75338, 118.14971,   1.57456,   3.13129, 133.38211,   7.43042,   3.24016, 139.73414,   8.58330,   7.60832, 130.37125,   4.74725,  12.84639, 130.13962,   3.69316,  16.24528, 116.69375, -16.29525,  22.53688,  95.30880, -16.17181,  -2.03042, 130.27832,   7.25787,  -6.72130, 129.28597,   9.62710, -16.21244, 107.70787,   3.61050, -12.44477,  88.61069,  14.47389,   6.28713,  91.37470,  -3.79574,   3.58009,  58.40043,  17.00574,   3.85859,  31.77625, -14.15319,   5.69802,  20.19727, -14.99414,  -6.59758,  92.15655,  -2.90831,  -2.99283,  53.24211,  -2.98630,   1.03151,  18.52460, -24.39430,   0.25427,  10.10261, -16.23160
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.14945, 109.21082,   0.72910,   0.02994, 117.87418,   3.13766,   1.46942, 133.33431,   8.34613,   1.60982, 139.69330,   9.45641,   5.86689, 130.26785,   5.59519,  10.94080, 130.75032,   3.97510,  14.80042, 122.69794, -18.65549,  23.04647, 101.98861, -18.85919,  -3.65817, 130.17388,   8.50752,  -8.06158, 129.63760,  11.49496, -16.92060, 107.00717,  10.36489,  -6.34705,  96.20851,  26.75085,   6.48696,  91.80704,  -3.31317,   1.95607,  59.45116,  18.13212,   1.65610,  25.63267,  -5.02005,   4.22193,  14.56699,  -1.99833,  -6.44531,  91.78128,  -3.72600,  -3.56729,  53.18596,  -9.15299,  -0.47376,  18.11944, -30.14280,  -1.21071,   8.34092, -23.66198
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.93406, 108.92571,   1.65741,  -1.01824, 117.50496,   4.35493,   0.44872, 133.13390,   9.02398,   0.56126, 139.51009,  10.03430,   4.73307, 130.05687,   6.11112,   9.60902, 131.13513,   4.19682,  12.46377, 128.40153, -19.80856,  22.93743, 108.72980, -20.29933,  -4.60493, 129.89905,   9.57434,  -8.67946, 129.85665,  13.03829, -17.10120, 107.29420,  16.48866,  -1.52517, 107.25557,  32.43534,   6.56380,  92.03275,  -2.99912,   1.27660,  58.64301,  16.60964,   0.39427,  19.53983,   4.36359,   2.78904,  10.21526,  11.10756,  -6.30351,  91.63503,  -4.29874,  -4.25658,  53.78450, -13.81093,  -1.24722,  18.38145, -34.24059,  -2.28838,   7.21963, -30.70601
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.89840, 108.91488,   1.69913,  -0.95972, 117.50693,   4.35619,   0.49158, 133.23529,   8.68384,   0.47579, 139.62386,   9.61933,   4.70672, 130.15017,   5.67997,   9.56371, 131.60602,   3.97932,  10.43845, 132.54065, -20.31558,  22.81171, 114.04858, -21.67987,  -4.50298, 129.95756,   9.46962,  -8.41526, 130.28244,  13.10157, -15.70865, 108.34732,  20.68789,   1.42428, 118.10690,  31.08618,   6.55097,  91.99041,  -2.92069,   2.05352,  56.48017,  12.76778,   0.63409,  15.52805,  11.92432,   1.64755,   8.55577,  21.33303,  -6.30062,  91.68038,  -4.38879,  -4.39330,  54.52896, -16.36662,  -1.28383,  19.93442, -38.12327,  -2.64976,   8.26511, -37.76965
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.47744, 109.07467,   1.22427,  -0.42832, 117.72099,   3.69932,   0.84936, 133.43157,   8.14469,   0.64629, 139.81607,   9.08600,   5.10723, 130.40972,   5.13677,  10.02732, 131.96661,   3.73288,  10.20051, 133.82677, -20.52388,  23.13385, 115.70599, -21.65588,  -4.11574, 130.09921,   8.88612,  -8.11620, 130.58340,  12.40242, -13.15018, 108.71134,  21.79218,   1.72097, 124.83599,  25.76150,   6.51006,  91.85538,  -3.01177,   2.90907,  55.23869,  10.16333,   1.05662,  14.61410,  15.26378,   1.24649,   9.58675,  25.88702,  -6.37701,  91.77089,  -4.16539,  -3.80715,  54.54974, -15.79793,  -1.17049,  23.17020, -42.03103,  -2.50855,  11.72728, -44.36184
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.26222, 109.25468,   0.53790,  -0.18518, 117.96171,   2.78933,   0.92502, 133.59499,   7.54159,   0.56255, 139.98248,   8.41206,   5.31612, 130.60278,   4.70021,  10.40105, 131.94335,   3.72633,  11.14733, 132.12548, -20.59014,  23.37032, 113.49178, -20.04300,  -4.08215, 130.27242,   7.98358,  -8.31823, 130.54772,  11.23662, -11.96709, 107.35025,  17.59731,   0.65600, 125.49530,  20.48271,   6.49882,  91.82904,  -3.19154,   3.46631,  55.13370,   9.90762,   1.78059,  14.32665,  13.33488,   1.54833,   9.17644,  23.89826,  -6.42575,  91.74706,  -3.79435,  -3.14934,  53.76716, -12.40400,  -1.58466,  27.72233, -44.01131,  -2.78294,  17.07732, -48.84985
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.91311, 109.31427,   0.14978,  -1.10472, 118.03440,   2.34289,  -0.08626, 133.51948,   7.57653,  -0.45794, 139.92190,   8.32495,   4.45531, 130.51451,   4.99722,   9.71089, 131.36887,   4.49621,  12.31991, 128.24362, -19.48934,  22.38843, 108.69978, -15.80442,  -5.16982, 130.28480,   7.55086,  -9.73176, 130.03995,  10.33139, -14.36376, 106.16162,   9.81667,  -0.24628, 120.84444,  18.87329,   6.58506,  92.16670,  -3.45737,   3.93030,  56.37970,  12.02085,   0.82320,  15.69867,   8.12179,   1.44154,   8.20780,  17.15883,  -6.33061,  91.39280,  -3.42036,  -3.39577,  52.48530,  -5.64018,  -2.74581,  33.08712, -41.73853,  -4.15542,  23.39949, -48.24441
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.71317, 109.35922,  -0.46341,  -2.25702, 118.09786,   1.59269,  -1.53172, 133.40336,   7.37470,  -1.72881, 139.80145,   8.22015,   3.19828, 130.39335,   5.16664,   8.54478, 130.50854,   5.22779,  13.97822, 122.57494, -17.11984,  20.55780, 102.61613,  -9.68544,  -6.63556, 130.26287,   6.74645, -11.53962, 129.52528,   8.74860, -17.38412, 107.36680,   0.57921,  -4.25670, 110.47050,  18.32601,   6.66456,  92.50985,  -3.49418,   4.31882,  56.76122,  12.12200,  -0.04038,  17.93095,  -0.24774,   0.51057,  10.44009,   8.79366,  -6.18715,  91.03712,  -3.21268,  -3.81713,  52.46213,   2.59134,  -3.93523,  37.07142, -35.39438,  -6.07340,  28.14650, -42.73860
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.94400, 109.39298,  -0.86767,  -2.63221, 118.14583,   1.08196,  -2.32175, 133.33864,   7.18918,  -2.49334, 139.73376,   8.06224,   2.57724, 130.28858,   5.45551,   7.86497, 129.69255,   5.99092,  15.83091, 114.83023, -11.54579,  17.40148,  95.72523,  -0.16827,  -7.37126, 130.29341,   5.95003, -12.53372, 129.54833,   7.13171, -16.88093, 108.90909,  -4.99344, -11.89637,  93.30700,  10.12740,   6.68677,  92.59115,  -3.41355,   4.53121,  55.59670,   9.00002,  -0.54264,  18.97754,  -8.69451,   0.00204,  11.48668,   0.34727,  -6.14504,  90.94642,  -3.18065,  -3.47023,  54.23356,   9.94740,  -4.13281,  37.88685, -27.63117,  -7.37755,  28.65834, -34.14806
