time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.10585, 109.65373,-451.52704,   2.83308, 118.43313,-449.71584,   4.14060, 132.58952,-441.58547,   4.74319, 138.01923,-438.14391,   8.83444, 129.19400,-443.24284,  14.02672, 127.93760,-443.49538,  22.39002, 106.06254,-450.08460,  26.07540,  92.78486,-432.56214,  -1.04528, 130.37388,-443.70776,  -6.29627, 129.38867,-443.95060, -14.45615, 111.32232,-458.05445, -21.58784,  90.53032,-461.76155,   7.09851,  91.26177,-451.81384,  15.25193,  56.39644,-436.15295,   5.14898,  24.60375,-459.96383,   9.45625,  16.66511,-452.44127,  -5.75524,  92.33963,-452.83066, -28.71495,  73.59232,-427.36059, -13.51099,  50.53645,-457.64375, -13.57488,  40.49965,-463.76110
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.26941, 109.64622,-451.69206,   3.00891, 118.42835,-449.89918,   3.81004, 132.50605,-441.56897,   4.16989, 137.90863,-438.05160,   8.61798, 129.25471,-443.18794,  13.86877, 128.24173,-443.11605,  24.35397, 106.54371,-439.77879,  24.62603, 103.04092,-417.76580,  -1.27981, 130.18540,-443.80828,  -6.50836, 129.35052,-444.56172, -13.31839, 115.81808,-463.59832, -20.12954,  96.42851,-472.23335,   7.09180,  91.21710,-452.31306,  15.65530,  54.77636,-441.08494,   5.37247,  25.53111,-467.89505,   9.73775,  17.52346,-460.47984,  -5.79411,  92.38638,-452.28545, -26.93374,  79.08158,-422.22830, -13.67381,  50.31945,-448.24209, -14.26630,  38.98840,-451.31127
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.39683, 109.62524,-451.47529,   3.14651, 118.39270,-449.61608,   3.39950, 132.56927,-441.41993,   3.42628, 137.90622,-437.78600,   8.29961, 129.28644,-442.65300,  13.54946, 128.62963,-441.87214,  25.14863, 109.98331,-431.40052,  21.23578, 115.97670,-410.28929,  -1.52570, 130.23402,-443.98811,  -6.63416, 129.73054,-445.48900, -11.86011, 120.76967,-467.49553, -18.06556, 102.25009,-478.23930,   7.05374,  91.19113,-452.80572,  15.35994,  53.35731,-447.61518,   6.00050,  25.35484,-476.04167,  10.22160,  17.01159,-468.91875,  -5.79156,  92.41821,-451.85319, -24.02447,  81.64609,-419.00724, -14.14779,  47.32893,-439.12159, -14.88742,  35.61684,-438.45565
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.47098, 109.58314,-450.94368,   3.11630, 118.32318,-448.92318,   2.47889, 132.67230,-441.05473,   2.14325, 137.94721,-437.34638,   7.49945, 129.41252,-441.74494,  12.66108, 129.15950,-440.36814,  24.98503, 114.68098,-425.19008,  17.08646, 126.46738,-407.99680,  -2.16168, 130.23461,-444.02615,  -7.08146, 130.09029,-446.11837, -10.00323, 124.89762,-469.70640, -15.89251, 106.76050,-481.25075,   7.02919,  91.19586,-453.04218,  14.13913,  52.77960,-454.02825,   7.07459,  25.18067,-483.49338,  10.65628,  15.71358,-477.51766,  -5.78767,  92.42521,-451.76488, -21.46879,  81.44021,-417.69486, -15.33654,  42.92040,-430.28145, -15.96066,  31.90416,-426.22972
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.38777, 109.53916,-450.41518,   2.84998, 118.26235,-448.27523,   1.44482, 132.82726,-440.91963,   0.78580, 138.00383,-437.11725,   6.54885, 129.63298,-441.15205,  11.61792, 129.93885,-439.47486,  24.46525, 118.66617,-422.16147,  13.35446, 132.07162,-408.24171,  -2.93648, 130.22448,-444.13463,  -7.73486, 130.43341,-446.48716,  -7.56968, 127.65383,-470.65619, -13.45891, 109.53934,-482.23605,   7.05578,  91.23981,-452.98747,  13.74468,  53.08757,-458.18342,   8.69754,  25.68698,-488.24231,  11.09616,  14.51020,-485.50555,  -5.79108,  92.39352,-451.96686, -20.07778,  78.49151,-418.35201, -17.00921,  37.80335,-422.20698, -17.60339,  27.88442,-415.92802
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.85899, 109.58962,-450.47777,   1.99688, 118.35272,-448.45882,  -0.04238, 133.10311,-441.64094,  -0.98334, 138.15335,-437.72956,   5.13951, 130.02887,-441.56651,  10.14786, 130.71977,-439.82259,  23.24403, 120.75559,-421.90371,  10.28402, 134.07777,-409.59627,  -4.22828, 130.29410,-444.94158,  -9.00139, 130.70774,-447.31832,  -5.76776, 129.06699,-471.37547, -11.77290, 110.47063,-482.10043,   7.15062,  91.43977,-452.89743,  14.60013,  53.82928,-460.46634,  11.48190,  26.25033,-490.62395,  12.01130,  14.65315,-492.46475,  -5.73857,  92.17949,-452.03946, -19.53139,  73.57780,-420.55821, -18.42583,  32.80532,-416.53508, -19.30822,  24.03778,-408.75593
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.90256, 109.68594,-451.19631,   0.62331, 118.52014,-449.53315,  -1.72665, 133.38057,-443.06312,  -2.95754, 138.38682,-439.17575,   3.54362, 130.46006,-443.00455,   8.56048, 131.34389,-441.37605,  22.00505, 120.05535,-424.53285,   8.25263, 131.92715,-411.61593,  -5.88606, 130.36582,-446.21227, -10.72960, 130.71168,-448.45345,  -5.45059, 128.80371,-472.12595, -11.56564, 109.46837,-481.38131,   7.28910,  91.80640,-452.87186,  15.53222,  54.38346,-460.54692,  14.06798,  28.94565,-492.64953,  13.59344,  18.27867,-497.56418,  -5.61052,  91.78602,-451.86480, -18.66225,  68.48264,-423.33518, -18.62577,  28.44642,-414.56578, -20.00950,  20.64491,-405.88331
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.28049, 109.69677,-451.59233,  -0.27330, 118.55206,-450.12118,  -2.77000, 133.44609,-443.78476,  -4.08633, 138.58150,-440.09911,   2.58984, 130.69826,-443.95802,   7.64864, 131.70829,-442.54718,  21.80329, 116.87683,-429.44929,   9.03195, 125.60702,-413.39962,  -6.98739, 130.24143,-446.65711, -11.93113, 130.23766,-448.69718,  -6.55843, 126.32623,-472.10082, -12.40205, 105.76569,-478.42755,   7.36163,  92.05125,-452.92143,  17.50960,  54.71160,-458.40795,  15.25799,  33.37777,-493.33073,  14.94749,  23.77356,-500.10025,  -5.50970,  91.53815,-451.70487, -17.55863,  64.04592,-426.67819, -17.34534,  24.32717,-416.56987, -19.00057,  16.50832,-407.95074
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.03973, 109.68162,-451.58417,  -0.75594, 118.53178,-450.15278,  -3.32893, 133.47943,-443.97512,  -4.62987, 138.74682,-440.47493,   2.09149, 130.88226,-444.40211,   7.21267, 131.87541,-443.22345,  21.64308, 113.60894,-436.15379,  12.08489, 116.26470,-416.19123,  -7.60585, 130.09594,-446.53765, -12.63911, 129.56265,-448.26519,  -9.05029, 122.11394,-471.14602, -14.50267, 100.52574,-472.21006,   7.39949,  92.18490,-452.92432,  20.52051,  55.38588,-453.92619,  15.31507,  39.07160,-491.16261,  15.69218,  30.46540,-499.15977,  -5.45833,  91.40872,-451.70425, -16.83661,  61.42654,-429.36734, -14.15239,  21.29696,-421.47970, -16.36345,  11.93490,-414.72495
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.28830, 109.67071,-451.72452,  -1.12259, 118.52517,-450.38677,  -3.68854, 133.53629,-444.36196,  -4.85968, 138.96373,-441.06643,   1.75813, 131.05271,-445.05061,   6.97613, 131.91266,-444.25373,  21.09012, 112.11255,-443.45911,  16.85422, 105.49170,-422.59918,  -8.02438, 130.00563,-446.60729, -13.08734, 128.86684,-447.90040, -12.58686, 117.01671,-469.14232, -17.36501,  96.15688,-462.90154,   7.43152,  92.28158,-452.86282,  23.92488,  57.28881,-447.31233,  15.11150,  45.45215,-485.54871,  15.50645,  38.14307,-494.74571,  -5.42109,  91.31509,-451.72664, -16.52301,  60.57248,-430.30298,  -7.46466,  20.60271,-430.71226, -13.19225,  12.79726,-424.04643
