time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.71948, 109.55142,  -2.33476,   2.44471, 118.46201,  -1.35368,   2.84646, 134.34920,   2.60256,   3.56321, 140.73735,   1.99674,   7.74274, 131.00553,   1.52788,  13.06118, 130.70830,   2.00528,  17.58448, 107.95766,  -5.33151,   7.34262, 109.07520,  14.43641,  -2.21502, 131.24672,   1.57176,  -7.49259, 130.93118,   2.37810, -16.19147, 111.06575,  -8.64868,  -9.25709,  99.14533,   8.86500,   6.18949,  91.03441,  -2.97720,   5.76619,  55.53564,  13.36264,   6.55732,  34.49009, -21.79788,   8.47230,  24.01810, -26.78123,  -6.66865,  92.45900,  -3.20818,  -3.08935,  55.35727,   8.53847,   2.11250,  21.04569, -13.26656,   1.14127,  13.55488,  -4.26057
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.17394, 109.59893,  -2.26935,   1.68082, 118.53034,  -1.34197,   2.07853, 134.51385,   2.20562,   2.66053, 140.91847,   1.63004,   6.96103, 131.19148,   1.00910,  12.30734, 131.07382,   1.08101,  17.47195, 110.57303, -10.95747,  11.21016, 106.60891,  10.06611,  -2.98831, 131.33857,   1.46315,  -8.18405, 131.06124,   2.70005, -16.58384, 108.82487,  -2.48480,  -5.28011, 103.01944,  15.83005,   6.28334,  91.24706,  -2.88280,   4.41353,  57.01549,  15.87983,   6.18463,  33.48243, -17.62930,   8.21580,  22.36241, -20.85158,  -6.61048,  92.23311,  -3.32081,  -3.51710,  53.96848,   3.99925,   1.66961,  20.19939, -18.64030,   0.71595,  12.70849,  -9.63250
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.28305, 109.60831,  -1.75998,   0.47397, 118.54390,  -0.75704,   1.00927, 134.65721,   2.12235,   1.50982, 141.05959,   1.45287,   5.82710, 131.30020,   0.77049,  11.14963, 131.45268,   0.27095,  16.39934, 113.57379, -15.37087,  14.95289, 106.65361,   5.76996,  -4.07830, 131.44391,   1.80947,  -9.15503, 131.39513,   3.49081, -16.65214, 108.25019,   3.47530,  -2.53066, 109.37996,  20.68630,   6.42014,  91.59633,  -2.84536,   3.15614,  57.72097,  16.36762,   5.17415,  29.90103, -13.66206,   7.19370,  18.33252, -14.16676,  -6.49902,  91.88122,  -3.50019,  -3.05189,  52.97264,  -2.24586,   1.07939,  18.28691, -23.68499,   0.06995,  10.32453, -15.09749
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.63287, 109.52113,  -1.01399,  -0.74607, 118.43398,   0.18412,  -0.02781, 134.63276,   2.48620,   0.42217, 141.02793,   1.71896,   4.68824, 131.22633,   0.91659,   9.90861, 131.66385,  -0.15972,  14.60500, 116.38235, -18.49822,  18.18356, 107.97205,   1.83343,  -5.12194, 131.41792,   2.63146, -10.06105, 131.63074,   4.67166, -16.34895, 108.49104,   8.78409,  -1.17466, 116.20080,  23.17894,   6.54077,  91.95962,  -2.85934,   2.34862,  57.64279,  15.36463,   3.85244,  24.72422,  -9.00563,   5.80235,  13.32260,  -6.91653,  -6.36441,  91.54223,  -3.69409,  -3.08671,  52.71420,  -6.68987,   0.31189,  16.96921, -26.45216,  -0.88576,   7.23941, -19.96678
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.00025, 109.40010,  -0.33444,  -1.23508, 118.28594,   1.03446,  -0.52845, 134.55366,   2.78886,  -0.12126, 140.93531,   1.89556,   4.13029, 131.12812,   1.09464,   9.22940, 131.86275,  -0.34115,  12.70289, 118.87543, -20.61787,  20.51163, 109.57676,  -1.92365,  -5.58431, 131.31389,   3.28763, -10.41843, 131.69725,   5.54302, -15.27694, 109.00040,  12.83297,  -0.55837, 121.85338,  23.56029,   6.58388,  92.10584,  -2.91571,   2.33468,  56.68946,  13.05166,   2.71020,  19.45044,  -4.06316,   4.46514,   8.78489,   0.55527,  -6.30514,  91.42974,  -3.82709,  -3.51063,  52.87235,  -9.55882,   0.19975,  16.40002, -27.88381,  -1.58271,   5.33976, -24.32616
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.65808, 109.38438,  -0.14361,  -0.77793, 118.27368,   1.21765,  -0.22639, 134.58580,   2.56917,   0.12971, 140.94896,   1.53348,   4.42872, 131.17549,   0.83473,   9.44336, 132.19425,  -0.72011,  11.44662, 120.98727, -22.22060,  22.35296, 111.33309,  -5.34565,  -5.22738, 131.29998,   3.27635,  -9.99625, 131.79056,   5.64694, -13.38049, 109.40420,  14.55161,   0.00442, 125.41148,  22.39523,   6.54455,  91.96729,  -2.97921,   2.92297,  55.22039,   9.82242,   2.39074,  15.42970,   0.01321,   3.07588,   5.85667,   6.79931,  -6.36116,  91.57267,  -3.81676,  -3.78008,  53.26585, -11.11468,   0.30055,  16.61933, -29.00838,  -1.68603,   5.04702, -28.46196
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.08876, 109.44396,  -0.40420,   0.22305, 118.35568,   0.80015,   0.61295, 134.68877,   1.93770,   0.87316, 141.05162,   0.87204,   5.28514, 131.30639,   0.19452,  10.25553, 132.56296,  -1.32807,  11.24435, 122.49067, -23.45164,  23.64891, 112.63732,  -7.76871,  -4.34400, 131.35907,   2.74287,  -9.07538, 131.86573,   5.18415, -11.44274, 109.31459,  14.00101,   0.83185, 126.62557,  20.82563,   6.45059,  91.67835,  -3.08439,   3.90847,  53.89521,   6.57501,   2.66774,  13.07957,   3.06108,   2.10219,   4.70522,  11.28993,  -6.47533,  91.84500,  -3.63896,  -3.76967,  53.59017, -11.16099,   0.53498,  17.66741, -30.41789,  -1.17591,   6.18375, -32.25147
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.80541, 109.48440,  -0.79985,   1.17752, 118.41333,   0.21156,   1.40925, 134.75865,   1.20790,   1.57120, 141.12646,   0.15245,   6.10208, 131.40914,  -0.54332,  11.06570, 132.75688,  -2.00897,  11.88420, 122.90463, -24.23832,  23.88484, 112.82049,  -8.38871,  -3.50698, 131.38576,   2.08014,  -8.21880, 131.76085,   4.58226, -10.53504, 108.53606,  11.44808,   1.77023, 125.25738,  19.56526,   6.34776,  91.41246,  -3.24131,   4.62610,  53.17966,   4.67202,   3.21440,  12.21862,   4.73141,   1.92950,   4.94731,  13.87694,  -6.57220,  92.09962,  -3.37180,  -3.67376,  53.65682,  -9.78146,   0.43574,  19.17085, -31.54457,  -0.80131,   8.12124, -35.35761
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.90853, 109.52120,  -1.12452,   1.30378, 118.46131,  -0.22710,   1.49476, 134.80328,   0.83092,   1.56609, 141.17131,  -0.23320,   6.19285, 131.47276,  -0.94225,  11.21147, 132.71377,  -2.31172,  12.44698, 122.19877, -24.21581,  22.86761, 112.15965,  -7.25875,  -3.41091, 131.41423,   1.70001,  -8.16092, 131.57491,   4.15237, -11.12637, 107.71019,   7.83700,   1.93083, 121.92790,  18.98497,   6.33126,  91.39226,  -3.40679,   4.86533,  53.14091,   4.46836,   3.32313,  12.18454,   4.47904,   2.12272,   5.47952,  14.05846,  -6.58444,  92.10958,  -3.11584,  -3.52022,  53.41594,  -7.67070,  -0.46021,  20.98058, -32.53809,  -1.57072,  10.37373, -37.48026
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.40359, 109.57720,  -1.44117,   0.60301, 118.52948,  -0.60212,   0.83457, 134.84934,   0.74864,   0.82599, 141.21446,  -0.33502,   5.56019, 131.52959,  -0.97075,  10.70874, 132.47195,  -2.06913,  12.74413, 120.70925, -23.26765,  20.61019, 110.68536,  -4.97661,  -4.10408, 131.46742,   1.44071,  -8.99369, 131.36327,   3.60482, -12.71556, 107.32395,   3.99743,   0.99129, 117.08664,  18.61671,   6.40401,  91.60816,  -3.53444,   4.73952,  53.69316,   5.79374,   2.52905,  12.89041,   2.62314,   2.30160,   5.59757,  11.83869,  -6.51648,  91.87807,  -2.89996,  -3.59335,  52.92617,  -4.14024,  -2.10049,  23.70569, -32.84108,  -3.71538,  13.17033, -37.79708
   0.33333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.78801, 109.59061,  -1.75435,  -1.06505, 118.54154,  -0.92291,  -0.91283, 134.80662,   0.98494,  -1.02152, 141.17770,  -0.05757,   3.89914, 131.53996,  -0.59062,   9.18440, 132.04371,  -1.23426,  12.46678, 118.38462, -21.09719,  16.72260, 108.39302,  -1.63000,  -5.87989, 131.41012,   1.29907, -10.94479, 130.99687,   2.96596, -15.35300, 107.22021,   0.29510,  -2.00677, 110.99816,  17.74549,   6.55551,  92.09905,  -3.59585,   4.69784,  55.23442,   9.24473,   1.06294,  15.94541,  -1.84422,   1.15643,   8.45453,   7.21346,  -6.33593,  91.38344,  -2.75127,  -4.34264,  52.56430,   1.30278,  -4.50184,  27.24146, -30.92348,  -7.25039,  17.05113, -36.09709
   0.36667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.34076, 109.57204,  -2.02191,  -1.87553, 118.51260,  -1.20486,  -1.99088, 134.71123,   1.20492,  -2.12030, 141.11340,   0.37750,   2.96020, 131.51182,  -0.04373,   8.30804, 131.53652,  -0.08986,  13.52644, 114.76996, -16.92825,  12.68635, 105.53728,   3.34407,  -6.94528, 131.28922,   0.98048, -12.07684, 130.55222,   2.29439, -16.95189, 107.61068,  -4.17207,  -5.94058, 104.80398,  15.00564,   6.61389,  92.32323,  -3.59527,   4.89399,  55.90000,  10.46612,   0.36451,  18.82322,  -6.40396,   0.51649,  11.33237,   2.65295,  -6.24026,  91.16444,  -2.67729,  -4.36326,  53.49399,   7.55735,  -6.14788,  30.30351, -26.18906, -10.07566,  20.57098, -31.48190
   0.40000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.33555, 109.58081,  -2.16571,  -1.87630, 118.51816,  -1.31806,  -2.06833, 134.63629,   1.57761,  -2.18388, 141.03587,   0.72836,   2.92145, 131.46939,   0.40228,   8.25923, 131.27584,   0.67188,  15.28733, 110.68989, -10.22332,   8.13701, 105.54590,  10.25417,  -7.01335, 131.22957,   1.08003, -12.22147, 130.52919,   2.07371, -17.86660, 109.57474,  -8.92352, -10.06927, 101.01171,  10.12346,   6.59955,  92.32275,  -3.73635,   6.28726,  55.14784,   8.31606,   0.36808,  19.82550, -11.61127,   0.52696,  12.33464,  -2.55449,  -6.22738,  91.16247,  -2.49613,  -3.59429,  54.92934,  11.91085,  -6.07986,  31.34866, -21.51932, -11.06920,  21.31192, -25.05966
   0.43333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.77772, 109.62066,  -2.20910,  -1.11730, 118.57470,  -1.43653,  -1.39347, 134.74512,   1.14363,  -1.46152, 141.15801,   0.39563,   3.62499, 131.56467,   0.13946,   8.93406, 131.47419,   0.77799,  16.06081, 108.44697,  -2.51405,   4.00831, 110.46705,  16.12923,  -6.32201, 131.32113,   0.60303, -11.61243, 130.87787,   1.24916, -18.64708, 112.94494, -13.61083, -13.39568, 101.59495,   4.84213,   6.52477,  92.09259,  -3.85652,   7.10644,  53.69555,   3.40026,   0.78387,  18.89742, -17.31009,   0.95129,  11.40656,  -8.25345,  -6.30804,  91.38152,  -2.36388,  -2.72471,  56.30570,  14.49377,  -5.32259,  29.71272, -16.58464, -10.18688,  19.06842, -17.68059
