time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.56910, 109.56624,  -2.31187,  -2.23691, 118.53380,  -2.15685,  -2.63459, 134.89509,  -2.76186,  -2.46564, 141.10469,  -4.52299,   2.42644, 131.62715,  -2.88479,   7.71751, 131.27401,  -2.19054,  20.02601, 110.30653,  -3.05436,  11.81509,  99.97930,  14.91351,  -7.53141, 131.38581,  -2.87408, -12.81961, 130.96681,  -2.19451, -22.40598, 110.01294, -10.00044, -21.99049,  91.57534,   2.52127,   6.65049,  92.37704,  -2.80463,   2.66393,  54.71896,   6.85501,  -1.98507,  20.33644, -14.96316,  -2.71780,  12.84558,  -5.93467,  -6.21324,  91.11224,  -3.38713,  -6.45505,  55.85364,  13.46833,  -7.40428,  31.35611, -19.37636, -11.37595,  20.38179, -20.77405
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.11375, 109.59389,  -2.08926,  -1.61692, 118.57145,  -1.89585,  -2.03961, 134.92182,  -2.73410,  -1.82952, 141.11007,  -4.56456,   3.03114, 131.66716,  -2.67720,   8.26587, 131.42196,  -1.60975,  19.32375, 110.06434,   2.05853,   7.44114, 103.86305,  19.87041,  -6.92279, 131.39720,  -2.92933, -12.24564, 131.06734,  -2.52805, -22.63796, 111.93986, -13.39242, -23.96390,  91.88347,  -3.75426,   6.60769,  92.19233,  -3.00496,   4.18059,  53.41169,   1.17873,  -1.16922,  18.85617, -20.20113,  -1.97045,  11.36530, -11.17846,  -6.29733,  91.28924,  -3.24883,  -5.00688,  56.79625,  15.07881,  -6.60450,  27.51426, -13.55361, -10.67830,  16.60440, -11.95910
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.44969, 109.58669,  -1.55313,  -0.73312, 118.56925,  -1.20619,  -1.25585, 134.89973,  -2.32780,  -0.98651, 141.05079,  -4.27232,   3.83468, 131.69256,  -1.99756,   8.98596, 131.64906,  -0.56071,  19.00220, 110.78845,   6.94865,   4.11694, 108.52441,  23.38697,  -6.09616, 131.32826,  -2.67783, -11.43983, 131.11169,  -2.64944, -22.71992, 114.06462, -15.84233, -25.16587,  93.15328,  -8.51812,   6.52625,  91.94453,  -3.38718,   4.98774,  52.90058,  -4.11905,  -0.24843,  17.57184, -24.22540,  -0.96616,   9.10316, -16.10567,  -6.40094,  91.53906,  -3.01601,  -3.63305,  56.89076,  14.84927,  -5.02886,  22.27652,  -7.05298,  -9.07926,  12.14852,  -2.67331
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.09944, 109.53507,  -1.02518,   0.00804, 118.51472,  -0.53048,  -0.46276, 134.82032,  -1.98713,  -0.08286, 140.92846,  -4.04517,   4.60618, 131.62591,  -1.34668,   9.64700, 131.85371,   0.42541,  19.06663, 111.93803,  10.74612,   2.22284, 112.82367,  25.32069,  -5.27926, 131.23722,  -2.50599, -10.62181, 131.21604,  -2.74938, -22.40240, 115.89396, -17.52595, -25.82334,  94.50353, -12.26690,   6.43398,  91.77467,  -3.80275,   5.50024,  52.91140,  -7.81612,   1.16134,  16.72734, -26.56953,   0.17429,   6.60126, -20.68295,  -6.46170,  91.72330,  -2.74756,  -3.02925,  55.89534,  12.48101,  -3.41855,  17.08643,  -0.69169,  -6.97528,   8.24631,   6.19057
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.06314, 109.50818,  -0.82178,  -0.02751, 118.48577,  -0.29091,  -0.30535, 134.77438,  -1.97023,   0.21494, 140.85495,  -4.07859,   4.71380, 131.54328,  -1.14761,   9.65314, 132.10348,   0.82498,  18.85659, 112.86419,  12.53083,   1.30076, 115.95053,  25.91674,  -5.13887, 131.22816,  -2.57690, -10.47147, 131.46677,  -2.90685, -22.23338, 117.32203, -18.82788, -26.60364,  95.75758, -15.25207,   6.41560,  91.83264,  -4.06134,   5.39260,  53.25886, -10.25401,   1.49920,  16.69054, -28.34827,   0.73526,   5.39504, -25.18729,  -6.43320,  91.67282,  -2.54566,  -3.02059,  54.47069,   8.92995,  -2.18921,  13.75042,   4.35048,  -4.46307,   6.28667,  13.14170
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.32110, 109.51153,  -0.86902,  -0.52851, 118.49006,  -0.38928,  -0.61823, 134.76715,  -2.19605,   0.01051, 140.83465,  -4.31249,   4.36228, 131.48595,  -1.33764,   9.25529, 132.25487,   0.67961,  18.79952, 113.28341,  12.54856,   1.24435, 117.71599,  25.55178,  -5.49040, 131.27126,  -2.78531, -10.80742, 131.75409,  -3.09945, -22.40538, 118.37998, -19.78825, -27.30338,  96.79790, -17.11724,   6.45807,  91.99576,  -4.11153,   5.41443,  53.58835, -11.26094,   1.66270,  17.46727, -30.26081,   1.06742,   5.74376, -29.65370,  -6.36859,  91.50877,  -2.48230,  -3.13949,  53.50900,   6.05728,  -1.29636,  12.57697,   7.04486,  -2.24257,   6.58526,  17.11301
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.52093, 109.52960,  -1.04831,  -0.76784, 118.51097,  -0.64667,  -0.70674, 134.78572,  -2.47551,  -0.02697, 140.83135,  -4.63827,   4.24827, 131.45348,  -1.66768,   9.18369, 132.18071,   0.25971,  19.50712, 113.09096,  11.25467,   2.47929, 118.23494,  24.68999,  -5.62158, 131.34047,  -3.00577, -10.93365, 131.89507,  -3.28290, -22.43626, 118.92551, -20.35264, -27.41800,  97.35317, -17.75890,   6.49529,  92.05349,  -3.98621,   5.80931,  53.57094, -10.76523,   2.08944,  19.00891, -32.47771,   1.46496,   7.35806, -33.90296,  -6.35013,  91.44600,  -2.55766,  -2.77610,  53.30908,   5.19705,  -0.25974,  12.46316,   7.45142,  -0.91318,   7.15597,  17.91900
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.36324, 109.57217,  -1.38191,  -0.52988, 118.55917,  -1.07671,  -0.45025, 134.85042,  -2.75145,   0.23519, 140.87267,  -4.97676,   4.50702, 131.49716,  -2.05170,   9.52090, 132.03751,  -0.27093,  20.59023, 112.28873,   8.63618,   4.79760, 117.51995,  23.47339,  -5.38250, 131.42377,  -3.23873, -10.70538, 131.91346,  -3.41095, -22.19487, 118.71293, -20.31163, -26.89703,  97.11647, -17.41445,   6.49335,  91.95023,  -3.77516,   6.57753,  53.20426,  -8.88152,   3.07038,  21.05850, -34.06391,   2.12502,   9.86796, -37.53403,  -6.39213,  91.53740,  -2.67574,  -1.61840,  53.87525,   6.60368,   1.50450,  13.01218,   6.09310,   0.03850,   7.21063,  16.21023
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.20041, 109.61098,  -1.77778,   0.25118, 118.60152,  -1.54354,   0.24936, 134.92885,  -2.82185,   0.89214, 140.93946,  -5.09091,   5.22979, 131.57611,  -2.30895,  10.33063, 131.90075,  -0.73478,  21.75218, 111.24063,   5.14644,   7.83696, 115.70785,  21.97874,  -4.68243, 131.49864,  -3.28824, -10.01738, 131.87371,  -3.30188, -21.68692, 117.90846, -19.44775, -25.66512,  96.28183, -15.79073,   6.42797,  91.68831,  -3.58574,   7.76907,  52.68019,  -5.56070,   4.54420,  23.79076, -34.45367,   3.30698,  13.40744, -39.82204,  -6.48382,  91.78850,  -2.75485,  -1.02653,  55.01594,   9.30049,   2.14165,  14.64855,   2.95706,   0.57504,   7.15774,  11.87878
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.77039, 109.61034,  -2.01983,   1.03769, 118.59681,  -1.77712,   0.96276, 134.95671,  -2.52814,   1.51668, 141.02207,  -4.67148,   5.96408, 131.60293,  -2.31018,  11.15447, 131.69917,  -1.02462,  22.26400, 110.20601,   1.52550,  10.81919, 112.92623,  20.46044,  -3.97776, 131.52971,  -2.91984,  -9.31648, 131.73071,  -2.67454, -21.41534, 116.68008, -17.47290, -24.21264,  95.11776, -12.55841,   6.34434,  91.44533,  -3.51543,   8.55719,  52.53282,  -0.64267,   5.72085,  28.19350, -33.49622,   5.30654,  18.01584, -39.36199,  -6.55902,  92.03167,  -2.75771,  -0.72005,  56.00726,  11.22379,   2.96836,  17.50962,  -2.34568,   1.44512,  10.01872,   6.58346
