time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.20521, 109.47874,-454.60838,   2.76458, 118.44707,-454.98696,   2.68969, 134.57905,-452.16390,   2.20338, 140.74793,-450.32064,   7.45252, 131.00515,-451.24125,  12.60980, 130.85154,-449.83379,  25.56966, 112.28672,-440.93041,  24.72616, 100.61713,-421.95609,  -1.87142, 131.56750,-454.70030,  -6.66501, 131.08594,-457.02239, -11.03273, 114.05227,-473.83525, -20.74268,  94.36254,-477.70078,   6.98465,  91.47102,-450.58939,  12.04269,  56.67648,-433.52809,   7.89888,  16.32768,-439.41079,  10.40603,   8.92242,-430.63355,  -5.66907,  92.17913,-453.19644, -25.07195,  61.20271,-439.36446, -20.32097,  22.85636,-453.03152, -25.34766,  13.16892,-448.66695
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.13507, 109.47841,-454.64913,   2.61156, 118.44987,-455.06514,   2.25728, 134.59906,-452.36436,   1.65329, 140.75848,-450.52427,   7.07635, 131.11262,-451.40006,  12.24071, 131.05935,-450.01129,  25.65017, 112.76546,-441.21354,  24.81761, 101.48376,-422.00558,  -2.24457, 131.49242,-454.89195,  -7.02235, 130.91042,-457.22359, -11.26043, 113.74678,-473.93716, -20.95335,  94.03989,-477.75772,   6.97946,  91.51714,-450.50208,  12.03335,  57.10518,-432.68054,   8.05539,  16.62480,-437.71219,  10.51865,   9.37701,-428.79223,  -5.64434,  92.13311,-453.27240, -25.16896,  60.68168,-440.74519, -19.15470,  23.73534,-457.43649, -24.31954,  13.75971,-453.97601
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.04977, 109.48214,-454.66906,   2.44017, 118.45666,-455.10808,   1.82898, 134.61157,-452.48870,   1.13915, 140.75651,-450.63047,   6.70881, 131.21036,-451.52560,  11.88679, 131.25623,-450.18824,  25.63409, 113.06166,-441.71182,  24.99196, 101.94172,-422.40249,  -2.63055, 131.41784,-454.98254,  -7.41036, 130.73945,-457.28377, -11.63706, 113.31215,-473.72517, -21.25063,  93.52348,-477.31665,   6.97742,  91.56559,-450.42773,  12.15578,  57.68527,-431.64900,   8.31917,  17.09204,-435.80513,  10.74503,   9.99166,-426.75729,  -5.61853,  92.08362,-453.34120, -25.09175,  60.07662,-442.22006, -17.82240,  24.62709,-461.46300, -23.26122,  14.50448,-458.99003
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.94640, 109.48910,-454.67357,   2.23768, 118.46718,-455.11682,   1.34300, 134.61004,-452.50466,   0.57133, 140.73171,-450.60231,   6.29296, 131.30188,-451.57598,  11.48469, 131.44051,-450.29972,  25.48435, 113.19711,-442.35816,  25.22111, 102.02307,-423.07120,  -3.07446, 131.33098,-454.96239,  -7.87502, 130.55188,-457.18725, -12.14698, 112.77871,-473.24216, -21.60546,  92.83491,-476.35554,   6.97476,  91.62105,-450.34671,  12.38037,  58.45395,-430.39538,   8.75416,  17.75344,-433.57680,  11.11502,  10.74676,-424.43916,  -5.58706,  92.02622,-453.42096, -24.81846,  59.41929,-443.71138, -16.62418,  25.40380,-465.05625, -22.25470,  15.20048,-463.52233
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.81159, 109.49903,-454.66747,   1.99095, 118.48083,-455.09443,   0.81150, 134.59117,-452.39592,  -0.03376, 140.68331,-450.43108,   5.83261, 131.37452,-451.52975,  11.03953, 131.58523,-450.32744,  25.24502, 113.19279,-443.13000,  25.49627, 101.71941,-424.01943,  -3.56531, 131.23925,-454.82793,  -8.38895, 130.34506,-456.95759, -12.79838, 112.13584,-472.47779, -22.02059,  91.98193,-474.86138,   6.97407,  91.68830,-450.26295,  12.55612,  59.40379,-428.95839,   9.19185,  18.61171,-431.07750,  11.48131,  11.73500,-421.82371,  -5.54881,  91.95620,-453.50643, -24.30609,  58.68131,-445.24327, -15.61567,  25.87080,-468.21609, -21.28279,  15.61137,-467.32650
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.63436, 109.51313,-454.64126,   1.67927, 118.49844,-455.02780,   0.18419, 134.55179,-452.15191,  -0.74575, 140.59927,-450.08979,   5.28156, 131.43506,-451.36996,  10.50365, 131.71773,-450.25109,  24.86842, 113.11100,-443.98022,  25.82760, 101.05531,-425.25441,  -4.14507, 131.13137,-454.57363,  -8.98922, 130.12233,-456.60307, -13.62029, 111.34723,-471.36600, -22.50955,  90.95314,-472.77066,   6.97759,  91.76935,-450.18241,  12.70118,  60.51959,-427.42225,   9.72072,  19.65188,-428.28874,  11.86806,  12.94496,-418.87759,  -5.50294,  91.87122,-453.59426, -23.59194,  57.90439,-446.78427, -15.04479,  25.87054,-470.87954, -20.31778,  15.37961,-470.33234
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.35346, 109.53897,-454.54853,   1.21673, 118.52654,-454.85190,  -0.62186, 134.49250,-451.70176,  -1.64993, 140.48551,-449.53009,   4.55864, 131.48766,-451.03702,   9.79411, 131.85050,-450.00732,  24.29980, 112.99733,-444.90598,  26.11202, 100.15149,-426.77822,  -4.90083, 131.00692,-454.11996,  -9.76892, 129.88695,-456.03042, -14.63218, 110.44065,-469.81756, -23.04137,  89.79721,-470.02997,   6.99155,  91.88248,-450.10626,  12.81517,  61.79911,-425.84912,  10.26012,  20.89963,-425.13689,  12.26573,  14.40612,-415.54650,  -5.43862,  91.75089,-453.69626, -22.38228,  56.88448,-448.73850, -14.76304,  25.25496,-473.66486, -19.53185,  14.79389,-471.21782
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.15694, 109.55835,-454.45114,   0.85984, 118.54509,-454.64457,  -1.38246, 134.37410,-451.09063,  -2.51906, 140.29459,-448.77866,   3.89051, 131.50436,-450.57212,   9.13996, 131.93776,-449.64608,  23.84763, 112.91080,-445.96643,  26.54636,  99.09713,-428.68016,  -5.59701, 130.82452,-453.52879, -10.48017, 129.53627,-455.28879, -15.57200, 109.41828,-467.98663, -23.32154,  88.55958,-466.65611,   6.99986,  91.95593,-450.05930,  12.89428,  63.04410,-424.43325,  10.82394,  22.21088,-421.57590,  12.73282,  16.04927,-411.74970,  -5.39216,  91.67204,-453.77035, -21.17261,  56.15362,-449.67726, -13.82281,  24.00716,-474.01629, -18.90164,  14.69008,-468.96050
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.01666, 109.56467,-454.42186,   0.56513, 118.54667,-454.50551,  -2.15637, 134.16891,-450.41223,  -3.41309, 140.00092,-447.94292,   3.22320, 131.47401,-450.08614,   8.48610, 131.98744,-449.28594,  23.45159, 112.90973,-447.29697,  26.96193,  97.87990,-431.21291,  -6.29305, 130.54837,-452.87924, -11.17117, 129.03277,-454.46334, -16.61068, 108.26843,-465.91539, -23.51896,  87.31130,-462.75541,   7.01395,  92.00921,-450.05016,  12.88622,  64.03204,-423.40196,  11.38288,  23.43135,-418.00497,  13.27134,  17.90103,-407.80631,  -5.36716,  91.61700,-453.78765, -20.58688,  55.91725,-449.18093, -11.41087,  22.96614,-471.76032, -17.68830,  15.48007,-465.22456
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82594, 109.56754,-454.40792,   0.19646, 118.53918,-454.38383,  -3.01929, 133.91075,-449.73737,  -4.39778, 139.67674,-447.17957,   2.46344, 131.41442,-449.60875,   7.73432, 132.00547,-448.92278,  22.80822, 112.90952,-448.97681,  27.12905,  96.52028,-434.49790,  -7.07007, 130.21361,-452.23314, -11.91158, 128.44451,-453.65883, -17.92740, 106.98826,-463.42277, -23.81652,  86.08113,-458.41066,   7.04463,  92.07972,-450.07463,  12.53018,  64.35940,-423.07787,  11.68806,  24.19442,-414.96195,  13.64901,  19.72084,-404.27058,  -5.34470,  91.54569,-453.76707, -21.58734,  56.85903,-445.99881, -11.21615,  23.62262,-467.62247, -17.42494,  16.13182,-461.02683
