time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.65931, 109.68421,-453.26448,   0.51581, 118.67228,-452.97970,   0.09782, 134.62350,-449.29193,  -0.36739, 140.96873,-448.19149,   5.16884, 131.45057,-450.01709,  10.51315, 131.31238,-449.87105,  17.37630, 108.56270,-455.08929,  21.46389,  86.77649,-452.72958,  -4.77609, 131.31637,-450.56249, -10.01027, 130.21830,-450.57564, -16.63094, 106.98703,-453.46869, -18.57489,  86.87712,-444.04935,   7.33818,  91.88842,-451.85876,  12.31720,  57.03056,-434.90380,  16.40590,  20.36394,-452.75442,  15.76838,  11.14313,-445.49261,  -5.59181,  91.70448,-452.30157,  -8.00971,  56.98027,-434.53315,  -7.97086,  16.78436,-442.53880,  -9.39561,   9.29355,-433.59333
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.76568, 109.69075,-453.17559,   0.69993, 118.67905,-452.87018,   0.46514, 134.65021,-449.25317,   0.07843, 141.01081,-448.21274,   5.49916, 131.40923,-449.93380,  10.84009, 131.21985,-449.73222,  17.62440, 108.27507,-454.13572,  21.20325,  86.57185,-450.51941,  -4.44319, 131.40052,-450.53935,  -9.68745, 130.35352,-450.60247, -16.44438, 107.31537,-454.53729, -18.84897,  86.78672,-446.18843,   7.32476,  91.84073,-451.89944,  12.18280,  56.35046,-436.27343,  16.26087,  20.86399,-456.37027,  15.55023,  11.23397,-449.66795,  -5.60804,  91.75035,-452.28566,  -8.14714,  57.17854,-434.23913,  -8.35344,  16.84576,-441.52110,  -9.76706,   9.35497,-432.57385
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.89305, 109.69667,-453.07482,   0.91494, 118.68392,-452.73436,   0.87596, 134.66073,-449.13491,   0.57359, 141.03057,-448.12351,   5.86956, 131.35303,-449.79195,  11.20612, 131.11386,-449.53515,  17.90885, 107.98912,-453.02811,  20.90295,  86.47002,-448.04024,  -4.06954, 131.47452,-450.43742,  -9.32550, 130.49162,-450.54361, -16.23213, 107.69132,-455.47720, -19.14998,  86.80803,-448.24636,   7.30810,  91.78437,-451.94791,  11.88281,  55.62139,-437.85380,  15.78132,  20.88459,-459.25378,  15.19350,  11.11645,-452.74214,  -5.62687,  91.80506,-452.26528,  -8.35164,  57.55774,-433.63651,  -8.81423,  17.11719,-440.28114, -10.22445,   9.62637,-431.33337
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.01787, 109.70073,-452.97834,   1.13082, 118.68512,-452.58454,   1.30868, 134.64053,-448.89545,   1.10104, 141.01347,-447.87973,   6.25651, 131.26485,-449.55301,  11.58766, 130.96186,-449.25454,  18.21523, 107.68992,-451.77897,  20.51529,  86.48748,-445.29194,  -3.67736, 131.53329,-450.23374,  -8.94311, 130.60943,-450.37804, -16.04657, 108.08747,-456.22592, -19.51922,  86.93509,-450.10805,   7.29133,  91.72934,-452.00559,  11.48540,  54.91514,-439.57750,  15.21009,  19.77038,-460.33264,  14.74303,  10.74929,-452.81165,  -5.64488,  91.85896,-452.23449,  -8.61879,  58.11033,-432.75322,  -9.36444,  17.56163,-438.67352, -10.76442,  10.07081,-429.72415
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.05081, 109.70339,-452.91164,   1.22671, 118.68366,-452.45227,   1.65038, 134.58233,-448.54474,   1.54589, 140.95063,-447.48501,   6.54551, 131.13926,-449.24591,  11.86878, 130.74061,-448.92051,  18.44895, 107.37048,-450.47580,  19.92921,  86.65398,-442.37944,  -3.38247, 131.57180,-449.92811,  -8.65625, 130.70104,-450.10552, -15.93934, 108.46158,-456.75823, -20.03491,  87.13802,-451.71412,   7.28748,  91.71123,-452.09952,  10.97944,  54.64656,-440.27110,  14.19184,  18.80629,-459.89146,  13.95902,  10.72973,-451.35456,  -5.65021,  91.87632,-452.15914,  -8.92045,  58.72131,-431.72914,  -9.99821,  18.06010,-436.75974, -11.38651,  10.56927,-427.80856
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.97415, 109.70645,-452.85809,   1.17938, 118.68204,-452.32548,   1.88761, 134.49620,-448.12705,   1.91426, 140.85074,-446.98324,   6.72097, 130.98505,-448.91384,  12.03494, 130.47766,-448.58779,  18.58329, 107.05451,-449.18430,  19.22021,  87.01254,-439.44627,  -3.20109, 131.59674,-449.54296,  -8.48187, 130.77506,-449.74454, -15.93783, 108.80805,-457.07628, -20.62738,  87.39551,-453.02384,   7.29789,  91.73746,-452.22632,  10.44254,  55.03302,-439.17920,  13.60431,  18.82908,-458.12865,  13.34672,  11.02964,-449.33855,  -5.63926,  91.84925,-452.04726,  -9.17504,  59.28049,-430.73743, -10.59133,  18.51355,-434.71907, -11.96121,  11.09927,-425.70156
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.02483, 109.70708,-452.82952,   1.30806, 118.67663,-452.23453,   2.31340, 134.39777,-447.75668,   2.47872, 140.73226,-446.51728,   7.08110, 130.82215,-448.64691,  12.38630, 130.21489,-448.35000,  18.93653, 106.78899,-447.89968,  18.75903,  87.49721,-436.73227,  -2.83409, 131.60909,-449.18258,  -8.12538, 130.85444,-449.37023, -15.65776, 109.11211,-457.27147, -20.84744,  87.66465,-454.11163,   7.28895,  91.71358,-452.31164,  10.14210,  55.60515,-437.63605,  13.18880,  19.10257,-456.02307,  12.89406,  11.32427,-447.21542,  -5.64444,  91.87295,-451.96990,  -9.31064,  59.74324,-430.02508, -11.03096,  18.89516,-432.90226, -12.39675,  11.71638,-423.69556
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.12498, 109.70654,-452.80526,   1.49072, 118.67046,-452.17158,   2.74758, 134.32852,-447.53893,   3.04886, 140.63691,-446.19631,   7.45839, 130.69666,-448.50145,  12.75563, 130.00044,-448.26357,  19.34834, 106.63395,-446.70659,  18.52235,  88.07165,-434.39097,  -2.44850, 131.62649,-448.95536,  -7.75216, 130.95316,-449.09802, -15.27188, 109.35896,-457.40701, -20.78796,  87.89509,-455.00154,   7.27513,  91.67388,-452.28362,  10.29379,  56.05269,-436.49278,  12.74069,  19.13129,-454.11737,  12.42355,  11.40730,-445.26283,  -5.65853,  91.91280,-452.00468,  -9.50702,  59.99232,-429.78743, -11.46399,  19.08446,-431.37512, -12.86258,  12.23935,-421.92250
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.18643, 109.70657,-452.77082,   1.60426, 118.66707,-452.12121,   3.02754, 134.30665,-447.47430,   3.42968, 140.60263,-446.10023,   7.69953, 130.62645,-448.44244,  12.98604, 129.84997,-448.21467,  19.61566, 106.56041,-445.86404,  18.34272,  88.64503,-432.66046,  -2.19726, 131.66067,-448.89090,  -7.50999, 131.05819,-449.01102, -15.03360, 109.51194,-457.44012, -20.70258,  88.04114,-455.49633,   7.26700,  91.65068,-452.23724,  10.24016,  56.35374,-435.72605,  12.25144,  18.95813,-452.37917,  11.93197,  11.27335,-443.49067,  -5.66753,  91.93599,-452.06066,  -9.83459,  59.98196,-429.94936, -11.91172,  19.04948,-430.09077, -13.41152,  12.58761,-420.38724
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.21811, 109.70639,-452.75508,   1.67251, 118.66547,-452.11042,   3.21836, 134.30917,-447.51686,   3.69981, 140.59996,-446.14445,   7.86060, 130.58190,-448.44726,  13.14051, 129.76971,-448.19248,  19.72387, 106.50680,-445.47639,  18.22526,  89.08127,-431.65538,  -2.02375, 131.70642,-448.94949,  -7.34143, 131.15349,-449.08764, -14.93835, 109.60044,-457.43319, -20.64691,  88.13949,-455.49644,   7.26228,  91.63775,-452.23972,   9.83081,  56.51089,-435.30342,  11.83225,  18.62178,-450.80222,  11.51461,  10.96552,-441.88906,  -5.67164,  91.94897,-452.06256, -10.11284,  59.73460,-430.38667, -12.31148,  18.82809,-429.11138, -14.04868,  12.80839,-419.16608
