time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.68471, 109.41211,  -5.21260,  -2.19324, 118.31868,  -6.35346,  -1.46182, 134.60116,  -7.95402,  -1.24446, 140.87837,  -9.45020,   3.36839, 131.01456,  -7.61652,   8.70056, 130.70594,  -7.34309,  16.80147, 108.72702,  -0.77169,  17.70951,  95.93019,  17.45828,  -6.57205, 131.41261,  -8.11279, -11.92008, 131.39948,  -8.08305, -15.97038, 109.74518, -18.40690, -21.15095,  88.37368, -22.05816,   6.66295,  92.48378,  -2.56282,   1.89860,  54.47112,   5.16191,  -1.09554,  16.08833,  -8.89509,  -1.83987,   8.59746,   0.13246,  -6.19348,  91.04846,  -2.82061,  -6.79672,  55.86591,  14.18405,  -5.86058,  25.74575, -13.59548,  -9.51014,  14.69797, -11.92490
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.82318, 109.41412,  -5.08511,  -2.38597, 118.32209,  -6.18896,  -1.66050, 134.59846,  -7.85310,  -1.47139, 140.86819,  -9.38407,   3.17068, 131.01042,  -7.54626,   8.50557, 130.71259,  -7.31733,  16.56815, 108.74082,  -0.67529,  17.65367,  96.03830,  17.61085,  -6.77360, 131.41217,  -7.95496, -12.12126, 131.40613,  -7.88479, -16.15550, 109.73112, -18.17139, -21.34029,  88.36178, -21.82931,   6.67735,  92.53270,  -2.62912,   1.89124,  54.60099,   5.47096,  -1.04389,  16.00191,  -7.99375,  -1.79663,   8.51104,   1.03309,  -6.16930,  90.99898,  -2.78984,  -7.39188,  54.56654,  11.29978,  -5.58656,  26.44605, -18.46231,  -8.34585,  15.06021, -17.50705
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.94690, 109.42203,  -4.90681,  -2.55453, 118.33508,  -5.94384,  -1.81411, 134.60974,  -7.61818,  -1.63793, 140.87136,  -9.18352,   3.01291, 131.01233,  -7.35930,   8.34938, 130.70289,  -7.19068,  16.41131, 108.73265,  -0.54279,  17.73083,  95.86304,  17.61065,  -6.93417, 131.43341,  -7.66801, -12.28084, 131.42879,  -7.54281, -16.39397, 109.70051, -17.68476, -21.54079,  88.30073, -21.21616,   6.68927,  92.57728,  -2.68323,   2.01109,  54.72152,   5.82489,  -0.93973,  15.89230,  -6.95742,  -1.69897,   8.40144,   2.06889,  -6.14674,  90.95218,  -2.78541,  -7.90703,  53.39823,   7.88867,  -5.08399,  26.17406, -22.61834,  -7.39205,  14.65554, -22.21809
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.02487, 109.43348,  -4.72373,  -2.65089, 118.35343,  -5.68801,  -1.84687, 134.62550,  -7.35805,  -1.66485, 140.87974,  -8.95197,   2.96485, 131.00470,  -7.14444,   8.30009, 130.65236,  -7.02970,  16.38056, 108.65706,  -0.48800,  18.00955,  95.39610,  17.35601,  -6.98243, 131.47392,  -7.36451, -12.32721, 131.46034,  -7.17551, -16.56891, 109.65646, -17.09993, -21.69272,  88.19780, -20.29104,   6.69551,  92.60927,  -2.68067,   2.22524,  54.81566,   6.20710,  -0.70175,  15.74419,  -5.82020,  -1.47165,   8.25333,   3.20521,  -6.13125,  90.91701,  -2.83899,  -8.13069,  52.50998,   4.10626,  -4.49678,  24.86829, -25.93595,  -6.68986,  13.32156, -26.10074
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.18610, 109.44967,  -4.33789,  -2.85403, 118.38164,  -5.15089,  -1.94366, 134.64883,  -6.81389,  -1.74848, 140.89594,  -8.43399,   2.84314, 130.99329,  -6.63448,   8.17595, 130.59474,  -6.56903,  16.23559, 108.52888,  -0.24282,  18.31511,  94.61089,  17.04534,  -7.10174, 131.53433,  -6.78913, -12.44393, 131.52712,  -6.53728, -16.86462, 109.58941, -16.08136, -21.98235,  88.06605, -18.81356,   6.70766,  92.67456,  -2.67353,   2.29928,  54.91349,   6.38185,  -0.41134,  15.46713,  -4.40891,  -1.18959,   7.97626,   4.61577,  -6.09847,  90.84721,  -2.95364,  -7.86433,  51.89177,  -0.36720,  -3.91495,  22.83873, -29.00506,  -6.09621,  11.36262, -27.69951
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.32814, 109.46478,  -3.82411,  -3.02360, 118.41089,  -4.43299,  -1.97294, 134.67207,  -6.07189,  -1.73734, 140.90772,  -7.73031,   2.78110, 130.97269,  -5.92267,   8.10833, 130.50169,  -5.89419,  16.14481, 108.31833,   0.03831,  18.71812,  93.56267,  16.54782,  -7.15906, 131.60472,  -6.02701, -12.49848, 131.60922,  -5.72179, -17.11561, 109.50985, -14.78797, -22.24512,  87.92076, -16.91175,   6.71676,  92.72841,  -2.65924,   2.35504,  55.09559,   6.93653,  -0.04763,  15.28430,  -2.50229,  -0.83593,   7.79343,   6.52150,  -6.06799,  90.78914,  -3.11111,  -7.08121,  51.73937,  -4.30403,  -2.99288,  20.35289, -30.34202,  -5.53491,   9.28069, -27.32407
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.33156, 109.48308,  -3.30702,  -2.99735, 118.44337,  -3.70321,  -1.78910, 134.69987,  -5.27879,  -1.49928, 140.92037,  -6.98483,   2.92738, 130.95120,  -5.17434,   8.24498, 130.38114,  -5.18726,  16.21110, 108.03311,   0.19673,  19.31064,  92.33413,  15.71608,  -7.00619, 131.68582,  -5.21550, -12.34236, 131.69566,  -4.85816, -17.20979, 109.44414, -13.40646, -22.37515,  87.80238, -14.77183,   6.71524,  92.71973,  -2.65982,   2.35998,  55.26985,   7.62954,   0.43265,  15.10568,  -0.30316,  -0.36355,   7.61481,   8.71995,  -6.06551,  90.79273,  -3.25462,  -6.17689,  51.89525,  -7.03726,  -1.94628,  18.62399, -30.59416,  -4.76805,   8.18631, -25.98373
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -2.16428, 109.51008,  -2.92584,  -2.74127, 118.48227,  -3.15800,  -1.41085, 134.73705,  -4.65068,  -1.08396, 140.94261,  -6.40380,   3.27556, 130.94981,  -4.59700,   8.58300, 130.29416,  -4.65488,  16.36094, 107.72236,   0.02466,  20.00816,  91.00108,  14.30794,  -6.65177, 131.76502,  -4.57110, -11.98401, 131.76089,  -4.15928, -17.21706, 109.37100, -12.10933, -22.43189,  87.70488, -12.65326,   6.69963,  92.63920,  -2.64710,   2.35677,  55.35735,   8.24031,   1.07630,  14.86810,   2.01260,   0.27441,   7.37724,  11.03521,  -6.09653,  90.86574,  -3.37357,  -5.23383,  52.17148,  -8.79058,  -0.78669,  17.26960, -29.81164,  -3.88964,   7.44659, -24.15092
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.90858, 109.53962,  -2.64625,  -2.37494, 118.52064,  -2.75091,  -0.98725, 134.77968,  -4.14156,  -0.64905, 140.97047,  -5.94403,   3.68382, 130.97315,  -4.14327,   8.98473, 130.27186,  -4.24630,  16.44461, 107.42833,  -0.45105,  20.58612,  89.68695,  12.39445,  -6.23972, 131.82848,  -4.04898, -11.56697, 131.79756,  -3.57792, -17.29662, 109.28797, -10.81564, -22.58617,  87.63538, -10.50405,   6.67570,  92.52247,  -2.63787,   2.51838,  55.41499,   8.89835,   1.73016,  14.67902,   4.45292,   0.92616,   7.18816,  13.47535,  -6.14384,  90.97423,  -3.46071,  -4.70956,  52.43424,  -9.78098,   0.45826,  16.36379, -28.54315,  -3.04962,   7.22171, -22.04079
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -1.65919, 109.55727,  -2.31926,  -2.02926, 118.54323,  -2.26830,  -0.64794, 134.81598,  -3.49539,  -0.30504, 141.00013,  -5.31963,   4.02233, 131.00917,  -3.56877,   9.32148, 130.30242,  -3.71538,  16.35808, 107.18628,  -0.88494,  20.91226,  88.47804,  10.34789,  -5.90021, 131.86455,  -3.39906, -11.21887, 131.78470,  -2.84413, -17.55020, 109.21391,  -9.35330, -22.96689,  87.62948,  -8.05612,   6.65194,  92.40845,  -2.66069,   2.87105,  55.49329,   9.59933,   2.32179,  14.58666,   7.11967,   1.52343,   7.09579,  16.14259,  -6.18958,  91.08333,  -3.52901,  -4.31403,  52.63655, -10.28637,   1.37014,  15.62139, -26.94082,  -2.32280,   7.13435, -19.69541
