time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.14227, 109.51667,  -4.78307,   1.27410, 118.50307,  -5.12127,  -0.32953, 134.68959,  -3.21316,  -0.57693, 141.01402,  -1.93659,   4.96159, 131.84903,  -3.70700,  10.26463, 132.08785,  -3.05677,  17.00625, 108.77612,  -4.78731,  20.98957,  87.56186,   0.78077,  -4.94992, 130.90069,  -3.98954, -10.18966, 130.01674,  -3.38439, -15.10177, 106.28622,  -5.53581, -19.00871,  84.34689,  -4.97636,   6.28097,  91.33114,  -2.30243,   8.25890,  53.71952,   8.12764,   9.73645,  16.72320,  -9.44770,  11.94698,   7.68424,  -2.26618,  -6.59928,  92.17196,  -3.20069,  -3.98761,  54.94399,   8.40068,   1.67910,  14.41955,   6.06388,   0.03809,   6.92863,  14.97212
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.29044, 109.50403,  -4.79241,   1.48648, 118.48900,  -5.13741,  -0.09799, 134.68105,  -3.26042,  -0.38315, 140.99701,  -1.95024,   5.19099, 131.82809,  -3.70296,  10.48426, 132.05117,  -2.97245,  17.21637, 108.68399,  -3.70367,  20.72249,  87.64114,   2.76325,  -4.71963, 130.90174,  -4.07521,  -9.96787, 130.00837,  -3.56499, -15.09201, 106.39973,  -6.44092, -19.27984,  84.50517,  -6.47333,   6.25860,  91.26662,  -2.34548,   8.16902,  53.39703,   7.11905,   9.10943,  17.49317, -12.62510,  10.72121,   8.03747,  -5.83132,  -6.61820,  92.24000,  -3.15504,  -4.06548,  55.15507,   8.90838,   1.45373,  14.57950,   7.18676,  -0.20726,   7.08867,  16.09138
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.45432, 109.49557,  -4.73969,   1.72378, 118.47926,  -5.06813,   0.17886, 134.67884,  -3.22347,  -0.15407, 140.98818,  -1.89282,   5.46148, 131.80838,  -3.62711,  10.74533, 132.01628,  -2.82725,  17.36333, 108.60758,  -2.48715,  20.29610,  87.74802,   4.80619,  -4.44938, 130.91323,  -4.06379,  -9.70549, 130.01866,  -3.64482, -15.04268, 106.55883,  -7.25677, -19.41813,  84.70257,  -7.52234,   6.23241,  91.19367,  -2.39796,   8.11247,  53.08347,   6.05249,   8.47857,  18.10663, -15.30845,   9.42404,   8.26468,  -8.95190,  -6.63768,  92.31530,  -3.11724,  -4.18196,  55.38019,   9.41675,   1.16202,  14.75563,   8.47364,  -0.52694,   7.26477,  17.37297
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.63622, 109.48952,  -4.62872,   1.98480, 118.47188,  -4.91658,   0.47343, 134.67744,  -3.09685,   0.09024, 140.98316,  -1.76257,   5.75043, 131.79241,  -3.46884,  11.02443, 131.99167,  -2.60439,  17.39657, 108.55378,  -1.21081,  19.72251,  87.91016,   6.87288,  -4.16028, 130.92340,  -3.95848,  -9.42169, 130.02614,  -3.61933, -14.97885, 106.73195,  -7.90820, -19.50865,  84.90663,  -8.12564,   6.20218,  91.11109,  -2.47033,   8.05288,  52.79086,   4.97730,   7.77423,  18.41822, -17.34414,   8.34479,   8.32415, -11.34849,  -6.65814,  92.39957,  -3.07580,  -4.31191,  55.64356,   9.99422,   0.75556,  14.97264,   9.99294,  -0.93945,   7.48170,  18.89105
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.82369, 109.48659,  -4.44747,   2.25336, 118.46756,  -4.65904,   0.77832, 134.67386,  -2.81622,   0.35871, 140.97754,  -1.48322,   6.04902, 131.77470,  -3.16724,  11.31138, 131.96764,  -2.23325,  17.35018, 108.51089,   0.04590,  19.03219,  88.14519,   8.95233,  -3.86151, 130.93449,  -3.70815,  -9.12714, 130.03582,  -3.44723, -14.88517, 106.89909,  -8.28793, -19.55006,  85.10119,  -8.25562,   6.16912,  91.02663,  -2.54474,   7.87962,  52.44705,   3.45713,   7.09794,  17.90775, -18.59345,   7.61491,   8.01679, -12.26373,  -6.67732,  92.48484,  -3.05190,  -4.37512,  55.92187,  10.55629,   0.26436,  15.21780,  11.76330,  -1.42104,   7.72692,  20.66328
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.92864, 109.49457,  -4.20544,   2.41033, 118.47477,  -4.31091,   0.99064, 134.67898,  -2.40722,   0.53810, 140.97948,  -1.06999,   6.25141, 131.75897,  -2.73342,  11.50281, 131.93311,  -1.73614,  17.16943, 108.46181,   1.24181,  18.15580,  88.43129,  10.97427,  -3.65846, 130.96333,  -3.34869,  -8.92532, 130.05197,  -3.16969, -14.86849, 107.05489,  -8.43356, -19.66405,  85.29014,  -7.97591,   6.14969,  90.97759,  -2.60002,   7.27506,  52.07173,   0.92138,   5.90938,  16.35959, -19.14305,   6.87564,   7.96034, -10.97712,  -6.68714,  92.53167,  -3.06406,  -4.48379,  56.15271,  11.04448,  -0.34143,  15.47439,  13.85836,  -2.00141,   7.98359,  22.76319
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.77229, 109.52249,  -4.07767,   2.21020, 118.50549,  -4.11061,   0.87104, 134.70192,  -2.08614,   0.40634, 140.99766,  -0.73082,   6.11672, 131.75147,  -2.37984,  11.35774, 131.87720,  -1.32248,  16.66831, 108.39484,   2.17864,  16.93828,  88.73599,  12.68444,  -3.79063, 131.02378,  -3.10921,  -9.05751, 130.09893,  -3.02483, -15.14128, 107.19524,  -8.52970, -20.07200,  85.47933,  -7.52047,   6.17830,  91.03790,  -2.60108,   6.71493,  52.09109,   0.59107,   5.17880,  15.66248, -18.12791,   6.14601,   8.17162,  -9.12152,  -6.67217,  92.46357,  -3.09861,  -4.75176,  56.23406,  11.42958,  -1.24134,  15.66254,  16.05906,  -2.87431,   8.17173,  24.96887
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   1.12346, 109.55854,  -4.38361,   1.33530, 118.54910,  -4.49349,   0.10516, 134.72511,  -2.24862,  -0.34321, 141.00766,  -0.82813,   5.32947, 131.73490,  -2.52020,  10.55823, 131.74613,  -1.39682,  15.58333, 108.24839,   2.40912,  15.17281,  88.97203,  13.59700,  -4.57362, 131.10190,  -3.38346,  -9.83655, 130.15111,  -3.39468, -15.95779, 107.27632,  -8.97768, -20.97976,  85.61846,  -7.35651,   6.29123,  91.30883,  -2.50862,   5.39605,  52.45511,   1.60472,   3.92905,  15.53178, -16.12431,   4.87144,   8.04094,  -7.11528,  -6.60430,  92.18259,  -3.10582,  -5.12972,  56.01028,  11.61570,  -2.42296,  15.59777,  17.88510,  -4.09100,   8.28150,  26.93239
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.32510, 109.60919,  -4.21843,   0.28446, 118.60282,  -4.22676,  -0.66792, 134.76582,  -1.76374,  -1.02107, 141.04052,  -0.28299,   4.50245, 131.68242,  -2.02560,   9.71806, 131.62172,  -0.84416,  14.50397, 108.08513,   3.02946,  13.56982,  89.06230,  14.61284,  -5.40130, 131.24719,  -2.99699, -10.68056, 130.39704,  -3.09235, -16.62124, 107.45344,  -8.58736, -21.55552,  85.81455,  -6.50837,   6.41542,  91.62943,  -2.51268,   4.50302,  52.89213,   2.29325,   2.84258,  15.17071, -13.64852,   3.77339,   7.67986,  -4.63828,  -6.50602,  91.84788,  -3.14778,  -5.47062,  55.57642,  11.36576,  -3.45976,  15.43968,  19.41569,  -5.24965,   8.77346,  28.92996
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.23213, 109.61260,  -4.19553,  -0.41745, 118.60441,  -4.18395,  -1.00019, 134.77328,  -1.64544,  -1.23743, 141.03521,  -0.08940,   4.09537, 131.56453,  -1.86398,   9.29800, 131.51800,  -0.62600,  13.98408, 107.93424,   3.07912,  12.65291,  89.12346,  14.96600,  -5.80404, 131.37891,  -2.95225, -11.11776, 130.78372,  -3.06491, -16.76794, 107.78757,  -8.64594, -21.50573,  86.17784,  -5.91030,   6.48818,  91.86419,  -2.43348,   4.46065,  53.21198,   2.97280,   2.05344,  14.94082, -11.49534,   2.96589,   7.44995,  -2.48325,  -6.42349,  91.61217,  -3.23337,  -5.94625,  55.27942,  11.15543,  -4.50405,  15.41553,  20.56784,  -6.24443,   9.45380,  30.54744
