time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.43568, 108.88299,-457.27110,   0.18233, 117.78159,-458.55093,  -0.24008, 133.74221,-454.90456,  -0.38360, 139.94614,-453.12133,   4.82184, 130.64056,-455.93671,  10.10854, 129.95974,-455.50158,  17.49815, 106.78883,-454.88245,  16.51030,  86.55564,-445.57880,  -5.13457, 130.35802,-455.85205, -10.30472, 129.22394,-455.08661, -13.66444, 105.26001,-457.60409, -15.10892,  83.34727,-453.77570,   7.37025,  92.11020,-451.45228,  10.19515,  56.88762,-434.75732,  13.02668,  17.06128,-444.01195,  13.18878,   9.78779,-434.77974,  -5.56157,  91.70597,-451.59154, -13.73906,  57.78648,-433.98668, -14.89087,  21.74763,-453.47200, -16.67520,  12.33018,-446.66822
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.15825, 108.92485,-457.11466,  -0.22328, 117.82559,-458.34694,  -0.73006, 133.80199,-454.78131,  -0.90537, 140.04728,-453.15195,   4.33951, 130.74654,-455.90924,   9.63487, 130.08220,-455.56298,  16.84686, 106.84999,-455.19917,  17.01484,  85.79951,-447.86676,  -5.60905, 130.36225,-455.59998, -10.74260, 129.14078,-454.72984, -14.85799, 105.25719,-456.85896, -16.43880,  83.41680,-452.68652,   7.40592,  92.19116,-451.57138,  10.27395,  57.51363,-433.77880,  13.42601,  17.50387,-442.09063,  13.56907,  10.32448,-432.78474,  -5.51993,  91.61335,-451.51604, -13.71082,  56.56207,-436.29596, -15.15285,  22.90063,-459.63329, -16.71838,  12.79940,-453.83002
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.02170, 108.98010,-456.91269,  -0.49702, 117.88701,-458.06518,  -1.08909, 133.86137,-454.50356,  -1.28771, 140.14174,-453.01804,   3.98762, 130.85260,-455.72125,   9.29072, 130.21002,-455.46365,  16.35840, 106.93073,-455.40407,  17.85105,  85.38791,-449.87289,  -5.94960, 130.37517,-455.23048, -11.04640, 129.09827,-454.23319, -15.77370, 105.29102,-455.89542, -17.28015,  83.49200,-451.48587,   7.42735,  92.25373,-451.61992,  10.44280,  58.45321,-432.23528,  13.89124,  18.28868,-439.63267,  14.01651,  11.03804,-430.38194,  -5.49121,  91.53538,-451.52378, -13.50559,  55.41329,-438.94210, -15.41055,  23.79671,-464.95297, -16.90702,  13.21130,-460.06695
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,  -0.11538, 109.01766,-456.77200,  -0.66216, 117.93038,-457.84506,  -1.38956, 133.87035,-454.15665,  -1.62567, 140.17733,-452.79450,   3.70520, 130.92831,-455.45912,   9.01630, 130.32498,-455.28526,  16.01642, 107.02913,-455.71218,  18.87735,  85.27574,-451.77256,  -6.21921, 130.33477,-454.84998, -11.28506, 129.02001,-453.74953, -16.39605, 105.26189,-454.90049, -17.87902,  83.51112,-450.25119,   7.43759,  92.29854,-451.60507,  10.73134,  59.74681,-430.23060,  14.46291,  19.45205,-436.72758,  14.56638,  12.06033,-427.58891,  -5.47535,  91.48010,-451.57784, -13.19160,  54.42321,-441.85259, -15.65407,  23.81887,-469.00243, -17.09174,  13.31888,-463.91845
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.03774, 108.98332,-456.91304,  -0.50953, 117.89633,-457.98353,  -1.47598, 133.74569,-453.97359,  -1.81595, 140.06164,-452.67650,   3.66105, 130.90977,-455.34365,   8.97368, 130.30394,-455.23879,  16.02428, 107.04696,-456.37125,  20.10379,  85.27108,-453.90466,  -6.25176, 130.15033,-454.72986, -11.27157, 128.71892,-453.56579, -16.66439, 105.00405,-454.21216, -18.14223,  83.36970,-449.04668,   7.41691,  92.27727,-451.46061,  11.19330,  61.17274,-428.10297,  15.16445,  20.72798,-433.41847,  15.24917,  13.23713,-424.36068,  -5.49734,  91.51094,-451.68299, -12.96388,  53.87851,-444.24093, -15.17894,  22.23617,-470.19587, -16.52314,  13.35355,-462.61591
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.35341, 108.97474,-456.98382,  -0.17513, 117.89684,-457.98579,  -1.60318, 133.56415,-453.43476,  -2.15579, 139.85774,-452.10262,   3.62501, 130.90511,-454.81463,   8.92860, 130.22110,-454.73634,  16.01315, 107.03279,-456.73435,  20.99909,  85.33155,-455.67979,  -6.27454, 129.88292,-454.40092, -11.20749, 128.16971,-453.24618, -16.88026, 104.51147,-453.19539, -18.39571,  83.04371,-447.38593,   7.36766,  92.21887,-451.21196,  11.49495,  62.31304,-426.39383,  15.82275,  21.68197,-429.58588,  15.85351,  14.19112,-420.52775,  -5.53605,  91.57174,-451.91192, -12.73281,  54.14944,-443.24520, -13.75555,  21.69276,-468.25162, -15.49586,  14.20348,-459.36087
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.32543, 109.04904,-456.73994,  -0.32120, 117.98455,-457.53091,  -2.29623, 133.40012,-452.36608,  -3.11897, 139.62725,-450.87101,   3.04163, 130.92594,-453.66772,   8.33904, 130.22495,-453.44843,  15.21432, 107.07866,-456.42512,  20.51890,  85.43038,-456.78358,  -6.83806, 129.65751,-453.65883, -11.65233, 127.59280,-452.58074, -17.49168, 104.00574,-451.37740, -19.25843,  82.70140,-445.05961,   7.35231,  92.27752,-451.02922,  11.16505,  62.80024,-425.65432,  16.02837,  22.10441,-425.64829,  15.92244,  14.80769,-416.43361,  -5.51290,  91.49238,-452.16262, -13.24464,  55.34520,-439.47659, -13.53908,  22.29419,-463.71183, -15.33121,  14.57661,-455.02904
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.17275, 109.07400,-456.63515,  -0.59825, 118.00989,-457.30043,  -3.01467, 133.21471,-451.71558,  -4.12289, 139.34008,-450.00067,   2.40194, 130.89318,-452.97237,   7.70489, 130.39027,-452.49504,  14.17779, 107.25093,-456.30986,  19.19557,  85.58130,-457.78116,  -7.44616, 129.42018,-453.22222, -12.20463, 127.17024,-452.27498, -17.93784, 103.66181,-449.74926, -20.15449,  82.53784,-442.98350,   7.37949,  92.30596,-451.14251,  10.90302,  62.71872,-425.85394,  16.34269,  22.21408,-422.75767,  16.03895,  15.63121,-413.02436,  -5.49754,  91.45698,-452.07853, -14.08946,  56.27738,-437.38470, -13.21787,  22.09113,-459.97549, -15.03583,  14.46930,-451.21386
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.21587, 109.12029,-456.48020,  -0.57019, 118.06141,-457.05076,  -3.28134, 133.16073,-451.31697,  -4.67682, 139.18116,-449.44715,   2.18000, 130.95437,-452.58753,   7.47640, 130.69691,-451.89189,  13.46465, 107.44314,-455.80134,  18.06328,  85.74061,-457.98503,  -7.63820, 129.29894,-452.86970, -12.36381, 126.93738,-452.03657, -18.03696, 103.52846,-448.61123, -20.58963,  82.67977,-441.14617,   7.39194,  92.20750,-451.40723,  11.16684,  61.95332,-426.95796,  16.78854,  21.87609,-420.47604,  16.40693,  16.27832,-410.14730,  -5.52201,  91.54254,-451.85699, -14.35428,  56.87651,-436.12197, -12.86744,  21.41311,-456.61440, -14.59755,  13.92220,-447.72302
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.26530, 109.12475,-456.47135,  -0.53897, 118.06409,-457.04449,  -3.45703, 133.13750,-451.34419,  -5.12912, 139.06986,-449.42056,   2.03476, 131.00068,-452.60230,   7.31859, 130.92513,-451.77919,  12.76417, 107.45710,-455.16715,  16.91287,  85.66530,-457.36288,  -7.76040, 129.21579,-452.89589, -12.44842, 126.76313,-452.11525, -18.13828, 103.39983,-448.41702, -20.76519,  82.88629,-440.09806,   7.38715,  92.17941,-451.43071,  11.39626,  60.71597,-428.59847,  16.84518,  21.14006,-419.44098,  16.65923,  16.72309,-408.54972,  -5.53099,  91.56939,-451.83598, -13.81372,  57.24395,-435.08800, -12.75543,  20.61967,-453.45495, -14.47075,  13.12886,-444.56062
   0.33333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.28319, 109.10993,-456.52623,  -0.55049, 118.04518,-457.12068,  -3.67501, 133.07858,-451.42415,  -5.61386, 138.88424,-449.36883,   1.84636, 131.01388,-452.67316,   7.12579, 131.02197,-451.81900,  12.30610, 107.40656,-454.53145,  15.47755,  85.37088,-455.66554,  -7.92411, 129.10108,-452.98339, -12.58449, 126.58629,-452.23563, -18.24656, 103.19749,-448.65787, -20.80918,  83.02613,-439.52220,   7.38653,  92.16413,-451.46108,  11.23313,  59.83877,-429.83685,  15.83645,  20.11371,-420.86287,  16.54559,  16.09987,-409.83791,  -5.53536,  91.58880,-451.79032, -13.31043,  57.32939,-434.66797, -13.00596,  19.59454,-450.66144, -14.69846,  12.10364,-441.76282
   0.36667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.46874, 109.08747,-456.62435,  -0.32255, 118.02382,-457.25898,  -3.62818, 133.02420,-451.57769,  -5.75090, 138.69884,-449.34570,   1.91774, 131.02484,-452.82425,   7.20247, 131.06201,-452.00431,  12.43397, 107.37541,-453.86373,  15.05387,  85.23839,-453.92398,  -7.82899, 128.99432,-453.13325, -12.47991, 126.45296,-452.41711, -18.07661, 103.01225,-449.08461, -20.51055,  83.15208,-439.25809,   7.36546,  92.07209,-451.50717,  11.27852,  60.13236,-429.32895,  15.10562,  19.63105,-424.34892,  16.30999,  14.65599,-413.76772,  -5.56599,  91.68709,-451.71689, -13.02144,  57.28715,-434.73472, -13.30380,  18.59602,-448.25213, -14.98026,  11.10517,-439.35044
   0.40000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.72692, 109.01500,-456.87976,   0.01717, 117.94931,-457.62906,  -3.34730, 132.95762,-452.00350,  -5.52966, 138.55635,-449.64114,   2.20680, 130.97405,-453.23881,   7.49765, 131.08814,-452.46681,  13.01617, 107.41180,-453.39298,  15.78082,  85.30818,-452.55507,  -7.53224, 128.90700,-453.54791, -12.19218, 126.36800,-452.88386, -17.73574, 102.88301,-449.78233, -19.87676,  83.29693,-439.35581,   7.32982,  91.99696,-451.39694,  11.23546,  60.33097,-428.82831,  14.49746,  19.48472,-429.69231,  15.73169,  13.24217,-419.80946,  -5.60230,  91.78242,-451.75594, -12.83855,  57.19160,-435.06924, -13.67666,  17.73909,-446.14171, -15.35043,  10.24817,-437.23957
   0.43333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.98165, 108.95059,-457.08249,   0.34969, 117.88182,-457.93159,  -3.07271, 132.90563,-452.38286,  -5.25862, 138.44822,-449.89476,   2.49414, 130.91762,-453.55191,   7.78481, 131.08117,-452.78763,  13.94761, 107.54811,-453.09752,  16.78039,  85.51035,-451.30091,  -7.24142, 128.85183,-453.96243, -11.92725, 126.34173,-453.37514, -17.37703, 102.80797,-450.48420, -19.06034,  83.44979,-439.55999,   7.28793,  91.95457,-451.19697,  10.88003,  60.25620,-428.62171,  14.07930,  20.05525,-435.93275,  15.02780,  12.47784,-426.99705,  -5.63139,  91.84276,-451.89942, -12.70303,  57.17599,-435.30000, -14.17045,  17.17723,-444.11753, -15.90574,   9.68645,-435.22706
   0.46667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.26001, 108.92211,-457.15396,   0.72490, 117.85394,-458.06122,  -2.73324, 132.91877,-452.64751,  -4.86142, 138.43376,-450.05040,   2.84665, 130.89451,-453.68466,   8.13047, 131.05009,-452.87278,  15.17136, 107.76262,-452.89759,  17.83287,  85.83924,-449.86490,  -6.88914, 128.88257,-454.30407, -11.61072, 126.41615,-453.82878, -16.95390, 102.84651,-451.03269, -18.12103,  83.61816,-439.81578,   7.23473,  91.90890,-450.97926,  10.47498,  59.78282,-428.96228,  13.82975,  21.23764,-442.48329,  14.41940,  12.44853,-434.70078,  -5.65576,  91.89637,-452.09721, -12.74759,  57.29270,-435.37519, -14.75520,  16.92349,-442.16489, -16.61313,   9.48752,-433.25321
   0.50000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.61302, 108.91793,-457.12431,   1.21601, 117.85445,-458.05601,  -2.25255, 132.97979,-452.82062,  -4.32174, 138.47620,-450.13787,   3.33527, 130.89810,-453.68744,   8.60495, 130.98429,-452.77910,  16.41814, 107.94457,-452.70039,  18.67030,  86.22718,-448.20619,  -6.39747, 128.97358,-454.57460, -11.16287, 126.56843,-454.24481, -16.46194, 102.98562,-451.47606, -17.12287,  83.79514,-440.15352,   7.16518,  91.82088,-450.78889,  10.23861,  58.89062,-429.96859,  14.01837,  22.70177,-448.83345,  14.00732,  12.91528,-442.32283,  -5.68459,  91.98556,-452.29584, -12.99369,  57.59496,-435.23132, -15.27601,  17.01248,-440.49021, -17.27794,   9.88939,-431.35690
   0.53333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.03782, 108.95212,-456.93133,   1.82193, 117.89902,-457.82213,  -1.60728, 133.09684,-452.77408,  -3.64668, 138.56011,-450.00230,   3.97675, 130.93748,-453.45546,   9.22440, 130.91632,-452.42405,  17.48827, 108.03688,-452.07718,  19.19492,  86.60836,-446.17622,  -5.74828, 129.13571,-454.63639, -10.56455, 126.81676,-454.46760, -15.86979, 103.23248,-451.72325, -16.22027,  84.00947,-440.44212,   7.08071,  91.67937,-450.64685,  10.19345,  57.70521,-431.58382,  14.63194,  24.10223,-454.62602,  13.82979,  13.67390,-449.26225,  -5.71849,  92.11753,-452.49166, -13.22617,  58.08414,-434.80841, -15.76617,  17.34560,-438.51284, -17.85880,  10.45708,-429.22130
   0.56667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.44855, 109.00303,-456.63816,   2.43074, 117.96065,-457.44311,  -0.85320, 133.24566,-452.56457,  -2.83360, 138.65925,-449.65591,   4.70600, 130.97703,-453.07166,   9.92659, 130.84867,-451.91795,  18.31042, 108.03011,-450.96657,  19.37717,  86.89740,-443.95328,  -5.01290, 129.35500,-454.53084,  -9.88252, 127.14382,-454.53475, -15.31902, 103.57972,-451.87527, -15.55847,  84.29881,-440.69045,   6.99617,  91.52157,-450.55615,  10.26338,  56.42835,-433.67054,  15.41314,  25.16353,-459.66658,  13.85057,  14.38821,-455.23775,  -5.74841,  92.26115,-452.66406, -13.48163,  58.73534,-434.12892, -16.29643,  17.90503,-436.31201, -18.45055,  11.21700,-426.88898
