time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.70019, 109.68108,-453.31695,   1.21308, 118.65741,-453.53982,   4.11707, 134.72337,-452.24851,   5.49950, 140.99574,-451.58859,   6.50328, 131.18532,-456.50254,   9.90455, 130.71618,-460.60294,  21.47615, 111.58856,-470.20049,  32.91370, 111.30774,-451.06887,   0.16663, 131.71475,-448.83548,  -3.71509, 131.60092,-445.15829, -23.94290, 118.08993,-444.72886, -21.79546,  97.20291,-437.24342,   3.76204,  91.42234,-457.84650,   3.36379,  52.37070,-456.38268, -11.81782,  14.37554,-458.76811,  -2.93838,   6.85323,-457.11467,  -2.02707,  92.17143,-446.29922,  13.81278,  60.21243,-430.32875, -13.53825,  31.20066,-439.81775, -13.02837,  19.61115,-437.92385
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.00475, 109.66722,-453.49937,   1.61133, 118.63628,-453.77336,   4.32581, 134.72634,-452.37415,   5.67466, 140.98780,-451.55936,   6.87559, 131.21633,-456.55590,  10.42943, 130.91333,-460.54093,  24.86148, 113.93227,-470.30003,  33.78212, 115.77798,-449.95474,   0.29901, 131.67681,-449.08905,  -3.82046, 131.82695,-445.68173, -25.19779, 120.24280,-446.52596, -22.27705,  99.81185,-438.10240,   3.59061,  91.29754,-457.87445,   0.83474,  52.32137,-457.10219, -14.84728,  14.50593,-459.06942,  -6.05055,   6.89085,-457.39859,  -1.94051,  92.30010,-446.22043,  16.58861,  61.54639,-430.78621,  -7.11323,  29.34039,-439.77503,  -4.42091,  17.99976,-438.25674
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.14846, 109.66055,-453.55439,   1.81517, 118.62523,-453.83199,   4.50939, 134.70891,-452.32455,   5.83510, 140.95880,-451.39149,   7.13474, 131.21291,-456.47112,  10.77587, 131.03293,-460.38415,  27.64845, 116.37219,-469.98933,  34.22524, 119.53160,-448.92564,   0.42138, 131.64932,-449.12555,  -3.86659, 132.02719,-445.95174, -25.91996, 121.96867,-448.04228, -22.47652, 102.05523,-438.63436,   3.46607,  91.25071,-457.91098,  -1.40898,  52.47709,-457.49576, -17.85124,  14.97391,-459.21814,  -9.12029,   7.28411,-457.54452,  -1.85601,  92.34878,-446.16857,  18.40682,  62.31816,-431.50865,   0.13946,  26.57127,-439.77097,   5.16151,  16.05035,-438.27001
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.16639, 109.66504,-453.49588,   1.86499, 118.62849,-453.73188,   4.67003, 134.68060,-452.09555,   6.01614, 140.91192,-451.07187,   7.30572, 131.19096,-456.24092,  10.97929, 131.07941,-460.12609,  29.71395, 118.60867,-469.36591,  34.46650, 122.55222,-447.94683,   0.52956, 131.63251,-448.95355,  -3.85970, 132.16152,-445.94406, -26.15780, 123.03184,-449.31145, -22.40524, 103.71923,-438.83041,   3.41427,  91.26818,-457.94288,  -3.48477,  52.80189,-457.66041, -20.87861,  15.72904,-459.35195, -12.23757,   7.94517,-457.64689,  -1.80922,  92.33006,-446.15297,  19.14751,  62.24332,-432.62752,   8.10105,  23.42910,-439.78537,  15.43445,  14.42331,-437.97411
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.20152, 109.67652,-453.33470,   1.93624, 118.63892,-453.48523,   4.85647, 134.65486,-451.70252,   6.20947, 140.87163,-450.60233,   7.47639, 131.18180,-455.87175,  11.15740, 131.07108,-459.74990,  31.10118, 120.26684,-468.54733,  34.63444, 124.82084,-447.01381,   0.68571, 131.61054,-448.59714,  -3.74770, 132.17211,-445.65911, -25.87031, 123.18310,-450.31563, -22.04084, 104.50316,-438.76982,   3.36556,  91.32098,-457.98920,  -5.10448,  53.16912,-457.82635, -23.91032,  16.79534,-459.58469, -15.44276,   8.83693,-457.81618,  -1.77029,  92.27406,-446.15157,  18.81290,  61.21667,-434.35730,  16.51804,  20.62939,-439.57361,  25.63053,  13.53132,-437.39567
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.25573, 109.68929,-453.11338,   2.02133, 118.65030,-453.14736,   4.99512, 134.63541,-451.18547,   6.30001, 140.85874,-450.06448,   7.55361, 131.21495,-455.43555,  11.19802, 131.08338,-459.34746,  31.66037, 120.94871,-467.74160,  34.71205, 125.98968,-446.24297,   0.85958, 131.55627,-448.06734,  -3.57489, 131.98721,-445.10891, -25.15625, 122.37086,-450.91115, -21.42774, 104.29735,-438.40685,   3.23275,  91.39409,-458.07832,  -5.87568,  53.38931,-458.14946, -26.87666,  18.24630,-460.08101, -18.80437,   9.92158,-458.15732,  -1.65259,  92.19739,-446.12412,  17.85524,  59.62127,-436.87347,  24.49467,  19.26663,-439.56120,  34.38319,  13.63747,-436.61275
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.35460, 109.69801,-452.87662,   2.14617, 118.65632,-452.78085,   5.05606, 134.62751,-450.61994,   6.24167, 140.87653,-449.50941,   7.52047, 131.30186,-454.99889,  11.08776, 131.17714,-458.98147,  31.30219, 120.36864,-467.13217,  34.75513, 125.67469,-445.75839,   1.03145, 131.46219,-447.44350,  -3.34030, 131.59178,-444.36559, -23.99725, 120.58183,-450.99634, -20.33451, 102.91108,-437.91046,   3.00333,  91.47109,-458.19964,  -6.29918,  53.51786,-458.78956, -29.88006,  20.07443,-461.08787, -22.65235,  11.07869,-458.85172,  -1.45072,  92.11796,-446.06878,  17.22725,  58.50497,-439.09497,  28.84878,  19.24117,-440.85498,  38.63962,  14.41770,-436.49181
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.68664, 109.69021,-452.69657,   2.53759, 118.64055,-452.46353,   5.07160, 134.63419,-450.01438,   6.01599, 140.91997,-448.88023,   7.43926, 131.49389,-454.57961,  10.91707, 131.39217,-458.64121,  29.94097, 118.66715,-466.89018,  34.83622, 123.66419,-445.72461,   1.28293, 131.27098,-446.75228,  -2.92584, 130.92088,-443.47110, -22.16759, 117.79788,-450.50227, -18.52067, 100.23605,-437.26621,   2.66174,  91.50719,-458.32687,  -7.42892,  53.76889,-459.48071, -33.31932,  22.08146,-461.80390, -27.27194,  12.25566,-459.55749,  -1.20166,  92.08404,-445.99172,  18.41532,  58.95343,-439.29314,  29.22522,  19.72543,-444.20365,  37.55063,  13.97906,-438.21780
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.37831, 109.63658,-452.73910,   3.39731, 118.56654,-452.41589,   5.37350, 134.56814,-449.54195,   5.99609, 140.88722,-448.37114,   7.60865, 131.69164,-454.34178,  10.93980, 131.65976,-458.52562,  27.72161, 116.34594,-467.22840,  35.31189, 119.41364,-446.49455,   1.92752, 130.93045,-446.19546,  -1.94765, 129.90178,-442.65605, -19.44106, 114.44795,-449.51571, -15.29533,  96.79130,-436.55550,   2.27149,  91.43766,-458.40138,  -7.76293,  53.71445,-460.29933, -35.69530,  23.79882,-462.45352, -31.64750,  12.99592,-460.20048,  -1.00415,  92.16851,-445.90536,  18.60732,  58.80815,-440.44540,  27.47197,  19.31921,-446.91415,  33.95898,  12.35463,-440.01655
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.34661, 109.62624,-453.05191,   3.25660, 118.56830,-452.73777,   4.64477, 134.52714,-449.33127,   4.97939, 140.85808,-448.10793,   6.73045, 131.94767,-454.36166,   9.85894, 132.17370,-458.69336,  23.29389, 114.18955,-468.07169,  34.57362, 112.79416,-448.89524,   1.57237, 130.60063,-445.94758,  -1.82584, 128.94211,-442.16552, -17.22028, 111.00783,-447.93336, -11.14119,  93.29103,-435.84738,   2.06655,  91.33497,-458.40205,  -5.90667,  53.14498,-460.70099, -36.01568,  25.41590,-462.78642, -35.40538,  13.85562,-460.74903,  -0.79037,  92.27409,-445.81751,  19.01594,  59.06463,-440.14510,  21.96411,  18.79303,-447.16715,  28.46127,  11.46304,-440.66933
