time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.07741, 109.65775,  -3.24217,  -0.03957, 118.65127,  -3.28934,   0.30195, 135.02281,  -3.02122,  -0.10855, 141.46047,  -3.29931,   1.67070, 131.68906,  -7.85042,   4.32463, 131.53220, -12.49091,   5.33531, 107.69371, -17.24334,  10.42968,  86.09760, -19.38129,  -1.66519, 131.60524,   1.53478,  -3.30748, 131.16696,   6.60561,  -4.92504, 107.73924,  12.96334,   1.61167,  88.29910,  21.69622,   1.22385,  91.64008,  -9.32029,  16.84677,  55.82236,  -8.73063, -10.29777,  25.11865,  -9.23967,  -9.10680,  13.69198, -11.72489,  -1.20228,  91.82371,   3.38777,   6.16950,  53.48152,   1.69445,  -0.45431,  13.53077,  -4.61948,   7.84427,   6.03988,  -0.98851
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.11875, 109.65935,  -3.01098,  -0.06801, 118.65287,  -2.97759,   0.44493, 135.02045,  -2.74256,   0.10496, 141.46265,  -3.01028,   1.72829, 131.66458,  -7.57988,   4.29690, 131.48058, -12.26715,   3.51419, 107.87878, -18.11722,   7.09002,  86.15383, -21.60367,  -1.50916, 131.63107,   1.84004,  -3.08945, 131.26726,   6.93639,  -3.22018, 108.10875,  14.39036,   5.67765,  90.05384,  23.96950,   1.24505,  91.73652,  -9.35019,  18.55961,  56.71021,  -8.51596,  -3.36227,  22.08026,  -8.48233,   0.02698,  11.12667, -11.06986,  -1.21196,  91.72681,   3.35325,   4.48299,  53.11377,   1.36975,  -2.84851,  13.24276,  -4.65977,   5.45966,   5.75190,  -1.05078
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.13545, 109.65878,  -2.88308,  -0.06971, 118.65198,  -2.81064,   0.56853, 135.01576,  -2.62294,   0.28839, 141.46083,  -2.89108,   1.80957, 131.63689,  -7.45529,   4.33446, 131.42271, -12.16498,   1.73578, 108.25056, -19.10609,   3.80467,  86.57060, -23.86157,  -1.39541, 131.65402,   1.97577,  -2.96369, 131.35401,   7.07998,  -1.61715, 108.60191,  15.59022,   9.33884,  92.09357,  25.80550,   1.25149,  91.78956,  -9.36696,  19.15085,  57.05977,  -8.47983,   4.26716,  18.87733,  -7.86354,   9.82250,   8.81029, -10.30413,  -1.21375,  91.67393,   3.33438,   3.05624,  52.89770,   0.98807,  -5.24687,  13.17994,  -4.78778,   3.06499,   5.68904,  -1.18737
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.15401, 109.65884,  -2.92020,  -0.08154, 118.65212,  -2.86684,   0.63140, 135.01307,  -2.70281,   0.39187, 141.46031,  -2.95782,   1.86587, 131.62117,  -7.52771,   4.36313, 131.36904, -12.25023,   0.08575, 108.78151, -20.21189,   0.63154,  87.30841, -26.17207,  -1.35644, 131.66740,   1.89735,  -2.94872, 131.41724,   6.99682,  -0.26493, 109.16408,  16.45671,  12.36703,  94.21783,  27.13165,   1.28506,  91.77630,  -9.35580,  18.40842,  56.65554,  -8.54673,  12.39684,  16.13400,  -7.25486,  19.98311,   7.43071,  -9.46050,  -1.24214,  91.68718,   3.33356,   1.86655,  52.82048,   0.67839,  -7.71243,  13.37031,  -4.95459,   0.59805,   5.87949,  -1.35083
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.03433, 109.65935,  -3.11463,   0.08503, 118.65226,  -3.13301,   0.79695, 135.01321,  -2.96459,   0.56731, 141.46167,  -3.19677,   2.06514, 131.62113,  -7.78060,   4.53961, 131.33902, -12.51341,  -1.14611, 109.39289, -21.34067,  -2.15835,  88.27474, -28.40571,  -1.22309, 131.66772,   1.62166,  -2.84998, 131.43829,   6.71117,   0.89451, 109.68506,  16.94206,  14.82460,  96.22918,  27.97849,   1.38840,  91.68867,  -9.30363,  15.95187,  55.43347,  -8.40992,  20.53984,  14.73814,  -6.78392,  29.80278,   7.71377,  -8.52162,  -1.37883,  91.77467,   3.33558,   0.54962,  52.83647,   0.60954, -10.37462,  13.74378,  -5.06724,  -2.05118,   6.25290,  -1.49365
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.14983, 109.65435,  -3.38586,   0.32652, 118.64562,  -3.49989,   0.95872, 135.00953,  -3.30270,   0.72868, 141.45882,  -3.51002,   2.30221, 131.62965,  -8.10687,   4.77793, 131.38236, -12.84097,  -2.05794, 110.04614, -22.32343,  -4.62381,  89.40558, -30.34211,  -1.10177, 131.64865,   1.25421,  -2.78480, 131.44545,   6.32654,   1.73518, 110.14678,  17.18158,  16.56813,  97.93794,  28.48817,   1.53559,  91.56358,  -9.22338,  15.60356,  55.11666,  -8.20023,  27.15831,  15.81644,  -6.86472,  37.60219,  10.48860,  -7.70323,  -1.57734,  91.90115,   3.33091,  -0.79381,  52.92027,   0.64558, -13.29015,  14.32520,  -5.19096,  -4.97218,   6.83432,  -1.60464
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.23667, 109.65369,  -3.36919,   0.43866, 118.64452,  -3.47525,   1.02956, 135.00993,  -3.27430,   0.80853, 141.46027,  -3.45725,   2.45845, 131.63147,  -8.05477,   4.96696, 131.43555, -12.77399,  -2.76139, 110.63340, -22.74516,  -6.81790,  90.55219, -31.53179,  -1.09658, 131.64588,   1.25000,  -2.87175, 131.44268,   6.29083,   2.13125, 110.51875,  17.65105,  17.42110,  99.17835,  29.24961,   1.64793,  91.56061,  -9.19345,  16.07065,  55.26137,  -7.89623,  31.11638,  17.16184,  -6.53435,  42.32660,  13.63102,  -6.70161,  -1.71388,  91.90431,   3.29633,  -2.11705,  52.89470,   0.96782, -16.53079,  15.00554,  -5.07033,  -8.21438,   7.51462,  -1.48048
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.22975, 109.65657,  -3.22117,   0.41833, 118.64817,  -3.27241,   0.95530, 135.01555,  -3.08125,   0.74266, 141.46658,  -3.24947,   2.48204, 131.63578,  -7.83044,   5.06673, 131.46580, -12.50938,  -3.26166, 111.10931, -22.90803,  -8.63962,  91.61788, -32.29297,  -1.24321, 131.65040,   1.40750,  -3.11728, 131.42612,   6.41150,   2.04588, 110.70163,  18.06193,  17.37418,  99.83207,  30.05388,   1.73415,  91.61880,  -9.19184,  16.30698,  55.38938,  -7.64455,  31.52312,  17.36769,  -6.02501,  43.00797,  14.87007,  -5.87051,  -1.79817,  91.84531,   3.25348,  -3.97433,  52.88958,   1.00647, -20.08862,  15.68664,  -4.99974, -11.85327,   8.13707,  -1.34645
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.10439, 109.65941,  -2.96103,   0.22759, 118.65221,  -2.92442,   0.67984, 135.02274,  -2.79224,   0.45530, 141.47309,  -2.97058,   2.27614, 131.63223,  -7.51081,   4.91514, 131.43724, -12.15836,  -3.48871, 111.27519, -22.87041,  -9.96095,  92.30606, -32.62733,  -1.55125, 131.66402,   1.68524,  -3.47847, 131.39901,   6.66701,   1.31439, 110.57009,  18.28938,  16.36166,  99.71402,  30.64400,   1.76625,  91.73526,  -9.22495,  16.17303,  55.45217,  -7.40439,  29.86468,  16.86428,  -5.58328,  40.75595,  12.44741,  -5.39600,  -1.79534,  91.72806,   3.21409,  -4.87856,  52.80573,   1.51692, -23.44772,  16.73633,  -4.31298, -15.82655,   8.44184,  -0.95401
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.10575, 109.65084,  -2.47963,   0.18596, 118.64199,  -2.27998,   0.42417, 135.01755,  -2.26783,   0.16003, 141.46582,  -2.46617,   2.09302, 131.61330,  -6.95126,   4.75683, 131.39457, -11.58357,  -3.34315, 111.16233, -22.39687, -10.39305,  92.47209, -32.29077,  -1.79006, 131.66327,   2.22133,  -3.76484, 131.34775,   7.18149,   0.22371, 110.21516,  18.55693,  14.55518,  98.74457,  31.20388,   1.81280,  91.92582,  -9.27545,  16.67489,  55.85342,  -6.98797,  27.36591,  16.34392,  -4.86561,  37.33081,  10.11242,  -4.68467,  -1.84227,  91.53988,   3.13044,  -5.70254,  52.66125,   2.19014, -26.71361,  17.92255,  -3.42775, -20.07357,   8.74087,  -0.30200
