time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.86693, 109.58764,-451.98310,   4.86046, 118.32900,-451.27476,  11.31956, 132.99067,-447.87900,  13.68305, 138.81795,-446.41408,  13.36218, 129.31052,-452.19092,  17.07330, 128.61513,-455.97855,  21.93513, 106.37886,-464.56874,  33.34581,  88.40931,-457.95004,   6.32335, 130.81716,-445.30601,   2.50156, 130.43908,-441.58398, -11.38112, 110.50561,-442.93420, -14.56116,  88.79026,-439.03009,   4.97985,  91.31140,-456.96183,  12.40380,  53.36039,-451.31048,  -1.99565,  15.83924,-459.34927,   6.03492,   8.11821,-455.59969,  -3.84868,  92.30841,-447.55558,   4.02762,  57.30813,-432.05466,  -2.49381,  17.10937,-436.67355,   2.64836,   8.99501,-429.90016
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.93981, 109.57553,-451.85529,   4.95857, 118.30473,-451.07241,  11.39219, 132.94104,-447.52237,  13.76086, 138.74479,-445.97476,  13.46319, 129.29472,-451.84947,  17.19816, 128.64058,-455.62097,  22.85569, 106.51299,-464.00207,  34.81880,  89.30126,-456.41552,   6.38022, 130.74670,-444.99816,   2.51194, 130.35127,-441.32630, -11.44488, 110.52330,-443.31482, -14.89448,  88.81038,-439.63241,   4.93511,  91.33609,-457.01423,  10.98217,  53.07836,-451.80730,  -3.80870,  15.65133,-459.56939,   4.19218,   7.90020,-455.81847,  -3.82424,  92.28710,-447.53879,   5.12043,  56.94032,-433.46995,   3.19188,  16.08339,-436.07656,   9.03133,   8.82652,-428.90702
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.94627, 109.57120,-451.73054,   4.97099, 118.29100,-450.86286,  11.40873, 132.87343,-447.10467,  13.79502, 138.64036,-445.45015,  13.49317, 129.27821,-451.46793,  17.23596, 128.67281,-455.23981,  23.59297, 106.66158,-463.42365,  35.95957,  90.07930,-455.11640,   6.38332, 130.65479,-444.62891,   2.48431, 130.22897,-440.99313, -11.48233, 110.46346,-443.47363, -14.98618,  88.72529,-439.99712,   4.90975,  91.37679,-457.05795,   9.88782,  52.91598,-452.22915,  -5.63048,  15.74066,-459.77775,   2.33364,   7.94127,-456.04868,  -3.80068,  92.24760,-447.52984,   6.50684,  56.76248,-434.80604,   8.82540,  15.84789,-435.45715,  15.07335,   9.19990,-428.04562
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.92470, 109.57008,-451.61707,   4.94828, 118.28044,-450.65687,  11.40012, 132.78321,-446.62458,  13.80217, 138.50975,-444.85648,  13.48619, 129.26508,-451.04946,  17.24775, 128.72936,-454.81320,  24.02497, 106.81137,-462.90962,  36.68541,  90.69427,-454.14221,   6.36803, 130.52683,-444.19696,   2.46163, 130.04669,-440.57590, -11.45628, 110.28901,-443.37256, -14.79224,  88.49005,-440.11873,   4.86063,  91.42658,-457.12513,   9.03604,  52.83135,-452.61882,  -7.58119,  16.10684,-460.03376,   0.33109,   8.24781,-456.31960,  -3.74555,  92.19813,-447.49428,   8.05196,  56.87287,-435.65033,  13.38994,  16.23775,-435.34028,  20.10784,  10.11850,-427.88453
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.88594, 109.57226,-451.54595,   4.89919, 118.27500,-450.49886,  11.34108, 132.68628,-446.13617,  13.75614, 138.35768,-444.21472,  13.42358, 129.27615,-450.64647,  17.18878, 128.83410,-454.41872,  24.15463, 106.97750,-462.52100,  36.98007,  91.10147,-453.55580,   6.31584, 130.36712,-443.75394,   2.41616, 129.80084,-440.13810, -11.36475, 109.96208,-443.03738, -14.31343,  88.07789,-439.98802,   4.78158,  91.47342,-457.21268,   8.37070,  52.78559,-453.00535,  -9.72134,  16.75799,-460.38732,  -1.91137,   8.78863,-456.69177,  -3.65570,  92.15067,-447.42655,   9.71632,  57.28571,-435.89581,  16.16743,  16.81168,-436.09236,  23.28670,  10.91563,-428.83176
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.93381, 109.56315,-451.48486,   4.95814, 118.25220,-450.34929,  11.32801, 132.58317,-445.63081,  13.73212, 138.20133,-443.54616,  13.40558, 129.31306,-450.24585,  17.15414, 128.98454,-454.04617,  24.08791, 107.15825,-462.25695,  36.90251,  91.23651,-453.35752,   6.33388, 130.16406,-443.28281,   2.45498, 129.46441,-439.66796, -11.09521, 109.45145,-442.45522, -13.44911,  87.47481,-439.55737,   4.65216,  91.50215,-457.32617,   7.85354,  52.74896,-453.41796, -12.02344,  17.68026,-460.82704,  -4.39409,   9.51380,-457.18487,  -3.53962,  92.12449,-447.33008,  11.28956,  57.72443,-436.19162,  16.80153,  17.14886,-437.93649,  23.70574,  10.70414,-430.93928
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   3.01755, 109.55343,-451.52219,   5.05316, 118.23408,-450.34331,  11.28329, 132.52262,-445.31945,  13.62407, 138.11424,-443.09599,  13.34512, 129.40855,-450.04808,  17.04272, 129.21245,-453.90702,  23.74179, 107.39447,-462.33191,  36.32948,  91.12155,-453.74951,   6.35522, 129.96936,-442.97391,   2.51351, 129.08864,-439.35893, -10.74656, 108.84493,-441.86055, -12.34725,  86.79278,-439.02306,   4.48951,  91.49574,-457.44051,   7.79676,  52.71560,-453.90564, -14.21481,  18.96925,-461.42082,  -7.01756,  10.39992,-457.82504,  -3.40030,  92.13360,-447.20534,  12.57217,  58.39869,-435.62217,  14.82331,  17.54804,-438.06342,  21.37005,  10.31937,-431.50215
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.81566, 109.58834,-451.73378,   4.74554, 118.29551,-450.57278,  10.78908, 132.54969,-445.23330,  13.02749, 138.12619,-442.87081,  12.84959, 129.59951,-450.06644,  16.50536, 129.54469,-453.96957,  22.59357, 107.73505,-462.86643,  34.70707,  90.84759,-454.80464,   5.93198, 129.84981,-442.90396,   2.15511, 128.79312,-439.26787, -10.68014, 108.23134,-441.35710, -11.47234,  86.13270,-438.54039,   4.44040,  91.48481,-457.46927,   9.14033,  52.81748,-454.29432, -15.46012,  20.96765,-462.05375,  -9.41688,  11.50416,-458.57736,  -3.29493,  92.13480,-447.11761,  13.24609,  58.86223,-435.00711,  11.92584,  18.04524,-438.47601,  18.40059,  10.57737,-432.11424
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.64087, 109.61363,-451.89475,   4.47647, 118.34438,-450.75821,  10.36683, 132.59669,-445.24539,  12.52028, 138.14334,-442.73808,  12.40508, 129.76766,-450.15971,  16.01258, 129.83858,-454.10725,  21.28953, 108.02819,-463.50627,  32.66946,  90.29728,-456.22428,   5.58727, 129.77685,-442.89786,   1.88139, 128.59509,-439.22739, -10.33025, 107.60509,-440.70761, -10.24089,  85.50818,-437.77005,   4.41511,  91.47823,-457.48338,  12.12257,  53.24395,-455.02029, -14.74422,  23.28658,-462.80067, -10.96994,  12.69315,-459.38047,  -3.22093,  92.13433,-447.05865,  13.15612,  58.88855,-434.65525,   9.10839,  18.37050,-439.31420,  15.58745,  10.87966,-432.98389
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.53778, 109.62619,-451.95005,   4.30395, 118.37426,-450.83696,  10.05397, 132.69369,-445.34996,  12.11048, 138.26527,-442.81668,  12.06182, 129.91752,-450.30677,  15.60367, 130.05758,-454.31148,  20.01246, 108.26071,-464.17757,  30.44478,  89.58464,-457.90967,   5.35480, 129.78962,-442.94357,   1.72660, 128.53863,-439.21883,  -9.72487, 107.08884,-440.03471,  -8.63415,  85.05934,-436.80632,   4.38752,  91.48857,-457.50689,  15.43255,  54.03467,-455.91139, -12.54176,  25.39804,-464.69683, -11.27494,  14.48327,-460.52233,  -3.16462,  92.12050,-447.01973,  12.46032,  58.56279,-434.48675,   6.44034,  18.42376,-440.18067,  12.92322,  10.93284,-433.85439
