time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.26397, 109.66020,-450.92297,   0.50098, 118.47329,-449.29991,  -4.25764, 132.91643,-443.21984,  -6.73321, 138.16314,-440.38562,  -1.11193, 128.81370,-440.12457,   1.52187, 127.84147,-435.57266,  11.73922, 105.78927,-434.48313,   9.99023,  84.14376,-429.45043,  -5.01364, 131.24802,-448.96018,  -7.32980, 132.18178,-453.68945,  -3.13040, 115.84737,-471.22363, -16.83305,  98.30271,-470.06901,   2.63378,  91.23784,-446.23111,  -8.78524,  55.78126,-434.40868,   8.29558,  19.19458,-441.44168,   1.14424,  11.48014,-436.19676,  -1.05591,  92.36175,-458.58172, -14.35651,  56.53561,-466.76190,  16.15690,  29.18778,-465.85014,  13.80045,  17.94206,-468.32899
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.10044, 109.66525,-450.94190,   0.23204, 118.47746,-449.36771,  -4.80815, 132.93528,-443.55532,  -7.44877, 138.15350,-440.81916,  -1.56414, 128.96249,-440.39273,   1.01506, 128.17282,-435.77471,  10.31066, 105.87251,-432.91656,   5.56857,  85.12055,-426.29960,  -5.55090, 131.13707,-449.25807,  -7.86468, 131.93324,-454.01359,  -2.28416, 115.68844,-471.24320, -13.58509,  96.49648,-472.17518,   2.91449,  91.26641,-446.30884,  -5.96726,  54.91319,-435.04431,  10.56928,  18.00956,-441.71279,   3.43685,  10.25378,-436.50320,  -1.29105,  92.33177,-458.49872, -17.05314,  57.38895,-466.10724,   9.99008,  26.59191,-466.01009,   6.07030,  15.62635,-467.60866
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.92452, 109.67167,-450.99894,  -0.05328, 118.48693,-449.50820,  -5.36983, 132.99122,-444.06984,  -8.19657, 138.18146,-441.46980,  -2.02232, 129.17919,-440.81851,   0.52377, 128.63926,-436.14647,   8.85702, 106.25852,-431.50533,   1.37695,  86.75714,-423.71686,  -6.10719, 131.01799,-449.71513,  -8.41698, 131.65442,-454.49658,  -1.78125, 115.42293,-471.36078, -10.51045,  95.08374,-474.01208,   3.21532,  91.31778,-446.39893,  -3.25561,  54.22506,-435.93042,  12.74243,  16.99136,-442.05554,   5.66113,   9.19063,-436.84330,  -1.54286,  92.27862,-458.39273, -19.11527,  58.06067,-465.29753,   2.96983,  23.55037,-466.34201,  -2.82607,  13.35681,-467.15596
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.73738, 109.67648,-451.06470,  -0.35938, 118.49577,-449.68468,  -5.97475, 133.06622,-444.74650,  -8.98352, 138.24015,-442.32433,  -2.51432, 129.45740,-441.38340,  -0.00824, 129.22157,-436.66472,   7.65424, 107.00933,-430.35728,  -2.24829,  88.98873,-421.74839,  -6.70767, 130.86634,-450.30797,  -9.01075, 131.29863,-455.11540,  -1.37992, 115.14787,-471.63263,  -7.92869,  94.17879,-475.41711,   3.52851,  91.38142,-446.50688,  -0.66951,  53.75510,-436.81312,  14.99148,  16.29325,-442.39394,   7.97255,   8.44639,-437.16661,  -1.80390,  92.21363,-458.26645, -20.61012,  58.51593,-464.44101,  -4.73583,  20.79552,-466.67274, -12.18831,  11.71262,-467.02619
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.49580, 109.68177,-451.19107,  -0.75174, 118.50147,-449.94866,  -6.70728, 133.10207,-445.52487,  -9.87641, 138.26033,-443.28026,  -3.10916, 129.72673,-442.06522,  -0.61570, 129.79152,-437.33442,   6.59406, 107.95476,-429.39364,  -5.44221,  91.54919,-420.28866,  -7.44522, 130.66065,-450.98394,  -9.72680, 130.85320,-455.81714,  -1.18652, 114.81703,-471.99737,  -6.01022,  93.50736,-476.41791,   3.83907,  91.48375,-446.61634,   1.75390,  53.51239,-437.60744,  17.36826,  15.96649,-442.73576,  10.42272,   8.08586,-437.46140,  -2.04714,  92.10983,-458.12178, -21.56653,  58.69120,-463.55525, -12.91969,  18.77055,-466.92817, -21.64606,  10.89799,-467.12042
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.19120, 109.68268,-451.36849,  -1.23513, 118.49618,-450.28455,  -7.54363, 133.09690,-446.38099, -10.87525, 138.24467,-444.35862,  -3.80042, 129.97283,-442.84020,  -1.31007, 130.32324,-438.12031,   5.81165, 109.00772,-428.80309,  -8.00365,  94.26709,-419.38147,  -8.28970, 130.40789,-451.72132, -10.54135, 130.34566,-456.57196,  -1.20672, 114.34836,-472.34682,  -4.67096,  92.84677,-477.09988,   4.15497,  91.62495,-446.73383,   4.10681,  53.49249,-438.17544,  19.96952,  16.00641,-442.96827,  13.07948,   8.10414,-437.65366,  -2.27816,  91.96838,-457.95485, -22.08122,  58.59912,-462.60950, -21.17150,  17.83824,-466.79583, -30.72055,  10.98795,-467.02568
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.03950, 109.68806,-451.63967,  -1.50943, 118.50233,-450.74718,  -8.18020, 133.07456,-447.37566, -11.64503, 138.20146,-445.53202,  -4.29568, 130.21506,-443.76424,  -1.81791, 130.84456,-439.06675,   5.64481, 110.12656,-428.72494,  -9.51611,  96.93505,-419.07891,  -8.92726, 130.13540,-452.58237, -11.15710, 129.80654,-457.43233,  -1.17530, 113.69880,-472.69011,  -3.58433,  92.06724,-477.50499,   4.48804,  91.77526,-446.88411,   6.46479,  53.66804,-438.44228,  23.14008,  16.51154,-443.03925,  16.31857,   8.56064,-437.70878,  -2.56895,  91.81657,-457.72900, -22.43461,  58.42100,-461.90341, -26.60361,  17.87355,-466.18435, -36.96887,  12.33695,-466.45087
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.03128, 109.69534,-451.90794,  -1.57415, 118.51530,-451.18812,  -8.54323, 133.04616,-448.27235, -12.14961, 138.11998,-446.55781,  -4.50030, 130.44345,-444.64066,  -1.97209, 131.31480,-440.00914,   6.00492, 111.19132,-428.90539, -10.09261,  99.29531,-419.09366,  -9.33633, 129.86794,-453.32966, -11.55837, 129.24203,-458.15390,  -1.18681, 112.85567,-472.84450,  -2.75165,  91.11279,-477.50383,   4.85482,  91.89287,-447.10393,   8.89266,  53.99682,-438.44843,  26.91641,  17.45315,-442.86518,  20.22359,   9.38257,-437.55148,  -2.93344,  91.69693,-457.43443, -23.51064,  58.73182,-461.58346, -28.19603,  18.16507,-465.07470, -38.73997,  12.99820,-465.61529
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.08939, 109.70021,-452.02792,  -1.51986, 118.52786,-451.41950,  -8.62513, 133.06564,-448.89286, -12.30518, 138.10407,-447.23133,  -4.41027, 130.69021,-445.30108,  -1.71945, 131.77579,-440.80853,   6.90795, 112.19621,-429.22887,  -9.66088, 101.19626,-419.15957,  -9.54593, 129.65285,-453.77256, -11.76443, 128.69573,-458.54380,  -1.37780, 111.80645,-472.64222,  -2.29579,  89.95309,-476.94328,   5.16350,  91.93567,-447.34309,  11.23736,  54.43690,-438.16250,  31.12444,  18.83165,-442.23344,  24.68712,  10.48244,-437.03582,  -3.25832,  91.65277,-457.16183, -24.82597,  59.24878,-460.64774, -26.17135,  18.34555,-462.86549, -36.41689,  12.73330,-464.16746
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.21848, 109.70379,-451.90024,  -1.34077, 118.54177,-451.31204,  -8.41783, 133.14808,-449.12417, -12.14763, 138.13143,-447.40834,  -4.06438, 130.93538,-445.59429,  -1.15934, 132.16338,-441.27517,   8.52491, 113.13698,-429.60933,  -8.04754, 102.54070,-419.12181,  -9.49899, 129.53521,-453.82361, -11.73613, 128.22999,-458.50272,  -1.57281, 110.64193,-471.89161,  -2.11827,  88.69719,-475.77000,   5.30672,  91.87005,-447.50239,  13.09756,  54.99115,-437.17856,  35.26889,  20.74037,-441.06688,  29.44505,  11.80562,-436.12556,  -3.43751,  91.71739,-457.03811, -25.54829,  59.53109,-458.61583, -22.97915,  18.68120,-460.73469, -32.31392,  11.62001,-461.81420
   0.33333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.42891, 109.71396,-452.30024,  -1.02551, 118.58026,-451.89952,  -7.97337, 133.27142,-449.87143, -11.57616, 138.34008,-448.13426,  -3.52345, 131.12805,-446.41994,  -0.38479, 132.40963,-442.28372,  10.82688, 114.01096,-430.98469,  -5.25631, 103.22648,-419.94199,  -9.21179, 129.54566,-454.44217, -11.50039, 127.98667,-459.01757,  -1.86120, 109.45310,-471.48707,  -2.11599,  87.44702,-475.03365,   5.38504,  91.93371,-447.54917,  13.37269,  55.74341,-435.14787,  38.13082,  23.43410,-439.93810,  33.91856,  13.47561,-435.32845,  -3.57447,  91.65090,-456.87987, -26.08187,  59.70909,-456.19282, -18.16387,  19.65391,-459.75519, -27.19371,  12.23595,-461.01997
   0.36667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.82300, 109.71109,-452.74505,  -0.45806, 118.61000,-452.50960,  -7.29177, 133.35197,-450.46251, -10.80588, 138.46828,-448.68385,  -2.76714, 131.22404,-447.09975,   0.53830, 132.47821,-443.08687,  13.31869, 114.39737,-433.00592,  -1.61344, 102.78677,-421.21012,  -8.65827, 129.58538,-454.96274, -11.08695, 127.88609,-459.41430,  -2.48248, 108.20785,-470.84346,  -2.55905,  86.16422,-474.15758,   5.44084,  91.95038,-447.59662,  11.61268,  56.44318,-432.48109,  38.44516,  26.15885,-439.01409,  37.07289,  15.25248,-434.85097,  -3.74009,  91.63503,-456.70846, -25.17071,  58.97748,-455.46456, -13.21231,  19.95089,-459.16925, -22.20198,  12.48029,-460.41002
   0.40000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.10708, 109.69035,-453.14985,  -0.03628, 118.61060,-453.05547,  -6.71724, 133.40805,-450.90693, -10.19758, 138.51706,-449.04294,  -2.09727, 131.28054,-447.67611,   1.38920, 132.50570,-443.81017,  15.13492, 114.28564,-435.38608,   2.19332, 101.02422,-422.99393,  -8.25077, 129.61384,-455.32946, -10.89870, 127.89952,-459.64827,  -3.76791, 107.14432,-470.14918,  -4.13107,  85.06254,-473.17800,   5.49274,  91.98076,-447.63533,   7.78380,  57.06512,-430.22897,  35.83409,  28.60211,-439.33067,  37.43484,  17.81949,-434.93337,  -3.87115,  91.61043,-456.55694, -23.42674,  57.78688,-455.61860,  -8.76641,  19.64848,-458.83414, -17.73459,  12.15187,-460.07357
   0.43333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.27030, 109.68178,-453.23132,   0.22010, 118.61383,-453.17934,  -6.24391, 133.49485,-450.94599,  -9.63481, 138.64595,-449.03358,  -1.56717, 131.33401,-447.82070,   2.11561, 132.50852,-444.12480,  16.27495, 113.81252,-437.65537,   6.11509,  98.48536,-425.05494,  -7.92958, 129.69423,-455.30722, -10.80535, 128.01664,-459.49269,  -5.46586, 106.44596,-469.39677,  -6.73613,  84.32844,-471.86916,   5.31249,  91.97103,-447.46388,   4.54924,  57.46457,-429.13212,  32.37235,  29.58048,-440.45267,  34.67271,  19.32126,-435.19716,  -3.73639,  91.62254,-456.70569, -20.84428,  56.49136,-456.03163,  -4.83794,  18.85875,-458.74952, -13.80371,  11.35622,-459.97037
   0.46667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.43003, 109.67457,-453.26338,   0.48797, 118.61879,-453.23804,  -5.66181, 133.61916,-450.91744,  -8.91074, 138.84471,-448.96108,  -0.98697, 131.36809,-447.85359,   2.87507, 132.41099,-444.30408,  17.20696, 113.24020,-439.94995,  10.38906,  95.87983,-427.74137,  -7.47599, 129.85347,-455.25736, -10.52843, 128.24702,-459.34446,  -7.13037, 106.09890,-468.82124,  -9.86529,  84.03700,-470.46549,   5.01530,  91.96255,-447.20505,   1.56931,  57.85976,-428.43120,  27.81004,  28.90394,-440.79193,  29.58697,  18.51502,-435.58844,  -3.48371,  91.63304,-456.95559, -17.53037,  55.16548,-456.57730,  -1.18552,  17.64864,-458.84335, -10.12804,  10.11785,-460.06075
   0.50000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.31090, 109.68847,-453.10063,   0.40180, 118.63541,-452.98714,  -5.29109, 133.77638,-450.42626,  -8.35512, 139.09341,-448.41874,  -0.67239, 131.34447,-447.41594,   3.32676, 132.21048,-443.97227,  17.76893, 112.76619,-441.68668,  14.66176,  93.63365,-430.67728,  -7.23399, 130.12842,-454.81078, -10.44823, 128.66947,-458.82858,  -8.87864, 106.18334,-467.98311, -13.40584,  84.36491,-468.59274,   4.77965,  91.96127,-447.01888,  -1.34748,  58.24488,-428.23071,  22.23049,  26.92144,-440.17743,  22.65257,  16.16657,-435.45323,  -3.21486,  91.63044,-457.18711, -13.85398,  54.02551,-457.07464,   2.14520,  16.33379,-458.85320,  -6.76689,   8.76564,-460.06206
