time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.01856, 109.62423,  -1.94276,  -0.90598, 118.32456,   0.13969,  -5.09032, 131.36140,   9.12569,  -6.44421, 136.79779,  12.33534,  -0.14705, 128.04750,  10.06949,   3.76084, 127.25296,  13.63308,  18.20294, 111.96686,   1.40026,   4.89786, 111.11010,  19.26521,  -8.03573, 129.57368,   4.18251, -13.08518, 129.56888,   2.42025, -15.93485, 107.80858,  -8.08042, -21.24425, 114.20944,  12.60170,   3.91521,  91.38607,   1.98900, -12.39636,  58.50551,  15.41041,   7.30341,  22.70525,  12.23815,   3.37971,  12.10568,  15.46572,  -3.92038,  92.08705,  -8.28362,  -9.41994,  54.58796,   1.25088,   4.39599,  16.16789,   4.83160,  -4.62662,   8.68219,   5.68035
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.07519, 109.62577,  -1.96844,  -1.05431, 118.32157,   0.10798,  -5.27685, 131.31951,   9.13238,  -6.64359, 136.76004,  12.32954,  -0.30317, 128.04154,  10.04127,   3.67947, 127.29212,  13.53112,  18.35951, 112.80091,   0.63220,   5.52495, 111.01828,  18.77088,  -8.24086, 129.51414,   4.20675, -13.32119, 129.46833,   2.53623, -16.36426, 107.27069,  -6.94533, -21.13842, 114.70875,  13.51912,   3.87617,  91.41473,   2.03378, -13.48642,  58.80743,  14.78670,   2.12448,  20.95794,  12.91078,  -3.26352,  10.98732,  16.02844,  -3.85522,  92.05797,  -8.32124,  -8.95171,  54.42002,   0.88445,   5.39906,  16.22527,   4.75999,  -3.56425,   8.66946,   5.61578
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.16801, 109.62683,  -1.99586,  -1.19328, 118.31834,   0.07623,  -5.39863, 131.28465,   9.15400,  -6.76813, 136.73137,  12.33942,  -0.39307, 128.03968,  10.00436,   3.68599, 127.33713,  13.39107,  18.39038, 113.45326,  -0.13297,   6.09503, 110.96959,  18.29449,  -8.40688, 129.46123,   4.26196, -13.52405, 129.35595,   2.71081, -16.58287, 106.84213,  -5.98784, -20.88819, 115.08588,  14.27087,   3.83981,  91.44352,   2.07575, -13.95766,  58.76519,  14.02183,  -3.15286,  19.23396,  13.43715,  -9.97196,  10.10312,  16.31659,  -3.79299,  92.02888,  -8.35557,  -8.44422,  54.24997,   0.50188,   6.44752,  16.28823,   4.61838,  -2.45490,   8.66244,   5.48886
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.23106, 109.62685,  -2.00878,  -1.28793, 118.31586,   0.05794,  -5.46274, 131.27489,   9.16015,  -6.82327, 136.73531,  12.32591,  -0.42497, 128.06542,   9.95308,   3.75860, 127.39471,  13.21650,  18.35244, 114.01534,  -0.92185,   6.69309, 111.01060,  17.83839,  -8.52154, 129.42002,   4.31147, -13.66998, 129.24962,   2.87376, -16.62925, 106.49538,  -5.21219, -20.54914, 115.26929,  14.90159,   3.80294,  91.46032,   2.11156, -13.93947,  58.44110,  13.16916,  -8.35983,  17.84135,  13.74484, -16.44015,   9.75249,  16.47290,  -3.73855,  92.01207,  -8.38778,  -7.90358,  54.10422,   0.15512,   7.57045,  16.38988,   4.39612,  -1.25811,   8.67721,   5.25327
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.25504, 109.62542,  -1.99214,  -1.32674, 118.31164,   0.07865,  -5.47023, 131.26929,   9.19713,  -6.82585, 136.74110,  12.34528,  -0.40195, 128.09490,   9.93486,   3.88478, 127.45992,  13.06901,  18.23852, 114.49551,  -1.68818,   7.28943, 111.03608,  17.41850,  -8.57815, 129.38072,   4.39289, -13.75233, 129.15447,   3.05905, -16.54552, 106.24943,  -4.65152, -20.12095, 115.26265,  15.42058,   3.76843,  91.45835,   2.13611, -13.45257,  57.83009,  12.13161, -13.19156,  16.88203,  13.86115, -22.12807,   9.72645,  16.52577,  -3.69735,  92.01444,  -8.41697,  -7.38189,  54.00789,  -0.09470,   8.80028,  16.59013,   4.13036,   0.07511,   8.75544,   4.93815
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.30017, 109.62293,  -1.96612,  -1.38635, 118.30559,   0.11203,  -5.47645, 131.27719,   9.23479,  -6.81201, 136.76395,  12.36543,  -0.38151, 128.13303,   9.91633,   3.99371, 127.53529,  12.93331,  18.00966, 114.83728,  -2.37011,   7.77425, 111.05971,  17.06907,  -8.63872, 129.35274,   4.48052, -13.83294, 129.07920,   3.23645, -16.44889, 106.09618,  -4.30232, -19.76341, 115.08590,  15.82502,   3.77199,  91.46045,   2.13450, -13.42204,  57.53701,  11.12886, -17.78876,  16.84883,  13.41061, -26.93971,  10.10702,  16.40588,  -3.68834,  92.01304,  -8.42261,  -7.00956,  53.93959,  -0.25463,  10.09002,  16.91220,   3.79262,   1.52210,   8.90365,   4.57838
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.38759, 109.62055,  -1.95911,  -1.49742, 118.29986,   0.12056,  -5.52139, 131.29548,   9.23854,  -6.83569, 136.79719,  12.35189,  -0.40717, 128.17231,   9.87035,   4.03404, 127.60030,  12.79447,  17.65013, 115.00159,  -2.94579,   8.03143, 111.09948,  16.78159,  -8.73507, 129.33969,   4.53177, -13.94457, 129.02526,   3.36355, -16.37086, 106.02631,  -4.19003, -19.49681, 114.79292,  16.06549,   3.81684,  91.48143,   2.11133, -12.99096,  57.13486,  10.18243, -20.92420,  17.01644,  12.89885, -30.03797,  10.42129,  16.30574,  -3.70884,  91.99271,  -8.40139,  -6.75773,  53.85898,  -0.41037,  11.49437,  17.35669,   3.36419,   3.15105,   9.11348,   4.14013
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.50453, 109.61759,  -1.96458,  -1.64646, 118.29330,   0.11274,  -5.60394, 131.31665,   9.22024,  -6.90396, 136.83679,  12.30686,  -0.47758, 128.20572,   9.81275,   4.01046, 127.64948,  12.66760,  17.19961, 114.97430,  -3.37195,   8.06038, 111.13634,  16.59452,  -8.86091, 129.33642,   4.55362, -14.08026, 128.98943,   3.43985, -16.35487, 106.04273,  -4.31711, -19.30115, 114.44640,  16.11837,   3.87810,  91.51516,   2.08114, -12.68003,  56.86545,   9.33087, -22.25876,  17.09083,  11.78650, -31.07649,  10.51407,  15.92866,  -3.73750,  91.95982,  -8.36967,  -6.51443,  53.74285,  -0.68291,  13.00661,  17.87114,   2.77429,   4.97154,   9.32841,   3.56366
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.71727, 109.61125,  -1.99440,  -1.91855, 118.28034,   0.07703,  -5.76664, 131.33486,   9.18680,  -7.05367, 136.86233,  12.26573,  -0.64344, 128.21217,   9.74375,   3.87572, 127.65029,  12.54795,  16.63410, 114.67627,  -3.60071,   7.75569, 111.16057,  16.54201,  -9.06751, 129.35219,   4.55217, -14.29315, 128.99198,   3.47259, -16.46322, 106.15679,  -4.63545, -19.28886, 114.07773,  16.00881,   3.95024,  91.58132,   2.05644, -12.49615,  56.77174,   8.77518, -21.69004,  16.85884,  10.27055, -29.75183,   9.89545,  15.23868,  -3.75036,  91.89542,  -8.33667,  -6.26344,  53.58782,  -1.01914,  14.59845,  18.44837,   2.11196,   6.98606,   9.52898,   2.92405
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.94594, 109.60517,  -2.09370,  -2.20416, 118.27220,  -0.04755,  -5.88949, 131.35530,   9.08846,  -7.15552, 136.89113,  12.16107,  -0.78849, 128.19094,   9.61303,   3.73812, 127.57861,  12.39457,  16.13438, 114.18391,  -3.69255,   7.24766, 111.15681,  16.52572,  -9.23502, 129.40067,   4.47399, -14.46345, 129.04137,   3.40772, -16.54216, 106.37710,  -5.18909, -19.32883, 113.71152,  15.67599,   4.00696,  91.67361,   2.05373, -12.86266,  57.12416,   9.05972, -19.92548,  16.76078,   9.90656, -27.67422,   9.41796,  14.82626,  -3.74336,  91.80482,  -8.30628,  -6.26985,  53.41250,  -1.45204,  16.04452,  19.15198,   1.39205,   9.07222,   9.72543,   2.22315
